ID,Ticker,Date,Headline,Summary
,EXC,2023-08-09T15:40:23Z,ComEd Announces New Programs To Accelerate Adoption Of EVs Across Northern Illinois; $231M Investment To Expand Electrification Includes New Ev Charging Delivery Rate Option To Incentivize Charging Buildout,
,EXC,2023-08-23T09:19:38Z,"Barclays Initiates Coverage On Exelon with Overweight Rating, Announces Price Target of $43",
,EXC,2023-08-23T13:50:57Z,"Morgan Stanley Maintains Overweight on Exelon, Lowers Price Target to $44",
,EXC,2023-08-23T15:00:43Z,"Benzinga's Top Ratings Upgrades, Downgrades For August 23, 2023", 
,EXC,2023-09-01T16:30:17Z,P/E Ratio Insights for Exelon, 
,EXC,2023-09-06T15:46:34Z,"RBC Capital Maintains Sector Perform on Exelon, Lowers Price Target to $45",
,EXC,2023-09-06T19:00:17Z,Where Exelon Stands With Analysts, 
,EXC,2023-09-11T14:45:26Z,How Is The Market Feeling About Exelon?, 
,EXC,2023-09-21T12:53:39Z,"Morgan Stanley Maintains Overweight on Exelon, Raises Price Target to $45",
,EXC,2023-09-28T20:45:25Z,How Is The Market Feeling About Exelon?, 
,EXC,2023-09-28T21:07:42Z,"SEC Says It Charged Exelon, Its Subsidiary Commonwealth Edison, Subsidiary's Former CEO Anne Pramaggiore With Fraud In Connection With Political Corruption Scheme; Exelon And Comed Agreed To Settle The Charges; Exelon Paying A Civil Penalty Of $46.2M",
,EXC,2023-10-04T17:45:17Z,P/E Ratio Insights for Exelon, 
,EXC,2023-10-17T15:30:19Z,Looking Into Exelon's Recent Short Interest, 
,EXC,2023-10-24T13:43:39Z,"Barclays Maintains Overweight on Exelon, Lowers Price Target to $41",
,EXC,2023-10-24T14:00:47Z,Where Exelon Stands With Analysts, 
,EXC,2023-10-25T12:28:50Z,"Morgan Stanley Maintains Overweight on Exelon, Lowers Price Target to $42",
,EXC,2023-11-02T08:56:34Z,"Earnings Scheduled For November 2, 2023","Companies Reporting Before The Bell

• AudioCodes (NASDAQ:AUDC) is estimated to report quarterly earnings at $0.18 per share on revenue of $61.52 million."
,EXC,2023-11-02T10:51:45Z,"Exelon Q3 Adj. EPS $0.67 Misses $0.68 Estimate, Sales $5.98B Beat $5.05B Estimate",
,EXC,2023-11-02T10:53:20Z,Exelon Narrows FY2023 Adj EPS Guidance from $2.30-2.42 to $2.30-2.40 vs $2.36 Est,
,EXC,2023-11-03T18:45:17Z,How Is The Market Feeling About Exelon?, 
,EXC,2023-11-20T19:30:12Z,Peering Into Exelon's Recent Short Interest, 
,EXC,2023-11-21T12:38:33Z,"Mizuho Downgrades Exelon to Neutral, Announces $40 Price Target",
,EXC,2023-11-21T14:39:42Z,"Morgan Stanley Maintains Overweight on Exelon, Raises Price Target to $43",
