ID,Ticker,Date,Headline,Summary
32714037,B,2023-06-05T12:32:29Z,Barnes To Acquire MB Aerospace,
32716681,B,2023-06-05T15:22:50Z,"Barnes Buys MB Aerospace For $740M, Its Largest Acquisition Ever","
"
33120258,B,2023-07-05T17:39:09Z,10 Industrials Stocks Whale Activity In Today's Session, 
33323586,B,2023-07-21T14:06:44Z,"Truist Securities Maintains Hold on Barnes Gr, Raises Price Target to $40",
33421014,B,2023-07-27T13:49:57Z,Barnes Aerospace Announces U.S. Military Aftermarket Agreement With Blue Raven Solutions,
33424771,B,2023-07-27T16:01:29Z,Barnes Gr's Earnings Outlook, 
33437314,B,2023-07-28T10:09:48Z,"Earnings Scheduled For July 28, 2023","Companies Reporting Before The Bell

• Sanofi (NASDAQ:SNY) is likely to report quarterly earnings at $1.58 per share on revenue of $11.32 billion."
33438838,B,2023-07-28T10:31:39Z,"Barnes Gr Q2 Adj. EPS $0.58 Beats $0.54 Estimate, Sales $338.98M Miss $339.16M Estimate",
33438889,B,2023-07-28T10:35:06Z,Barnes Reiterates FY23 Adj. EPS Outlook $2.15 - $2.30 Vs. $2.25 Estimate,
33443113,B,2023-07-28T16:08:28Z,"Barnes Q2: Topline Miss, Maintained 2023 EPS Forecast & More",Barnes Group Inc (NYSE: B) reported 
34822794,B,2023-09-22T13:02:55Z,Barnes Aerospace Announces Two Extended Long-Term Agreements With Safran; Barnes To Extend Relationship with Safran Aircraft Engines On Aftermarket Services For LEAP Casings; Extend CFM56 Component Repair Agreement,
35354404,B,2023-10-20T16:33:05Z,"Truist Securities Maintains Hold on Barnes Gr, Lowers Price Target to $37",
35446393,B,2023-10-26T17:01:16Z,Barnes Gr's Earnings: A Preview, 
35458491,B,2023-10-27T08:33:22Z,"Earnings Scheduled For October 27, 2023","Companies Reporting Before The Bell

• Sanofi (NASDAQ:SNY) is projected to report quarterly earnings at $2.26 per share on revenue of $12.56 billion."
35459582,B,2023-10-27T10:31:38Z,"Barnes Gr Q3 Adj. EPS $0.19 Misses $0.48 Estimate, Sales $360.99M Beat $356.50M Estimate",
