Ticker,Metric,CoveragePct,Taxonomy,Concept,UnitCount,EntryCount
TSLA,Equity,95.24,us-gaap,StockholdersEquityNoteStockSplitConversionRatio1,1,22
TSLA,Equity,95.24,us-gaap,DebtInstrumentConvertibleCarryingAmountOfTheEquityComponent,1,15
TSLA,Equity,95.24,us-gaap,AdjustmentsToAdditionalPaidInCapitalEquityComponentOfConvertibleDebt,1,11
TSLA,Equity,95.24,us-gaap,StockholdersEquityOther,1,8
TSLA,Equity,95.24,us-gaap,BusinessCombinationConsiderationTransferredEquityInterestsIssuedAndIssuable,1,7
TSLA,Equity,95.24,us-gaap,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsForfeitedInPeriod,1,6
TSLA,Equity,95.24,us-gaap,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriod,1,6
TSLA,Equity,95.24,us-gaap,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedNumber,1,6
TSLA,Equity,95.24,us-gaap,IncomeTaxEffectsAllocatedDirectlyToEquityEmployeeStockOptions,1,3
TSLA,Equity,95.24,us-gaap,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,1,3
TSLA,EPS,95.24,us-gaap,OtherNonoperatingIncomeExpense,1,197
TSLA,EPS,95.24,us-gaap,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,1,196
TSLA,EPS,95.24,us-gaap,OperatingExpenses,1,196
TSLA,EPS,95.24,us-gaap,OperatingIncomeLoss,1,196
TSLA,EPS,95.24,us-gaap,AllocatedShareBasedCompensationExpense,1,185
TSLA,EPS,95.24,us-gaap,CommonStockSharesIssued,1,140
TSLA,EPS,95.24,us-gaap,PaymentsToAcquirePropertyPlantAndEquipment,1,136
TSLA,EPS,95.24,us-gaap,ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlansIncludingStockOptions,1,136
TSLA,EPS,95.24,us-gaap,ShareBasedCompensation,1,136
TSLA,EPS,95.24,us-gaap,RetainedEarningsAccumulatedDeficit,1,131
TSLA,EPS,95.24,us-gaap,CommonStockSharesAuthorized,1,127
TSLA,EPS,95.24,us-gaap,PropertyPlantAndEquipmentNet,1,124
TSLA,EPS,95.24,us-gaap,EarningsPerShareBasic,1,122
TSLA,EPS,95.24,us-gaap,EarningsPerShareDiluted,1,122
TSLA,EPS,95.24,us-gaap,PreferredStockSharesAuthorized,1,122
TSLA,EPS,95.24,us-gaap,CommonStockParOrStatedValuePerShare,1,120
TSLA,EPS,95.24,us-gaap,CommonStockSharesOutstanding,1,120
