Date,Revenue,NetIncome,Assets,Equity,Cash,EPS,SharesOutstanding,TotalDebt,Ticker
2024-06-30,10377000000.0,1297000000.0,73017000000.0,39318000000.0,6987000000.0,0.74,1751153000.0,13139000000.0,ABT
2024-09-30,10635000000.0,1640000000.0,74356000000.0,39796000000.0,7558000000.0,0.94,1747597000.0,12825000000.0,ABT
2024-12-31,41950000000.0,13351000000.0,81414000000.0,47664000000.0,7616000000.0,7.64,1748000000.0,15625000000.0,ABT
2025-03-31,10358000000.0,1300000000.0,81448000000.0,48811000000.0,6532000000.0,0.76,1747220000.0,12736000000.0,ABT
2025-06-30,11142000000.0,1800000000.0,83999000000.0,50565000000.0,6951000000.0,1.01,1750835000.0,12930000000.0,ABT
2025-09-30,11369000000.0,1600000000.0,84181000000.0,50954000000.0,7511000000.0,0.94,1749361000.0,11596000000.0,ABT
2025-12-31,44328000000.0,6500000000.0,86713000000.0,52130000000.0,8522000000.0,3.72,1748000000.0,15929000000.0,ABT
2021-03-31,4281100000.0,575000000.0,82985100000.0,21220000000.0,324000000.0,1.15,498164219.0,3053400000.0,AEP
2021-06-30,3826500000.0,578200000.0,84358200000.0,21629900000.0,359700000.0,1.15,500983778.0,3128000000.0,AEP
2021-09-30,4623000000.0,796000000.0,86337100000.0,22527200000.0,1426700000.0,1.58,502606836.0,2504000000.0,AEP
2021-12-31,16792000000.0,2488100000.0,87668700000.0,22680200000.0,451400000.0,4.96,501784032.0,3114700000.0,AEP
2022-03-31,4592600000.0,714700000.0,89831400000.0,24038100000.0,725500000.0,1.41,507658522.0,30834900000.0,AEP
2022-06-30,4639700000.0,524500000.0,90861300000.0,24297000000.0,621200000.0,1.02,515162210.0,30985600000.0,AEP
2022-09-30,5526100000.0,683700000.0,91249400000.0,24512300000.0,577300000.0,1.33,515315994.0,31595000000.0,AEP
2022-12-31,19639500000.0,2307200000.0,93403300000.0,24123000000.0,557000000.0,4.49,513484609.0,4337900000.0,AEP
2023-03-31,4690900000.0,397000000.0,94517900000.0,23967800000.0,393500000.0,0.77,515598090.0,36276400000.0,AEP
2023-06-30,4372500000.0,521200000.0,96002100000.0,24123600000.0,350700000.0,1.01,516242919.0,37359100000.0,AEP
2023-09-30,5341700000.0,953700000.0,95125600000.0,25349600000.0,407100000.0,1.83,521444125.0,35612000000.0,AEP
2023-12-31,18982300000.0,2208100000.0,96684000000.0,25286000000.0,379000000.0,4.24,520206258.0,271300000.0,AEP
2024-03-31,5025700000.0,1003100000.0,97744600000.0,25843700000.0,281800000.0,1.9,527596395.0,38343700000.0,AEP
2024-06-30,4579200000.0,340300000.0,99622600000.0,26175700000.0,247900000.0,0.64,530140990.0,37499300000.0,AEP
2024-09-30,5420100000.0,959600000.0,100119100000.0,26658800000.0,299200000.0,1.8,533600842.0,37430800000.0,AEP
2024-12-31,19721300000.0,2967100000.0,103078000000.0,26944000000.0,203000000.0,5.58,531337703.0,211000000.0,AEP
2025-03-31,5463400000.0,800200000.0,104394600000.0,27364000000.0,256800000.0,1.5,534663493.0,46335900000.0,AEP
2025-06-30,5086900000.0,1225800000.0,107778500000.0,30968400000.0,227300000.0,2.29,536425635.0,46027100000.0,AEP
2025-09-30,6010400000.0,972000000.0,110253500000.0,30389300000.0,1067700000.0,1.81,537988799.0,47295300000.0,AEP
2025-12-31,21876000000.0,3580000000.0,114460000000.0,31138000000.0,197000000.0,6.66,537467865.0,47750000000.0,AEP
2021-03-27,3445000000.0,555000000.0,10047000000.0,6477000000.0,1763000000.0,0.45,1231000000.0,314000000.0,AMD
2021-06-26,3850000000.0,710000000.0,10691000000.0,7065000000.0,2623000000.0,0.58,1232000000.0,313000000.0,AMD
2021-09-25,4313000000.0,923000000.0,11153000000.0,7136000000.0,2440000000.0,0.75,1230000000.0,625000000.0,AMD
2021-12-25,16434000000.0,3162000000.0,12419000000.0,7497000000.0,2535000000.0,2.57,1229000000.0,313000000.0,AMD
2022-03-26,5887000000.0,786000000.0,66915000000.0,55333000000.0,4740000000.0,0.56,1410000000.0,2357000000.0,AMD
2022-06-25,6550000000.0,447000000.0,67502000000.0,55169000000.0,4964000000.0,0.27,1632000000.0,2777000000.0,AMD
2022-09-24,5565000000.0,66000000.0,67811000000.0,54542000000.0,3398000000.0,0.04,1625000000.0,2466000000.0,AMD
2022-12-31,23601000000.0,1320000000.0,67580000000.0,54750000000.0,4835000000.0,0.84,1571000000.0,2467000000.0,AMD
2023-04-01,5353000000.0,-139000000.0,67634000000.0,54694000000.0,3825000000.0,-0.09,1611000000.0,2467000000.0,AMD
2023-07-01,5359000000.0,27000000.0,67967000000.0,55136000000.0,3841000000.0,0.02,1627000000.0,2467000000.0,AMD
2023-09-30,5800000000.0,299000000.0,67626000000.0,54970000000.0,3561000000.0,0.18,1629000000.0,2467000000.0,AMD
2023-12-30,22680000000.0,854000000.0,67885000000.0,55892000000.0,3933000000.0,0.53,1625000000.0,2468000000.0,AMD
2024-03-30,5473000000.0,123000000.0,67895000000.0,56198000000.0,4190000000.0,0.07,1639000000.0,2468000000.0,AMD
2024-06-29,5835000000.0,265000000.0,67886000000.0,56538000000.0,4113000000.0,0.16,1637000000.0,1719000000.0,AMD
2024-09-28,6819000000.0,771000000.0,69636000000.0,56985000000.0,3897000000.0,0.48,1636000000.0,1720000000.0,AMD
2024-12-28,25785000000.0,1641000000.0,69226000000.0,57568000000.0,3787000000.0,1.01,1637000000.0,1721000000.0,AMD
2025-03-29,7438000000.0,709000000.0,71550000000.0,57881000000.0,6049000000.0,0.44,1626000000.0,4164000000.0,AMD
2025-06-28,7685000000.0,872000000.0,74820000000.0,59665000000.0,4442000000.0,0.47,1630000000.0,3218000000.0,AMD
2025-09-27,9246000000.0,1243000000.0,76891000000.0,60790000000.0,4808000000.0,0.72,1641000000.0,2347000000.0,AMD
2025-12-27,34639000000.0,4335000000.0,76926000000.0,62999000000.0,5539000000.0,2.63,1636000000.0,4124000000.0,AMD
2021-03-31,5901000000.0,1646000000.0,62539000000.0,9334000000.0,6112000000.0,2.83,581000000.0,32685000000.0,AMGN
2021-06-30,6526000000.0,464000000.0,59773000000.0,8247000000.0,6630000000.0,0.81,576000000.0,32782000000.0,AMGN
2021-09-30,6706000000.0,1884000000.0,64993000000.0,8217000000.0,11969000000.0,3.31,570000000.0,37579000000.0,AMGN
2021-12-31,25979000000.0,5893000000.0,61165000000.0,6700000000.0,7989000000.0,10.28,573000000.0,33309000000.0,AMGN
2022-03-31,6238000000.0,1476000000.0,59196000000.0,916000000.0,6528000000.0,2.68,551000000.0,36854000000.0,AMGN
2022-06-30,6594000000.0,1317000000.0,59294000000.0,2419000000.0,5203000000.0,2.45,537000000.0,36522000000.0,AMGN
2022-09-30,6652000000.0,2143000000.0,63700000000.0,3653000000.0,9502000000.0,3.98,538000000.0,38704000000.0,AMGN
2022-12-31,26323000000.0,6552000000.0,65121000000.0,3661000000.0,7629000000.0,12.11,541000000.0,40454000000.0,AMGN
2023-03-31,6105000000.0,2841000000.0,88720000000.0,5348000000.0,31560000000.0,5.28,538000000.0,24000000000.0,AMGN
2023-06-30,6986000000.0,1379000000.0,90269000000.0,6781000000.0,34248000000.0,2.57,537000000.0,24000000000.0,AMGN
2023-09-30,6903000000.0,1730000000.0,90534000000.0,7656000000.0,34741000000.0,3.22,538000000.0,24000000000.0,AMGN
2023-12-31,28190000000.0,6717000000.0,97154000000.0,6232000000.0,10944000000.0,12.49,538000000.0,66016000000.0,AMGN
2024-03-31,7447000000.0,-113000000.0,92980000000.0,5022000000.0,9708000000.0,-0.21,536000000.0,64020000000.0,AMGN
2024-06-30,8388000000.0,746000000.0,90907000000.0,5925000000.0,9301000000.0,1.38,541000000.0,62645000000.0,AMGN
2024-09-30,8503000000.0,2830000000.0,90883000000.0,7527000000.0,9011000000.0,5.22,542000000.0,60398000000.0,AMGN
2024-12-31,33424000000.0,4090000000.0,91839000000.0,5877000000.0,11973000000.0,7.56,541000000.0,63599000000.0,AMGN
2025-03-31,8149000000.0,1730000000.0,89367000000.0,6207000000.0,8810000000.0,3.2,541000000.0,57381000000.0,AMGN
2025-06-30,9179000000.0,1432000000.0,87897000000.0,7428000000.0,8028000000.0,2.65,541000000.0,56204000000.0,AMGN
2025-09-30,9557000000.0,3216000000.0,90141000000.0,9619000000.0,9445000000.0,5.93,542000000.0,54587000000.0,AMGN
2025-12-31,36751000000.0,7711000000.0,90586000000.0,8658000000.0,9129000000.0,14.23,542000000.0,59175000000.0,AMGN
2021-03-31,2158500000.0,645000000.0,46942500000.0,4338900000.0,1913600000.0,1.45,446294000.0,1366400000.0,AMT
2021-06-30,2298900000.0,746300000.0,58982900000.0,6823400000.0,1928000000.0,1.65,452354000.0,2671300000.0,AMT
2021-09-30,2454300000.0,723000000.0,60530000000.0,9477000000.0,3277200000.0,1.58,456977000.0,2138400000.0,AMT
2021-12-31,9356900000.0,2567700000.0,69887900000.0,9069600000.0,2343300000.0,5.66,453294000.0,38300000.0,AMT
2022-03-31,2660300000.0,711700000.0,69763500000.0,9250700000.0,1941500000.0,1.56,457211000.0,5340600000.0,AMT
2022-06-30,2674300000.0,898200000.0,68116800000.0,10726200000.0,2066700000.0,1.95,459819000.0,3634200000.0,AMT
2022-09-30,2671500000.0,839700000.0,66512800000.0,12318600000.0,2121800000.0,1.8,466801000.0,3043600000.0,AMT
2022-12-31,10711100000.0,1765800000.0,67194500000.0,12408500000.0,2140700000.0,4.43,462750000.0,32500000.0,AMT
2023-03-31,2767200000.0,335800000.0,66817700000.0,12250300000.0,1803000000.0,0.7,466810000.0,3877400000.0,AMT
2023-06-30,2771700000.0,475700000.0,66879000000.0,12007200000.0,2015700000.0,0.93,466979000.0,3225400000.0,AMT
2023-09-30,2818600000.0,586900000.0,65653000000.0,11234500000.0,1985800000.0,1.68,467161000.0,3178600000.0,AMT
2023-12-31,11144200000.0,1483300000.0,66027600000.0,10865400000.0,1753700000.0,3.34,467162000.0,24000000.0,AMT
2024-03-31,2834100000.0,917400000.0,66679000000.0,10661700000.0,2217000000.0,1.77,467660000.0,3087400000.0,AMT
2024-06-30,2900300000.0,900300000.0,65837800000.0,10423500000.0,2158300000.0,1.63,467781000.0,3349700000.0,AMT
2024-09-30,2522300000.0,-792300000.0,62816800000.0,10192900000.0,2150300000.0,0.89,468261000.0,3747700000.0,AMT
2024-12-31,10127200000.0,2255000000.0,61077400000.0,3382200000.0,1999600000.0,6.92,468120000.0,3709600000.0,AMT
2025-03-31,2562800000.0,488700000.0,62055600000.0,9936300000.0,2103700000.0,1.05,468519000.0,2833000000.0,AMT
2025-06-30,2626900000.0,366800000.0,63754500000.0,10478900000.0,2076000000.0,0.78,468791000.0,2307700000.0,AMT
2025-09-30,2717400000.0,853300000.0,63888700000.0,3952700000.0,1950700000.0,1.82,469039000.0,2403600000.0,AMT
2025-12-31,10644600000.0,2529500000.0,63190400000.0,3652500000.0,1474800000.0,5.41,468757000.0,3403700000.0,AMT
2021-03-31,108518000000.0,8107000000.0,323077000000.0,103320000000.0,34155000000.0,15.79,513000000.0,41730000000.0,AMZN
2021-06-30,113080000000.0,7778000000.0,360319000000.0,114803000000.0,40667000000.0,0.76,10286000000.0,59721000000.0,AMZN
2021-09-30,110812000000.0,3156000000.0,382406000000.0,120564000000.0,30177000000.0,0.31,10309000000.0,58767000000.0,AMZN
2021-12-31,469822000000.0,33364000000.0,420549000000.0,138245000000.0,36477000000.0,3.24,10296000000.0,56827000000.0,AMZN
2022-03-31,116444000000.0,-3844000000.0,410767000000.0,134001000000.0,36599000000.0,-0.38,10171000000.0,54398000000.0,AMZN
2022-06-30,121234000000.0,-2028000000.0,419728000000.0,131402000000.0,37700000000.0,-0.2,10175000000.0,63845000000.0,AMZN
2022-09-30,127101000000.0,2872000000.0,428362000000.0,137489000000.0,35178000000.0,0.28,10331000000.0,63955000000.0,AMZN
2022-12-31,513983000000.0,-2722000000.0,462675000000.0,146043000000.0,54253000000.0,-0.27,10189000000.0,71547000000.0,AMZN
2023-03-31,127358000000.0,3172000000.0,464378000000.0,154526000000.0,49734000000.0,0.31,10347000000.0,70760000000.0,AMZN
2023-06-30,134383000000.0,6750000000.0,477607000000.0,168602000000.0,50067000000.0,0.65,10449000000.0,66116000000.0,AMZN
2023-09-30,143083000000.0,9879000000.0,486883000000.0,182973000000.0,50081000000.0,0.94,10558000000.0,63483000000.0,AMZN
2023-12-31,574785000000.0,30425000000.0,527854000000.0,201875000000.0,73890000000.0,2.9,10492000000.0,60346000000.0,AMZN
2024-03-31,143313000000.0,10431000000.0,530969000000.0,216661000000.0,73332000000.0,0.98,10670000000.0,59260000000.0,AMZN
2024-06-30,147977000000.0,13485000000.0,554818000000.0,236447000000.0,71673000000.0,1.26,10708000000.0,56328000000.0,AMZN
2024-09-30,158877000000.0,15328000000.0,584626000000.0,259151000000.0,78677000000.0,1.43,10735000000.0,56283000000.0,AMZN
2024-12-31,637959000000.0,59248000000.0,624894000000.0,285970000000.0,78779000000.0,5.53,10721000000.0,53998000000.0,AMZN
2025-03-31,155667000000.0,17127000000.0,643256000000.0,305867000000.0,69893000000.0,1.59,10793000000.0,54733000000.0,AMZN
2025-06-30,167702000000.0,18164000000.0,682170000000.0,333775000000.0,61453000000.0,1.68,10806000000.0,52094000000.0,AMZN
2025-09-30,180169000000.0,21187000000.0,727921000000.0,369631000000.0,66922000000.0,1.95,10845000000.0,52190000000.0,AMZN
2025-12-31,716924000000.0,77670000000.0,818042000000.0,411065000000.0,86810000000.0,7.17,10827000000.0,67192000000.0,AMZN
2021-03-31,2502000000.0,477100000.0,26158900000.0,13134800000.0,5786300000.0,2.13,222500000.0,7677700000.0,APD
2021-06-30,2604700000.0,532300000.0,26252100000.0,13491600000.0,4291600000.0,2.37,222500000.0,7377800000.0,APD
2021-09-30,10323000000.0,2114900000.0,26859200000.0,14088000000.0,4468900000.0,9.16,221396755.0,8169200000.0,APD
2021-12-31,2994200000.0,549600000.0,27125300000.0,14375600000.0,2953700000.0,2.52,222600000.0,6979900000.0,APD
2022-03-31,2945100000.0,536800000.0,27449700000.0,14510700000.0,2348700000.0,2.38,222500000.0,6948400000.0,APD
2022-06-30,3189300000.0,587100000.0,27489000000.0,14215700000.0,2957400000.0,2.62,222500000.0,6895300000.0,APD
2022-09-30,12698600000.0,2266500000.0,27192600000.0,13702400000.0,2711000000.0,10.11,221838696.0,7857600000.0,APD
2022-12-31,3174700000.0,583800000.0,28278300000.0,14517400000.0,3131000000.0,2.57,222600000.0,7397200000.0,APD
2023-03-31,3200100000.0,449900000.0,29435400000.0,14690200000.0,2242400000.0,1.97,222700000.0,8445300000.0,APD
2023-06-30,3033900000.0,610500000.0,30929500000.0,15370700000.0,1637700000.0,2.67,222800000.0,217600000.0,APD
2023-09-30,12600000000.0,2338600000.0,32002500000.0,15660300000.0,1617000000.0,10.31,222700000.0,10907500000.0,APD
2023-12-31,2997400000.0,621600000.0,34118200000.0,16129100000.0,1962600000.0,2.73,222800000.0,218000000.0,APD
2024-03-31,2930200000.0,580900000.0,35921700000.0,16334900000.0,2535000000.0,2.57,222700000.0,937500000.0,APD
2024-06-30,2985500000.0,708900000.0,36974300000.0,16687000000.0,2375700000.0,3.13,222800000.0,990900000.0,APD
2024-09-30,12100600000.0,3862400000.0,39574600000.0,18673700000.0,2979700000.0,17.27,222800000.0,15096900000.0,APD
2024-12-31,2931500000.0,649800000.0,40017200000.0,18738700000.0,1845500000.0,2.77,222900000.0,1131400000.0,APD
2025-03-31,2916200000.0,-1737500000.0,38872900000.0,16779600000.0,1491400000.0,-7.77,222800000.0,830700000.0,APD
2025-06-30,3022700000.0,723200000.0,41659100000.0,15537500000.0,2324300000.0,3.24,222900000.0,699000000.0,APD
2025-09-30,12037300000.0,-354400000.0,41059500000.0,15024900000.0,1856000000.0,-1.74,222700000.0,18712300000.0,APD
2025-12-31,3102500000.0,691400000.0,41240700000.0,15411300000.0,1026400000.0,3.04,222900000.0,169800000.0,APD
2021-03-31,603877000.0,-10521000.0,2621399000.0,-129977000.0,761075000.0,-0.05,222408568.0,2155922000.0,APP
2021-06-30,668806000.0,13295000.0,4599571000.0,1997441000.0,1183743000.0,0.04,353857814.0,1751986000.0,APP
2021-09-30,726951000.0,177000.0,4567760000.0,2049059000.0,1049617000.0,0.0,384324785.0,1749330000.0,APP
2021-12-31,2793104000.0,31703000.0,6163579000.0,2138090000.0,2570504000.0,0.09,342763632.0,46084000.0,APP
2022-03-31,625421000.0,-115257000.0,6167193000.0,2012295000.0,1413256000.0,-0.31,371967881.0,3225479000.0,APP
2022-06-30,776231000.0,-21748000.0,5930828000.0,1907175000.0,951560000.0,-0.06,373912724.0,3223357000.0,APP
2022-09-30,713099000.0,23649000.0,5805398000.0,1881902000.0,943508000.0,0.06,378462207.0,3217531000.0,APP
2022-12-31,2817058000.0,-192746000.0,5847846000.0,1902677000.0,1080484000.0,-0.52,371568011.0,67040000.0,APP
2023-03-31,715405000.0,-4518000.0,5915840000.0,1898580000.0,1245893000.0,-0.01,373160029.0,3205873000.0,APP
2023-06-30,750165000.0,80039000.0,5482120000.0,1517400000.0,876227000.0,0.22,366340275.0,3200069000.0,APP
2023-09-30,864256000.0,107835000.0,5005228000.0,1095790000.0,332491000.0,0.3,356906222.0,3127302000.0,APP
2023-12-31,3283087000.0,354942000.0,5359187000.0,1256329000.0,502152000.0,1.29,362589000.0,3366250000.0,APP
2024-03-31,1058115000.0,234732000.0,5262517000.0,760204000.0,436336000.0,0.67,348596295.0,3525454000.0,APP
2024-06-30,1080119000.0,309890000.0,5269466000.0,814836000.0,460449000.0,0.9,347964201.0,3517729000.0,APP
2024-09-30,1198235000.0,434310000.0,5442484000.0,938206000.0,567596000.0,1.29,348225000.0,3510019000.0,APP
2024-12-31,4709248000.0,1577059000.0,5869259000.0,1089818000.0,697030000.0,4.71,347808000.0,3550000000.0,APP
2025-03-31,1484021000.0,576275000.0,5706701000.0,575421000.0,551024000.0,1.67,344877542.0,3709964000.0,APP
2025-06-30,1258754000.0,819325000.0,5959497000.0,1167127000.0,1192608000.0,2.28,342194433.0,3510958000.0,APP
2025-09-30,1405045000.0,835495000.0,6343035000.0,1473920000.0,1666899000.0,2.47,340974000.0,3511965000.0,APP
2025-12-31,5480717000.0,3333286000.0,7259610000.0,2134671000.0,2487096000.0,10.13,341970000.0,3567481000.0,APP
2021-12-31,18611000000.0,5883200000.0,30231000000.0,10140600000.0,6951800000.0,14.34,410400000.0,4584100000.0,ASML
2022-12-31,21173400000.0,5624200000.0,36300400000.0,8810800000.0,7268300000.0,14.13,398000000.0,4260400000.0,ASML
2023-12-31,27558500000.0,7839000000.0,39957500000.0,13452400000.0,7004700000.0,19.89,394100000.0,4631600000.0,ASML
2024-12-31,28262900000.0,7571600000.0,48589600000.0,18476800000.0,12735900000.0,19.24,393600000.0,1027200000.0,ASML
2025-12-31,32667300000.0,9609400000.0,50566600000.0,19612200000.0,12916000000.0,24.71,388900000.0,1006700000.0,ASML
2021-01-31,6655000000.0,1304000000.0,76972000000.0,23973000000.0,9552000000.0,3.05,428000000.0,42447000000.0,AVGO
2021-05-02,6610000000.0,1417000000.0,75524000000.0,23939000000.0,9518000000.0,3.3,429000000.0,41522000000.0,AVGO
2021-08-01,6778000000.0,1802000000.0,75880000000.0,24340000000.0,11105000000.0,4.2,429000000.0,41523000000.0,AVGO
2021-10-31,27450000000.0,6437000000.0,75570000000.0,24962000000.0,12163000000.0,15.0,429000000.0,41525000000.0,AVGO
2022-01-30,7706000000.0,2398000000.0,73224000000.0,22968000000.0,10219000000.0,5.59,429000000.0,41275000000.0,AVGO
2022-05-01,8103000000.0,2515000000.0,71719000000.0,20963000000.0,9005000000.0,5.93,424000000.0,41260000000.0,AVGO
2022-07-31,8464000000.0,2999000000.0,71326000000.0,20876000000.0,9977000000.0,7.15,430000000.0,41262000000.0,AVGO
2022-10-30,33203000000.0,11223000000.0,73249000000.0,22709000000.0,12416000000.0,2.74,4232000000.0,41255000000.0,AVGO
2023-01-29,8915000000.0,3774000000.0,72976000000.0,23310000000.0,12647000000.0,9.03,429000000.0,40996000000.0,AVGO
2023-04-30,8733000000.0,3481000000.0,71667000000.0,22007000000.0,11553000000.0,8.39,427000000.0,40998000000.0,AVGO
2023-07-30,8876000000.0,3303000000.0,71595000000.0,22079000000.0,12055000000.0,0.8,4269000000.0,41000000000.0,AVGO
2023-10-29,35819000000.0,14082000000.0,72861000000.0,23988000000.0,14189000000.0,3.39,4272000000.0,40860000000.0,AVGO
2024-02-04,11961000000.0,1325000000.0,177870000000.0,70284000000.0,11864000000.0,0.28,4666000000.0,78580000000.0,AVGO
2024-05-05,12487000000.0,2121000000.0,175211000000.0,69961000000.0,9809000000.0,0.46,4799000000.0,76573000000.0,AVGO
