Date,Revenue,NetIncome,Assets,Equity,Cash,EPS,SharesOutstanding,TotalDebt,Ticker
2021-03-27,89584000000.0,23630000000.0,337158000000.0,69178000000.0,40006000000.0,1.4,16929157000.0,116005000000.0,AAPL
2021-06-26,81434000000.0,21744000000.0,329840000000.0,64280000000.0,35276000000.0,1.3,16781735000.0,113193000000.0,AAPL
2021-09-25,365817000000.0,94680000000.0,351002000000.0,63090000000.0,35929000000.0,5.61,16864919000.0,118142000000.0,AAPL
2021-12-25,123945000000.0,34630000000.0,381191000000.0,71932000000.0,38630000000.0,2.1,16519291000.0,117800000000.0,AAPL
2022-03-26,97278000000.0,25010000000.0,350662000000.0,67399000000.0,29180000000.0,1.52,16403316000.0,113000000000.0,AAPL
2022-06-25,82959000000.0,19442000000.0,336309000000.0,58107000000.0,28861000000.0,1.2,16262203000.0,108700000000.0,AAPL
2022-09-24,394328000000.0,99803000000.0,352755000000.0,50672000000.0,24977000000.0,6.11,16325819000.0,111953000000.0,AAPL
2022-12-31,117154000000.0,29998000000.0,346747000000.0,56727000000.0,21974000000.0,1.88,15955718000.0,109400000000.0,AAPL
2023-04-01,94836000000.0,24160000000.0,332160000000.0,62158000000.0,27129000000.0,1.52,15847050000.0,107600000000.0,AAPL
2023-07-01,81797000000.0,19881000000.0,335038000000.0,60274000000.0,29898000000.0,1.26,15775021000.0,105300000000.0,AAPL
2023-09-30,383285000000.0,96995000000.0,352583000000.0,62146000000.0,30737000000.0,6.13,15812547000.0,106737000000.0,AAPL
2023-12-30,119575000000.0,33916000000.0,353514000000.0,74100000000.0,41974000000.0,2.18,15576641000.0,106000000000.0,AAPL
2024-03-30,90753000000.0,23636000000.0,337411000000.0,74194000000.0,33921000000.0,1.53,15464709000.0,102600000000.0,AAPL
2024-06-29,85777000000.0,21448000000.0,331612000000.0,66708000000.0,26635000000.0,1.4,15348175000.0,98300000000.0,AAPL
2024-09-28,391035000000.0,93736000000.0,364980000000.0,56950000000.0,29943000000.0,6.08,15408095000.0,97485000000.0,AAPL
2024-12-28,124300000000.0,36330000000.0,344085000000.0,66758000000.0,30299000000.0,2.4,15150865000.0,94800000000.0,AAPL
2025-03-29,95359000000.0,24780000000.0,331233000000.0,66796000000.0,28162000000.0,1.65,15056133000.0,92200000000.0,AAPL
2025-06-28,94036000000.0,23434000000.0,331495000000.0,65830000000.0,36269000000.0,1.57,14948179000.0,91800000000.0,AAPL
2025-09-27,416161000000.0,112010000000.0,359241000000.0,73733000000.0,35934000000.0,7.46,14773260000.0,91238000000.0,AAPL
2025-12-27,143756000000.0,42097000000.0,379297000000.0,88190000000.0,45317000000.0,2.84,14810356000.0,88500000000.0,AAPL
2021-03-31,13010000000.0,3529000000.0,150501000000.0,13733000000.0,9755000000.0,1.99,1775000000.0,85521000000.0,ABBV
2021-06-30,13959000000.0,749000000.0,147972000000.0,12594000000.0,8546000000.0,0.42,1776000000.0,82121000000.0,ABBV
2021-09-30,14342000000.0,3158000000.0,148858000000.0,13577000000.0,12182000000.0,1.78,1777000000.0,80705000000.0,ABBV
2021-12-31,56197000000.0,11468000000.0,146529000000.0,15436000000.0,9746000000.0,6.45,1777000000.0,34000000.0,ABBV
2022-03-31,13538000000.0,4468000000.0,143211000000.0,16314000000.0,6098000000.0,2.51,1778000000.0,73462000000.0,ABBV
2022-06-30,14583000000.0,913000000.0,143186000000.0,14688000000.0,8521000000.0,0.51,1776000000.0,72915000000.0,ABBV
2022-09-30,14812000000.0,3931000000.0,141325000000.0,16027000000.0,11832000000.0,2.21,1776000000.0,69596000000.0,ABBV
2022-12-31,58054000000.0,11782000000.0,138805000000.0,17287000000.0,9201000000.0,6.63,1778000000.0,34000000.0,ABBV
2023-03-31,12225000000.0,228000000.0,134544000000.0,13303000000.0,6711000000.0,0.13,1776000000.0,62092000000.0,ABBV
2023-06-30,13865000000.0,2013000000.0,135367000000.0,12898000000.0,8759000000.0,1.14,1771000000.0,61015000000.0,ABBV
2023-09-30,13927000000.0,1767000000.0,136221000000.0,12129000000.0,13287000000.0,1.0,1771000000.0,60744000000.0,ABBV
2023-12-31,54318000000.0,4820000000.0,134711000000.0,10397000000.0,12814000000.0,2.72,1773000000.0,42000000.0,ABBV
2024-03-31,12310000000.0,1359000000.0,148874000000.0,8047000000.0,18067000000.0,0.77,1773000000.0,73998000000.0,ABBV
2024-06-30,14462000000.0,1360000000.0,141937000000.0,6821000000.0,13130000000.0,0.77,1771000000.0,70634000000.0,ABBV
2024-09-30,14460000000.0,1551000000.0,143422000000.0,6071000000.0,7257000000.0,0.88,1772000000.0,71079000000.0,ABBV
2024-12-31,56334000000.0,4238000000.0,135161000000.0,3325000000.0,5524000000.0,2.39,1773000000.0,40000000.0,ABBV
2025-03-31,13343000000.0,1276000000.0,136165000000.0,1462000000.0,5175000000.0,0.72,1772000000.0,68296000000.0,ABBV
2025-06-30,15423000000.0,928000000.0,137182000000.0,-138000000.0,6467000000.0,0.52,1771000000.0,64925000000.0,ABBV
2025-09-30,15776000000.0,176000000.0,133898000000.0,-2642000000.0,5629000000.0,0.1,1772000000.0,64953000000.0,ABBV
2025-12-31,61160000000.0,4186000000.0,133960000000.0,-3270000000.0,5229000000.0,1.02,1773000000.0,60000000.0,ABBV
2021-03-31,10456000000.0,1785000000.0,72785000000.0,33562000000.0,8054000000.0,1.0,1791503000.0,17688000000.0,ABT
2021-06-30,10223000000.0,1184000000.0,73269000000.0,33800000000.0,8658000000.0,0.66,1793279000.0,17746000000.0,ABT
2021-09-30,10928000000.0,2092000000.0,73795000000.0,34422000000.0,9302000000.0,1.17,1788999000.0,17643000000.0,ABT
2021-12-31,43075000000.0,7042000000.0,75196000000.0,35802000000.0,9799000000.0,3.94,1789000000.0,18050000000.0,ABT
2022-03-31,11895000000.0,2438000000.0,74007000000.0,35399000000.0,7675000000.0,1.37,1774542000.0,17086000000.0,ABT
2022-06-30,11257000000.0,2009000000.0,74202000000.0,36490000000.0,8937000000.0,1.14,1765463000.0,16755000000.0,ABT
2022-09-30,10410000000.0,1429000000.0,72801000000.0,35675000000.0,9594000000.0,0.81,1763653000.0,15297000000.0,ABT
2022-12-31,43653000000.0,6905000000.0,74438000000.0,36686000000.0,9882000000.0,3.91,1764000000.0,19073000000.0,ABT
2023-03-31,9747000000.0,1313000000.0,73794000000.0,37010000000.0,9161000000.0,0.75,1751715000.0,14615000000.0,ABT
2023-06-30,9978000000.0,1370000000.0,73354000000.0,37174000000.0,7835000000.0,0.78,1750248000.0,14562000000.0,ABT
2023-09-30,10143000000.0,1431000000.0,72090000000.0,37481000000.0,6709000000.0,0.82,1748289000.0,14477000000.0,ABT
2023-12-31,40109000000.0,5701000000.0,73214000000.0,38603000000.0,6896000000.0,3.26,1749000000.0,15779000000.0,ABT
2024-03-31,9964000000.0,1220000000.0,72467000000.0,38810000000.0,6284000000.0,0.7,1749652000.0,12576000000.0,ABT
