Ticker,Company_name,CUSIP,source,Market_Cap
ANET,ARISTA NETWORKS INC,040413205,sp500_row_504.csv,168202715136.0
ANF,Abercrombie & Fitch Co. Class A,002896207,sp400_row_400.csv,3853135616.0
ANIP,ANI PHARMACEUTICALS INC,00182C103,sp600_row_341.csv,1583076224.0
AON,AON PLC CLASS A,G0403H108,sp500_row_504.csv,69082341376.0
AORT,ARTIVION INC,228903100,sp600_row_341.csv,1742494976.0
AOS,SMITH (A.O.) CORP,831865209,sp500_row_504.csv,9243297792.0
APA,APA CORP,03743Q108,sp500_row_504.csv,12176579584.0
APAM,ARTISAN PARTNERS ASSET MA  A,04316A108,sp600_row_341.csv,2496788736.0
APD,AIR PRODUCTS + CHEMICALS INC,009158106,sp500_row_504.csv,64120475648.0
APG,APi Group Corporation,00187Y100,sp400_row_400.csv,17223727104.0
APH,AMPHENOL CORP CL A,032095101,sp500_row_504.csv,164616470528.0
APLS,APELLIS PHARMACEUTICALS INC,03753U106,sp600_row_341.csv,2421098496.0
APO,APOLLO GLOBAL MANAGEMENT INC,03769M106,sp500_row_504.csv,60619337728.0
APP,APPLOVIN CORP CLASS A,03831W108,sp500_row_504.csv,155009826816.0
APPF,AppFolio Inc Class A,03783C100,sp400_row_400.csv,6208262656.0
APTV,APTIV PLC,G3265R107,sp500_row_504.csv,15233598464.0
AR,Antero Resources Corporation,03674X106,sp400_row_400.csv,12646439936.0
ARE,ALEXANDRIA REAL ESTATE EQUIT,015271109,sp500_row_504.csv,8389470720.0
ARES,ARES MANAGEMENT CORP   A,03990B101,sp500_row_504.csv,33674358784.0
ARLO,ARLO TECHNOLOGIES INC,04206A101,sp600_row_341.csv,1453233664.0
ARMK,Aramark,03852U106,sp400_row_400.csv,10513439744.0
AROC,ARCHROCK INC,03957W106,sp600_row_341.csv,6069543424.0
ARR,ARMOUR RESIDENTIAL REIT INC,042315705,sp600_row_341.csv,2039094400.0
ARW,Arrow Electronics Inc.,042735100,sp400_row_400.csv,7234254848.0
ARWR,Arrowhead Pharmaceuticals Inc.,04280A100,sp400_row_400.csv,7708771840.0
ASB,Associated Banc-Corp,045487105,sp400_row_400.csv,4063562496.0
ASGN,ASGN Incorporated,00191U102,sp400_row_400.csv,1554706944.0
ASH,Ashland Inc.,044186104,sp400_row_400.csv,2286746880.0
ASML,ASML HOLDING NV,ACI02GTQ9,dow_row_179.csv,528396845056.0
ASTE,ASTEC INDUSTRIES INC,046224101,sp600_row_341.csv,1210941440.0
ATEN,A10 NETWORKS INC,002121101,sp600_row_341.csv,1504104448.0
ATI,ATI Inc.,01741R102,sp400_row_400.csv,19440846848.0
ATO,ATMOS ENERGY CORP,049560105,sp500_row_504.csv,31198476288.0
ATR,AptarGroup Inc.,038336103,sp400_row_400.csv,8441904128.0
AVA,AVISTA CORP,05379B107,sp600_row_341.csv,3279357184.0
AVAV,AeroVironment Inc.,008073108,sp400_row_400.csv,10339463168.0
AVB,AVALONBAY COMMUNITIES INC,053484101,sp500_row_504.csv,23923881984.0
AVGO,BROADCOM INC,11135F101,"dow_row_179.csv, sp500_row_504.csv",1527448731648.0
AVNT,Avient Corporation,05368V106,sp400_row_400.csv,3140895488.0
AVT,Avnet Inc.,053807103,sp400_row_400.csv,4889675264.0
AVTR,Avantor Inc.,05352A100,sp400_row_400.csv,5408703488.0
AVY,AVERY DENNISON CORP,053611109,sp500_row_504.csv,13128445952.0
AWI,ARMSTRONG WORLD INDUSTRIES,04247X102,sp600_row_341.csv,7215321088.0
AWK,AMERICAN WATER WORKS CO INC,030420103,sp500_row_504.csv,27268700160.0
AWR,AMERICAN STATES WATER CO,029899101,sp600_row_341.csv,2955025664.0
AX,AXOS FINANCIAL INC,05465C100,sp600_row_341.csv,4799514112.0
AXON,AXON ENTERPRISE INC,05464C101,sp500_row_504.csv,39891718144.0
AXP,AMERICAN EXPRESS CO,025816109,"dow_row_179.csv, dow_row_31.csv, sp500_row_504.csv",206627930112.0
AXTA,Axalta Coating Systems Ltd.,G0750C108,sp400_row_400.csv,5886986752.0
AYI,Acuity Inc.,00508Y102,sp400_row_400.csv,8014700544.0
AZN,ASTRAZENECA PLC,098952906,dow_row_179.csv,294398820352.0
AZO,AUTOZONE INC,053332102,sp500_row_504.csv,58854719488.0
