"symbol","company","identifier","sedol","weight","sector","shares_held","local_currency"
"GS","GOLDMAN SACHS GROUP INC","38141G104","2407966",0.103629820945762,"-",5572277,"USD"
"CAT","CATERPILLAR INC","149123101","2180201",0.0922038502084659,"-",5572277,"USD"
"MSFT","MICROSOFT CORP","594918104","2588173",0.0528807882965179,"-",5572277,"USD"
"AMGN","AMGEN INC","031162100","2023607",0.0483975193032775,"-",5572277,"USD"
"HD","HOME DEPOT INC","437076102","2434209",0.0445998259493434,"-",5572277,"USD"
"MCD","MCDONALD S CORP","580135101","2550707",0.0426233462813292,"-",5572277,"USD"
"SHW","SHERWIN WILLIAMS CO/THE","824348106","2804211",0.0418061679513858,"-",5572277,"USD"
"V","VISA INC CLASS A SHARES","92826C839","B2PZN04",0.0403323557771372,"-",5572277,"USD"
"TRV","TRAVELERS COS INC/THE","89417E109","2769503",0.0397415232781506,"-",5572277,"USD"
"AXP","AMERICAN EXPRESS CO","025816109","2026082",0.0397257277561811,"-",5572277,"USD"
"JPM","JPMORGAN CHASE + CO","46625H100","2190385",0.0372255165660535,"-",5572277,"USD"
"UNH","UNITEDHEALTH GROUP INC","91324P102","2917766",0.0364570344307389,"-",5572277,"USD"
"AAPL","APPLE INC","037833100","2046251",0.0336554786717965,"-",5572277,"USD"
"IBM","INTL BUSINESS MACHINES CORP","459200101","2005973",0.0325922301027659,"-",5572277,"USD"
"JNJ","JOHNSON + JOHNSON","478160104","2475833",0.031850060507846,"-",5572277,"USD"
"HON","HONEYWELL INTERNATIONAL INC","438516106","2020459",0.0307131228296778,"-",5572277,"USD"
"AMZN","AMAZON.COM INC","023135106","2000019",0.0275720733172146,"-",5572277,"USD"
"BA","BOEING CO/THE","097023105","2108601",0.0269443812679105,"-",5572277,"USD"
"CRM","SALESFORCE INC","79466L302","2310525",0.0262232757013387,"-",5572277,"USD"
"CVX","CHEVRON CORP","166764100","2838555",0.0259193018779176,"-",5572277,"USD"
"NVDA","NVIDIA CORP","67066G104","2379504",0.0240994078178836,"-",5572277,"USD"
"PG","PROCTER + GAMBLE CO/THE","742718109","2704407",0.0198043054793966,"-",5572277,"USD"
"MMM","3M CO","88579Y101","2595708",0.0196200777079698,"-",5572277,"USD"
"WMT","WALMART INC","931142103","2936921",0.016492184465704,"-",5572277,"USD"
"MRK","MERCK + CO. INC.","58933Y105","2778844",0.0152526058862313,"-",5572277,"USD"
"DIS","WALT DISNEY CO/THE","254687106","2270726",0.0130840006858056,"-",5572277,"USD"
"CSCO","CISCO SYSTEMS INC","17275R102","2198163",0.0102298098489078,"-",5572277,"USD"
"KO","COCA COLA CO/THE","191216100","2206657",0.0101429644695729,"-",5572277,"USD"
"NKE","NIKE INC  CL B","654106103","2640147",0.00712297063782418,"-",5572277,"USD"
"VZ","VERIZON COMMUNICATIONS INC","92343V104","2090571",0.00666240120925718,"-",5572277,"USD"
"-","US DOLLAR","999USDZ92","-",0.00239587077063652,"-",101454737.79,"USD"
