"symbol","company","identifier","sedol","weight","sector","shares_held","local_currency"
"INTC","INTEL CORP","458140100","2463247",0.0111493652715804,"-",134383,"USD"
"ASML","ASML HOLDING NV","ACI02GTQ9","B929F46",0.0104116537137325,"-",4175,"EUR"
"CAT","CATERPILLAR INC","149123101","2180201",0.0101005704059294,"-",7862,"USD"
"FDX","FEDEX CORP","31428X106","2142784",0.00957936529302961,"-",14795,"USD"
"MT","ARCELORMITTAL","ACI0V4RB9","BYPBS67",0.0094818015813901,"-",96042,"EUR"
"ENGI","ENGIE","B0C2CQ902","B0C2CQ3",0.00914448812838863,"-",158201,"EUR"
"8031","MITSUI + CO LTD","659730006","6597302",0.00900825575027026,"-",135046,"JPY"
"NTR","NUTRIEN LTD","67077M959","BDRJLN0",0.00899580720600723,"-",58405,"CAD"
"RIO","RIO TINTO PLC","071887004","0718875",0.00897174202502855,"-",53553,"GBP"
"SMSN","SAMSUNG ELECTR GDR REG S","494281900","4942818",0.00882199866650232,"-",1589,"USD"
"ERICB","ERICSSON LM B SHS","595937905","5959378",0.00874391963283971,"-",412314,"SEK"
"DD","DUPONT DE NEMOURS INC","26614N102","BK0VN47",0.00871964396922856,"-",104889,"USD"
"MRK","MERCK + CO. INC.","58933Y105","2778844",0.0084157371168943,"-",39599,"USD"
"JNJ","JOHNSON + JOHNSON","478160104","2475833",0.00838668049063141,"-",18898,"USD"
"TSM","TAIWAN SEMICONDUCTOR SP ADR","874039100","2113382",0.0083647000900124,"-",13549,"USD"
"8058","MITSUBISHI CORP","659678007","6596785",0.00835781430103599,"-",141740,"JPY"
"XOM","EXXON MOBIL CORP","30231G102","2326618",0.0083130115692681,"-",29531,"USD"
"BHP","BHP GROUP LTD","614469005","6144690",0.00830723833134902,"-",125394,"AUD"
"GSK","GSK PLC","BN7SWP901","BN7SWP6",0.00820098469388338,"-",164982,"GBP"
"NG-","NATIONAL GRID PLC","BDR05C901","BDR05C0",0.00812704515199262,"-",242732,"GBP"
"TTE","TOTALENERGIES SE","B15C55900","B15C557",0.00808421694777691,"-",54354,"EUR"
"AMGN","AMGEN INC","031162100","2023607",0.00806997428964667,"-",11967,"USD"
"HWM","HOWMET AEROSPACE INC","443201108","BKLJ8V2",0.00806165521417299,"-",18033,"USD"
"RTX","RTX CORP","75513E101","BM5M5Y3",0.00797347301415199,"-",21418,"USD"
"LLY","ELI LILLY + CO","532457108","2516152",0.00795206392353539,"-",4438,"USD"
"NEE","NEXTERA ENERGY INC","65339F101","2328915",0.00787563868198502,"-",46826,"USD"
"6301","KOMATSU LTD","649658002","6496584",0.00787023629441838,"-",94847,"JPY"
"COP","CONOCOPHILLIPS","20825C104","2685717",0.00778034016439014,"-",35285,"USD"
"GILD","GILEAD SCIENCES INC","375558103","2369174",0.00772414130152156,"-",29176,"USD"
"AAL","ANGLO AMERICAN PLC","ACI2WVZ09","BTK05J6",0.00772042277501465,"-",96970,"GBP"
"EOAN","E.ON SE","494290901","4942904",0.00766478519916598,"-",187058,"EUR"
"BA-","BAE SYSTEMS PLC","026349902","0263494",0.00761920067476322,"-",135469,"GBP"
"CVX","CHEVRON CORP","166764100","2838555",0.00761267571315675,"-",21079,"USD"
"WMT","WALMART INC","931142103","2936921",0.00761084150735955,"-",33120,"USD"
"SLB","SLB LTD","806857108","2779201",0.00759844307800901,"-",93002,"USD"
"BP-","BP PLC","079805909","0798059",0.00758574395918353,"-",585678,"GBP"
"DE","DEERE + CO","244199105","2261203",0.00758446101742373,"-",7061,"USD"
"AMD","ADVANCED MICRO DEVICES","007903107","2007849",0.00754128200882059,"-",20800,"USD"
"NOVN","NOVARTIS AG REG","710306903","7103065",0.0075172468967894,"-",26615,"CHF"
"ABBN","ABB LTD REG","710889908","7108899",0.00749525647318789,"-",47353,"CHF"
"ABI","ANHEUSER BUSCH INBEV SA/NV","ACI0PX3F9","BYYHL23",0.00743729356539959,"-",56217,"EUR"
