"symbol","company","identifier","sedol","weight","sector","shares_held","local_currency"
"IDCC","INTERDIGITAL INC","45867G101","2465737",0.0124566052394114,"-",134012,"USD"
"CTRE","CARETRUST REIT INC","14174T107","BMP8TL6",0.0119502371389707,"-",1162018,"USD"
"MOG-A","MOOG INC CLASS A","615394202","2601218",0.0116252830027823,"-",147916,"USD"
"PRIM","PRIMORIS SERVICES CORP","74164F103","B1GC200",0.00954064343220411,"-",281204,"USD"
"AWI","ARMSTRONG WORLD INDUSTRIES","04247X102","B1FT462",0.0094974062706192,"-",224412,"USD"
"SITM","SITIME CORP","82982T106","BKS48R6",0.00945148742440001,"-",114112,"USD"
"JBTM","JBT MAREL CORP","477839104","B3BRJZ8",0.00938409508853462,"-",270435,"USD"
"SANM","SANMINA CORP","801056102","B92RRW2",0.00920132026939323,"-",283888,"USD"
"ESE","ESCO TECHNOLOGIES INC","296315104","2321583",0.00917957661002642,"-",134311,"USD"
"FORM","FORMFACTOR INC","346375108","2891826",0.00914485479778397,"-",403271,"USD"
"ZWS","ZURN ELKAY WATER SOLUTIONS C","98983L108","BMV1ZD3",0.00911561643024148,"-",774862,"USD"
"VIAV","VIAVI SOLUTIONS INC","925550105","BYXB201",0.00885985576138931,"-",1160555,"USD"
"FSS","FEDERAL SIGNAL CORP","313855108","2333986",0.00865454678629115,"-",316282,"USD"
"KRYS","KRYSTAL BIOTECH INC","501147102","BD6JX35",0.00865147485650486,"-",134200,"USD"
"VSAT","VIASAT INC","92552V100","2946243",0.00839073105725016,"-",703276,"USD"
"EAT","BRINKER INTERNATIONAL INC","109641100","2193544",0.00822245534644864,"-",231132,"USD"
"AROC","ARCHROCK INC","03957W106","BYRGSX7",0.00820298311399221,"-",911818,"USD"
"IBP","INSTALLED BUILDING PRODUCTS","45780R101","BJSP4C9",0.00815706426777301,"-",117807,"USD"
"SOLS","SOLSTICE ADV MATERIALS INC","83443Q103","BW2K5V7",0.0080873504735675,"-",437385,"USD"
"RHP","RYMAN HOSPITALITY PROPERTIES","78377T107","B8QV5C9",0.00773135683836586,"-",327597,"USD"
"ECG","EVERUS CONSTRUCTION GROUP","300426103","BSVLTM2",0.00768023472345327,"-",265117,"USD"
"CWST","CASELLA WASTE SYSTEMS INC A","147448104","2120490",0.00756117993323406,"-",325050,"USD"
"MSGS","MADISON SQUARE GARDEN SPORTS","55825T103","BYQCZ35",0.00747832788557772,"-",93345,"USD"
"PTGX","PROTAGONIST THERAPEUTICS INC","74366E102","BDCBCD8",0.00747584632666241,"-",305417,"USD"
"GVA","GRANITE CONSTRUCTION INC","387328107","2381189",0.00719961279675892,"-",226943,"USD"
