model,validation_accuracy,test_accuracy
always_one,,0.6086956521739131
lasso_logistic,0.6111111111111112,0.5217391304347826
logistic_regression,,0.5217391304347826
xgboost,0.6041666666666666,0.4782608695652174
neural_network,0.6180555555555556,0.43478260869565216
null_model,,0.391304347826087
always_zero,,0.391304347826087
random_forest,0.5972222222222222,0.391304347826087
