model,validation_accuracy,test_accuracy
random_forest,0.5378323108384458,0.5757575757575758
logistic_regression,,0.5681818181818182
lasso_logistic,0.5214723926380368,0.553030303030303
always_zero,,0.5378787878787878
neural_network,0.5521472392638037,0.5378787878787878
xgboost,0.5357873210633947,0.5227272727272727
null_model,,0.4621212121212121
always_one,,0.4621212121212121
