model,validation_accuracy,test_accuracy
null_model,,0.6271186440677966
always_one,,0.6271186440677966
xgboost,0.4961832061068702,0.4915254237288136
lasso_logistic,0.5801526717557252,0.4745762711864407
logistic_regression,,0.4745762711864407
random_forest,0.5038167938931297,0.4745762711864407
neural_network,0.6335877862595419,0.4406779661016949
always_zero,,0.3728813559322034
