model,validation_accuracy,test_accuracy
null_model,,0.6551724137931034
always_one,,0.6551724137931034
xgboost,0.541958041958042,0.5172413793103449
lasso_logistic,0.5,0.46551724137931033
random_forest,0.534965034965035,0.46551724137931033
logistic_regression,,0.4482758620689655
neural_network,0.5594405594405595,0.4482758620689655
always_zero,,0.3448275862068966
