Ticker,Granger_pvalue_lag_1_NEWS_TEXTBLOB_Polarity_Mean,Granger_alpha_lag_1_NEWS_TEXTBLOB_Polarity_Mean,Granger_beta_lag_1_NEWS_TEXTBLOB_Polarity_Mean,Granger_pvalue_lag_2_NEWS_TEXTBLOB_Polarity_Mean,Granger_alpha_lag_2_NEWS_TEXTBLOB_Polarity_Mean,Granger_beta_lag_2_NEWS_TEXTBLOB_Polarity_Mean,Granger_pvalue_lag_3_NEWS_TEXTBLOB_Polarity_Mean,Granger_alpha_lag_3_NEWS_TEXTBLOB_Polarity_Mean,Granger_beta_lag_3_NEWS_TEXTBLOB_Polarity_Mean,Granger_pvalue_lag_4_NEWS_TEXTBLOB_Polarity_Mean,Granger_alpha_lag_4_NEWS_TEXTBLOB_Polarity_Mean,Granger_beta_lag_4_NEWS_TEXTBLOB_Polarity_Mean,Granger_pvalue_lag_5_NEWS_TEXTBLOB_Polarity_Mean,Granger_alpha_lag_5_NEWS_TEXTBLOB_Polarity_Mean,Granger_beta_lag_5_NEWS_TEXTBLOB_Polarity_Mean,Granger_pvalue_lag_1_NEWS_TEXTBLOB_Subjectivity_Mean,Granger_alpha_lag_1_NEWS_TEXTBLOB_Subjectivity_Mean,Granger_beta_lag_1_NEWS_TEXTBLOB_Subjectivity_Mean,Granger_pvalue_lag_2_NEWS_TEXTBLOB_Subjectivity_Mean,Granger_alpha_lag_2_NEWS_TEXTBLOB_Subjectivity_Mean,Granger_beta_lag_2_NEWS_TEXTBLOB_Subjectivity_Mean,Granger_pvalue_lag_3_NEWS_TEXTBLOB_Subjectivity_Mean,Granger_alpha_lag_3_NEWS_TEXTBLOB_Subjectivity_Mean,Granger_beta_lag_3_NEWS_TEXTBLOB_Subjectivity_Mean,Granger_pvalue_lag_4_NEWS_TEXTBLOB_Subjectivity_Mean,Granger_alpha_lag_4_NEWS_TEXTBLOB_Subjectivity_Mean,Granger_beta_lag_4_NEWS_TEXTBLOB_Subjectivity_Mean,Granger_pvalue_lag_5_NEWS_TEXTBLOB_Subjectivity_Mean,Granger_alpha_lag_5_NEWS_TEXTBLOB_Subjectivity_Mean,Granger_beta_lag_5_NEWS_TEXTBLOB_Subjectivity_Mean,Granger_pvalue_lag_1_NEWS_FINBERT_Negative_Mean,Granger_alpha_lag_1_NEWS_FINBERT_Negative_Mean,Granger_beta_lag_1_NEWS_FINBERT_Negative_Mean,Granger_pvalue_lag_2_NEWS_FINBERT_Negative_Mean,Granger_alpha_lag_2_NEWS_FINBERT_Negative_Mean,Granger_beta_lag_2_NEWS_FINBERT_Negative_Mean,Granger_pvalue_lag_3_NEWS_FINBERT_Negative_Mean,Granger_alpha_lag_3_NEWS_FINBERT_Negative_Mean,Granger_beta_lag_3_NEWS_FINBERT_Negative_Mean,Granger_pvalue_lag_4_NEWS_FINBERT_Negative_Mean,Granger_alpha_lag_4_NEWS_FINBERT_Negative_Mean,Granger_beta_lag_4_NEWS_FINBERT_Negative_Mean,Granger_pvalue_lag_5_NEWS_FINBERT_Negative_Mean,Granger_alpha_lag_5_NEWS_FINBERT_Negative_Mean,Granger_beta_lag_5_NEWS_FINBERT_Negative_Mean,Granger_pvalue_lag_1_NEWS_FINBERT_Neutral_Mean,Granger_alpha_lag_1_NEWS_FINBERT_Neutral_Mean,Granger_beta_lag_1_NEWS_FINBERT_Neutral_Mean,Granger_pvalue_lag_2_NEWS_FINBERT_Neutral_Mean,Granger_alpha_lag_2_NEWS_FINBERT_Neutral_Mean,Granger_beta_lag_2_NEWS_FINBERT_Neutral_Mean,Granger_pvalue_lag_3_NEWS_FINBERT_Neutral_Mean,Granger_alpha_lag_3_NEWS_FINBERT_Neutral_Mean,Granger_beta_lag_3_NEWS_FINBERT_Neutral_Mean,Granger_pvalue_lag_4_NEWS_FINBERT_Neutral_Mean,Granger_alpha_lag_4_NEWS_FINBERT_Neutral_Mean,Granger_beta_lag_4_NEWS_FINBERT_Neutral_Mean,Granger_pvalue_lag_5_NEWS_FINBERT_Neutral_Mean,Granger_alpha_lag_5_NEWS_FINBERT_Neutral_Mean,Granger_beta_lag_5_NEWS_FINBERT_Neutral_Mean,Granger_pvalue_lag_1_NEWS_FINBERT_Positive_Mean,Granger_alpha_lag_1_NEWS_FINBERT_Positive_Mean,Granger_beta_lag_1_NEWS_FINBERT_Positive_Mean,Granger_pvalue_lag_2_NEWS_FINBERT_Positive_Mean,Granger_alpha_lag_2_NEWS_FINBERT_Positive_Mean,Granger_beta_lag_2_NEWS_FINBERT_Positive_Mean,Granger_pvalue_lag_3_NEWS_FINBERT_Positive_Mean,Granger_alpha_lag_3_NEWS_FINBERT_Positive_Mean,Granger_beta_lag_3_NEWS_FINBERT_Positive_Mean,Granger_pvalue_lag_4_NEWS_FINBERT_Positive_Mean,Granger_alpha_lag_4_NEWS_FINBERT_Positive_Mean,Granger_beta_lag_4_NEWS_FINBERT_Positive_Mean,Granger_pvalue_lag_5_NEWS_FINBERT_Positive_Mean,Granger_alpha_lag_5_NEWS_FINBERT_Positive_Mean,Granger_beta_lag_5_NEWS_FINBERT_Positive_Mean,Granger_pvalue_lag_1_TEXTBLOB,Granger_alpha_lag_1_TEXTBLOB,Granger_beta1_lag_1_TEXTBLOB,Granger_beta2_lag_1_TEXTBLOB,Granger_pvalue_lag_2_TEXTBLOB,Granger_alpha_lag_2_TEXTBLOB,Granger_beta1_lag_2_TEXTBLOB,Granger_beta2_lag_2_TEXTBLOB,Granger_pvalue_lag_3_TEXTBLOB,Granger_alpha_lag_3_TEXTBLOB,Granger_beta1_lag_3_TEXTBLOB,Granger_beta2_lag_3_TEXTBLOB,Granger_pvalue_lag_1_FINBERT,Granger_alpha_lag_1_FINBERT,Granger_beta1_lag_1_FINBERT,Granger_beta2_lag_1_FINBERT,Granger_beta3_lag_1_FINBERT,Granger_pvalue_lag_2_FINBERT,Granger_alpha_lag_2_FINBERT,Granger_beta1_lag_2_FINBERT,Granger_beta2_lag_2_FINBERT,Granger_beta3_lag_2_FINBERT,Granger_pvalue_lag_3_FINBERT,Granger_alpha_lag_3_FINBERT,Granger_beta1_lag_3_FINBERT,Granger_beta2_lag_3_FINBERT,Granger_beta3_lag_3_FINBERT
AAPL,0.6715776,0.9888248,2.5141037,0.9134936,0.8618586,2.3644632,0.9783956,0.8628459,2.059547,0.9823448,0.870297,2.3983196,0.5349661,0.8798708,2.1256279,0.7788281,0.9888248,2.5141037,0.9444192,0.8618586,2.3644632,0.9244224,0.8628459,2.059547,0.934348,0.870297,2.3983196,0.9531636,0.8798708,2.1256279,0.5740993,0.9888248,2.5141037,0.046627,0.8618586,2.3644632,0.0383906,0.8628459,2.059547,0.0869071,0.870297,2.3983196,0.091198,0.8798708,2.1256279,0.6984488,0.9888248,2.5141037,0.9043845,0.8618586,2.3644632,0.9699184,0.8628459,2.059547,0.9229834,0.870297,2.3983196,0.9534326,0.8798708,2.1256279,0.2923825,0.9888248,2.5141037,0.0472394,0.8618586,2.3644632,0.075624,0.8628459,2.059547,0.1709265,0.870297,2.3983196,0.2424734,0.8798708,2.1256279,0.5032499,1.3349821,-10.8110603,9.0473168,0.742936,1.3349821,5.4082008,-0.1936612,0.8757173,1.3349821,2.5135615,-5.3806583,0.5526537,-12436.762162,-41698.8553666,-41696.1500082,-41691.3461603,0.4115545,-12436.762162,57460.2486509,57475.8897666,57487.9561842,0.9623363,-12436.762162,-3332.0640909,-3340.157515,-3344.3889013
ABBV,0.8969401,0.9911448,1.7709671,0.8370475,1.0452695,1.7427451,0.9451401,1.0573126,1.5541288,0.9378665,1.0617013,1.7704531,0.9731134,1.066102,1.6580309,0.3132562,0.9911448,1.7709671,0.0864651,1.0452695,1.7427451,0.1464754,1.0573126,1.5541288,0.0444372,1.0617013,1.7704531,0.0392988,1.066102,1.6580309,0.724406,0.9911448,1.7709671,0.6025709,1.0452695,1.7427451,0.7444566,1.0573126,1.5541288,0.86901,1.0617013,1.7704531,0.9350642,1.066102,1.6580309,0.7836152,0.9911448,1.7709671,0.5637325,1.0452695,1.7427451,0.7651299,1.0573126,1.5541288,0.7951892,1.0617013,1.7704531,0.9013688,1.066102,1.6580309,0.5928876,0.9911448,1.7709671,0.7528794,1.0452695,1.7427451,0.8798024,1.0573126,1.5541288,0.9186344,1.0617013,1.7704531,0.9522392,1.066102,1.6580309,0.962756,3.5444493,0.2132768,-3.4112002,0.2203513,3.5444493,5.5413803,-4.8717649,0.4122436,3.5444493,3.8944009,-1.2394572,0.4016812,31314.1087465,-10370.9906391,-10371.7405278,-10372.7778279,0.1095498,31314.1087465,-19949.4857195,-19946.3754296,-19947.4293347,0.9371513,31314.1087465,-992.8784482,-993.7687085,-992.7268831
ABT,0.923414,0.9482216,5.690954,0.642776,0.8890395,5.3125237,0.6787594,0.8850342,4.9325544,0.7575457,0.8813638,5.0162959,0.5493633,0.8796735,4.9209779,0.2739239,0.9482216,5.690954,0.4463682,0.8890395,5.3125237,0.7379088,0.8850342,4.9325544,0.568086,0.8813638,5.0162959,0.6383371,0.8796735,4.9209779,0.9837353,0.9482216,5.690954,0.9827469,0.8890395,5.3125237,0.0504239,0.8850342,4.9325544,0.0755095,0.8813638,5.0162959,0.1324682,0.8796735,4.9209779,0.5658848,0.9482216,5.690954,0.7817986,0.8890395,5.3125237,0.952597,0.8850342,4.9325544,0.8783618,0.8813638,5.0162959,0.7462271,0.8796735,4.9209779,0.5243671,0.9482216,5.690954,0.6580248,0.8890395,5.3125237,0.2865606,0.8850342,4.9325544,0.43055,0.8813638,5.0162959,0.5457218,0.8796735,4.9209779,0.676215,4.6829742,1.0082129,-1.3958164,0.3686623,4.6829742,-2.1923634,-0.3040929,0.6179019,4.6829742,-1.2082756,-0.0628811,0.8383836,-8910.5879294,1224.0363552,1223.6894603,1224.0509311,0.8949888,-8910.5879294,791.4486091,790.9137425,791.5961679,0.2510354,-8910.5879294,6898.7581739,6901.7946493,6902.8255583
ADBE,0.5114211,0.9840271,6.3326969,0.515223,0.9845758,6.331563,0.2599507,0.986312,6.1891401,0.2211809,0.9861062,7.4716117,0.3389261,0.9925981,6.6199968,0.4224348,0.9840271,6.3326969,0.0200829,0.9845758,6.331563,0.01425,0.986312,6.1891401,0.0429784,0.9861062,7.4716117,0.0876601,0.9925981,6.6199968,0.695122,0.9840271,6.3326969,0.8809086,0.9845758,6.331563,0.9247034,0.986312,6.1891401,0.7510486,0.9861062,7.4716117,0.8915831,0.9925981,6.6199968,0.6299629,0.9840271,6.3326969,0.8789946,0.9845758,6.331563,0.6180148,0.986312,6.1891401,0.525986,0.9861062,7.4716117,0.5297636,0.9925981,6.6199968,0.8494282,0.9840271,6.3326969,0.9764595,0.9845758,6.331563,0.7782347,0.986312,6.1891401,0.8749222,0.9861062,7.4716117,0.6800405,0.9925981,6.6199968,0.3391624,-0.6664508,-16.937065,9.36886,0.741913,-0.6664508,-5.8386844,23.9454675,0.3679369,-0.6664508,15.513667,11.6091229,0.0197196,313787.6064007,-177958.4371586,-177961.4201662,-177961.2989728,0.2395442,313787.6064007,-90790.2842584,-90790.12063,-90791.8308675,0.5588166,313787.6064007,-45028.7869344,-45036.3592107,-45026.2091271
AEP,0.2054662,0.9953687,0.7187122,0.4193907,1.139479,1.086973,0.0116462,1.1650216,0.5621375,0.0284907,1.1520156,0.379659,0.0620504,1.1386025,0.0569158,0.7267553,0.9953687,0.7187122,0.8862351,1.139479,1.086973,0.3631535,1.1650216,0.5621375,0.1664346,1.1520156,0.379659,0.2164305,1.1386025,0.0569158,0.1305207,0.9953687,0.7187122,0.2286291,1.139479,1.086973,0.435214,1.1650216,0.5621375,0.1475022,1.1520156,0.379659,0.1600469,1.1386025,0.0569158,0.1344458,0.9953687,0.7187122,0.2707005,1.139479,1.086973,0.2215919,1.1650216,0.5621375,0.3044509,1.1520156,0.379659,0.5260663,1.1386025,0.0569158,0.8444573,0.9953687,0.7187122,0.9879759,1.139479,1.086973,0.8904965,1.1650216,0.5621375,0.5061043,1.1520156,0.379659,0.6740122,1.1386025,0.0569158,0.2298691,0.7733968,-2.6988459,0.1345673,0.5681798,0.7733968,1.2900437,0.1104333,0.009374,0.7733968,-5.7813227,-0.5760333,0.3212678,791.5852456,-5364.6098478,-5366.882542,-5365.615863,0.4265966,791.5852456,4444.1555719,4444.7341232,4444.4389184,0.981351,791.5852456,130.2068841,130.8152176,130.2803744
AMT,0.1940078,0.9511004,9.7286712,0.3182025,0.9864312,9.9672315,0.5786294,0.9832736,10.9457395,0.5383033,0.9775784,11.6249031,0.69475,0.9739597,12.235415,0.7256575,0.9511004,9.7286712,0.5283126,0.9864312,9.9672315,0.6233672,0.9832736,10.9457395,0.3162099,0.9775784,11.6249031,0.466405,0.9739597,12.235415,0.8525974,0.9511004,9.7286712,0.7974435,0.9864312,9.9672315,0.7155836,0.9832736,10.9457395,0.698814,0.9775784,11.6249031,0.7738437,0.9739597,12.235415,0.5585937,0.9511004,9.7286712,0.5186817,0.9864312,9.9672315,0.5543858,0.9832736,10.9457395,0.4350024,0.9775784,11.6249031,0.5463208,0.9739597,12.235415,0.5896208,0.9511004,9.7286712,0.7137147,0.9864312,9.9672315,0.8975405,0.9832736,10.9457395,0.850198,0.9775784,11.6249031,0.9320924,0.9739597,12.235415,0.3016479,10.4405465,5.1525257,0.2326534,0.3334458,10.4405465,-4.8266604,5.1596793,0.6862725,10.4405465,-2.0167007,-1.9139896,0.5119792,-21031.3040288,9094.3348359,9093.2393593,9094.4444943,0.102358,-21031.3040288,22287.6130896,22286.1003591,22287.2406991,0.4532825,-21031.3040288,-10335.7446674,-10338.4345728,-10337.30555
AMZN,0.3518682,0.9867348,2.3868934,0.5276853,0.9598127,2.3426828,0.6515504,0.9613985,2.1535268,0.7768065,0.9671299,2.3247427,0.867737,0.9736119,2.1128803,0.3785972,0.9867348,2.3868934,0.7146887,0.9598127,2.3426828,0.6089157,0.9613985,2.1535268,0.7872371,0.9671299,2.3247427,0.7513913,0.9736119,2.1128803,0.5379259,0.9867348,2.3868934,0.6336796,0.9598127,2.3426828,0.7480096,0.9613985,2.1535268,0.6541598,0.9671299,2.3247427,0.6389477,0.9736119,2.1128803,0.9749042,0.9867348,2.3868934,0.8842064,0.9598127,2.3426828,0.9308434,0.9613985,2.1535268,0.8703062,0.9671299,2.3247427,0.8536451,0.9736119,2.1128803,0.5154207,0.9867348,2.3868934,0.7555275,0.9598127,2.3426828,0.8065778,0.9613985,2.1535268,0.2223988,0.9671299,2.3247427,0.0504461,0.9736119,2.1128803,0.5496987,2.7718601,-10.4666777,-4.3803813,0.4638719,2.7718601,-12.8658481,4.6863325,0.1694775,2.7718601,-24.1024853,18.6603589,0.3128688,-67473.2278553,-67101.8016842,-67096.3774355,-67093.3233603,0.3088574,-67473.2278553,68123.1238888,68119.1190829,68121.9503452,0.3199666,-67473.2278553,66451.6892093,66452.4244893,66450.1262678
APD,0.3534525,0.9194042,20.9344955,0.2696525,1.0194401,23.6533714,0.3406763,1.0078814,24.3326637,0.4761744,1.0105343,24.0171201,0.621703,1.0106615,23.9526834,0.0496713,0.9194042,20.9344955,0.1719751,1.0194401,23.6533714,0.2168378,1.0078814,24.3326637,0.1675603,1.0105343,24.0171201,0.2230869,1.0106615,23.9526834,0.1316488,0.9194042,20.9344955,0.2763292,1.0194401,23.6533714,0.4546731,1.0078814,24.3326637,0.5397915,1.0105343,24.0171201,0.6264605,1.0106615,23.9526834,0.3548982,0.9194042,20.9344955,0.596024,1.0194401,23.6533714,0.8105381,1.0078814,24.3326637,0.9022152,1.0105343,24.0171201,0.9527466,1.0106615,23.9526834,0.0447279,0.9194042,20.9344955,0.1866491,1.0194401,23.6533714,0.3098177,1.0078814,24.3326637,0.3696239,1.0105343,24.0171201,0.5040805,1.0106615,23.9526834,0.6236384,31.7104022,4.7792118,-10.0776416,0.119349,31.7104022,15.3604965,-0.9149802,0.3306708,31.7104022,9.5626371,-7.062844,0.4341144,-30535.6613867,16206.6531912,16208.4285545,16213.8397701,0.7441353,-30535.6613867,6752.9954346,6758.2413362,6758.994636,0.7093055,-30535.6613867,7592.770878,7591.3874253,7591.8268407
ASML,0.7865053,0.9904279,10.4238385,0.7318893,0.9645493,9.5028611,0.5815505,0.9656219,10.6622832,0.4425165,0.9764763,8.1589627,0.5244162,0.9808645,8.9445423,0.0824124,0.9904279,10.4238385,0.1558787,0.9645493,9.5028611,0.0419678,0.9656219,10.6622832,0.0854623,0.9764763,8.1589627,0.1275307,0.9808645,8.9445423,0.6614565,0.9904279,10.4238385,0.6849877,0.9645493,9.5028611,0.9610029,0.9656219,10.6622832,0.804433,0.9764763,8.1589627,0.8704267,0.9808645,8.9445423,0.8296308,0.9904279,10.4238385,0.9589411,0.9645493,9.5028611,0.9370029,0.9656219,10.6622832,0.6282079,0.9764763,8.1589627,0.7707493,0.9808645,8.9445423,0.8403805,0.9904279,10.4238385,0.8795879,0.9645493,9.5028611,0.8500561,0.9656219,10.6622832,0.8966951,0.9764763,8.1589627,0.9579181,0.9808645,8.9445423,0.9210054,25.9983313,3.1786043,-31.3519277,0.4155147,25.9983313,25.5912293,8.996602,0.0397574,25.9983313,64.6289043,-46.6372381,0.1056953,-73690.5223745,160051.6925564,160059.8346771,160059.5020077,0.5435228,-73690.5223745,60297.4771264,60298.9155457,60303.7446077,0.1384487,-73690.5223745,-146651.6089564,-146653.8298903,-146664.7032322
AZN,0.2945876,0.9894316,1.7392986,0.6242005,1.077205,1.9387462,0.7368586,1.0804362,1.7542813,0.5727947,1.0797228,1.5766176,0.3224093,1.0755687,1.5768135,0.5755208,0.9894316,1.7392986,0.783715,1.077205,1.9387462,0.7379087,1.0804362,1.7542813,0.6048102,1.0797228,1.5766176,0.4046837,1.0755687,1.5768135,0.1244943,0.9894316,1.7392986,0.0498274,1.077205,1.9387462,0.1110357,1.0804362,1.7542813,0.0779092,1.0797228,1.5766176,0.0921784,1.0755687,1.5768135,0.1831329,0.9894316,1.7392986,0.1862919,1.077205,1.9387462,0.3434377,1.0804362,1.7542813,0.5667022,1.0797228,1.5766176,0.7049823,1.0755687,1.5768135,0.9328214,0.9894316,1.7392986,0.9674765,1.077205,1.9387462,0.9818203,1.0804362,1.7542813,0.8755617,1.0797228,1.5766176,0.8319549,1.0755687,1.5768135,0.4173676,2.530799,-3.7642614,0.9836281,0.4844587,2.530799,3.2691104,-2.1140168,0.2071927,2.530799,5.9119181,-4.15299,0.3229896,-21950.883558,14588.0078366,14583.8592866,14585.522606,0.9082685,-21950.883558,1697.1188535,1691.6162328,1693.1757564,0.6992898,-21950.883558,5673.4322531,5674.1484996,5673.8333404
