Ticker,Sector,const_lag1,L1.AdjClosePrice_lag1,L1.NEWS_FINBERT_Negative_Mean_lag1,L1.NEWS_FINBERT_Positive_Mean_lag1,pvalue_lag1,const_lag2,L1.AdjClosePrice_lag2,L1.NEWS_FINBERT_Negative_Mean_lag2,L1.NEWS_FINBERT_Positive_Mean_lag2,L2.AdjClosePrice_lag2,L2.NEWS_FINBERT_Negative_Mean_lag2,L2.NEWS_FINBERT_Positive_Mean_lag2,pvalue_lag2
AAPL,Technology,0.503638816688392,-0.10998428105940804,4.911931975138225,-2.468342905480421,0.584297258400617,0.546089945990718,-0.11728948469504583,0.1660465278647691,0.5324411181314269,-0.06722633379927621,-10.739225348651305,8.347916526070815,0.14941004829985574
ABBV,Technology,0.4480641234972689,0.05159879484830042,1.8628464001554645,-0.1282778617002632,0.6347846662991025,0.5427711420556104,0.068229866818495,1.1861817405701498,-1.425065046067452,-0.16182756542942925,-1.4921645642113137,-2.214126460427767,0.5843459546969483
ABT,Consumer Cyclical,-0.05090295099921458,-0.06824451388790537,0.03619806780687578,-0.6838511333891931,0.7281747719763435,-0.02928922897912868,-0.06308563849250942,0.8133212579582387,-1.1082800582978398,0.043245991783097085,1.5219482280106744,-0.9140217941619946,0.4163959329694902
ADBE,Communication Services,-1.4513721756475562,0.011656111257308444,5.930578423613692,4.80561121811388,0.6995055267692469,-1.629181117549198,0.010587975860566187,2.1807547053919274,3.209257697885228,-0.07972269153258033,-10.16982088362438,-6.401122571394255,0.6721866796323694
AEP,Communication Services,0.7483303503353758,-0.05616596064987725,-0.5353613185766648,-0.13697931606439712,0.9711355150706362,0.5919334765629741,-0.053625204113221234,2.5776521340258323,1.8390054380398617,-0.009430643923594613,6.3876061194559535,4.684044658350227,0.05566748084028601
AMT,Consumer Cyclical,-0.30128157568742625,-0.08939204369979502,0.36557161535755306,3.5848481463751756,0.7097717942290556,-0.6785933744841265,-0.04549694025069684,3.638492057144261,2.716649726069717,0.1345409391923895,4.24216098184279,-3.723192523264049,0.5885115602121689
AMZN,Consumer Cyclical,0.16363635908349503,-0.03806014386911697,-6.360523895434896,0.5958275894925217,0.5231048307714439,0.193368659314008,-0.04167189803520531,-6.492726818908556,2.068031292276881,-0.06610022124629047,0.3761026392138629,4.587043746851721,0.7862776642770712
APD,Technology,1.1960155862051534,-0.2738198152345437,-13.873189293698173,-0.8644823762283182,0.3914424537227175,1.9190097477278372,-0.3259598572900878,-16.897512686477214,2.3747845585229026,-0.17144822557129177,-4.012238868144679,11.958173541731071,0.3507684962069425
ASML,Financial Services,4.137644069879041,0.03851498929554802,-14.572625662162604,-20.072483758680946,0.20990806055964112,3.486455909815365,0.02930210547162755,-20.586216237615396,-25.331172174033608,0.08140279164292105,-6.6284906444865515,-1.0717742224143734,0.36268525905877436
AZN,Financial Services,0.35969135241542227,0.05845028004219878,-0.8016662763793828,-0.07345494551270616,0.9149226497563197,0.3570506791976718,0.07063083546632656,1.017173860364747,0.7030717118106351,-0.029810205575099072,4.157720384718261,1.395577410301038,0.5279426322236582
B,Consumer Defensive,0.8248486851946495,-0.04310088588004379,-3.132742047987786,-0.348183663347373,0.3037619817163425,0.8145909175282149,-0.06423899914211205,-2.431386345285171,0.2183640265780382,0.2378642727691507,0.3715627093190428,1.8214893991060461,0.610929848284509
BA,Healthcare,-0.010712715741559771,0.0029812229859941947,4.117902699911968,3.572721325830501,0.7428530909004503,-0.051800233665118156,0.010670515386208002,9.224869005817483,12.485733636075894,-0.016449583844027726,12.734545298408454,20.067882513524626,0.018685130539704144
BABA,Financial Services,0.05677235550421509,0.10040065593312128,6.397969214503972,6.780050554381308,0.2946412251102408,0.04520868388623206,0.09635805727423681,4.8125979694162115,6.704885225348524,0.008243912043094548,-4.397741927275998,-1.898370558158277,0.5113925899216362
BHP,Consumer Defensive,0.4313182748691847,-0.2967406580529631,1.5984691282304442,-0.4911840056701506,0.1749493747920246,0.4745396494661679,-0.23359748306332162,1.974676836103743,-0.32497227562839814,0.1263109440423879,0.9993368355035651,1.8399294092909961,0.19785350083901754
BIDU,Healthcare,-0.2671001260868634,-0.14581021243129696,2.2793617156442707,2.5414755379213867,0.6886659635772314,-0.2860623526891851,-0.15706197814451517,2.2712140259727165,4.85652632901163,-0.008246358234236098,-0.5350487692471236,4.608815133470633,0.47907317162235663
BLK,Technology,1.729966587867039,-0.07833100207526446,-8.240693733073092,-7.757903819251087,0.7175893281090981,1.7531339153300722,-0.06645694734670239,2.0137200007464475,4.681787683020132,-0.04649442308579007,24.95976230595837,27.072597532145004,0.15258159488705975
