Ticker,Company,Link
HSBC,HSBC,https://www.macrotrends.net/stocks/charts/HSBC/hsbc
PM,Philip Morris,https://www.macrotrends.net/stocks/charts/PM/philip-morris
AMAT,Applied Materials,https://www.macrotrends.net/stocks/charts/AMAT/applied-materials
WFC,Wells Fargo,https://www.macrotrends.net/stocks/charts/WFC/wells-fargo
MS,Morgan Stanley,https://www.macrotrends.net/stocks/charts/MS/morgan-stanley
GS,Goldman Sachs,https://www.macrotrends.net/stocks/charts/GS/goldman-sachs
RTX,RTX,https://www.macrotrends.net/stocks/charts/RTX/rtx
UNH,UnitedHealth Group,https://www.macrotrends.net/stocks/charts/UNH/unitedhealth-group
SAP,SAP SE,https://www.macrotrends.net/stocks/charts/SAP/sap-se
IBM,IBM,https://www.macrotrends.net/stocks/charts/IBM/ibm
TMUS,T-Mobile US,https://www.macrotrends.net/stocks/charts/TMUS/t-mobile-us
RY,Royal Bank Of Canada,https://www.macrotrends.net/stocks/charts/RY/royal-bank-of-canada
MUFG,Mitsubishi UFJ Financial,https://www.macrotrends.net/stocks/charts/MUFG/mitsubishi-ufj-financial
INTC,Intel,https://www.macrotrends.net/stocks/charts/INTC/intel
MCD,McDonald's,https://www.macrotrends.net/stocks/charts/MCD/mcdonalds
AXP,American Express,https://www.macrotrends.net/stocks/charts/AXP/american-express
PEP,PepsiCo,https://www.macrotrends.net/stocks/charts/PEP/pepsico
LIN,Linde,https://www.macrotrends.net/stocks/charts/LIN/linde
SHEL,Shell,https://www.macrotrends.net/stocks/charts/SHEL/shell
NVO,Novo Nordisk,https://www.macrotrends.net/stocks/charts/NVO/novo-nordisk
GEV,GE Vernova,https://www.macrotrends.net/stocks/charts/GEV/ge-vernova
VZ,Verizon,https://www.macrotrends.net/stocks/charts/VZ/verizon
TXN,Texas Instruments,https://www.macrotrends.net/stocks/charts/TXN/texas-instruments
T,AT&T,https://www.macrotrends.net/stocks/charts/T/at-t
AMGN,Amgen,https://www.macrotrends.net/stocks/charts/AMGN/amgen
C,Citigroup,https://www.macrotrends.net/stocks/charts/C/citigroup
ABT,Abbott Laboratories,https://www.macrotrends.net/stocks/charts/ABT/abbott-laboratories
NEE,NextEra Energy,https://www.macrotrends.net/stocks/charts/NEE/nextera-energy
GILD,Gilead Sciences,https://www.macrotrends.net/stocks/charts/GILD/gilead-sciences
KLAC,KLA,https://www.macrotrends.net/stocks/charts/KLAC/kla
BA,Boeing,https://www.macrotrends.net/stocks/charts/BA/boeing
TMO,Thermo Fisher Scientific,https://www.macrotrends.net/stocks/charts/TMO/thermo-fisher-scientific
DIS,Disney,https://www.macrotrends.net/stocks/charts/DIS/disney
BHP,BHP Group,https://www.macrotrends.net/stocks/charts/BHP/bhp-group
TTE,TotalEnergies SE,https://www.macrotrends.net/stocks/charts/TTE/totalenergies-se
APH,Amphenol,https://www.macrotrends.net/stocks/charts/APH/amphenol
ANET,Arista Networks,https://www.macrotrends.net/stocks/charts/ANET/arista-networks
CRM,Salesforce,https://www.macrotrends.net/stocks/charts/CRM/salesforce
SAN,"Banco Santander, S.A","https://www.macrotrends.net/stocks/charts/SAN/banco-santander,-sa"
ISRG,Intuitive Surgical,https://www.macrotrends.net/stocks/charts/ISRG/intuitive-surgical
TJX,TJX,https://www.macrotrends.net/stocks/charts/TJX/tjx
SCHW,Charles Schwab,https://www.macrotrends.net/stocks/charts/SCHW/charles-schwab
BLK,BlackRock,https://www.macrotrends.net/stocks/charts/BLK/blackrock
HDB,HDFC Bank,https://www.macrotrends.net/stocks/charts/HDB/hdfc-bank
ADI,Analog Devices,https://www.macrotrends.net/stocks/charts/ADI/analog-devices
DE,Deere,https://www.macrotrends.net/stocks/charts/DE/deere
UL,Unilever,https://www.macrotrends.net/stocks/charts/UL/unilever
LOW,Lowe's,https://www.macrotrends.net/stocks/charts/LOW/lowes
SCCO,Southern Copper,https://www.macrotrends.net/stocks/charts/SCCO/southern-copper
TD,Toronto Dominion Bank,https://www.macrotrends.net/stocks/charts/TD/toronto-dominion-bank
BUD,Anheuser-Busch,https://www.macrotrends.net/stocks/charts/BUD/anheuser-busch
PFE,Pfizer,https://www.macrotrends.net/stocks/charts/PFE/pfizer
UNP,Union Pacific,https://www.macrotrends.net/stocks/charts/UNP/union-pacific
HON,Honeywell,https://www.macrotrends.net/stocks/charts/HON/honeywell
SMFG,Sumitomo Mitsui Financial Group Inc,https://www.macrotrends.net/stocks/charts/SMFG/sumitomo-mitsui-financial-group-inc
ETN,Eaton,https://www.macrotrends.net/stocks/charts/ETN/eaton
DHR,Danaher,https://www.macrotrends.net/stocks/charts/DHR/danaher
LMT,Lockheed Martin,https://www.macrotrends.net/stocks/charts/LMT/lockheed-martin
QCOM,QUALCOMM,https://www.macrotrends.net/stocks/charts/QCOM/qualcomm
WELL,Welltower,https://www.macrotrends.net/stocks/charts/WELL/welltower
SHOP,Shopify,https://www.macrotrends.net/stocks/charts/SHOP/shopify
UBER,Uber Technologies,https://www.macrotrends.net/stocks/charts/UBER/uber-technologies
SONY,Sony,https://www.macrotrends.net/stocks/charts/SONY/sony
SYK,Stryker,https://www.macrotrends.net/stocks/charts/SYK/stryker
PDD,PDD Holdings,https://www.macrotrends.net/stocks/charts/PDD/pdd-holdings
ACN,Accenture,https://www.macrotrends.net/stocks/charts/ACN/accenture
COP,ConocoPhillips,https://www.macrotrends.net/stocks/charts/COP/conocophillips
NEM,Newmont,https://www.macrotrends.net/stocks/charts/NEM/newmont
BKNG,Booking Holdings,https://www.macrotrends.net/stocks/charts/BKNG/booking-holdings
ARM,ARM Holdings,https://www.macrotrends.net/stocks/charts/ARM/arm-holdings
APP,AppLovin,https://www.macrotrends.net/stocks/charts/APP/applovin
COF,Capital One Financial,https://www.macrotrends.net/stocks/charts/COF/capital-one-financial
UBS,UBS Group AG,https://www.macrotrends.net/stocks/charts/UBS/ubs-group-ag
BBVA,Banco Bilbao Viscaya Argentaria S.A,https://www.macrotrends.net/stocks/charts/BBVA/banco-bilbao-viscaya-argentaria-sa
PLD,Prologis,https://www.macrotrends.net/stocks/charts/PLD/prologis
CB,Chubb,https://www.macrotrends.net/stocks/charts/CB/chubb
MDT,Medtronic,https://www.macrotrends.net/stocks/charts/MDT/medtronic
IBKR,Interactive Brokers,https://www.macrotrends.net/stocks/charts/IBKR/interactive-brokers
PH,Parker-Hannifin,https://www.macrotrends.net/stocks/charts/PH/parker-hannifin
VRTX,Vertex Pharmaceuticals,https://www.macrotrends.net/stocks/charts/VRTX/vertex-pharmaceuticals
BMY,Bristol Myers Squibb,https://www.macrotrends.net/stocks/charts/BMY/bristol-myers-squibb
MFG,Mizuho Financial,https://www.macrotrends.net/stocks/charts/MFG/mizuho-financial
