"symbol","company","identifier","sedol","weight","sector","shares_held","local_currency"
"RNR","RenaissanceRe Holdings Ltd.","G7496G103","2728429",0.0041547511810372,"Financials",337165,"USD"
"GWRE","Guidewire Software Inc.","40171V100","B7JYSG3",0.00414449176474235,"Information Technology",621669,"USD"
"TOL","Toll Brothers Inc.","889478103","2896092",0.00411395538814768,"Consumer Discretionary",704766,"USD"
"OKTA","Okta Inc. Class A","679295105","BDFZSP1",0.00411303828904863,"Information Technology",1231794,"USD"
"PR","Permian Resources Corporation Class A","71424F105","BQPCHB2",0.00409503895947831,"Energy",5077326,"USD"
"ELS","Equity LifeStyle Properties Inc.","29472R108","2563125",0.00407069048229919,"Real Estate",1417298,"USD"
"PEN","Penumbra Inc.","70975L107","BZ0V201",0.00405709524400671,"Health Care",286359,"USD"
"DKS","Dick's Sporting Goods Inc.","253393102","2969637",0.00403966028311272,"Consumer Discretionary",483376,"USD"
"BJ","BJ's Wholesale Club Holdings Inc.","05550J101","BFZNZF8",0.00402482544933472,"Consumer Staples",963397,"USD"
"RPM","RPM International Inc.","749685103","2756174",0.00395174978376113,"Materials",937554,"USD"
"NBIX","Neurocrine Biosciences Inc.","64125C109","2623911",0.00394005928975129,"Health Care",729067,"USD"
"WSO","Watsco Inc.","942622200","2943039",0.00392910449062311,"Industrials",255370,"USD"
"NYT","New York Times Company Class A","650111107","2632003",0.00390032168812991,"Communication Services",1181405,"USD"
"WCC","WESCO International Inc.","95082P105","2416973",0.0038767290618566,"Industrials",355709,"USD"
"ROIV","Roivant Sciences Ltd.","G76279101","BMW4NZ9",0.00386861626213425,"Health Care",3203885,"USD"
"PNFP","Pinnacle Financial Partners Inc.","72348N109","BV6GRD0",0.00386584480881296,"Financials",1094019,"USD"
"RRX","Regal Rexnord Corporation","758750103","2730082",0.00385229996058086,"Industrials",485450,"USD"
"STRL","Sterling Infrastructure Inc.","859241101","2632876",0.00384362279218218,"Industrials",224622,"USD"
"MLI","Mueller Industries Inc.","624756102","2609717",0.00380532634628787,"Industrials",811750,"USD"
"ENSG","Ensign Group Inc.","29358P101","B1YWPP8",0.00370615870744577,"Health Care",420569,"USD"
"FIVE","Five Below Inc.","33829M101","B85KFY9",0.00370119024749159,"Consumer Discretionary",403226,"USD"
"ACM","AECOM","00766T100","B1VZ431",0.00367817206790669,"Industrials",968462,"USD"
"CCK","Crown Holdings Inc.","228368106","2427986",0.00367169190614089,"Materials",833714,"USD"
"COKE","Coca-Cola Consolidated Inc.","191098102","2206721",0.00366841655221572,"Consumer Staples",413626,"USD"
"FNF","Fidelity National Financial Inc. - FNF Group","31620R303","BNBRDD4",0.00366334731214077,"Financials",1863543,"USD"
"AR","Antero Resources Corporation","03674X106","BFD2WR8",0.00365704855459236,"Energy",2142959,"USD"
"LSCC","Lattice Semiconductor Corporation","518415104","2506658",0.00365487170398363,"Information Technology",1000196,"USD"
"CG","Carlyle Group Inc","14316J108","BKRTG56",0.00363613667953165,"Financials",1897464,"USD"
"LAMR","Lamar Advertising Company Class A","512816109","BSPHGN6",0.00359773945351657,"Real Estate",635154,"USD"
"WTRG","Essential Utilities Inc.","29670G102","BLCF3J9",0.00359323458211795,"Utilities",2069157,"USD"
"SNX","TD SYNNEX Corporation","87162W100","2002554",0.00359315395802133,"Information Technology",553796,"USD"
"AEIS","Advanced Energy Industries Inc.","007973100","2049175",0.00356978304801373,"Information Technology",275996,"USD"
"DT","Dynatrace Inc.","268150109","BJV2RD9",0.00354486012414619,"Information Technology",2204522,"USD"
"BMRN","BioMarin Pharmaceutical Inc.","09061G101","2437071",0.00350948630175435,"Health Care",1404766,"USD"
"ELAN","Elanco Animal Health Inc.","28414H103","BF5L3T2",0.00348494634234576,"Health Care",3633129,"USD"
"BWA","BorgWarner Inc.","099724106","2111955",0.00347265116761127,"Consumer Discretionary",1564271,"USD"
"TXRH","Texas Roadhouse Inc.","882681109","B033TJ7",0.00346605006970054,"Consumer Discretionary",483667,"USD"
"UNM","Unum Group","91529Y106","2433842",0.00346063817721495,"Financials",1125665,"USD"
