WeekEndingFriday,Ticker,AdjClosePrice_t+1,AdjClosePrice_t+1_Up,AdjClosePrice,AdjClosePrice_t-1,AdjClosePrice_t-2,WeeklyReturn_1W,WeeklyReturn_4W,Momentum_12W,Volatility_4W,Volatility_12W,Drawdown_12W,QuarterlyReleased,BookToMarket,MarketCap,FreeCashFlowYield,FreeCashFlowYield_TTM,EarningsYield,EarningsYield_TTM,BookToMarket_L1W,MarketCap_L1W,FreeCashFlowYield_L1W,FreeCashFlowYield_TTM_L1W,EarningsYield_L1W,EarningsYield_TTM_L1W,BookToMarket_L2W,MarketCap_L2W,FreeCashFlowYield_L2W,FreeCashFlowYield_TTM_L2W,EarningsYield_L2W,EarningsYield_TTM_L2W,GrossProfitability,GrossProfitability_TTM,OperatingMargin,OperatingMargin_TTM,ROA,ROA_TTM,AssetGrowth,InvestmentIntensity,Accruals,Accruals_TTM,DebtToAssets,WorkingCapitalScaled,GrossProfitability_L1Q,GrossProfitability_TTM_L1Q,OperatingMargin_L1Q,OperatingMargin_TTM_L1Q,ROA_L1Q,ROA_TTM_L1Q,AssetGrowth_L1Q,InvestmentIntensity_L1Q,Accruals_L1Q,Accruals_TTM_L1Q,DebtToAssets_L1Q,WorkingCapitalScaled_L1Q,GrossProfitability_L2Q,GrossProfitability_TTM_L2Q,OperatingMargin_L2Q,OperatingMargin_TTM_L2Q,ROA_L2Q,ROA_TTM_L2Q,AssetGrowth_L2Q,InvestmentIntensity_L2Q,Accruals_L2Q,Accruals_TTM_L2Q,DebtToAssets_L2Q,WorkingCapitalScaled_L2Q
2021-01-01,BA,209.8999938964844,0,214.05999755859372,217.1499938964844,219.75,-0.0142297786080695,-0.0801427038683596,0.2792684827358107,0.0169986716979376,0.082592844785414,-0.0801427038683596,0,-0.1272886276025186,92867683646.59546,-0.0547122508119784,-0.1961177374608469,-0.0048348357832273,-0.0480576216047746,-0.1254773386124097,94208246132.10992,-0.0539337075957748,-0.1933270254756635,-0.0047660371404256,-0.0473737722889082,-0.1239927340788709,95336231496.2806,-0.0532955825949364,-0.1910396468808456,-0.0047096470350573,-0.0468132621769732,0.0064739769690129,-0.0052338026060117,-0.0342998585572843,-0.1166916253887801,-0.0027843061868647,-0.0303751118733814,0.216164648033907,0.0016246953696181,0.0270989265848531,0.0753933065031222,0.3780145230402887,0.2400146346605813,-0.0071467164399037,0.008660374291416,-0.2503599559583298,-0.079068650263462,-0.0145881428360921,-0.0197002763434128,0.2899628547215688,0.002136647183064,0.0178299523552237,0.0698585392209833,0.3768542168082912,0.2320533916204135,0.0009994757994059,0.002757478616247,-0.0829144242710982,-0.0826719201768807,-0.0043893063078804,-0.0259339724404065,0.190218702426607,0.0029914380569631,0.0256788397693517,0.0427887471605801,0.2720740870172986,0.1153870347719727
2021-01-08,BA,204.32000732421875,0,209.8999938964844,214.05999755859372,217.1499938964844,-0.019433820935977,-0.0886988571708324,0.2542574618530286,0.0157083628199475,0.0832925081137035,-0.0980190458480338,0,-0.1298113582950811,91062909711.8686,-0.0557965917855771,-0.2000045908661122,-0.0049306572941791,-0.0490100746189787,-0.1272886276025186,92867683646.59546,-0.0547122508119784,-0.1961177374608469,-0.0048348357832273,-0.0480576216047746,-0.1254773386124097,94208246132.10992,-0.0539337075957748,-0.1933270254756635,-0.0047660371404256,-0.0473737722889082,0.0064739769690129,-0.0052338026060117,-0.0342998585572843,-0.1166916253887801,-0.0027843061868647,-0.0303751118733814,0.216164648033907,0.0016246953696181,0.0270989265848531,0.0753933065031222,0.3780145230402887,0.2400146346605813,-0.0071467164399037,0.008660374291416,-0.2503599559583298,-0.079068650263462,-0.0145881428360921,-0.0197002763434128,0.2899628547215688,0.002136647183064,0.0178299523552237,0.0698585392209833,0.3768542168082912,0.2320533916204135,0.0009994757994059,0.002757478616247,-0.0829144242710982,-0.0826719201768807,-0.0043893063078804,-0.0259339724404065,0.190218702426607,0.0029914380569631,0.0256788397693517,0.0427887471605801,0.2720740870172986,0.1153870347719727
2021-01-15,BA,205.83999633789065,1,204.32000732421875,209.8999938964844,214.05999755859372,-0.0265840244617514,-0.070216121391496,0.2208413395021291,0.0065320441208196,0.0842848243005329,-0.1219973295972436,0,-0.1333565110468854,88642091092.53,-0.0573203986658679,-0.205466723263423,-0.0050653137179639,-0.0503485414772227,-0.1298113582950811,91062909711.8686,-0.0557965917855771,-0.2000045908661122,-0.0049306572941791,-0.0490100746189787,-0.1272886276025186,92867683646.59546,-0.0547122508119784,-0.1961177374608469,-0.0048348357832273,-0.0480576216047746,0.0064739769690129,-0.0052338026060117,-0.0342998585572843,-0.1166916253887801,-0.0027843061868647,-0.0303751118733814,0.216164648033907,0.0016246953696181,0.0270989265848531,0.0753933065031222,0.3780145230402887,0.2400146346605813,-0.0071467164399037,0.008660374291416,-0.2503599559583298,-0.079068650263462,-0.0145881428360921,-0.0197002763434128,0.2899628547215688,0.002136647183064,0.0178299523552237,0.0698585392209833,0.3768542168082912,0.2320533916204135,0.0009994757994059,0.002757478616247,-0.0829144242710982,-0.0826719201768807,-0.0043893063078804,-0.0259339724404065,0.190218702426607,0.0029914380569631,0.0256788397693517,0.0427887471605801,0.2720740870172986,0.1153870347719727
2021-01-22,BA,194.19000244140625,0,205.83999633789065,204.32000732421875,209.8999938964844,0.0074392568480086,-0.0520838032534564,0.4255834698247642,0.0146632418422389,0.0686508816386855,-0.11546564221888,0,-0.132371763498794,89301522375.71191,-0.0568971263291914,-0.20394949061869,-0.005027909805512,-0.0499767515857472,-0.1333565110468854,88642091092.53,-0.0573203986658679,-0.205466723263423,-0.0050653137179639,-0.0503485414772227,-0.1298113582950811,91062909711.8686,-0.0557965917855771,-0.2000045908661122,-0.0049306572941791,-0.0490100746189787,0.0064739769690129,-0.0052338026060117,-0.0342998585572843,-0.1166916253887801,-0.0027843061868647,-0.0303751118733814,0.216164648033907,0.0016246953696181,0.0270989265848531,0.0753933065031222,0.3780145230402887,0.2400146346605813,-0.0071467164399037,0.008660374291416,-0.2503599559583298,-0.079068650263462,-0.0145881428360921,-0.0197002763434128,0.2899628547215688,0.002136647183064,0.0178299523552237,0.0698585392209833,0.3768542168082912,0.2320533916204135,0.0009994757994059,0.002757478616247,-0.0829144242710982,-0.0826719201768807,-0.0043893063078804,-0.0259339724404065,0.190218702426607,0.0029914380569631,0.0256788397693517,0.0427887471605801,0.2720740870172986,0.1153870347719727
2021-01-29,BA,207.92999267578125,1,194.19000244140625,205.83999633789065,204.32000732421875,-0.0565973285257966,-0.0928244199935046,0.231076427532024,0.0263209048329195,0.0701872575566238,-0.1655279238585726,0,-0.1403131107228517,84247294775.95996,-0.0603105418816352,-0.216184983131317,-0.0053295479836359,-0.0529749947683011,-0.132371763498794,89301522375.71191,-0.0568971263291914,-0.20394949061869,-0.005027909805512,-0.0499767515857472,-0.1333565110468854,88642091092.53,-0.0573203986658679,-0.205466723263423,-0.0050653137179639,-0.0503485414772227,0.0064739769690129,-0.0052338026060117,-0.0342998585572843,-0.1166916253887801,-0.0027843061868647,-0.0303751118733814,0.216164648033907,0.0016246953696181,0.0270989265848531,0.0753933065031222,0.3780145230402887,0.2400146346605813,-0.0071467164399037,0.008660374291416,-0.2503599559583298,-0.079068650263462,-0.0145881428360921,-0.0197002763434128,0.2899628547215688,0.002136647183064,0.0178299523552237,0.0698585392209833,0.3768542168082912,0.2320533916204135,0.0009994757994059,0.002757478616247,-0.0829144242710982,-0.0826719201768807,-0.0043893063078804,-0.0259339724404065,0.190218702426607,0.0029914380569631,0.0256788397693517,0.0427887471605801,0.2720740870172986,0.1153870347719727
2021-02-05,BA,210.97999572753903,1,207.92999267578125,194.19000244140625,205.83999633789065,0.0707553945189367,-0.0093854277179,0.1112714018358986,0.0546669295234262,0.0503983556355168,-0.1064845228961497,1,-0.1488746135638293,123029706419.0,-0.0347395773297557,-0.1602295947359558,-0.0684387555256302,-0.0965051477857253,-0.1403131107228517,84247294775.95996,-0.0603105418816352,-0.216184983131317,-0.0053295479836359,-0.0529749947683011,-0.132371763498794,89301522375.71191,-0.0568971263291914,-0.20394949061869,-0.005027909805512,-0.0499767515857472,0.0055016564126833,0.0060190158909018,-0.1034302515517804,-0.110486408418012,-0.05534521743703,-0.0830974135728808,0.1385294667913938,0.0017418625440395,-0.0289937950255034,0.0429681337750433,0.4196968501866751,0.2258637008991954,0.0064739769690129,-0.0052338026060117,-0.0342998585572843,-0.1166916253887801,-0.0027843061868647,-0.0303751118733814,0.216164648033907,0.0016246953696181,0.0270989265848531,0.0753933065031222,0.3780145230402887,0.2400146346605813,-0.0071467164399037,0.008660374291416,-0.2503599559583298,-0.079068650263462,-0.0145881428360921,-0.0197002763434128,0.2899628547215688,0.002136647183064,0.0178299523552237,0.0698585392209833,0.3768542168082912,0.2320533916204135
2021-02-12,BA,217.47000122070312,1,210.97999572753903,207.92999267578125,194.19000244140625,0.0146684132121024,0.0325958700302517,0.0569081298879035,0.0521257691726716,0.047192778801573,-0.0933780686665814,0,-0.1467224283572028,124834356990.11754,-0.0342373694474058,-0.1579132578186033,-0.0674493801467377,-0.0951100344990756,-0.1488746135638293,123029706419.0,-0.0347395773297557,-0.1602295947359558,-0.0684387555256302,-0.0965051477857253,-0.1403131107228517,84247294775.95996,-0.0603105418816352,-0.216184983131317,-0.0053295479836359,-0.0529749947683011,0.0055016564126833,0.0060190158909018,-0.1034302515517804,-0.110486408418012,-0.05534521743703,-0.0830974135728808,0.1385294667913938,0.0017418625440395,-0.0289937950255034,0.0429681337750433,0.4196968501866751,0.2258637008991954,0.0064739769690129,-0.0052338026060117,-0.0342998585572843,-0.1166916253887801,-0.0027843061868647,-0.0303751118733814,0.216164648033907,0.0016246953696181,0.0270989265848531,0.0753933065031222,0.3780145230402887,0.2400146346605813,-0.0071467164399037,0.008660374291416,-0.2503599559583298,-0.079068650263462,-0.0145881428360921,-0.0197002763434128,0.2899628547215688,0.002136647183064,0.0178299523552237,0.0698585392209833,0.3768542168082912,0.2320533916204135
2021-02-19,BA,212.00999450683597,0,217.47000122070312,210.97999572753903,207.92999267578125,0.0307612362526792,0.0565002190522856,0.004480375153363,0.0531768292064877,0.0411849049788486,-0.0654892572449739,0,-0.1423437583766833,128674416137.94183,-0.0332156160352666,-0.1532006174317296,-0.0654364733310588,-0.0922716446389147,-0.1467224283572028,124834356990.11754,-0.0342373694474058,-0.1579132578186033,-0.0674493801467377,-0.0951100344990756,-0.1488746135638293,123029706419.0,-0.0347395773297557,-0.1602295947359558,-0.0684387555256302,-0.0965051477857253,0.0055016564126833,0.0060190158909018,-0.1034302515517804,-0.110486408418012,-0.05534521743703,-0.0830974135728808,0.1385294667913938,0.0017418625440395,-0.0289937950255034,0.0429681337750433,0.4196968501866751,0.2258637008991954,0.0064739769690129,-0.0052338026060117,-0.0342998585572843,-0.1166916253887801,-0.0027843061868647,-0.0303751118733814,0.216164648033907,0.0016246953696181,0.0270989265848531,0.0753933065031222,0.3780145230402887,0.2400146346605813,-0.0071467164399037,0.008660374291416,-0.2503599559583298,-0.079068650263462,-0.0145881428360921,-0.0197002763434128,0.2899628547215688,0.002136647183064,0.0178299523552237,0.0698585392209833,0.3768542168082912,0.2320533916204135
2021-02-26,BA,223.22000122070312,1,212.00999450683597,217.47000122070312,210.97999572753903,-0.0251069420297929,0.0917657543714516,-0.0889519642895431,0.0396833097984928,0.0344794546268233,-0.0795380852627976,0,-0.146009613272919,125443795031.2491,-0.0340710355497082,-0.1571460748225077,-0.0671216938063975,-0.0946479656251019,-0.1423437583766833,128674416137.94183,-0.0332156160352666,-0.1532006174317296,-0.0654364733310588,-0.0922716446389147,-0.1467224283572028,124834356990.11754,-0.0342373694474058,-0.1579132578186033,-0.0674493801467377,-0.0951100344990756,0.0055016564126833,0.0060190158909018,-0.1034302515517804,-0.110486408418012,-0.05534521743703,-0.0830974135728808,0.1385294667913938,0.0017418625440395,-0.0289937950255034,0.0429681337750433,0.4196968501866751,0.2258637008991954,0.0064739769690129,-0.0052338026060117,-0.0342998585572843,-0.1166916253887801,-0.0027843061868647,-0.0303751118733814,0.216164648033907,0.0016246953696181,0.0270989265848531,0.0753933065031222,0.3780145230402887,0.2400146346605813,-0.0071467164399037,0.008660374291416,-0.2503599559583298,-0.079068650263462,-0.0145881428360921,-0.0197002763434128,0.2899628547215688,0.002136647183064,0.0178299523552237,0.0698585392209833,0.3768542168082912,0.2320533916204135
2021-03-05,BA,269.19000244140625,1,223.22000122070312,212.00999450683597,217.47000122070312,0.0528748974308648,0.0735344062112439,-0.0308687559320504,0.0329041890891396,0.0385467021817551,0.0,0,-0.1386770770479941,132076622826.86484,-0.0323600036745537,-0.1492542705747493,-0.0637508729386389,-0.0898947879335463,-0.146009613272919,125443795031.2491,-0.0340710355497082,-0.1571460748225077,-0.0671216938063975,-0.0946479656251019,-0.1423437583766833,128674416137.94183,-0.0332156160352666,-0.1532006174317296,-0.0654364733310588,-0.0922716446389147,0.0055016564126833,0.0060190158909018,-0.1034302515517804,-0.110486408418012,-0.05534521743703,-0.0830974135728808,0.1385294667913938,0.0017418625440395,-0.0289937950255034,0.0429681337750433,0.4196968501866751,0.2258637008991954,0.0064739769690129,-0.0052338026060117,-0.0342998585572843,-0.1166916253887801,-0.0027843061868647,-0.0303751118733814,0.216164648033907,0.0016246953696181,0.0270989265848531,0.0753933065031222,0.3780145230402887,0.2400146346605813,-0.0071467164399037,0.008660374291416,-0.2503599559583298,-0.079068650263462,-0.0145881428360921,-0.0197002763434128,0.2899628547215688,0.002136647183064,0.0178299523552237,0.0698585392209833,0.3768542168082912,0.2320533916204135
