WeekEndingFriday,Ticker,AdjClosePrice_t+1,AdjClosePrice_t+1_Up,AdjClosePrice,AdjClosePrice_t-1,AdjClosePrice_t-2,WeeklyReturn_1W,WeeklyReturn_4W,Momentum_12W,Volatility_4W,Volatility_12W,Drawdown_12W,company_name,QuarterlyReleased,BookToMarket,MarketCap,FreeCashFlowYield,FreeCashFlowYield_TTM,EarningsYield,EarningsYield_TTM,BookToMarket_L1W,MarketCap_L1W,FreeCashFlowYield_L1W,FreeCashFlowYield_TTM_L1W,EarningsYield_L1W,EarningsYield_TTM_L1W,BookToMarket_L2W,MarketCap_L2W,FreeCashFlowYield_L2W,FreeCashFlowYield_TTM_L2W,EarningsYield_L2W,EarningsYield_TTM_L2W,GrossProfitability,GrossProfitability_TTM,OperatingMargin,OperatingMargin_TTM,ROA,ROA_TTM,AssetGrowth,InvestmentIntensity,Accruals,Accruals_TTM,DebtToAssets,WorkingCapitalScaled,GrossProfitability_L1Q,GrossProfitability_TTM_L1Q,OperatingMargin_L1Q,OperatingMargin_TTM_L1Q,ROA_L1Q,ROA_TTM_L1Q,AssetGrowth_L1Q,InvestmentIntensity_L1Q,Accruals_L1Q,Accruals_TTM_L1Q,DebtToAssets_L1Q,WorkingCapitalScaled_L1Q,GrossProfitability_L2Q,GrossProfitability_TTM_L2Q,OperatingMargin_L2Q,OperatingMargin_TTM_L2Q,ROA_L2Q,ROA_TTM_L2Q,AssetGrowth_L2Q,InvestmentIntensity_L2Q,Accruals_L2Q,Accruals_TTM_L2Q,DebtToAssets_L2Q,WorkingCapitalScaled_L2Q
2021-01-01,DUK,73.39900970458984,0,74.62979888916016,73.08926391601562,73.61906433105469,0.0210774454496451,0.0044983236928213,-0.0088202127020344,0.0151234117394683,0.0195943644030691,-0.0360073805196342,Duke Energy Corporation,0,0.7302555815829642,62999860816.227486,0.0175238482386556,-0.0175873404424189,0.0206984584268179,0.033555629688875,0.7456473807539511,61699405358.98036,0.0178932032420197,-0.0179580336885488,0.0211347255684726,0.0342628909906067,0.7402812167050661,62146653139.15314,0.0177644321010823,-0.0178287959855065,0.0209826263222928,0.0340163129181956,0.020946787353865,0.0731424465691434,0.2699003124535039,0.2309663552947011,0.0080788555780656,0.0133238373155682,0.0352238691098469,0.014280492413682,-0.0130414041348375,-0.0447558686318606,0.4059377110322225,-0.0496502673332961,0.0166199101525157,0.0743481617107605,0.217118612802066,0.2336050464916233,-0.0050109653918487,0.0137289552086456,0.0430110329816421,0.0141894044948734,-0.0162762653937231,-0.0397253341164268,0.4127548438290773,-0.0465669888596617,0.0185166674996251,0.0752936942495051,0.2501260716086737,0.2342248139955761,0.0058598630616222,0.0243309940618493,0.0591255557908109,0.0176920385826378,-0.0038482682792743,-0.029599180368834,0.4112836723474437,-0.031167224748863
2021-01-08,DUK,75.07807922363281,1,73.39900970458984,74.62979888916016,73.08926391601562,-0.0164919268561647,-0.0162771181772605,-0.0153516450303867,0.0171479074674652,0.0199660640603241,-0.051905476289987,Duke Energy Corporation,0,0.7425007995663859,61960876037.93438,0.0178176951424007,-0.0178822520088587,0.0210455384652994,0.0341183039230391,0.7302555815829642,62999860816.227486,0.0175238482386556,-0.0175873404424189,0.0206984584268179,0.033555629688875,0.7456473807539511,61699405358.98036,0.0178932032420197,-0.0179580336885488,0.0211347255684726,0.0342628909906067,0.020946787353865,0.0731424465691434,0.2699003124535039,0.2309663552947011,0.0080788555780656,0.0133238373155682,0.0352238691098469,0.014280492413682,-0.0130414041348375,-0.0447558686318606,0.4059377110322225,-0.0496502673332961,0.0166199101525157,0.0743481617107605,0.217118612802066,0.2336050464916233,-0.0050109653918487,0.0137289552086456,0.0430110329816421,0.0141894044948734,-0.0162762653937231,-0.0397253341164268,0.4127548438290773,-0.0465669888596617,0.0185166674996251,0.0752936942495051,0.2501260716086737,0.2342248139955761,0.0058598630616222,0.0243309940618493,0.0591255557908109,0.0176920385826378,-0.0038482682792743,-0.029599180368834,0.4112836723474437,-0.031167224748863
2021-01-15,DUK,73.59463500976562,0,75.07807922363281,73.39900970458984,74.62979888916016,0.0228759151628985,0.0198184384145001,0.002722154116006,0.0199053832967077,0.0211081703673547,-0.030216946399188,Duke Energy Corporation,0,0.7258951126244105,63378302457.04413,0.0174192106320338,-0.0174823237140339,0.0205748647320399,0.0333552638370648,0.7425007995663859,61960876037.93438,0.0178176951424007,-0.0178822520088587,0.0210455384652994,0.0341183039230391,0.7302555815829642,62999860816.227486,0.0175238482386556,-0.0175873404424189,0.0206984584268179,0.033555629688875,0.020946787353865,0.0731424465691434,0.2699003124535039,0.2309663552947011,0.0080788555780656,0.0133238373155682,0.0352238691098469,0.014280492413682,-0.0130414041348375,-0.0447558686318606,0.4059377110322225,-0.0496502673332961,0.0166199101525157,0.0743481617107605,0.217118612802066,0.2336050464916233,-0.0050109653918487,0.0137289552086456,0.0430110329816421,0.0141894044948734,-0.0162762653937231,-0.0397253341164268,0.4127548438290773,-0.0465669888596617,0.0185166674996251,0.0752936942495051,0.2501260716086737,0.2342248139955761,0.0058598630616222,0.0243309940618493,0.0591255557908109,0.0176920385826378,-0.0038482682792743,-0.029599180368834,0.4112836723474437,-0.031167224748863
2021-01-22,DUK,76.61859893798828,1,73.59463500976562,75.07807922363281,73.39900970458984,-0.019758686279766,0.006914436767768,-0.0099406263830373,0.0232028910302293,0.0218196716546037,-0.04937858551472,Duke Energy Corporation,0,0.7405271745366352,62126011822.3035,0.0177703343191854,-0.0178347195884578,0.0209895977828059,0.0340276148104692,0.7258951126244105,63378302457.04413,0.0174192106320338,-0.0174823237140339,0.0205748647320399,0.0333552638370648,0.7425007995663859,61960876037.93438,0.0178176951424007,-0.0178822520088587,0.0210455384652994,0.0341183039230391,0.020946787353865,0.0731424465691434,0.2699003124535039,0.2309663552947011,0.0080788555780656,0.0133238373155682,0.0352238691098469,0.014280492413682,-0.0130414041348375,-0.0447558686318606,0.4059377110322225,-0.0496502673332961,0.0166199101525157,0.0743481617107605,0.217118612802066,0.2336050464916233,-0.0050109653918487,0.0137289552086456,0.0430110329816421,0.0141894044948734,-0.0162762653937231,-0.0397253341164268,0.4127548438290773,-0.0465669888596617,0.0185166674996251,0.0752936942495051,0.2501260716086737,0.2342248139955761,0.0058598630616222,0.0243309940618493,0.0591255557908109,0.0176920385826378,-0.0038482682792743,-0.029599180368834,0.4112836723474437,-0.031167224748863
2021-01-29,DUK,77.22178649902344,1,76.61859893798828,73.59463500976562,75.07807922363281,0.041089461586723,0.0266488732172771,0.0160690330402557,0.029899908876213,0.0246621421057202,-0.0103180634207109,Duke Energy Corporation,0,0.7112999922009113,64678757914.29125,0.0170689734249838,-0.017130817531596,0.0201611787555968,0.0326846103445795,0.7405271745366352,62126011822.3035,0.0177703343191854,-0.0178347195884578,0.0209895977828059,0.0340276148104692,0.7258951126244105,63378302457.04413,0.0174192106320338,-0.0174823237140339,0.0205748647320399,0.0333552638370648,0.020946787353865,0.0731424465691434,0.2699003124535039,0.2309663552947011,0.0080788555780656,0.0133238373155682,0.0352238691098469,0.014280492413682,-0.0130414041348375,-0.0447558686318606,0.4059377110322225,-0.0496502673332961,0.0166199101525157,0.0743481617107605,0.217118612802066,0.2336050464916233,-0.0050109653918487,0.0137289552086456,0.0430110329816421,0.0141894044948734,-0.0162762653937231,-0.0397253341164268,0.4127548438290773,-0.0465669888596617,0.0185166674996251,0.0752936942495051,0.2501260716086737,0.2342248139955761,0.0058598630616222,0.0243309940618493,0.0591255557908109,0.0176920385826378,-0.0038482682792743,-0.029599180368834,0.4112836723474437,-0.031167224748863
2021-02-05,DUK,73.97338104248047,0,77.22178649902344,76.61859893798828,73.59463500976562,0.0078725997263842,0.052082130396843,-0.0025266936775893,0.0257291776079542,0.0234956996452853,0.0,Duke Energy Corporation,0,0.7057441500371315,65187929645.01296,0.0169356506029864,-0.0169970116558957,0.0200037032484549,0.0324293164626026,0.7112999922009113,64678757914.29125,0.0170689734249838,-0.017130817531596,0.0201611787555968,0.0326846103445795,0.7405271745366352,62126011822.3035,0.0177703343191854,-0.0178347195884578,0.0209895977828059,0.0340276148104692,0.020946787353865,0.0731424465691434,0.2699003124535039,0.2309663552947011,0.0080788555780656,0.0133238373155682,0.0352238691098469,0.014280492413682,-0.0130414041348375,-0.0447558686318606,0.4059377110322225,-0.0496502673332961,0.0166199101525157,0.0743481617107605,0.217118612802066,0.2336050464916233,-0.0050109653918487,0.0137289552086456,0.0430110329816421,0.0141894044948734,-0.0162762653937231,-0.0397253341164268,0.4127548438290773,-0.0465669888596617,0.0185166674996251,0.0752936942495051,0.2501260716086737,0.2342248139955761,0.0058598630616222,0.0243309940618493,0.0591255557908109,0.0176920385826378,-0.0038482682792743,-0.029599180368834,0.4112836723474437,-0.031167224748863
2021-02-12,DUK,72.82862091064453,0,73.97338104248047,77.22178649902344,76.61859893798828,-0.0420659195262731,-0.014713990988792,-0.0197164025623275,0.0359115008798183,0.0255511573339386,-0.0420659195262731,Duke Energy Corporation,0,0.74440213197572,61802617192.80052,0.0178633211690039,-0.0179280433471525,0.0210994300764321,0.0342056711515165,0.7057441500371315,65187929645.01296,0.0169356506029864,-0.0169970116558957,0.0200037032484549,0.0324293164626026,0.7112999922009113,64678757914.29125,0.0170689734249838,-0.017130817531596,0.0201611787555968,0.0326846103445795,0.020946787353865,0.0731424465691434,0.2699003124535039,0.2309663552947011,0.0080788555780656,0.0133238373155682,0.0352238691098469,0.014280492413682,-0.0130414041348375,-0.0447558686318606,0.4059377110322225,-0.0496502673332961,0.0166199101525157,0.0743481617107605,0.217118612802066,0.2336050464916233,-0.0050109653918487,0.0137289552086456,0.0430110329816421,0.0141894044948734,-0.0162762653937231,-0.0397253341164268,0.4127548438290773,-0.0465669888596617,0.0185166674996251,0.0752936942495051,0.2501260716086737,0.2342248139955761,0.0058598630616222,0.0243309940618493,0.0591255557908109,0.0176920385826378,-0.0038482682792743,-0.029599180368834,0.4112836723474437,-0.031167224748863
2021-02-19,DUK,70.48965454101562,0,72.82862091064453,73.97338104248047,77.22178649902344,-0.0154752982181325,-0.0104085589801409,-0.0554943252737923,0.0353126400372515,0.0247307560094542,-0.0568902350949166,Duke Energy Corporation,0,0.7561031215214441,60846197681.90602,0.0181441082936937,-0.0182098478164969,0.0214310844338556,0.0347433378015113,0.74440213197572,61802617192.80052,0.0178633211690039,-0.0179280433471525,0.0210994300764321,0.0342056711515165,0.7057441500371315,65187929645.01296,0.0169356506029864,-0.0169970116558957,0.0200037032484549,0.0324293164626026,0.020946787353865,0.0731424465691434,0.2699003124535039,0.2309663552947011,0.0080788555780656,0.0133238373155682,0.0352238691098469,0.014280492413682,-0.0130414041348375,-0.0447558686318606,0.4059377110322225,-0.0496502673332961,0.0166199101525157,0.0743481617107605,0.217118612802066,0.2336050464916233,-0.0050109653918487,0.0137289552086456,0.0430110329816421,0.0141894044948734,-0.0162762653937231,-0.0397253341164268,0.4127548438290773,-0.0465669888596617,0.0185166674996251,0.0752936942495051,0.2501260716086737,0.2342248139955761,0.0058598630616222,0.0243309940618493,0.0591255557908109,0.0176920385826378,-0.0038482682792743,-0.029599180368834,0.4112836723474437,-0.031167224748863
2021-02-26,DUK,72.91097259521484,1,70.48965454101562,72.82862091064453,73.97338104248047,-0.0321160326858125,-0.0799929061863053,-0.0512269779890721,0.0218346937217816,0.0242457945678542,-0.0871791791309172,Duke Energy Corporation,1,0.6956881952313072,68944680000.0,-0.0059322923828205,-0.0152441058541427,-0.0009137760883073,0.0199725345015743,0.7561031215214441,60846197681.90602,0.0181441082936937,-0.0182098478164969,0.0214310844338556,0.0347433378015113,0.74440213197572,61802617192.80052,0.0178633211690039,-0.0179280433471525,0.0210994300764321,0.0342056711515165,0.0157893440402,0.0720302839745226,0.0128094166522416,0.190757499581029,-0.0003879597014557,0.0085734031491846,0.0223498155353253,0.0153890681577456,-0.0132583688449885,-0.0460563588442495,0.3945858068330172,-0.0469431238761484,0.020946787353865,0.0731424465691434,0.2699003124535039,0.2309663552947011,0.0080788555780656,0.0133238373155682,0.0352238691098469,0.014280492413682,-0.0130414041348375,-0.0447558686318606,0.4059377110322225,-0.0496502673332961,0.0166199101525157,0.0743481617107605,0.217118612802066,0.2336050464916233,-0.0050109653918487,0.0137289552086456,0.0430110329816421,0.0141894044948734,-0.0162762653937231,-0.0397253341164268,0.4127548438290773,-0.0465669888596617
2021-03-05,DUK,75.27462005615234,1,72.91097259521484,70.48965454101562,72.82862091064453,0.0343499775955113,-0.055823804385348,-0.0228179866931036,0.0339394723476768,0.0266278592794924,-0.055823804385348,Duke Energy Corporation,0,0.6725850096372747,71312918534.8139,-0.0057352862342933,-0.014737862670519,-0.0008834303979473,0.0193092644122785,0.6956881952313072,68944680000.0,-0.0059322923828205,-0.0152441058541427,-0.0009137760883073,0.0199725345015743,0.7561031215214441,60846197681.90602,0.0181441082936937,-0.0182098478164969,0.0214310844338556,0.0347433378015113,0.0157893440402,0.0720302839745226,0.0128094166522416,0.190757499581029,-0.0003879597014557,0.0085734031491846,0.0223498155353253,0.0153890681577456,-0.0132583688449885,-0.0460563588442495,0.3945858068330172,-0.0469431238761484,0.020946787353865,0.0731424465691434,0.2699003124535039,0.2309663552947011,0.0080788555780656,0.0133238373155682,0.0352238691098469,0.014280492413682,-0.0130414041348375,-0.0447558686318606,0.4059377110322225,-0.0496502673332961,0.0166199101525157,0.0743481617107605,0.217118612802066,0.2336050464916233,-0.0050109653918487,0.0137289552086456,0.0430110329816421,0.0141894044948734,-0.0162762653937231,-0.0397253341164268,0.4127548438290773,-0.0465669888596617
