WeekEndingFriday,Ticker,AdjClosePrice_t+1,AdjClosePrice_t+1_Up,AdjClosePrice,AdjClosePrice_t-1,AdjClosePrice_t-2,WeeklyReturn_1W,WeeklyReturn_4W,Momentum_12W,Volatility_4W,Volatility_12W,Drawdown_12W,QuarterlyReleased,BookToMarket,MarketCap,FreeCashFlowYield,FreeCashFlowYield_TTM,EarningsYield,EarningsYield_TTM,BookToMarket_L1W,MarketCap_L1W,FreeCashFlowYield_L1W,FreeCashFlowYield_TTM_L1W,EarningsYield_L1W,EarningsYield_TTM_L1W,BookToMarket_L2W,MarketCap_L2W,FreeCashFlowYield_L2W,FreeCashFlowYield_TTM_L2W,EarningsYield_L2W,EarningsYield_TTM_L2W,GrossProfitability,GrossProfitability_TTM,OperatingMargin,OperatingMargin_TTM,ROA,ROA_TTM,AssetGrowth,InvestmentIntensity,Accruals,Accruals_TTM,DebtToAssets,WorkingCapitalScaled,GrossProfitability_L1Q,GrossProfitability_TTM_L1Q,OperatingMargin_L1Q,OperatingMargin_TTM_L1Q,ROA_L1Q,ROA_TTM_L1Q,AssetGrowth_L1Q,InvestmentIntensity_L1Q,Accruals_L1Q,Accruals_TTM_L1Q,DebtToAssets_L1Q,WorkingCapitalScaled_L1Q,GrossProfitability_L2Q,GrossProfitability_TTM_L2Q,OperatingMargin_L2Q,OperatingMargin_TTM_L2Q,ROA_L2Q,ROA_TTM_L2Q,AssetGrowth_L2Q,InvestmentIntensity_L2Q,Accruals_L2Q,Accruals_TTM_L2Q,DebtToAssets_L2Q,WorkingCapitalScaled_L2Q,SectorCode
2021-01-01,VZ,42.55709838867188,0,42.79839324951172,42.863956451416016,44.04409790039063,-0.0015295648682969,-0.0454913838208957,-0.0097759032044189,0.0138415130558792,0.021452227515412,-0.0454913838208957,0,0.2724276810037405,238848709353.82883,0.0184886910712093,0.0800046190397958,0.0182416727801763,0.0766510317327218,0.2720109826217567,239214605869.35675,0.0184604112443356,0.0798822460298936,0.0182137707861346,0.0765337882838083,0.2647225686624297,245800727640.16965,0.0179657726907327,0.0777418365822491,0.0177257408545114,0.0744830992803295,0.0505633110433207,0.2053280033822045,0.2434137526551057,0.2324595910418695,0.0146703300403375,0.0629282536103487,0.042541465555068,0.0151652895344687,-0.0153639467463989,-0.0779881075038552,0.4619924981649461,0.0080371994047017,0.0495023170644379,0.2086031990034127,0.2417643774427694,0.2359203243759924,0.0160267886066582,0.0664333662406071,0.0358555745510547,0.0210291926249492,-0.0341950289675679,-0.0829198762868317,0.4578512509420001,-0.0052956601502426,0.051490662139219,0.2099310740655583,0.2459348307497627,0.2367263037685573,0.0141120543293718,0.0635805873312507,0.0371653864981845,0.0186213921901528,-0.0158505942275042,-0.064855687606112,0.4726112054329371,-0.001195246179966,2
2021-01-08,VZ,42.247859954833984,0,42.55709838867188,42.79839324951172,42.863956451416016,-0.0056379420468687,-0.0320005629554327,0.0063528000084434,0.0128732128401867,0.0205088822481768,-0.0508728480821504,0,0.2769053022531441,234986471802.96515,0.0187925711898121,0.081319574924393,0.0185414929062525,0.0779108680577627,0.2724276810037405,238848709353.82883,0.0184886910712093,0.0800046190397958,0.0182416727801763,0.0766510317327218,0.2720109826217567,239214605869.35675,0.0184604112443356,0.0798822460298936,0.0182137707861346,0.0765337882838083,0.0505633110433207,0.2053280033822045,0.2434137526551057,0.2324595910418695,0.0146703300403375,0.0629282536103487,0.042541465555068,0.0151652895344687,-0.0153639467463989,-0.0779881075038552,0.4619924981649461,0.0080371994047017,0.0495023170644379,0.2086031990034127,0.2417643774427694,0.2359203243759924,0.0160267886066582,0.0664333662406071,0.0358555745510547,0.0210291926249492,-0.0341950289675679,-0.0829198762868317,0.4578512509420001,-0.0052956601502426,0.051490662139219,0.2099310740655583,0.2459348307497627,0.2367263037685573,0.0141120543293718,0.0635805873312507,0.0371653864981845,0.0186213921901528,-0.0158505942275042,-0.064855687606112,0.4726112054329371,-0.001195246179966,2
2021-01-15,VZ,42.31412506103516,1,42.247859954833984,42.55709838867188,42.79839324951172,-0.0072664360481917,-0.0407827162136226,0.0005913188787112,0.0112535557843304,0.0206323909085039,-0.0577696198331638,0,0.2789321359539576,233278965069.628,0.0189301251344369,0.081914800995008,0.0186772090604034,0.0784811437865197,0.2769053022531441,234986471802.96515,0.0187925711898121,0.081319574924393,0.0185414929062525,0.0779108680577627,0.2724276810037405,238848709353.82883,0.0184886910712093,0.0800046190397958,0.0182416727801763,0.0766510317327218,0.0505633110433207,0.2053280033822045,0.2434137526551057,0.2324595910418695,0.0146703300403375,0.0629282536103487,0.042541465555068,0.0151652895344687,-0.0153639467463989,-0.0779881075038552,0.4619924981649461,0.0080371994047017,0.0495023170644379,0.2086031990034127,0.2417643774427694,0.2359203243759924,0.0160267886066582,0.0664333662406071,0.0358555745510547,0.0210291926249492,-0.0341950289675679,-0.0829198762868317,0.4578512509420001,-0.0052956601502426,0.051490662139219,0.2099310740655583,0.2459348307497627,0.2367263037685573,0.0141120543293718,0.0635805873312507,0.0371653864981845,0.0186213921901528,-0.0158505942275042,-0.064855687606112,0.4726112054329371,-0.001195246179966,2
2021-01-22,VZ,40.31143569946289,0,42.31412506103516,42.247859954833984,42.55709838867188,0.0015684843273011,-0.0128273597656357,0.0192178965806233,0.0040002995162283,0.0199276697014087,-0.0562917462491652,0,0.2784953178877614,233644861585.15588,0.0189004798566499,0.0817865193796928,0.0186479598585651,0.0783582394056945,0.2789321359539576,233278965069.628,0.0189301251344369,0.081914800995008,0.0186772090604034,0.0784811437865197,0.2769053022531441,234986471802.96515,0.0187925711898121,0.081319574924393,0.0185414929062525,0.0779108680577627,0.0505633110433207,0.2053280033822045,0.2434137526551057,0.2324595910418695,0.0146703300403375,0.0629282536103487,0.042541465555068,0.0151652895344687,-0.0153639467463989,-0.0779881075038552,0.4619924981649461,0.0080371994047017,0.0495023170644379,0.2086031990034127,0.2417643774427694,0.2359203243759924,0.0160267886066582,0.0664333662406071,0.0358555745510547,0.0210291926249492,-0.0341950289675679,-0.0829198762868317,0.4578512509420001,-0.0052956601502426,0.051490662139219,0.2099310740655583,0.2459348307497627,0.2367263037685573,0.0141120543293718,0.0635805873312507,0.0371653864981845,0.0186213921901528,-0.0158505942275042,-0.064855687606112,0.4726112054329371,-0.001195246179966,2
2021-01-29,VZ,40.73112106323242,1,40.31143569946289,42.31412506103516,42.247859954833984,-0.0473290977583378,-0.0581086662658113,-0.054568314129431,0.0221110516362318,0.0227242400673443,-0.1009566064462886,0,0.2923310732231918,222586669568.03625,0.0198394630216172,0.085849705362338,0.0195743977321527,0.082251107110455,0.2784953178877614,233644861585.15588,0.0189004798566499,0.0817865193796928,0.0186479598585651,0.0783582394056945,0.2789321359539576,233278965069.628,0.0189301251344369,0.081914800995008,0.0186772090604034,0.0784811437865197,0.0505633110433207,0.2053280033822045,0.2434137526551057,0.2324595910418695,0.0146703300403375,0.0629282536103487,0.042541465555068,0.0151652895344687,-0.0153639467463989,-0.0779881075038552,0.4619924981649461,0.0080371994047017,0.0495023170644379,0.2086031990034127,0.2417643774427694,0.2359203243759924,0.0160267886066582,0.0664333662406071,0.0358555745510547,0.0210291926249492,-0.0341950289675679,-0.0829198762868317,0.4578512509420001,-0.0052956601502426,0.051490662139219,0.2099310740655583,0.2459348307497627,0.2367263037685573,0.0141120543293718,0.0635805873312507,0.0371653864981845,0.0186213921901528,-0.0158505942275042,-0.064855687606112,0.4726112054329371,-0.001195246179966,2
2021-02-05,VZ,39.90648651123047,0,40.73112106323242,40.31143569946289,42.31412506103516,0.0104110745868355,-0.0429065278079556,-0.0843068426789058,0.0254929066970346,0.0179390131489957,-0.0915965986191993,0,0.2893189867545715,224904008996.8165,0.0196350435001027,0.0849651372833931,0.0193727093591367,0.0814036178441761,0.2923310732231918,222586669568.03625,0.0198394630216172,0.085849705362338,0.0195743977321527,0.082251107110455,0.2784953178877614,233644861585.15588,0.0189004798566499,0.0817865193796928,0.0186479598585651,0.0783582394056945,0.0505633110433207,0.2053280033822045,0.2434137526551057,0.2324595910418695,0.0146703300403375,0.0629282536103487,0.042541465555068,0.0151652895344687,-0.0153639467463989,-0.0779881075038552,0.4619924981649461,0.0080371994047017,0.0495023170644379,0.2086031990034127,0.2417643774427694,0.2359203243759924,0.0160267886066582,0.0664333662406071,0.0358555745510547,0.0210291926249492,-0.0341950289675679,-0.0829198762868317,0.4578512509420001,-0.0052956601502426,0.051490662139219,0.2099310740655583,0.2459348307497627,0.2367263037685573,0.0141120543293718,0.0635805873312507,0.0371653864981845,0.0186213921901528,-0.0158505942275042,-0.064855687606112,0.4726112054329371,-0.001195246179966,2
2021-02-12,VZ,41.56311798095703,1,39.90648651123047,40.73112106323242,40.31143569946289,-0.0202458103404952,-0.0554199300534183,-0.0876042425361441,0.0257428063437611,0.0181382545395274,-0.1099879615962158,0,0.2952975282965981,220350642199.2277,0.0200407857037572,0.0867208727384729,0.019773030641139,0.0830857573968267,0.2893189867545715,224904008996.8165,0.0196350435001027,0.0849651372833931,0.0193727093591367,0.0814036178441761,0.2923310732231918,222586669568.03625,0.0198394630216172,0.085849705362338,0.0195743977321527,0.082251107110455,0.0505633110433207,0.2053280033822045,0.2434137526551057,0.2324595910418695,0.0146703300403375,0.0629282536103487,0.042541465555068,0.0151652895344687,-0.0153639467463989,-0.0779881075038552,0.4619924981649461,0.0080371994047017,0.0495023170644379,0.2086031990034127,0.2417643774427694,0.2359203243759924,0.0160267886066582,0.0664333662406071,0.0358555745510547,0.0210291926249492,-0.0341950289675679,-0.0829198762868317,0.4578512509420001,-0.0052956601502426,0.051490662139219,0.2099310740655583,0.2459348307497627,0.2367263037685573,0.0141120543293718,0.0635805873312507,0.0371653864981845,0.0186213921901528,-0.0158505942275042,-0.064855687606112,0.4726112054329371,-0.001195246179966,2
2021-02-19,VZ,40.71639251708984,0,41.56311798095703,39.90648651123047,40.73112106323242,0.0415128369985755,-0.0177483778524275,-0.0581988784675767,0.0383857786934986,0.0226801481706141,-0.0730410369191895,0,0.2835274763977937,229498039578.736,0.019241994433181,0.083264327813328,0.0189849116271217,0.0797741019208963,0.2952975282965981,220350642199.2277,0.0200407857037572,0.0867208727384729,0.019773030641139,0.0830857573968267,0.2893189867545715,224904008996.8165,0.0196350435001027,0.0849651372833931,0.0193727093591367,0.0814036178441761,0.0505633110433207,0.2053280033822045,0.2434137526551057,0.2324595910418695,0.0146703300403375,0.0629282536103487,0.042541465555068,0.0151652895344687,-0.0153639467463989,-0.0779881075038552,0.4619924981649461,0.0080371994047017,0.0495023170644379,0.2086031990034127,0.2417643774427694,0.2359203243759924,0.0160267886066582,0.0664333662406071,0.0358555745510547,0.0210291926249492,-0.0341950289675679,-0.0829198762868317,0.4578512509420001,-0.0052956601502426,0.051490662139219,0.2099310740655583,0.2459348307497627,0.2367263037685573,0.0141120543293718,0.0635805873312507,0.0371653864981845,0.0186213921901528,-0.0158505942275042,-0.064855687606112,0.4726112054329371,-0.001195246179966,2
2021-02-26,VZ,41.231781005859375,1,40.71639251708984,41.56311798095703,39.90648651123047,-0.0203720390817438,0.0100457056564806,-0.0919250811422446,0.0295784953527895,0.0220765842056662,-0.075553945748342,1,0.2789269195189639,243225000000.0,0.0211039161270428,0.0881899475794018,0.0188631925172165,0.0731873779422345,0.2835274763977937,229498039578.736,0.019241994433181,0.083264327813328,0.0189849116271217,0.0797741019208963,0.2952975282965981,220350642199.2277,0.0200407857037572,0.0867208727384729,0.019773030641139,0.0830857573968267,0.0495227201632957,0.1985209007444821,0.203332180329759,0.2328048514326692,0.0144969208262107,0.0585358956146581,0.0848533046306992,0.0131540282039048,-0.0148760905078029,-0.0757296646560141,0.4756904837889162,0.0471876668741567,0.0505633110433207,0.2053280033822045,0.2434137526551057,0.2324595910418695,0.0146703300403375,0.0629282536103487,0.042541465555068,0.0151652895344687,-0.0153639467463989,-0.0779881075038552,0.4619924981649461,0.0080371994047017,0.0495023170644379,0.2086031990034127,0.2417643774427694,0.2359203243759924,0.0160267886066582,0.0664333662406071,0.0358555745510547,0.0210291926249492,-0.0341950289675679,-0.0829198762868317,0.4578512509420001,-0.0052956601502426,2
2021-03-05,VZ,40.9593620300293,0,41.231781005859375,40.71639251708984,41.56311798095703,0.0126580096346504,0.0122918282030517,-0.0621460975205752,0.0297911212887461,0.0224730123355099,-0.06385229868691,0,0.2754403292248992,246303800866.45364,0.0208401168879367,0.0870875720331665,0.0186274023537607,0.0722725347208577,0.2789269195189639,243225000000.0,0.0211039161270428,0.0881899475794018,0.0188631925172165,0.0731873779422345,0.2835274763977937,229498039578.736,0.019241994433181,0.083264327813328,0.0189849116271217,0.0797741019208963,0.0495227201632957,0.1985209007444821,0.203332180329759,0.2328048514326692,0.0144969208262107,0.0585358956146581,0.0848533046306992,0.0131540282039048,-0.0148760905078029,-0.0757296646560141,0.4756904837889162,0.0471876668741567,0.0505633110433207,0.2053280033822045,0.2434137526551057,0.2324595910418695,0.0146703300403375,0.0629282536103487,0.042541465555068,0.0151652895344687,-0.0153639467463989,-0.0779881075038552,0.4619924981649461,0.0080371994047017,0.0495023170644379,0.2086031990034127,0.2417643774427694,0.2359203243759924,0.0160267886066582,0.0664333662406071,0.0358555745510547,0.0210291926249492,-0.0341950289675679,-0.0829198762868317,0.4578512509420001,-0.0052956601502426,2
