WeekEndingFriday,Ticker,AdjClosePrice_t+1,AdjClosePrice_t+1_Up,AdjClosePrice,AdjClosePrice_t-1,AdjClosePrice_t-2,company_name,QuarterlyReleased,BookToMarket,MarketCap,FreeCashFlowYield,FreeCashFlowYield_TTM,EarningsYield,EarningsYield_TTM,BookToMarket_L1W,MarketCap_L1W,FreeCashFlowYield_L1W,FreeCashFlowYield_TTM_L1W,EarningsYield_L1W,EarningsYield_TTM_L1W,BookToMarket_L2W,MarketCap_L2W,FreeCashFlowYield_L2W,FreeCashFlowYield_TTM_L2W,EarningsYield_L2W,EarningsYield_TTM_L2W,GrossProfitability,GrossProfitability_TTM,OperatingMargin,OperatingMargin_TTM,ROA,ROA_TTM,AssetGrowth,InvestmentIntensity,Accruals,Accruals_TTM,DebtToAssets,WorkingCapitalScaled,GrossProfitability_L1Q,GrossProfitability_TTM_L1Q,OperatingMargin_L1Q,OperatingMargin_TTM_L1Q,ROA_L1Q,ROA_TTM_L1Q,AssetGrowth_L1Q,InvestmentIntensity_L1Q,Accruals_L1Q,Accruals_TTM_L1Q,DebtToAssets_L1Q,WorkingCapitalScaled_L1Q,GrossProfitability_L2Q,GrossProfitability_TTM_L2Q,OperatingMargin_L2Q,OperatingMargin_TTM_L2Q,ROA_L2Q,ROA_TTM_L2Q,AssetGrowth_L2Q,InvestmentIntensity_L2Q,Accruals_L2Q,Accruals_TTM_L2Q,DebtToAssets_L2Q,WorkingCapitalScaled_L2Q
2021-01-01,PYPL,241.1706085205078,1,232.9545135498047,237.37091064453125,235.1925506591797,"PayPal Holdings, Inc.",0,0.0808099656496876,228721790083.71396,0.0046912889218262,0.0216726180666288,0.0044639384801347,0.0137372132268202,0.07930646059734,233057935769.48404,0.0046040054223311,0.0212693894487374,0.0043808849358807,0.0134816263159033,0.0800409978972728,230919160000.0,0.0046466477705877,0.0214663867649613,0.0044214607397671,0.0136064932853557,0.0471623311274435,0.1904235568412417,0.1789705074189412,0.1539484703679984,0.0155682961788295,0.0542636328310522,0.3058160603707465,0.0036747888140038,-0.0044676893049922,-0.0400872190540087,0.1362721478454454,0.205208746302339,0.0471456163125732,0.1841211219376641,0.1807641132864474,0.1480382974294931,0.024221891523921,0.0463081653325205,0.3053253704201194,0.0030554412183769,-0.0038311749992084,-0.0470189658993762,0.1414368489377196,0.2021815533673178,0.0421626801312055,0.1919917251805143,0.0861844954525768,0.1423173803526448,0.0015479305642575,0.0373162532572156,0.1725583405358686,0.0037961154313935,-0.0246378948144326,-0.0567390262779641,0.1468138429219032,0.1978218405631518
2021-01-08,PYPL,238.5147857666016,0,241.1706085205078,232.9545135498047,237.37091064453125,"PayPal Holdings, Inc.",0,0.0780569709827611,236788588735.8088,0.0045314683690149,0.0209342858389626,0.0043118631917653,0.0132692205176559,0.0808099656496876,228721790083.71396,0.0046912889218262,0.0216726180666288,0.0044639384801347,0.0137372132268202,0.07930646059734,233057935769.48404,0.0046040054223311,0.0212693894487374,0.0043808849358807,0.0134816263159033,0.0471623311274435,0.1904235568412417,0.1789705074189412,0.1539484703679984,0.0155682961788295,0.0542636328310522,0.3058160603707465,0.0036747888140038,-0.0044676893049922,-0.0400872190540087,0.1362721478454454,0.205208746302339,0.0471456163125732,0.1841211219376641,0.1807641132864474,0.1480382974294931,0.024221891523921,0.0463081653325205,0.3053253704201194,0.0030554412183769,-0.0038311749992084,-0.0470189658993762,0.1414368489377196,0.2021815533673178,0.0421626801312055,0.1919917251805143,0.0861844954525768,0.1423173803526448,0.0015479305642575,0.0373162532572156,0.1725583405358686,0.0037961154313935,-0.0246378948144326,-0.0567390262779641,0.1468138429219032,0.1978218405631518
2021-01-15,PYPL,250.6598663330078,1,238.5147857666016,241.1706085205078,232.9545135498047,"PayPal Holdings, Inc.",0,0.0789261196815709,234181029988.1718,0.0045819253594289,0.0211673849083778,0.0043598749226253,0.0134169706237892,0.0780569709827611,236788588735.8088,0.0045314683690149,0.0209342858389626,0.0043118631917653,0.0132692205176559,0.0808099656496876,228721790083.71396,0.0046912889218262,0.0216726180666288,0.0044639384801347,0.0137372132268202,0.0471623311274435,0.1904235568412417,0.1789705074189412,0.1539484703679984,0.0155682961788295,0.0542636328310522,0.3058160603707465,0.0036747888140038,-0.0044676893049922,-0.0400872190540087,0.1362721478454454,0.205208746302339,0.0471456163125732,0.1841211219376641,0.1807641132864474,0.1480382974294931,0.024221891523921,0.0463081653325205,0.3053253704201194,0.0030554412183769,-0.0038311749992084,-0.0470189658993762,0.1414368489377196,0.2021815533673178,0.0421626801312055,0.1919917251805143,0.0861844954525768,0.1423173803526448,0.0015479305642575,0.0373162532572156,0.1725583405358686,0.0037961154313935,-0.0246378948144326,-0.0567390262779641,0.1468138429219032,0.1978218405631518
2021-01-22,PYPL,233.06393432617188,0,250.6598663330078,238.5147857666016,241.1706085205078,"PayPal Holdings, Inc.",0,0.0751019591608905,246105430624.0396,0.0043599200443453,0.0201417741470829,0.0041486284858123,0.0127668860944391,0.0789261196815709,234181029988.1718,0.0045819253594289,0.0211673849083778,0.0043598749226253,0.0134169706237892,0.0780569709827611,236788588735.8088,0.0045314683690149,0.0209342858389626,0.0043118631917653,0.0132692205176559,0.0471623311274435,0.1904235568412417,0.1789705074189412,0.1539484703679984,0.0155682961788295,0.0542636328310522,0.3058160603707465,0.0036747888140038,-0.0044676893049922,-0.0400872190540087,0.1362721478454454,0.205208746302339,0.0471456163125732,0.1841211219376641,0.1807641132864474,0.1480382974294931,0.024221891523921,0.0463081653325205,0.3053253704201194,0.0030554412183769,-0.0038311749992084,-0.0470189658993762,0.1414368489377196,0.2021815533673178,0.0421626801312055,0.1919917251805143,0.0861844954525768,0.1423173803526448,0.0015479305642575,0.0373162532572156,0.1725583405358686,0.0037961154313935,-0.0246378948144326,-0.0567390262779641,0.1468138429219032,0.1978218405631518
2021-01-29,PYPL,268.00714111328125,1,233.06393432617188,250.6598663330078,238.5147857666016,"PayPal Holdings, Inc.",0,0.0807720281069598,228829217653.4737,0.0046890865205198,0.0216624435062597,0.0044618428121628,0.0137307640703385,0.0751019591608905,246105430624.0396,0.0043599200443453,0.0201417741470829,0.0041486284858123,0.0127668860944391,0.0789261196815709,234181029988.1718,0.0045819253594289,0.0211673849083778,0.0043598749226253,0.0134169706237892,0.0471623311274435,0.1904235568412417,0.1789705074189412,0.1539484703679984,0.0155682961788295,0.0542636328310522,0.3058160603707465,0.0036747888140038,-0.0044676893049922,-0.0400872190540087,0.1362721478454454,0.205208746302339,0.0471456163125732,0.1841211219376641,0.1807641132864474,0.1480382974294931,0.024221891523921,0.0463081653325205,0.3053253704201194,0.0030554412183769,-0.0038311749992084,-0.0470189658993762,0.1414368489377196,0.2021815533673178,0.0421626801312055,0.1919917251805143,0.0861844954525768,0.1423173803526448,0.0015479305642575,0.0373162532572156,0.1725583405358686,0.0037961154313935,-0.0246378948144326,-0.0567390262779641,0.1468138429219032,0.1978218405631518
2021-02-05,PYPL,296.78326416015625,1,268.00714111328125,233.06393432617188,250.6598663330078,"PayPal Holdings, Inc.",1,0.0729336380037481,274482400000.0,0.0040840505620761,0.0181723855518605,0.0057089270568896,0.0153088139713147,0.0807720281069598,228829217653.4737,0.0046890865205198,0.0216624435062597,0.0044618428121628,0.0137307640703385,0.0751019591608905,246105430624.0396,0.0043599200443453,0.0201417741470829,0.0041486284858123,0.0127668860944391,0.0485940408360448,0.1935552780333903,0.1574558534990189,0.1533047450358907,0.0222651643245854,0.0690482450374655,0.3710283833011902,0.0032111851546626,0.0031259324514414,-0.0234729109535514,0.1270123190156154,0.1782918200031259,0.0471623311274435,0.1904235568412417,0.1789705074189412,0.1539484703679984,0.0155682961788295,0.0542636328310522,0.3058160603707465,0.0036747888140038,-0.0044676893049922,-0.0400872190540087,0.1362721478454454,0.205208746302339,0.0471456163125732,0.1841211219376641,0.1807641132864474,0.1480382974294931,0.024221891523921,0.0463081653325205,0.3053253704201194,0.0030554412183769,-0.0038311749992084,-0.0470189658993762,0.1414368489377196,0.2021815533673178
2021-02-12,PYPL,285.3941955566406,0,296.78326416015625,268.00714111328125,233.06393432617188,"PayPal Holdings, Inc.",0,0.0658619831865879,303953799011.5766,0.0036880605001331,0.0164103887374344,0.0051553887633439,0.0138244694215516,0.0729336380037481,274482400000.0,0.0040840505620761,0.0181723855518605,0.0057089270568896,0.0153088139713147,0.0807720281069598,228829217653.4737,0.0046890865205198,0.0216624435062597,0.0044618428121628,0.0137307640703385,0.0485940408360448,0.1935552780333903,0.1574558534990189,0.1533047450358907,0.0222651643245854,0.0690482450374655,0.3710283833011902,0.0032111851546626,0.0031259324514414,-0.0234729109535514,0.1270123190156154,0.1782918200031259,0.0471623311274435,0.1904235568412417,0.1789705074189412,0.1539484703679984,0.0155682961788295,0.0542636328310522,0.3058160603707465,0.0036747888140038,-0.0044676893049922,-0.0400872190540087,0.1362721478454454,0.205208746302339,0.0471456163125732,0.1841211219376641,0.1807641132864474,0.1480382974294931,0.024221891523921,0.0463081653325205,0.3053253704201194,0.0030554412183769,-0.0038311749992084,-0.0470189658993762,0.1414368489377196,0.2021815533673178
2021-02-19,PYPL,258.4681396484375,0,285.3941955566406,296.78326416015625,268.00714111328125,"PayPal Holdings, Inc.",0,0.0684903062948588,292289538227.7288,0.0038352381915448,0.0170652703830738,0.0053611224318918,0.0143761560043457,0.0658619831865879,303953799011.5766,0.0036880605001331,0.0164103887374344,0.0051553887633439,0.0138244694215516,0.0729336380037481,274482400000.0,0.0040840505620761,0.0181723855518605,0.0057089270568896,0.0153088139713147,0.0485940408360448,0.1935552780333903,0.1574558534990189,0.1533047450358907,0.0222651643245854,0.0690482450374655,0.3710283833011902,0.0032111851546626,0.0031259324514414,-0.0234729109535514,0.1270123190156154,0.1782918200031259,0.0471623311274435,0.1904235568412417,0.1789705074189412,0.1539484703679984,0.0155682961788295,0.0542636328310522,0.3058160603707465,0.0036747888140038,-0.0044676893049922,-0.0400872190540087,0.1362721478454454,0.205208746302339,0.0471456163125732,0.1841211219376641,0.1807641132864474,0.1480382974294931,0.024221891523921,0.0463081653325205,0.3053253704201194,0.0030554412183769,-0.0038311749992084,-0.0470189658993762,0.1414368489377196,0.2021815533673178
2021-02-26,PYPL,237.7787322998047,0,258.4681396484375,285.3941955566406,296.78326416015625,"PayPal Holdings, Inc.",0,0.075625318992535,264712933005.6258,0.0042347760922439,0.0188430536557652,0.0059196201039663,0.0158737994108912,0.0684903062948588,292289538227.7288,0.0038352381915448,0.0170652703830738,0.0053611224318918,0.0143761560043457,0.0658619831865879,303953799011.5766,0.0036880605001331,0.0164103887374344,0.0051553887633439,0.0138244694215516,0.0485940408360448,0.1935552780333903,0.1574558534990189,0.1533047450358907,0.0222651643245854,0.0690482450374655,0.3710283833011902,0.0032111851546626,0.0031259324514414,-0.0234729109535514,0.1270123190156154,0.1782918200031259,0.0471623311274435,0.1904235568412417,0.1789705074189412,0.1539484703679984,0.0155682961788295,0.0542636328310522,0.3058160603707465,0.0036747888140038,-0.0044676893049922,-0.0400872190540087,0.1362721478454454,0.205208746302339,0.0471456163125732,0.1841211219376641,0.1807641132864474,0.1480382974294931,0.024221891523921,0.0463081653325205,0.3053253704201194,0.0030554412183769,-0.0038311749992084,-0.0470189658993762,0.1414368489377196,0.2021815533673178
2021-03-05,PYPL,249.0186462402344,1,237.7787322998047,258.4681396484375,285.3941955566406,"PayPal Holdings, Inc.",0,0.0822055609743529,243523671181.38956,0.0046032486064363,0.020482608428996,0.0064346927442335,0.0172549961144028,0.075625318992535,264712933005.6258,0.0042347760922439,0.0188430536557652,0.0059196201039663,0.0158737994108912,0.0684903062948588,292289538227.7288,0.0038352381915448,0.0170652703830738,0.0053611224318918,0.0143761560043457,0.0485940408360448,0.1935552780333903,0.1574558534990189,0.1533047450358907,0.0222651643245854,0.0690482450374655,0.3710283833011902,0.0032111851546626,0.0031259324514414,-0.0234729109535514,0.1270123190156154,0.1782918200031259,0.0471623311274435,0.1904235568412417,0.1789705074189412,0.1539484703679984,0.0155682961788295,0.0542636328310522,0.3058160603707465,0.0036747888140038,-0.0044676893049922,-0.0400872190540087,0.1362721478454454,0.205208746302339,0.0471456163125732,0.1841211219376641,0.1807641132864474,0.1480382974294931,0.024221891523921,0.0463081653325205,0.3053253704201194,0.0030554412183769,-0.0038311749992084,-0.0470189658993762,0.1414368489377196,0.2021815533673178
