WeekEndingFriday,Ticker,AdjClosePrice_t+1,AdjClosePrice_t+1_Up,AdjClosePrice,AdjClosePrice_t-1,AdjClosePrice_t-2,WeeklyReturn_1W,WeeklyReturn_4W,Momentum_12W,Volatility_4W,Volatility_12W,Drawdown_12W,QuarterlyReleased,BookToMarket,MarketCap,FreeCashFlowYield,FreeCashFlowYield_TTM,EarningsYield,EarningsYield_TTM,BookToMarket_L1W,MarketCap_L1W,FreeCashFlowYield_L1W,FreeCashFlowYield_TTM_L1W,EarningsYield_L1W,EarningsYield_TTM_L1W,BookToMarket_L2W,MarketCap_L2W,FreeCashFlowYield_L2W,FreeCashFlowYield_TTM_L2W,EarningsYield_L2W,EarningsYield_TTM_L2W,GrossProfitability,GrossProfitability_TTM,OperatingMargin,OperatingMargin_TTM,ROA,ROA_TTM,AssetGrowth,InvestmentIntensity,Accruals,Accruals_TTM,DebtToAssets,WorkingCapitalScaled,GrossProfitability_L1Q,GrossProfitability_TTM_L1Q,OperatingMargin_L1Q,OperatingMargin_TTM_L1Q,ROA_L1Q,ROA_TTM_L1Q,AssetGrowth_L1Q,InvestmentIntensity_L1Q,Accruals_L1Q,Accruals_TTM_L1Q,DebtToAssets_L1Q,WorkingCapitalScaled_L1Q,GrossProfitability_L2Q,GrossProfitability_TTM_L2Q,OperatingMargin_L2Q,OperatingMargin_TTM_L2Q,ROA_L2Q,ROA_TTM_L2Q,AssetGrowth_L2Q,InvestmentIntensity_L2Q,Accruals_L2Q,Accruals_TTM_L2Q,DebtToAssets_L2Q,WorkingCapitalScaled_L2Q
2021-01-01,XEL,55.69976806640625,0,56.47055816650391,54.742637634277344,55.61958312988281,0.0315644369160725,0.020704695915745,-0.0770001324947197,0.0227143967626982,0.0300885635668233,-0.0940696683163438,0,0.3849476101086947,35789285705.942924,-0.0024029537975863,-0.0561061770413195,0.0168486179063325,0.0412693344073849,0.397098213704926,34694187796.66773,-0.0024788013630415,-0.0578771294998542,0.0173804328129542,0.0425719722466557,0.388267126377234,35483302767.7303,-0.0024236751737273,-0.0565899970795881,0.0169939084855536,0.0416252119952946,0.0289900945855366,0.0945857544156693,0.2554996857322438,0.1880987958161202,0.0112273776718552,0.0284180551814368,0.0690286624203821,0.0207045505325091,-0.0078759216504058,-0.0261227377671855,0.4182617114768749,-0.0103522752662545,0.0207460341215205,0.093610348882791,0.1631863882443928,0.1860278372591006,0.005368901526489,0.0274598196785574,0.100279927548164,0.0179961089494163,-0.0035917390002993,-0.0313528883567794,0.434899730619575,-0.0202596527985633,0.0223143566776836,0.0954305284745865,0.1618641053006047,0.1851058130190195,0.0057692683785422,0.0273178222523059,0.0686102403343782,0.0314278450315843,-0.0073142588934738,-0.0349480765845931,0.4142725832632546,-0.0558543406410732
2021-01-08,XEL,55.022159576416016,0,55.69976806640625,56.47055816650391,54.742637634277344,-0.0136494152904417,0.0183889972899427,-0.094827177377945,0.0232857078903526,0.029905474386892,-0.1064350876377017,0,0.390274568542733,35300788497.29479,-0.0024362062056089,-0.0568825821030564,0.0170817714183979,0.0418404251823776,0.3849476101086947,35789285705.942924,-0.0024029537975863,-0.0561061770413195,0.0168486179063325,0.0412693344073849,0.397098213704926,34694187796.66773,-0.0024788013630415,-0.0578771294998542,0.0173804328129542,0.0425719722466557,0.0289900945855366,0.0945857544156693,0.2554996857322438,0.1880987958161202,0.0112273776718552,0.0284180551814368,0.0690286624203821,0.0207045505325091,-0.0078759216504058,-0.0261227377671855,0.4182617114768749,-0.0103522752662545,0.0207460341215205,0.093610348882791,0.1631863882443928,0.1860278372591006,0.005368901526489,0.0274598196785574,0.100279927548164,0.0179961089494163,-0.0035917390002993,-0.0313528883567794,0.434899730619575,-0.0202596527985633,0.0223143566776836,0.0954305284745865,0.1618641053006047,0.1851058130190195,0.0057692683785422,0.0273178222523059,0.0686102403343782,0.0314278450315843,-0.0073142588934738,-0.0349480765845931,0.4142725832632546,-0.0558543406410732
2021-01-15,XEL,54.85276412963867,0,55.022159576416016,55.69976806640625,56.47055816650391,-0.0121653736364283,-0.0107412447172013,-0.0850706787299547,0.0227605209726823,0.0295830243319871,-0.1173056386649914,0,0.3950809239962121,34871336891.30505,-0.0024662088599603,-0.0575831091953541,0.0172921388669315,0.0423557033274591,0.390274568542733,35300788497.29479,-0.0024362062056089,-0.0568825821030564,0.0170817714183979,0.0418404251823776,0.3849476101086947,35789285705.942924,-0.0024029537975863,-0.0561061770413195,0.0168486179063325,0.0412693344073849,0.0289900945855366,0.0945857544156693,0.2554996857322438,0.1880987958161202,0.0112273776718552,0.0284180551814368,0.0690286624203821,0.0207045505325091,-0.0078759216504058,-0.0261227377671855,0.4182617114768749,-0.0103522752662545,0.0207460341215205,0.093610348882791,0.1631863882443928,0.1860278372591006,0.005368901526489,0.0274598196785574,0.100279927548164,0.0179961089494163,-0.0035917390002993,-0.0313528883567794,0.434899730619575,-0.0202596527985633,0.0223143566776836,0.0954305284745865,0.1618641053006047,0.1851058130190195,0.0057692683785422,0.0273178222523059,0.0686102403343782,0.0314278450315843,-0.0073142588934738,-0.0349480765845931,0.4142725832632546,-0.0558543406410732
2021-01-22,XEL,54.20055389404297,0,54.85276412963867,55.022159576416016,55.69976806640625,-0.0030786768109689,0.00201171335764,-0.0691322272532591,0.0211211683740999,0.029301229851046,-0.1200231693264065,0,0.3963010440780757,34763976037.58464,-0.0024738252007486,-0.0577609418965504,0.0173455418145517,0.0424865095523929,0.3950809239962121,34871336891.30505,-0.0024662088599603,-0.0575831091953541,0.0172921388669315,0.0423557033274591,0.390274568542733,35300788497.29479,-0.0024362062056089,-0.0568825821030564,0.0170817714183979,0.0418404251823776,0.0289900945855366,0.0945857544156693,0.2554996857322438,0.1880987958161202,0.0112273776718552,0.0284180551814368,0.0690286624203821,0.0207045505325091,-0.0078759216504058,-0.0261227377671855,0.4182617114768749,-0.0103522752662545,0.0207460341215205,0.093610348882791,0.1631863882443928,0.1860278372591006,0.005368901526489,0.0274598196785574,0.100279927548164,0.0179961089494163,-0.0035917390002993,-0.0313528883567794,0.434899730619575,-0.0202596527985633,0.0223143566776836,0.0954305284745865,0.1618641053006047,0.1851058130190195,0.0057692683785422,0.0273178222523059,0.0686102403343782,0.0314278450315843,-0.0073142588934738,-0.0349480765845931,0.4142725832632546,-0.0558543406410732
2021-01-29,XEL,53.73469161987305,0,54.20055389404297,54.85276412963867,55.022159576416016,-0.0118901981685786,-0.0401980137289914,-0.1213534484512535,0.0048073244974521,0.0242185851797243,-0.1304862682268733,0,0.4010697888405098,34350630197.87458,-0.0025035930783395,-0.058455987224486,0.0175542630957993,0.0429977555431104,0.3963010440780757,34763976037.58464,-0.0024738252007486,-0.0577609418965504,0.0173455418145517,0.0424865095523929,0.3950809239962121,34871336891.30505,-0.0024662088599603,-0.0575831091953541,0.0172921388669315,0.0423557033274591,0.0289900945855366,0.0945857544156693,0.2554996857322438,0.1880987958161202,0.0112273776718552,0.0284180551814368,0.0690286624203821,0.0207045505325091,-0.0078759216504058,-0.0261227377671855,0.4182617114768749,-0.0103522752662545,0.0207460341215205,0.093610348882791,0.1631863882443928,0.1860278372591006,0.005368901526489,0.0274598196785574,0.100279927548164,0.0179961089494163,-0.0035917390002993,-0.0313528883567794,0.434899730619575,-0.0202596527985633,0.0223143566776836,0.0954305284745865,0.1618641053006047,0.1851058130190195,0.0057692683785422,0.0273178222523059,0.0686102403343782,0.0314278450315843,-0.0073142588934738,-0.0349480765845931,0.4142725832632546,-0.0558543406410732
2021-02-05,XEL,52.12535858154297,0,53.73469161987305,54.20055389404297,54.85276412963867,-0.0085951570731295,-0.0352797958546327,-0.1379598753287063,0.0042261289022765,0.0233276230276879,-0.0786333774757158,0,0.404546926491917,34055381706.81237,-0.002525298372527,-0.0589627806050496,0.0177064525422534,0.0433705313514234,0.4010697888405098,34350630197.87458,-0.0025035930783395,-0.058455987224486,0.0175542630957993,0.0429977555431104,0.3963010440780757,34763976037.58464,-0.0024738252007486,-0.0577609418965504,0.0173455418145517,0.0424865095523929,0.0289900945855366,0.0945857544156693,0.2554996857322438,0.1880987958161202,0.0112273776718552,0.0284180551814368,0.0690286624203821,0.0207045505325091,-0.0078759216504058,-0.0261227377671855,0.4182617114768749,-0.0103522752662545,0.0207460341215205,0.093610348882791,0.1631863882443928,0.1860278372591006,0.005368901526489,0.0274598196785574,0.100279927548164,0.0179961089494163,-0.0035917390002993,-0.0313528883567794,0.434899730619575,-0.0202596527985633,0.0223143566776836,0.0954305284745865,0.1618641053006047,0.1851058130190195,0.0057692683785422,0.0273178222523059,0.0686102403343782,0.0314278450315843,-0.0073142588934738,-0.0349480765845931,0.4142725832632546,-0.0558543406410732
2021-02-12,XEL,52.57427978515625,1,52.12535858154297,53.73469161987305,54.20055389404297,-0.0299496096435191,-0.0526478970868073,-0.1062279481588859,0.011630182635542,0.0177545209996876,-0.0838900929582358,0,0.41703698536363,33035439262.029297,-0.0026032649155311,-0.0607832087254241,0.0182531249309914,0.0447095613981332,0.404546926491917,34055381706.81237,-0.002525298372527,-0.0589627806050496,0.0177064525422534,0.0433705313514234,0.4010697888405098,34350630197.87458,-0.0025035930783395,-0.058455987224486,0.0175542630957993,0.0429977555431104,0.0289900945855366,0.0945857544156693,0.2554996857322438,0.1880987958161202,0.0112273776718552,0.0284180551814368,0.0690286624203821,0.0207045505325091,-0.0078759216504058,-0.0261227377671855,0.4182617114768749,-0.0103522752662545,0.0207460341215205,0.093610348882791,0.1631863882443928,0.1860278372591006,0.005368901526489,0.0274598196785574,0.100279927548164,0.0179961089494163,-0.0035917390002993,-0.0313528883567794,0.434899730619575,-0.0202596527985633,0.0223143566776836,0.0954305284745865,0.1618641053006047,0.1851058130190195,0.0057692683785422,0.0273178222523059,0.0686102403343782,0.0314278450315843,-0.0073142588934738,-0.0349480765845931,0.4142725832632546,-0.0558543406410732
2021-02-19,XEL,49.62667846679688,0,52.57427978515625,52.12535858154297,53.73469161987305,0.0086123379450906,-0.0415381864639942,-0.0760002448439465,0.0158021305444972,0.0177394290076955,-0.068996633074875,1,0.4124793760311984,35335100000.0,-0.0286966783736284,-0.0713454893293071,0.0081505358694329,0.0416865949155372,0.41703698536363,33035439262.029297,-0.0026032649155311,-0.0607832087254241,0.0182531249309914,0.0447095613981332,0.404546926491917,34055381706.81237,-0.002525298372527,-0.0589627806050496,0.0177064525422534,0.0433705313514234,0.0214430009081305,0.0950912312628705,0.1445537835086528,0.1835849384001388,0.0053375836314101,0.0282170394138211,0.0695567713288931,0.0312841707285431,-0.0071538447282095,-0.0254832551846841,0.4115870044665196,-0.0178660785440257,0.0289900945855366,0.0945857544156693,0.2554996857322438,0.1880987958161202,0.0112273776718552,0.0284180551814368,0.0690286624203821,0.0207045505325091,-0.0078759216504058,-0.0261227377671855,0.4182617114768749,-0.0103522752662545,0.0207460341215205,0.093610348882791,0.1631863882443928,0.1860278372591006,0.005368901526489,0.0274598196785574,0.100279927548164,0.0179961089494163,-0.0035917390002993,-0.0313528883567794,0.434899730619575,-0.0202596527985633
2021-02-26,XEL,51.96443176269531,1,49.62667846679688,52.57427978515625,52.12535858154297,-0.0560654626255402,-0.0843879831226004,-0.1029983517356765,0.0279252273999721,0.0221728203596359,-0.1211937675474678,0,0.4369789158166937,33354011995.65885,-0.0304011403525301,-0.0755831112709354,0.0086346434137363,0.0441626032931725,0.4124793760311984,35335100000.0,-0.0286966783736284,-0.0713454893293071,0.0081505358694329,0.0416865949155372,0.41703698536363,33035439262.029297,-0.0026032649155311,-0.0607832087254241,0.0182531249309914,0.0447095613981332,0.0214430009081305,0.0950912312628705,0.1445537835086528,0.1835849384001388,0.0053375836314101,0.0282170394138211,0.0695567713288931,0.0312841707285431,-0.0071538447282095,-0.0254832551846841,0.4115870044665196,-0.0178660785440257,0.0289900945855366,0.0945857544156693,0.2554996857322438,0.1880987958161202,0.0112273776718552,0.0284180551814368,0.0690286624203821,0.0207045505325091,-0.0078759216504058,-0.0261227377671855,0.4182617114768749,-0.0103522752662545,0.0207460341215205,0.093610348882791,0.1631863882443928,0.1860278372591006,0.005368901526489,0.0274598196785574,0.100279927548164,0.0179961089494163,-0.0035917390002993,-0.0313528883567794,0.434899730619575,-0.0202596527985633
2021-03-05,XEL,52.97496795654297,1,51.96443176269531,49.62667846679688,52.57427978515625,0.0471067854654534,-0.0329444499226088,-0.0499061774465423,0.0451075591953066,0.0273697563013562,-0.0797960308896229,0,0.417320218111783,34925218974.403854,-0.0290334614864732,-0.0721827972459557,0.0082461902446788,0.0421758271889301,0.4369789158166937,33354011995.65885,-0.0304011403525301,-0.0755831112709354,0.0086346434137363,0.0441626032931725,0.4124793760311984,35335100000.0,-0.0286966783736284,-0.0713454893293071,0.0081505358694329,0.0416865949155372,0.0214430009081305,0.0950912312628705,0.1445537835086528,0.1835849384001388,0.0053375836314101,0.0282170394138211,0.0695567713288931,0.0312841707285431,-0.0071538447282095,-0.0254832551846841,0.4115870044665196,-0.0178660785440257,0.0289900945855366,0.0945857544156693,0.2554996857322438,0.1880987958161202,0.0112273776718552,0.0284180551814368,0.0690286624203821,0.0207045505325091,-0.0078759216504058,-0.0261227377671855,0.4182617114768749,-0.0103522752662545,0.0207460341215205,0.093610348882791,0.1631863882443928,0.1860278372591006,0.005368901526489,0.0274598196785574,0.100279927548164,0.0179961089494163,-0.0035917390002993,-0.0313528883567794,0.434899730619575,-0.0202596527985633
