variable,importance
WorkingCapitalScaled_L1Q,0.05034720345606622
NEWS_FINBERT_Neutral_Mean,0.048738292889351255
Momentum_12W,0.04403217194012862
EarningsYield,0.03306005866460483
WeeklyReturn_1W,0.03058967845309679
BookToMarket_L1W,0.029968886293197654
Accruals_TTM,0.029699060610467138
WeeklyReturn_4W,0.02917870670880833
Drawdown_12W,0.027968305118154936
EarningsYield_TTM,0.027820015952961335
Volatility_4W,0.02696837726229163
Accruals_L1Q,0.026496352598255273
WorkingCapitalScaled_L2Q,0.025427095239706984
NEWS_FINBERT_Negative_Mean,0.023525621658918763
BookToMarket_L2W,0.023132504780135815
ROA_L1Q,0.023081080690991556
EarningsYield_L2W,0.022075012420626688
Accruals_L2Q,0.021696208519715862
MarketCap_L2W,0.021262988516409655
FreeCashFlowYield_L1W,0.02122599630423061
FreeCashFlowYield,0.02092983832175198
EarningsYield_TTM_L2W,0.020883462807905512
Volatility_12W,0.019377975390149644
FreeCashFlowYield_TTM_L2W,0.019145632638127238
AdjClosePrice,0.01773821549365976
ROA_L2Q,0.017544204562551527
AdjClosePrice_t-1,0.017311756424701615
AdjClosePrice_t-2,0.01694712697937965
Accruals_TTM_L2Q,0.016633286037289405
EarningsYield_L1W,0.01609593238161655
DebtToAssets,0.01564939716116499
InvestmentIntensity_L2Q,0.015364042320712468
Accruals,0.014822161143875074
WorkingCapitalScaled,0.014427896315867888
FreeCashFlowYield_TTM,0.013507487601584774
OperatingMargin_L1Q,0.012763452818856755
GrossProfitability,0.012639973256849547
AssetGrowth_L2Q,0.012488794360657265
FreeCashFlowYield_TTM_L1W,0.012312839968294933
InvestmentIntensity,0.012311388418489895
GrossProfitability_TTM_L1Q,0.01207045398769402
ROA_TTM_L1Q,0.01206932901084681
AssetGrowth_L1Q,0.011565089527762062
GrossProfitability_L2Q,0.009979946620424873
GrossProfitability_TTM_L2Q,0.00936257435448744
GrossProfitability_L1Q,0.008504481650971675
OperatingMargin,0.00835672516587174
OperatingMargin_TTM_L1Q,0.008255590521692325
AssetGrowth,0.008117149254809483
DebtToAssets_L1Q,0.0065301774238331264
QuarterlyReleased,0.0
