model,validation_accuracy,test_accuracy
always_zero,,0.5486725663716814
random_forest,0.5316455696202531,0.5132743362831859
xgboost,0.5421940928270043,0.48672566371681414
neural_network,0.5717299578059072,0.4778761061946903
logistic_regression,,0.46017699115044247
null_model,,0.45132743362831856
always_one,,0.45132743362831856
lasso_logistic,0.510548523206751,0.45132743362831856
