model,validation_accuracy,test_accuracy
random_forest,0.5165165165165165,0.5862068965517241
xgboost,0.5915915915915916,0.5862068965517241
lasso_logistic,0.5165165165165165,0.5747126436781609
always_zero,,0.5632183908045977
logistic_regression,,0.5517241379310345
neural_network,0.6066066066066066,0.5517241379310345
null_model,,0.4367816091954023
always_one,,0.4367816091954023
