symbol,companyName,sector,industry,exchangeShortName,marketCap,historicalMarketCapDate,selectionReferenceDate,universeSource,SectorCode
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,NASDAQ,1162111841047.0,2021-01-04,2021-01-04,active_screener,2
AVGO,Broadcom Inc.,Technology,Semiconductors,NASDAQ,173490104000.0,2021-01-04,2021-01-04,active_screener,10
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,NASDAQ,1641164910000.0,2021-01-04,2021-01-04,active_screener,10
TSM,Taiwan Semiconductor Manufacturing Company Limited,Technology,Semiconductors,NYSE,579284689200.0,2021-01-04,2021-01-04,active_screener,10
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Specialty Retail,NASDAQ,1606046400000.0,2021-01-04,2021-01-04,active_screener,3
AAPL,Apple Inc.,Technology,Consumer Electronics,NASDAQ,2168067329160.0,2021-01-04,2021-01-04,active_screener,10
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,NASDAQ,773976778260.0,2021-01-04,2021-01-04,active_screener,2
NVDA,NVIDIA Corporation,Technology,Semiconductors,NASDAQ,324603600000.0,2021-01-04,2021-01-04,active_screener,10
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto - Manufacturers,NASDAQ,701318580000.0,2021-01-04,2021-01-04,active_screener,3
GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,NASDAQ,1162111841047.0,2021-01-04,2021-01-04,active_screener,2
BRK-A,Berkshire Hathaway Inc.,Financial Services,Insurance - Diversified,NYSE,526623825000.0,2021-01-04,2021-01-04,active_screener,6
BRK-B,Berkshire Hathaway Inc.,Financial Services,Insurance - Diversified,NYSE,525417859350.0,2021-01-04,2021-01-04,active_screener,6
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,NASDAQ,414065520000.0,2021-01-04,2021-01-04,active_screener,4
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,NYSE,150406400000.0,2021-01-04,2021-01-04,active_screener,7
JPM,JPMorgan Chase & Co.,Financial Services,Banks - Diversified,NYSE,387427860000.0,2021-01-04,2021-01-04,active_screener,6
XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,NYSE,177023437500.0,2021-01-04,2021-01-04,active_screener,5
V,Visa Inc.,Financial Services,Financial - Credit Services,NYSE,477547680000.0,2021-01-04,2021-01-04,active_screener,6
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,NYSE,412017863000.0,2021-01-04,2021-01-04,active_screener,7
ASML,ASML Holding N.V.,Technology,Semiconductors,NASDAQ,207650000000.0,2021-01-04,2021-01-04,active_screener,10
MU,"Micron Technology, Inc.",Technology,Semiconductors,NASDAQ,82936000000.0,2021-01-04,2021-01-04,active_screener,10
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,NASDAQ,168457390100.0,2021-01-04,2021-01-04,active_screener,4
MA,Mastercard Incorporated,Financial Services,Financial - Credit Services,NYSE,349381060000.0,2021-01-04,2021-01-04,active_screener,6
NFLX,"Netflix, Inc.",Communication Services,Entertainment,NASDAQ,231761829600.0,2021-01-04,2021-01-04,active_screener,2
ORCL,Oracle Corporation,Technology,Software - Infrastructure,NYSE,185703750000.0,2021-01-04,2021-01-04,active_screener,10
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,NYSE,162043876750.0,2021-01-04,2021-01-04,active_screener,5
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,NASDAQ,111959900000.0,2021-01-04,2021-01-04,active_screener,10
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,NYSE,186470290000.0,2021-01-04,2021-01-04,active_screener,7
BAC,Bank of America Corporation,Financial Services,Banks - Diversified,NYSE,261264003000.0,2021-01-04,2021-01-04,active_screener,6
CAT,Caterpillar Inc.,Industrials,Agricultural - Machinery,NYSE,99526760000.0,2021-01-04,2021-01-04,active_screener,8
PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,NYSE,338913162000.0,2021-01-04,2021-01-04,active_screener,4
HD,"The Home Depot, Inc.",Consumer Cyclical,Home Improvement,NYSE,283450080000.0,2021-01-04,2021-01-04,active_screener,3
KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,NYSE,227237320000.0,2021-01-04,2021-01-04,active_screener,4
CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,NASDAQ,185643080000.0,2021-01-04,2021-01-04,active_screener,10
GE,GE Aerospace,Industrials,Aerospace & Defense,NYSE,57160545000.0,2021-01-04,2021-01-04,active_screener,8
PLTR,Palantir Technologies Inc.,Technology,Software - Infrastructure,NASDAQ,42560462460.0,2021-01-04,2021-01-04,active_screener,10
AZN,AstraZeneca PLC,Healthcare,Drug Manufacturers - General,NYSE,268304000000.0,2021-01-04,2021-01-04,active_screener,7
HSBC,HSBC Holdings plc,Financial Services,Banks - Diversified,NYSE,103974156000.0,2021-01-04,2021-01-04,active_screener,6
AMAT,"Applied Materials, Inc.",Technology,Semiconductors,NASDAQ,79486050000.0,2021-01-04,2021-01-04,active_screener,10
NVS,Novartis AG,Healthcare,Drug Manufacturers - General,NYSE,201103600000.0,2021-01-04,2021-01-04,active_screener,7
MRK,"Merck & Co., Inc.",Healthcare,Drug Manufacturers - General,NYSE,195416649268.0,2021-01-04,2021-01-04,active_screener,7
LRCX,Lam Research Corporation,Technology,Semiconductors,NASDAQ,68199127999.0,2021-01-04,2021-01-04,active_screener,10
INTC,Intel Corporation,Technology,Semiconductors,NASDAQ,201461520000.0,2021-01-04,2021-01-04,active_screener,10
BABA,Alibaba Group Holding Limited,Consumer Cyclical,Specialty Retail,NYSE,616676025000.0,2021-01-04,2021-01-04,active_screener,3
TM,Toyota Motor Corporation,Consumer Cyclical,Auto - Manufacturers,NYSE,214294867287.0,2021-01-04,2021-01-04,active_screener,3
