symbol,companyName,sector,industry,exchangeShortName,marketCap,historicalMarketCapDate,selectionReferenceDate,universeSource,SectorCode
MS,Morgan Stanley,Financial Services,Financial - Capital Markets,NYSE,122652350000.0,2021-01-04,2021-01-04,active_screener,6
UNH,UnitedHealth Group Incorporated,Healthcare,Medical - Healthcare Plans,NYSE,329928000000.0,2021-01-04,2021-01-04,active_screener,7
RTX,RTX Corporation,Industrials,Aerospace & Defense,NYSE,103404573000.0,2021-01-04,2021-01-04,active_screener,8
GS,"The Goldman Sachs Group, Inc.",Financial Services,Financial - Capital Markets,NYSE,94498998940.0,2021-01-04,2021-01-04,active_screener,6
WFC,Wells Fargo & Company,Financial Services,Banks - Diversified,NYSE,122996610000.0,2021-01-04,2021-01-04,active_screener,6
SHEL,Shell plc,Energy,Oil & Gas Integrated,NYSE,140194531500.0,2021-01-04,2021-01-04,active_screener,5
PM,Philip Morris International Inc.,Consumer Defensive,Tobacco,NYSE,126977000000.0,2021-01-04,2021-01-04,active_screener,4
RY,Royal Bank of Canada,Financial Services,Banks - Diversified,NYSE,116529664500.0,2021-01-04,2021-01-04,active_screener,6
LIN,Linde plc,Basic Materials,Chemicals - Specialty,NASDAQ,135217613790.0,2021-01-04,2021-01-04,active_screener,1
TMUS,"T-Mobile US, Inc.",Communication Services,Telecommunications Services,NASDAQ,164679357043.0,2021-01-04,2021-01-04,active_screener,2
IBM,International Business Machines Corporation,Technology,Information Technology Services,NYSE,105788027836.0,2021-01-04,2021-01-04,active_screener,10
KLAC,KLA Corporation,Technology,Semiconductors,NASDAQ,40039014330.0,2021-01-04,2021-01-04,active_screener,10
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,NYSE,156782076000.0,2021-01-04,2021-01-04,active_screener,3
AXP,American Express Company,Financial Services,Financial - Credit Services,NYSE,94904160000.0,2021-01-04,2021-01-04,active_screener,6
PEP,"PepsiCo, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,NASDAQ,199092600000.0,2021-01-04,2021-01-04,active_screener,4
MUFG,"Mitsubishi UFJ Financial Group, Inc.",Financial Services,Banks - Diversified,NYSE,56243128860.0,2021-01-04,2021-01-04,active_screener,6
C,Citigroup Inc.,Financial Services,Banks - Diversified,NYSE,125211480000.0,2021-01-04,2021-01-04,active_screener,6
VZ,Verizon Communications Inc.,Communication Services,Telecommunications Services,NYSE,243697850000.0,2021-01-04,2021-01-04,active_screener,2
TTE,TotalEnergies SE,Energy,Oil & Gas Integrated,NYSE,111445191087.0,2021-01-04,2021-01-04,active_screener,5
SAP,SAP SE,Technology,Software - Application,NYSE,152738181712.0,2021-01-04,2021-01-04,active_screener,10
BHP,BHP Group Limited,Basic Materials,Industrial Materials,NYSE,152196834229.0,2021-01-04,2021-01-04,active_screener,1
NEE,"NextEra Energy, Inc.",Utilities,Regulated Electric,NYSE,145589952000.0,2021-01-04,2021-01-04,active_screener,11
TXN,Texas Instruments Incorporated,Technology,Semiconductors,NASDAQ,149566840000.0,2021-01-04,2021-01-04,active_screener,10
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,NASDAQ,130782820000.0,2021-01-04,2021-01-04,active_screener,7
ABT,Abbott Laboratories,Healthcare,Medical - Devices,NYSE,193868846348.0,2021-01-04,2021-01-04,active_screener,7
TJX,"The TJX Companies, Inc.",Consumer Cyclical,Apparel - Retail,NYSE,80485873380.0,2021-01-04,2021-01-04,active_screener,3
ANET,"Arista Networks, Inc.",Technology,Computer Hardware,NYSE,21609859200.0,2021-01-04,2021-01-04,active_screener,10
T,AT&T Inc.,Communication Services,Telecommunications Services,NYSE,159117420000.0,2021-01-04,2021-01-04,active_screener,2
SAN,"Banco Santander, S.A.",Financial Services,Banks - Diversified,NYSE,58077176468.0,2021-01-04,2021-01-04,active_screener,6
DIS,The Walt Disney Company,Communication Services,Entertainment,NYSE,322844560000.0,2021-01-04,2021-01-04,active_screener,2
GILD,"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General,NASDAQ,75498160000.0,2021-01-04,2021-01-04,active_screener,7
TMO,Thermo Fisher Scientific Inc.,Healthcare,Medical - Diagnostics & Research,NYSE,185897080000.0,2021-01-04,2021-01-04,active_screener,7
SCHW,The Charles Schwab Corporation,Financial Services,Financial - Capital Markets,NYSE,99294320000.0,2021-01-04,2021-01-04,active_screener,6
BA,The Boeing Company,Industrials,Aerospace & Defense,NYSE,118591200000.0,2021-01-04,2021-01-04,active_screener,8
ADI,"Analog Devices, Inc.",Technology,Semiconductors,NASDAQ,53911022060.0,2021-01-04,2021-01-04,active_screener,10
TD,The Toronto-Dominion Bank,Financial Services,Banks - Diversified,NYSE,104160463255.0,2021-01-04,2021-01-04,active_screener,6
NVO,Novo Nordisk A/S,Healthcare,Drug Manufacturers - General,NYSE,164997824000.0,2021-01-04,2021-01-04,active_screener,7
CRM,"Salesforce, Inc.",Technology,Software - Application,NYSE,201803960000.0,2021-01-04,2021-01-04,active_screener,10
APH,Amphenol Corporation,Technology,"Hardware, Equipment & Parts",NYSE,38459610000.0,2021-01-04,2021-01-04,active_screener,10
DE,Deere & Company,Industrials,Agricultural - Machinery,NYSE,83905140000.0,2021-01-04,2021-01-04,active_screener,8
ISRG,"Intuitive Surgical, Inc.",Healthcare,Medical - Instruments & Supplies,NASDAQ,94241181200.0,2021-01-04,2021-01-04,active_screener,7
RIO,Rio Tinto Group,Basic Materials,Industrial Materials,NYSE,125224759000.0,2021-01-04,2021-01-04,active_screener,1
SHOP,Shopify Inc.,Technology,Software - Application,NASDAQ,134631417880.0,2021-01-04,2021-01-04,active_screener,10
BLK,"BlackRock, Inc.",Financial Services,Asset Management,NYSE,108883529861.0,2021-01-04,2021-01-04,active_screener,6
PFE,Pfizer Inc.,Healthcare,Drug Manufacturers - General,NYSE,205547040000.0,2021-01-04,2021-01-04,active_screener,7
SCCO,Southern Copper Corporation,Basic Materials,Copper,NYSE,50004108000.0,2021-01-04,2021-01-04,active_screener,1
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,NYSE,51455838750.0,2021-01-04,2021-01-04,active_screener,5
ETN,Eaton Corporation plc,Industrials,Industrial - Machinery,NYSE,47298125000.0,2021-01-04,2021-01-04,active_screener,8
UBER,"Uber Technologies, Inc.",Technology,Software - Application,NYSE,92052000000.0,2021-01-04,2021-01-04,active_screener,10
UNP,Union Pacific Corporation,Industrials,Railroads,NYSE,135529476000.0,2021-01-04,2021-01-04,active_screener,8
HON,Honeywell International Inc.,Industrials,Conglomerates,NASDAQ,144774790000.0,2021-01-04,2021-01-04,active_screener,8
LMT,Lockheed Martin Corporation,Industrials,Aerospace & Defense,NYSE,96154560000.0,2021-01-04,2021-01-04,active_screener,8
BKNG,Booking Holdings Inc.,Consumer Cyclical,Travel Services,NASDAQ,88665572000.0,2021-01-04,2021-01-04,active_screener,3
BUD,Anheuser-Busch InBev SA/NV,Consumer Defensive,Beverages - Alcoholic,NYSE,139888850000.0,2021-01-04,2021-01-04,active_screener,4
WELL,Welltower Inc.,Real Estate,REIT - Healthcare Facilities,NYSE,25702045600.0,2021-01-04,2021-01-04,active_screener,9
PDD,PDD Holdings Inc.,Consumer Cyclical,Specialty Retail,NASDAQ,207788283350.0,2021-01-04,2021-01-04,active_screener,3
GLW,Corning Incorporated,Technology,"Hardware, Equipment & Parts",NYSE,26748720000.0,2021-01-04,2021-01-04,active_screener,10
BX,Blackstone Inc.,Financial Services,Asset Management,NYSE,68494974382.0,2021-01-04,2021-01-04,active_screener,6
HDB,HDFC Bank Limited,Financial Services,Banks - Regional,NYSE,129485510000.0,2021-01-04,2021-01-04,active_screener,6
DHR,Danaher Corporation,Healthcare,Medical - Diagnostics & Research,NYSE,141120884000.0,2021-01-04,2021-01-04,active_screener,7
LOW,"Lowe's Companies, Inc.",Consumer Cyclical,Home Improvement,NYSE,117718920000.0,2021-01-04,2021-01-04,active_screener,3
QCOM,QUALCOMM Incorporated,Technology,Semiconductors,NASDAQ,168250500000.0,2021-01-04,2021-01-04,active_screener,10
BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",Financial Services,Banks - Diversified,NYSE,32885580000.0,2021-01-04,2021-01-04,active_screener,6
TBB,AT&T Inc. 5.35% GLB NTS 66,Communication Services,Telecommunications Services,NYSE,159117420000.0,2021-01-04,2021-01-04,active_screener,2
UBS,UBS Group AG,Financial Services,Banks - Diversified,NYSE,50564057353.0,2021-01-04,2021-01-04,active_screener,6
SPGI,S&P Global Inc.,Financial Services,Financial - Data & Stock Exchanges,NYSE,80179950000.0,2021-01-04,2021-01-04,active_screener,6
BTI,British American Tobacco p.l.c.,Consumer Defensive,Tobacco,NYSE,86219900000.0,2021-01-04,2021-01-04,active_screener,4
SYK,Stryker Corporation,Healthcare,Medical - Devices,NYSE,89943226000.0,2021-01-04,2021-01-04,active_screener,7
CB,Chubb Limited,Financial Services,Insurance - Property & Casualty,NYSE,67459289516.0,2021-01-04,2021-01-04,active_screener,6
PBR,Petróleo Brasileiro S.A. - Petrobras,Energy,Oil & Gas Integrated,NYSE,72982306049.0,2021-01-04,2021-01-04,active_screener,5
NEM,Newmont Corporation,Basic Materials,Gold,NYSE,50583150000.0,2021-01-04,2021-01-04,active_screener,1
PLD,"Prologis, Inc.",Real Estate,REIT - Industrial,NYSE,70973367920.0,2021-01-04,2021-01-04,active_screener,9
SONY,Sony Group Corporation,Technology,Consumer Electronics,NYSE,123577958100.0,2021-01-04,2021-01-04,active_screener,10
UL,Unilever PLC,Consumer Defensive,Household & Personal Products,NYSE,178762487352.0,2021-01-04,2021-01-04,active_screener,4
DELL,Dell Technologies Inc.,Technology,Computer Hardware,NYSE,27540000000.0,2021-01-04,2021-01-04,active_screener,10
IBKR,"Interactive Brokers Group, Inc.",Financial Services,Investment - Banking & Investment Services,NASDAQ,21799009629.0,2021-01-04,2021-01-04,active_screener,6
BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - General,NYSE,137245680000.0,2021-01-04,2021-01-04,active_screener,7
BP,BP p.l.c.,Energy,Oil & Gas Integrated,NYSE,70466452709.0,2021-01-04,2021-01-04,active_screener,5
PH,Parker-Hannifin Corporation,Industrials,Industrial - Machinery,NYSE,34339341469.0,2021-01-04,2021-01-04,active_screener,8
ACN,Accenture plc,Technology,Information Technology Services,NYSE,163107016110.0,2021-01-04,2021-01-04,active_screener,10
COF,Capital One Financial Corporation,Financial Services,Financial - Credit Services,NYSE,44869424000.0,2021-01-04,2021-01-04,active_screener,6
PANW,"Palo Alto Networks, Inc.",Technology,Software - Infrastructure,NASDAQ,33724194000.0,2021-01-04,2021-01-04,active_screener,10
GSK,GSK plc,Healthcare,Drug Manufacturers - General,NYSE,75374328000.0,2021-01-04,2021-01-04,active_screener,7
PGR,The Progressive Corporation,Financial Services,Insurance - Property & Casualty,NYSE,56811337000.0,2021-01-04,2021-01-04,active_screener,6
PBR-A,Petróleo Brasileiro S.A. - Petrobras,Energy,Oil & Gas Integrated,NYSE,71743106930.0,2021-01-04,2021-01-04,active_screener,5
ENB,Enbridge Inc.,Energy,Oil & Gas Midstream,NYSE,64643340000.0,2021-01-04,2021-01-04,active_screener,5
WDC,Western Digital Corporation,Technology,Computer Hardware,NASDAQ,12077820000.0,2021-01-04,2021-01-04,active_screener,10
SNY,Sanofi,Healthcare,Drug Manufacturers - General,NASDAQ,60903375000.0,2021-01-04,2021-01-04,active_screener,7
MDT,Medtronic plc,Healthcare,Medical - Devices,NYSE,156209328000.0,2021-01-04,2021-01-04,active_screener,7
HCA,"HCA Healthcare, Inc.",Healthcare,Medical - Care Facilities,NYSE,55330447719.0,2021-01-04,2021-01-04,active_screener,7
VRTX,Vertex Pharmaceuticals Incorporated,Healthcare,Biotechnology,NASDAQ,59507029670.0,2021-01-04,2021-01-04,active_screener,7
MO,"Altria Group, Inc.",Consumer Defensive,Tobacco,NYSE,75839880000.0,2021-01-04,2021-01-04,active_screener,4
SBUX,Starbucks Corporation,Consumer Cyclical,Restaurants,NASDAQ,121400250000.0,2021-01-04,2021-01-04,active_screener,3
SO,The Southern Company,Utilities,Regulated Electric,NYSE,62921600000.0,2021-01-04,2021-01-04,active_screener,11
MFG,"Mizuho Financial Group, Inc.",Financial Services,Banks - Regional,NYSE,32330063169.0,2021-01-04,2021-01-04,active_screener,6
CME,CME Group Inc.,Financial Services,Financial - Data & Stock Exchanges,NASDAQ,64215757100.0,2021-01-04,2021-01-04,active_screener,6
INTU,Intuit Inc.,Technology,Software - Application,NASDAQ,100359000000.0,2021-01-04,2021-01-04,active_screener,10
STX,Seagate Technology Holdings plc,Technology,Computer Hardware,NASDAQ,13998640000.0,2021-01-04,2021-01-04,active_screener,10
AEM,Agnico Eagle Mines Limited,Basic Materials,Gold,NYSE,18268138560.0,2021-01-04,2021-01-04,active_screener,1
MCK,McKesson Corporation,Healthcare,Medical - Distribution,NYSE,27699484000.0,2021-01-04,2021-01-04,active_screener,7
BNJ,Brookfield Finance Inc. 4.50% P,Financial Services,Investment - Banking & Investment Services,NYSE,48555022500.0,2021-01-04,2021-01-04,active_screener,6
VRT,Vertiv Holdings Co,Industrials,Electrical Equipment & Parts,NYSE,6474660542.0,2021-01-04,2021-01-04,active_screener,8
DUK,Duke Energy Corporation,Utilities,Regulated Electric,NYSE,68986990000.0,2021-01-04,2021-01-04,active_screener,11
CRWD,"CrowdStrike Holdings, Inc.",Technology,Software - Infrastructure,NASDAQ,44448633000.0,2021-01-04,2021-01-04,active_screener,10
BNH,Brookfield Finance Inc. 4.625%,Financial Services,Financial - Credit Services,NYSE,48555022500.0,2021-01-04,2021-01-04,active_screener,6
NOW,"ServiceNow, Inc.",Technology,Software - Application,NYSE,103789450000.0,2021-01-04,2021-01-04,active_screener,10
CMCSA,Comcast Corporation,Communication Services,Telecommunications Services,NASDAQ,231891410000.0,2021-01-04,2021-01-04,active_screener,2
HWM,Howmet Aerospace Inc.,Industrials,Industrial - Machinery,NYSE,11661580000.0,2021-01-04,2021-01-04,active_screener,8
EQNR,Equinor ASA,Energy,Oil & Gas Integrated,NYSE,54793760000.0,2021-01-04,2021-01-04,active_screener,5
EQIX,"Equinix, Inc.",Real Estate,REIT - Specialty,NASDAQ,61866384799.0,2021-01-04,2021-01-04,active_screener,9
CVS,CVS Health Corporation,Healthcare,Medical - Healthcare Plans,NYSE,91896870000.0,2021-01-04,2021-01-04,active_screener,7
MRVL,"Marvell Technology, Inc.",Technology,Semiconductors,NASDAQ,31191127990.0,2021-01-04,2021-01-04,active_screener,10
TT,Trane Technologies plc,Industrials,Construction,NYSE,34468812000.0,2021-01-04,2021-01-04,active_screener,8
BMO,Bank of Montreal,Financial Services,Banks - Diversified,NYSE,49959026353.0,2021-01-04,2021-01-04,active_screener,6
IBN,ICICI Bank Limited,Financial Services,Banks - Regional,NYSE,49898264740.0,2021-01-04,2021-01-04,active_screener,6
SPOT,Spotify Technology S.A.,Communication Services,Internet Content & Information,NYSE,59265838467.0,2021-01-04,2021-01-04,active_screener,2
NOC,Northrop Grumman Corporation,Industrials,Aerospace & Defense,NYSE,48075356000.0,2021-01-04,2021-01-04,active_screener,8
ITUB,Itaú Unibanco Holding S.A.,Financial Services,Banks - Regional,NYSE,43079260901.0,2021-01-04,2021-01-04,active_screener,6
CNQ,Canadian Natural Resources Limited,Energy,Oil & Gas Exploration & Production,NYSE,28974866440.0,2021-01-04,2021-01-04,active_screener,5
ICE,"Intercontinental Exchange, Inc.",Financial Services,Financial - Data & Stock Exchanges,NYSE,63674600000.0,2021-01-04,2021-01-04,active_screener,6
ADBE,Adobe Inc.,Technology,Software - Infrastructure,NASDAQ,232477860000.0,2021-01-04,2021-01-04,active_screener,10
GD,General Dynamics Corporation,Industrials,Aerospace & Defense,NYSE,41461845880.0,2021-01-04,2021-01-04,active_screener,8
BN,Brookfield Corporation,Financial Services,Asset Management,NYSE,48555022500.0,2021-01-04,2021-01-04,active_screener,6
FCX,Freeport-McMoRan Inc.,Basic Materials,Copper,NYSE,39732960000.0,2021-01-04,2021-01-04,active_screener,1
WM,"Waste Management, Inc.",Industrials,Waste Management,NYSE,48561607000.0,2021-01-04,2021-01-04,active_screener,8
BSX,Boston Scientific Corporation,Healthcare,Medical - Devices,NYSE,50037549000.0,2021-01-04,2021-01-04,active_screener,7
CM,Canadian Imperial Bank of Commerce,Financial Services,Banks - Diversified,NYSE,37804190120.0,2021-01-04,2021-01-04,active_screener,6
MAR,"Marriott International, Inc.",Consumer Cyclical,Travel Lodging,NASDAQ,40762359000.0,2021-01-04,2021-01-04,active_screener,3
NGG,National Grid plc,Utilities,Regulated Electric,NYSE,45857322349.0,2021-01-04,2021-01-04,active_screener,11
WMB,"The Williams Companies, Inc.",Energy,Oil & Gas Midstream,NYSE,24414384600.0,2021-01-04,2021-01-04,active_screener,5
MELI,"MercadoLibre, Inc.",Consumer Cyclical,Specialty Retail,NASDAQ,81782905000.0,2021-01-04,2021-01-04,active_screener,3
BK,The Bank of New York Mellon Corporation,Financial Services,Asset Management,NYSE,36833323450.0,2021-01-04,2021-01-04,active_screener,6
FDX,FedEx Corporation,Industrials,Integrated Freight & Logistics,NYSE,67095350000.0,2021-01-04,2021-01-04,active_screener,8
PNC,"The PNC Financial Services Group, Inc.",Financial Services,Banks - Regional,NYSE,63537900000.0,2021-01-04,2021-01-04,active_screener,6
BNS,The Bank of Nova Scotia,Financial Services,Banks - Diversified,NYSE,64187520000.0,2021-01-04,2021-01-04,active_screener,6
PWR,"Quanta Services, Inc.",Industrials,Engineering & Construction,NYSE,9563258250.0,2021-01-04,2021-01-04,active_screener,8
USB,U.S. Bancorp,Financial Services,Banks - Regional,NYSE,69272240000.0,2021-01-04,2021-01-04,active_screener,6
MRSH,"Marsh & McLennan Companies, Inc.",Financial Services,Insurance - Brokers,NYSE,57776590000.0,2021-01-04,2021-01-04,active_screener,6
UPS,"United Parcel Service, Inc.",Industrials,Integrated Freight & Logistics,NYSE,142833600000.0,2021-01-04,2021-01-04,active_screener,8
JCI,Johnson Controls International plc,Industrials,Construction,NYSE,31356220000.0,2021-01-04,2021-01-04,active_screener,8
SHW,The Sherwin-Williams Company,Basic Materials,Chemicals - Specialty,NYSE,64100328000.0,2021-01-04,2021-01-04,active_screener,1
KKR,KKR & Co. Inc.,Financial Services,Asset Management,NYSE,22867263891.0,2021-01-04,2021-01-04,active_screener,6
SMFG,"Sumitomo Mitsui Financial Group, Inc.",Financial Services,Banks - Diversified,NYSE,25078807932.0,2021-01-04,2021-01-04,active_screener,6
AMT,American Tower Corporation,Real Estate,REIT - Specialty,NYSE,97609126258.0,2021-01-04,2021-01-04,active_screener,9
ING,ING Groep N.V.,Financial Services,Banks - Diversified,NYSE,36156831541.0,2021-01-04,2021-01-04,active_screener,6
CMI,Cummins Inc.,Industrials,Industrial - Machinery,NYSE,32541390000.0,2021-01-04,2021-01-04,active_screener,8
LYG,Lloyds Banking Group plc,Financial Services,Banks - Regional,NYSE,32807900000.0,2021-01-04,2021-01-04,active_screener,6
EPD,Enterprise Products Partners L.P.,Energy,Oil & Gas Midstream,NYSE,42110070000.0,2021-01-04,2021-01-04,active_screener,5
E,Eni S.p.A.,Energy,Oil & Gas Integrated,NYSE,37136137500.0,2021-01-04,2021-01-04,active_screener,5
BCS,Barclays PLC,Financial Services,Banks - Diversified,NYSE,33176582500.0,2021-01-04,2021-01-04,active_screener,6
ADP,"Automatic Data Processing, Inc.",Industrials,Staffing & Employment Services,NASDAQ,71943168000.0,2021-01-04,2021-01-04,active_screener,8
REGN,"Regeneron Pharmaceuticals, Inc.",Healthcare,Biotechnology,NASDAQ,53356030000.0,2021-01-04,2021-01-04,active_screener,7
EMR,Emerson Electric Co.,Industrials,Industrial - Machinery,NYSE,46759194000.0,2021-01-04,2021-01-04,active_screener,8
MCO,Moody's Corporation,Financial Services,Financial - Data & Stock Exchanges,NYSE,54662400000.0,2021-01-04,2021-01-04,active_screener,6
AMX,"América Móvil, S.A.B. de C.V.",Communication Services,Telecommunications Services,NYSE,49074179987.0,2021-01-04,2021-01-04,active_screener,2
ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services,NASDAQ,83623584000.0,2021-01-04,2021-01-04,active_screener,3
CDNS,"Cadence Design Systems, Inc.",Technology,Software - Application,NASDAQ,37201090960.0,2021-01-04,2021-01-04,active_screener,10
SNPS,"Synopsys, Inc.",Technology,Software - Infrastructure,NASDAQ,38841240600.0,2021-01-04,2021-01-04,active_screener,10
MMM,3M Company,Industrials,Conglomerates,NYSE,83417850000.0,2021-01-04,2021-01-04,active_screener,8
CSX,CSX Corporation,Industrials,Railroads,NASDAQ,66931059999.0,2021-01-04,2021-01-04,active_screener,8
ITW,Illinois Tool Works Inc.,Industrials,Industrial - Machinery,NYSE,64310958000.0,2021-01-04,2021-01-04,active_screener,8
ORLY,"O'Reilly Automotive, Inc.",Consumer Cyclical,Auto - Parts,NASDAQ,30425565441.0,2021-01-04,2021-01-04,active_screener,3
SLB,SLB N.V.,Energy,Oil & Gas Equipment & Services,NYSE,30686100000.0,2021-01-04,2021-01-04,active_screener,5
ECL,Ecolab Inc.,Basic Materials,Chemicals - Specialty,NYSE,61292660000.0,2021-01-04,2021-01-04,active_screener,1
SU,Suncor Energy Inc.,Energy,Oil & Gas Integrated,NYSE,25447840000.0,2021-01-04,2021-01-04,active_screener,5
RCL,Royal Caribbean Cruises Ltd.,Consumer Cyclical,Travel Services,NYSE,17185242880.0,2021-01-04,2021-01-04,active_screener,3
CRH,CRH plc,Basic Materials,Construction Materials,NYSE,33497453000.0,2021-01-04,2021-01-04,active_screener,1
MDLZ,"Mondelez International, Inc.",Consumer Defensive,Food Confectioners,NASDAQ,81783040000.0,2021-01-04,2021-01-04,active_screener,4
MSI,"Motorola Solutions, Inc.",Technology,Communication Equipment,NYSE,28357750000.0,2021-01-04,2021-01-04,active_screener,10
