SectorCode,Observations_Before,Sector,Observations_After,Removed,RetentionRate,Share_Before,Share_After
1,2750,Basic Materials,659,2091,0.23963636363636365,0.09090909090909091,0.03701415412266906
2,2750,Communication Services,2313,437,0.8410909090909091,0.09090909090909091,0.12991462592675804
3,2750,Consumer Cyclical,2411,339,0.8767272727272727,0.09090909090909091,0.13541900696472703
4,2750,Consumer Defensive,1404,1346,0.5105454545454545,0.09090909090909091,0.07885868344192316
5,2750,Energy,1275,1475,0.4636363636363636,0.09090909090909091,0.07161312064704561
6,2750,Financial Services,1832,918,0.6661818181818182,0.09090909090909091,0.10289822511795102
7,2750,Healthcare,2297,453,0.8352727272727273,0.09090909090909091,0.12901595147157943
8,2750,Industrials,1889,861,0.6869090909090909,0.09090909090909091,0.10609975286452483
9,2750,Real Estate,587,2163,0.21345454545454545,0.09090909090909091,0.03297011907436531
10,2750,Technology,2544,206,0.9250909090909091,0.09090909090909091,0.14288923837339923
11,2750,Utilities,593,2157,0.21563636363636363,0.09090909090909091,0.03330712199505729
