Date,Revenue,NetIncome,OperatingIncome,GrossProfit,Assets,Equity,CurrentAssets,CurrentLiabilities,Cash,OperatingCashFlow,EPS,SharesOutstanding,Ticker
2021-09-30,4623000000.0,,1107400000.0,,86337100000.0,22278100000.0,5785100000.0,9954000000.0,1372700000.0,2973000000.0,1.58,501233680.0,AEP
2021-12-31,16792000000.0,,3411300000.0,,87668700000.0,22433200000.0,7809200000.0,12426700000.0,403400000.0,3839900000.0,4.96,500522177.0,AEP
2022-03-31,4592600000.0,,988100000.0,,89831400000.0,23791300000.0,8268000000.0,13568600000.0,675600000.0,1622200000.0,1.41,506050147.0,AEP
2022-06-30,9232300000.0,520800000.0,1992500000.0,,90861300000.0,24056000000.0,9371000000.0,12448000000.0,575300000.0,2990700000.0,1.02,513623431.0,AEP
2022-09-30,14758400000.0,520800000.0,2922600000.0,,91249400000.0,24278200000.0,9320000000.0,11836400000.0,522200000.0,4733200000.0,1.33,513730196.0,AEP
2022-12-31,19639500000.0,,3482700000.0,,93403300000.0,23893400000.0,6775500000.0,13266300000.0,509400000.0,5288000000.0,4.49,511841946.0,AEP
2023-03-31,4690900000.0,400400000.0,704800000.0,,94517900000.0,23738200000.0,7798200000.0,12621700000.0,343500000.0,717800000.0,0.77,514176648.0,AEP
2023-06-30,4372500000.0,516100000.0,874700000.0,,96002100000.0,23901400000.0,8041300000.0,13267100000.0,304900000.0,1881600000.0,1.01,514879144.0,AEP
2023-09-30,5341700000.0,958300000.0,1353300000.0,,95125600000.0,25309700000.0,6736600000.0,11278100000.0,353300000.0,3675700000.0,1.83,520459880.0,AEP
2023-12-31,18982300000.0,,3556200000.0,,96684000000.0,25246700000.0,6082100000.0,11583600000.0,330100000.0,5012000000.0,4.24,518903682.0,AEP
2024-03-31,5025700000.0,1005700000.0,1172600000.0,,97744600000.0,25803300000.0,5849600000.0,10906600000.0,230700000.0,1442200000.0,1.9,526552036.0,AEP
2024-06-30,4579200000.0,,683900000.0,,99622600000.0,26135200000.0,6652800000.0,10162700000.0,202500000.0,2904200000.0,0.64,528898816.0,AEP
2024-09-30,5420100000.0,961700000.0,1351500000.0,,100119100000.0,26617400000.0,6020800000.0,10647600000.0,245800000.0,5076900000.0,1.8,532208876.0,AEP
2024-12-31,19721300000.0,,4303600000.0,,103078000000.0,26944000000.0,5789000000.0,13009000000.0,203000000.0,6804000000.0,5.58,530092672.0,AEP
2025-03-31,5463400000.0,,1284200000.0,,104394600000.0,27320700000.0,5936900000.0,14242300000.0,256800000.0,1450000000.0,1.5,533391487.0,AEP
2025-06-30,5086900000.0,,1399100000.0,,107778500000.0,29871100000.0,6321900000.0,11443300000.0,227300000.0,2671100000.0,2.29,534283554.0,AEP
2025-09-30,16560700000.0,,4204700000.0,,110253500000.0,30389300000.0,6860000000.0,9997600000.0,1067700000.0,5130800000.0,5.59,534186206.0,AEP
2025-12-31,21876000000.0,,5319000000.0,,114460000000.0,31138000000.0,6052000000.0,13314000000.0,197000000.0,6944000000.0,6.66,534535444.0,AEP
2021-03-27,,555000000.0,662000000.0,1587000000.0,10047000000.0,6477000000.0,7197000000.0,2864000000.0,1763000000.0,898000000.0,0.45,1215000000.0,AMD
2021-06-26,,710000000.0,1493000000.0,3417000000.0,10691000000.0,7065000000.0,7818000000.0,2892000000.0,2623000000.0,1850000000.0,1.03,1213000000.0,AMD
2021-09-25,,923000000.0,948000000.0,2086000000.0,11153000000.0,7136000000.0,7988000000.0,3564000000.0,2440000000.0,2699000000.0,0.75,1212000000.0,AMD
2021-12-25,,3162000000.0,3648000000.0,7929000000.0,12419000000.0,7497000000.0,8583000000.0,4240000000.0,2535000000.0,3521000000.0,2.57,1207000000.0,AMD
2022-03-26,,786000000.0,951000000.0,2818000000.0,66915000000.0,55333000000.0,13369000000.0,5581000000.0,4740000000.0,995000000.0,0.56,1620000000.0,AMD
2022-06-25,,447000000.0,526000000.0,3028000000.0,67502000000.0,55169000000.0,13462000000.0,5523000000.0,4964000000.0,2033000000.0,0.27,1612000000.0,AMD
2022-09-24,,66000000.0,-64000000.0,2354000000.0,67811000000.0,54542000000.0,14420000000.0,6691000000.0,3398000000.0,2998000000.0,0.04,1612000000.0,AMD
2022-12-31,,1320000000.0,1264000000.0,10603000000.0,67580000000.0,54750000000.0,15019000000.0,6369000000.0,4835000000.0,3565000000.0,0.84,1612000000.0,AMD
2023-04-01,,-139000000.0,-145000000.0,2359000000.0,67634000000.0,54694000000.0,15658000000.0,6577000000.0,3825000000.0,486000000.0,-0.09,1609000000.0,AMD
2023-07-01,,27000000.0,-20000000.0,2443000000.0,67967000000.0,55136000000.0,16505000000.0,7572000000.0,3841000000.0,865000000.0,0.02,1614000000.0,AMD
2023-09-30,,299000000.0,224000000.0,2747000000.0,67626000000.0,54970000000.0,16688000000.0,7627000000.0,3561000000.0,1286000000.0,0.18,1615000000.0,AMD
2023-12-30,,854000000.0,401000000.0,10460000000.0,67885000000.0,55892000000.0,16768000000.0,6689000000.0,3933000000.0,1667000000.0,0.53,1616000000.0,AMD
2024-03-30,,123000000.0,36000000.0,2560000000.0,67895000000.0,56198000000.0,17084000000.0,6474000000.0,4190000000.0,521000000.0,0.07,1618000000.0,AMD
2024-06-29,,388000000.0,269000000.0,2864000000.0,67886000000.0,56538000000.0,17465000000.0,6195000000.0,4113000000.0,1114000000.0,0.16,1618000000.0,AMD
2024-09-28,,771000000.0,724000000.0,3419000000.0,69636000000.0,56985000000.0,18735000000.0,7500000000.0,3897000000.0,1742000000.0,0.47,1623000000.0,AMD
2024-12-28,,1641000000.0,1900000000.0,12725000000.0,69226000000.0,57568000000.0,19049000000.0,7281000000.0,3787000000.0,3041000000.0,1.0,1622000000.0,AMD
2025-03-29,,709000000.0,806000000.0,3736000000.0,71550000000.0,57881000000.0,21595000000.0,7703000000.0,6049000000.0,939000000.0,0.44,1616000000.0,AMD
2025-06-28,,872000000.0,-134000000.0,3059000000.0,74820000000.0,59665000000.0,24519000000.0,9843000000.0,4442000000.0,2950000000.0,0.54,1622000000.0,AMD
2025-09-27,,2824000000.0,1942000000.0,11575000000.0,76891000000.0,60790000000.0,27000000000.0,11700000000.0,4808000000.0,5109000000.0,1.73,1628000000.0,AMD
2025-12-27,,4335000000.0,3694000000.0,17152000000.0,76926000000.0,62999000000.0,26947000000.0,9455000000.0,5539000000.0,7709000000.0,2.65,1630000000.0,AMD
2021-03-31,5901000000.0,1646000000.0,2129000000.0,,62539000000.0,9334000000.0,21299000000.0,12869000000.0,6112000000.0,2104000000.0,2.83,575300000.0,AMGN
2021-06-30,6526000000.0,464000000.0,828000000.0,,59773000000.0,8247000000.0,19099000000.0,14585000000.0,6630000000.0,4035000000.0,0.81,569600000.0,AMGN
2021-09-30,,3994000000.0,2378000000.0,,64993000000.0,8217000000.0,24380000000.0,14842000000.0,11969000000.0,6453000000.0,3.31,565000000.0,AMGN
2021-12-31,,5893000000.0,7639000000.0,,61165000000.0,6700000000.0,19385000000.0,12184000000.0,7989000000.0,9261000000.0,10.28,558300000.0,AMGN
2022-03-31,,1476000000.0,2500000000.0,,59196000000.0,916000000.0,18520000000.0,12886000000.0,6528000000.0,2164000000.0,2.68,534200000.0,AMGN
2022-06-30,,1317000000.0,2176000000.0,,59294000000.0,2419000000.0,19322000000.0,12618000000.0,5203000000.0,4094000000.0,5.13,534900000.0,AMGN
2022-09-30,,4936000000.0,2660000000.0,,63700000000.0,3653000000.0,24062000000.0,14331000000.0,9502000000.0,7072000000.0,3.98,533500000.0,AMGN
2022-12-31,,6552000000.0,9566000000.0,,65121000000.0,3661000000.0,22186000000.0,15687000000.0,7629000000.0,9721000000.0,12.11,534000000.0,AMGN
2023-03-31,,2841000000.0,1921000000.0,,88720000000.0,5348000000.0,44703000000.0,14215000000.0,31560000000.0,1064000000.0,5.28,534300000.0,AMGN
2023-06-30,,4220000000.0,2684000000.0,,90269000000.0,6781000000.0,47380000000.0,17097000000.0,34248000000.0,5173000000.0,2.57,534900000.0,AMGN
2023-09-30,,1730000000.0,2021000000.0,,90534000000.0,7656000000.0,48477000000.0,16954000000.0,34741000000.0,7933000000.0,3.22,535100000.0,AMGN
2023-12-31,,6717000000.0,7897000000.0,,97154000000.0,6232000000.0,30332000000.0,18392000000.0,10944000000.0,8471000000.0,12.49,535400000.0,AMGN
2024-03-31,,-113000000.0,991000000.0,,92980000000.0,5022000000.0,28029000000.0,19714000000.0,9708000000.0,689000000.0,-0.21,536400000.0,AMGN
2024-06-30,,746000000.0,1909000000.0,,90907000000.0,5925000000.0,27206000000.0,21517000000.0,9301000000.0,3148000000.0,1.38,537200000.0,AMGN
2024-09-30,,2830000000.0,2047000000.0,,90883000000.0,7527000000.0,26766000000.0,20312000000.0,9011000000.0,6719000000.0,5.22,537500000.0,AMGN
2024-12-31,,4090000000.0,7258000000.0,,91839000000.0,5877000000.0,29030000000.0,23099000000.0,11973000000.0,11490000000.0,7.56,536900000.0,AMGN
2025-03-31,,1730000000.0,1178000000.0,,89367000000.0,6207000000.0,26929000000.0,23008000000.0,8810000000.0,1391000000.0,3.2,537700000.0,AMGN
2025-06-30,,1432000000.0,2656000000.0,,87897000000.0,7428000000.0,26734000000.0,20476000000.0,8028000000.0,3671000000.0,2.65,538300000.0,AMGN
2025-09-30,,6378000000.0,6360000000.0,,90141000000.0,9619000000.0,27885000000.0,21791000000.0,9445000000.0,8355000000.0,11.77,538500000.0,AMGN
2025-12-31,,7711000000.0,9080000000.0,,90586000000.0,8658000000.0,29057000000.0,25489000000.0,9129000000.0,9958000000.0,14.23,538800000.0,AMGN
2021-03-31,2158500000.0,645000000.0,828700000.0,,46942500000.0,3883400000.0,3021600000.0,4196600000.0,1913600000.0,1092700000.0,1.45,444793000.0,AMT
2021-06-30,4457400000.0,746300000.0,849200000.0,,58982900000.0,5754200000.0,3356000000.0,5952100000.0,1928000000.0,2044600000.0,1.65,455031000.0,AMT
2021-09-30,2454300000.0,723000000.0,2505400000.0,,60530000000.0,5411200000.0,5041900000.0,6524100000.0,3277200000.0,4141000000.0,4.68,455409000.0,AMT
2021-12-31,9356900000.0,,3132000000.0,,69887900000.0,5081200000.0,3729400000.0,9067300000.0,1949900000.0,4819900000.0,5.66,455772000.0,AMT
2022-03-31,2660300000.0,711700000.0,725100000.0,,69763500000.0,5363000000.0,3791900000.0,9300000000.0,1941500000.0,663600000.0,1.56,456277000.0,AMT
2022-06-30,2674300000.0,898200000.0,1507400000.0,,68116800000.0,6958700000.0,3725600000.0,7461700000.0,2066700000.0,1578900000.0,3.51,465585000.0,AMT
2022-09-30,8006100000.0,839700000.0,652900000.0,,66512800000.0,6281800000.0,3759000000.0,6622600000.0,2121800000.0,2511200000.0,1.8,465602000.0,AMT
2022-12-31,9645400000.0,,2352300000.0,,67194500000.0,5572400000.0,3622300000.0,8311900000.0,2028400000.0,3696200000.0,3.82,465619000.0,AMT
2023-03-31,2520400000.0,,775600000.0,,66817700000.0,5406600000.0,3450100000.0,7532100000.0,1803000000.0,1070500000.0,0.72,466038000.0,AMT
2023-06-30,2514600000.0,,852700000.0,,66879000000.0,5166400000.0,3681400000.0,6925700000.0,2015700000.0,2279900000.0,1.02,466134000.0,AMT
2023-09-30,2818600000.0,,2308000000.0,,65653000000.0,4533300000.0,3849900000.0,6868700000.0,1985800000.0,3580500000.0,2.99,466160000.0,AMT
2023-12-31,2456100000.0,,612800000.0,,66027600000.0,4198200000.0,3710000000.0,7249300000.0,1973300000.0,4722400000.0,0.18,466296000.0,AMT
2024-03-31,2512600000.0,,1236600000.0,,66679000000.0,4047800000.0,4239700000.0,6729800000.0,2217000000.0,1283600000.0,1.96,466964000.0,AMT
2024-06-30,5057300000.0,,1156200000.0,,65837800000.0,3856000000.0,4114100000.0,6888700000.0,2158300000.0,2622100000.0,1.92,467077000.0,AMT
2024-09-30,2522300000.0,,1139200000.0,,62816800000.0,3641700000.0,3399600000.0,7069500000.0,2150300000.0,4091500000.0,-1.69,467276000.0,AMT
2024-12-31,2547600000.0,,1080100000.0,,61077400000.0,3382200000.0,3178800000.0,7075600000.0,1999600000.0,5290500000.0,2.62,467384000.0,AMT
2025-03-31,2562800000.0,,1254100000.0,,62055600000.0,3534800000.0,3506100000.0,6322000000.0,2103700000.0,1295000000.0,1.04,468127000.0,AMT
2025-06-30,2626900000.0,,1197700000.0,,63754500000.0,3712800000.0,3601400000.0,5863600000.0,2076000000.0,2576500000.0,0.78,468224000.0,AMT
2025-09-30,7907100000.0,,3685100000.0,,63888700000.0,3952700000.0,3535400000.0,5993500000.0,1950700000.0,4036500000.0,3.64,468291000.0,AMT
2025-12-31,10644600000.0,,4845800000.0,,63190400000.0,3652500000.0,2741800000.0,6913800000.0,1474800000.0,5464000000.0,5.4,466318000.0,AMT
2021-03-31,,8107000000.0,8865000000.0,,323077000000.0,103320000000.0,121408000000.0,115404000000.0,33834000000.0,67213000000.0,15.79,504000000.0,AMZN
2021-06-30,,29438000000.0,16567000000.0,,360319000000.0,114803000000.0,140848000000.0,117792000000.0,40380000000.0,16928000000.0,0.76,506000000.0,AMZN
2021-09-30,,3156000000.0,4852000000.0,,382406000000.0,120564000000.0,138531000000.0,123994000000.0,29944000000.0,7313000000.0,0.31,507000000.0,AMZN
2021-12-31,,33364000000.0,24879000000.0,,420549000000.0,138245000000.0,161580000000.0,142266000000.0,36220000000.0,46327000000.0,3.24,10175000000.0,AMZN
2022-03-31,,21413000000.0,3669000000.0,,410767000000.0,134001000000.0,133876000000.0,139508000000.0,36393000000.0,-2790000000.0,-7.56,509000000.0,AMZN
2022-06-30,,-2028000000.0,3317000000.0,,419728000000.0,131402000000.0,133667000000.0,140291000000.0,37478000000.0,35574000000.0,-0.58,10183000000.0,AMZN
2022-09-30,,11323000000.0,9511000000.0,,428362000000.0,137489000000.0,131463000000.0,140363000000.0,34947000000.0,11404000000.0,0.28,10198000000.0,AMZN
2022-12-31,,-2722000000.0,12248000000.0,,462675000000.0,146043000000.0,146791000000.0,155393000000.0,53888000000.0,46752000000.0,-0.27,10242000000.0,AMZN
2023-03-31,,3172000000.0,4774000000.0,,464378000000.0,154526000000.0,136221000000.0,147570000000.0,49343000000.0,4788000000.0,0.31,10258000000.0,AMZN
2023-06-30,,9922000000.0,7681000000.0,,477607000000.0,168602000000.0,140482000000.0,148238000000.0,49529000000.0,61841000000.0,0.65,10313000000.0,AMZN
2023-09-30,,9879000000.0,11188000000.0,,486883000000.0,182973000000.0,142995000000.0,145214000000.0,49605000000.0,21217000000.0,0.94,10330000000.0,AMZN
2023-12-31,,30425000000.0,36852000000.0,,527854000000.0,201875000000.0,172351000000.0,164917000000.0,73387000000.0,84946000000.0,2.9,10383000000.0,AMZN
2024-03-31,,37684000000.0,15307000000.0,,530969000000.0,216661000000.0,163989000000.0,152965000000.0,72852000000.0,18989000000.0,0.98,10403000000.0,AMZN
2024-06-30,,13485000000.0,14672000000.0,,554818000000.0,236447000000.0,173307000000.0,158172000000.0,71178000000.0,107952000000.0,1.26,10490000000.0,AMZN
2024-09-30,,39244000000.0,17411000000.0,,584626000000.0,259151000000.0,175792000000.0,161477000000.0,75091000000.0,25971000000.0,1.43,10511000000.0,AMZN
2024-12-31,,59248000000.0,68593000000.0,,624894000000.0,285970000000.0,190867000000.0,179431000000.0,78779000000.0,115877000000.0,5.53,10593000000.0,AMZN
2025-03-31,,17127000000.0,18405000000.0,,643256000000.0,305867000000.0,184645000000.0,176171000000.0,66207000000.0,17015000000.0,1.59,10613000000.0,AMZN
2025-06-30,,35291000000.0,19171000000.0,,682170000000.0,333775000000.0,191420000000.0,186921000000.0,57741000000.0,49530000000.0,1.68,10660000000.0,AMZN
2025-09-30,,76482000000.0,54998000000.0,,727921000000.0,369631000000.0,196866000000.0,195196000000.0,66922000000.0,130691000000.0,5.22,10687000000.0,AMZN
2025-12-31,,77670000000.0,79975000000.0,,818042000000.0,411065000000.0,229083000000.0,218005000000.0,86810000000.0,139514000000.0,7.17,10731000000.0,AMZN
2021-03-31,2502000000.0,473100000.0,548500000.0,,26158900000.0,12726200000.0,8766600000.0,3017400000.0,5786300000.0,,2.13,,APD
2021-06-30,2604700000.0,533600000.0,577100000.0,,26252100000.0,13082900000.0,8376800000.0,2697100000.0,4291600000.0,,2.4,,APD
2021-09-30,10323000000.0,2099100000.0,2281400000.0,,26859200000.0,13539700000.0,8376300000.0,2799100000.0,4468900000.0,,9.43,221396755.0,APD
2021-12-31,2994200000.0,560400000.0,523000000.0,,27125300000.0,13825100000.0,6483500000.0,2630100000.0,2953700000.0,785200000.0,2.52,,APD
2022-03-31,2945100000.0,1090900000.0,1084900000.0,,27449700000.0,13955100000.0,6249400000.0,3205100000.0,2348700000.0,1305000000.0,4.9,,APD
2022-06-30,3189300000.0,582100000.0,627400000.0,,27489000000.0,13643900000.0,6367300000.0,3406900000.0,2957400000.0,2213200000.0,2.62,,APD
2022-09-30,12698600000.0,2256100000.0,2338800000.0,,27192600000.0,13144000000.0,6282900000.0,3465800000.0,2711000000.0,,10.14,221838696.0,APD
