Date,Revenue,NetIncome,OperatingIncome,GrossProfit,Assets,Equity,CurrentAssets,CurrentLiabilities,Cash,OperatingCashFlow,EPS,SharesOutstanding,Ticker
2021-03-27,,23630000000.0,61037000000.0,38079000000.0,337158000000.0,69178000000.0,121465000000.0,106385000000.0,38466000000.0,62744000000.0,1.4,16686305000.0,AAPL
2021-06-26,,21744000000.0,24126000000.0,35255000000.0,329840000000.0,64280000000.0,114423000000.0,107754000000.0,34050000000.0,83838000000.0,1.3,16556942000.0,AAPL
2021-09-25,,94680000000.0,108949000000.0,152836000000.0,351002000000.0,63090000000.0,134836000000.0,125481000000.0,34940000000.0,104038000000.0,5.61,16426786000.0,AAPL
2021-12-25,,34630000000.0,41488000000.0,54243000000.0,381191000000.0,71932000000.0,153154000000.0,147574000000.0,37119000000.0,46966000000.0,2.1,16340851000.0,AAPL
2022-03-26,,59640000000.0,71467000000.0,96802000000.0,350662000000.0,67399000000.0,118180000000.0,127508000000.0,28098000000.0,75132000000.0,3.62,16207568000.0,AAPL
2022-06-25,,19442000000.0,23076000000.0,35885000000.0,336309000000.0,58107000000.0,112292000000.0,129873000000.0,27502000000.0,98024000000.0,1.2,16095378000.0,AAPL
2022-09-24,,99803000000.0,119437000000.0,170782000000.0,352755000000.0,50672000000.0,135405000000.0,153982000000.0,23646000000.0,122151000000.0,6.11,15943425000.0,AAPL
2022-12-31,,29998000000.0,36016000000.0,50332000000.0,346747000000.0,56727000000.0,128777000000.0,137286000000.0,20535000000.0,34005000000.0,1.88,15842407000.0,AAPL
2023-04-01,,24160000000.0,64334000000.0,41976000000.0,332160000000.0,62158000000.0,112913000000.0,120075000000.0,24687000000.0,62565000000.0,1.52,15723406000.0,AAPL
2023-07-01,,74039000000.0,22998000000.0,128721000000.0,335038000000.0,60274000000.0,122659000000.0,124963000000.0,28408000000.0,88945000000.0,4.67,15647868000.0,AAPL
2023-09-30,,96995000000.0,114301000000.0,169148000000.0,352583000000.0,62146000000.0,143566000000.0,145308000000.0,29965000000.0,110543000000.0,6.13,15550061000.0,AAPL
2023-12-30,,33916000000.0,40373000000.0,54855000000.0,353514000000.0,74100000000.0,143692000000.0,133973000000.0,40760000000.0,39895000000.0,2.18,15460223000.0,AAPL
2024-03-30,,57552000000.0,68273000000.0,97126000000.0,337411000000.0,74194000000.0,128416000000.0,123822000000.0,32695000000.0,62585000000.0,3.71,15337686000.0,AAPL
2024-06-29,,21448000000.0,25352000000.0,39678000000.0,331612000000.0,66708000000.0,125435000000.0,131624000000.0,25565000000.0,91443000000.0,1.4,15222259000.0,AAPL
2024-09-28,,93736000000.0,123216000000.0,180683000000.0,364980000000.0,56950000000.0,152987000000.0,176392000000.0,29943000000.0,118254000000.0,6.08,15116786000.0,AAPL
2024-12-28,,36330000000.0,42832000000.0,58275000000.0,344085000000.0,66758000000.0,133240000000.0,144365000000.0,30299000000.0,29935000000.0,2.4,15040731000.0,AAPL
2025-03-29,,24780000000.0,29589000000.0,44867000000.0,331233000000.0,66796000000.0,118674000000.0,144571000000.0,28162000000.0,53887000000.0,1.65,14939315000.0,AAPL
2025-06-28,,23434000000.0,28202000000.0,43718000000.0,331495000000.0,65830000000.0,122491000000.0,141120000000.0,36269000000.0,81754000000.0,1.57,14856722000.0,AAPL
2025-09-27,,112010000000.0,133050000000.0,195201000000.0,359241000000.0,73733000000.0,147957000000.0,165631000000.0,35934000000.0,111482000000.0,7.46,14773260000.0,AAPL
2025-12-27,,42097000000.0,50852000000.0,69231000000.0,379297000000.0,88190000000.0,158104000000.0,162367000000.0,45317000000.0,53925000000.0,2.84,14702703000.0,AAPL
2021-03-31,13010000000.0,3553000000.0,4103000000.0,,150501000000.0,13710000000.0,26569000000.0,31951000000.0,9755000000.0,4877000000.0,1.99,1769000000.0,ABBV
2021-06-30,26969000000.0,766000000.0,4441000000.0,,147972000000.0,12569000000.0,25999000000.0,28684000000.0,8546000000.0,9767000000.0,0.42,1769000000.0,ABBV
2021-09-30,14342000000.0,3179000000.0,4306000000.0,,148858000000.0,13550000000.0,28957000000.0,28533000000.0,12182000000.0,17702000000.0,1.78,1770000000.0,ABBV
2021-12-31,56197000000.0,4044000000.0,17924000000.0,10566000000.0,146529000000.0,15408000000.0,27928000000.0,35194000000.0,9746000000.0,22777000000.0,2.26,1770000000.0,ABBV
2022-03-31,13538000000.0,4490000000.0,4717000000.0,,143211000000.0,16283000000.0,26509000000.0,32521000000.0,6098000000.0,4908000000.0,2.51,1771000000.0,ABBV
2022-06-30,14583000000.0,5414000000.0,3295000000.0,,143186000000.0,14653000000.0,29100000000.0,34473000000.0,8521000000.0,9913000000.0,3.03,1770000000.0,ABBV
2022-09-30,42933000000.0,9363000000.0,4603000000.0,,141325000000.0,15994000000.0,30364000000.0,32712000000.0,11832000000.0,17515000000.0,2.21,1771000000.0,ABBV
2022-12-31,15121000000.0,2473000000.0,18117000000.0,10951000000.0,138805000000.0,17254000000.0,28463000000.0,29538000000.0,9201000000.0,24943000000.0,1.38,1771000000.0,ABBV
2023-03-31,12225000000.0,239000000.0,2768000000.0,,134544000000.0,13274000000.0,26488000000.0,27590000000.0,6711000000.0,4193000000.0,0.13,1770000000.0,ABBV
2023-06-30,13865000000.0,2024000000.0,4513000000.0,,135367000000.0,12866000000.0,28852000000.0,32239000000.0,8759000000.0,10512000000.0,1.26,1767000000.0,ABBV
2023-09-30,13927000000.0,1778000000.0,9562000000.0,,136221000000.0,12094000000.0,33224000000.0,34773000000.0,13287000000.0,18086000000.0,1.0,1768000000.0,ABBV
2023-12-31,54318000000.0,4863000000.0,12757000000.0,8597000000.0,134711000000.0,10360000000.0,33002000000.0,37841000000.0,12814000000.0,22839000000.0,0.46,1768000000.0,ABBV
2024-03-31,12310000000.0,1369000000.0,2798000000.0,,148874000000.0,8007000000.0,38871000000.0,41522000000.0,18067000000.0,4040000000.0,0.77,1769000000.0,ABBV
2024-06-30,14462000000.0,1370000000.0,6796000000.0,,141937000000.0,6778000000.0,33816000000.0,41915000000.0,13130000000.0,6311000000.0,1.53,1769000000.0,ABBV
2024-09-30,41232000000.0,1561000000.0,3831000000.0,,143422000000.0,6032000000.0,27785000000.0,43062000000.0,7257000000.0,11758000000.0,0.88,1769000000.0,ABBV
2024-12-31,15102000000.0,-22000000.0,9137000000.0,10706000000.0,135161000000.0,3325000000.0,25582000000.0,38749000000.0,5524000000.0,18806000000.0,-0.02,1769000000.0,ABBV
2025-03-31,13343000000.0,1286000000.0,3733000000.0,,136165000000.0,1420000000.0,27675000000.0,36403000000.0,5175000000.0,1635000000.0,0.72,1768000000.0,ABBV
2025-06-30,15423000000.0,938000000.0,4894000000.0,,137182000000.0,-183000000.0,29261000000.0,39767000000.0,6467000000.0,6788000000.0,0.52,1768000000.0,ABBV
2025-09-30,15776000000.0,186000000.0,10531000000.0,,133898000000.0,-2642000000.0,28539000000.0,39391000000.0,5629000000.0,13812000000.0,0.1,1769000000.0,ABBV
2025-12-31,16618000000.0,1816000000.0,15075000000.0,12066000000.0,133960000000.0,-3270000000.0,29062000000.0,43289000000.0,5229000000.0,19030000000.0,1.02,1769000000.0,ABBV
2021-03-31,,1793000000.0,2109000000.0,,72785000000.0,33562000000.0,21817000000.0,12462000000.0,8054000000.0,2637000000.0,1.0,1776842000.0,ABT
2021-06-30,,2982000000.0,1392000000.0,,73269000000.0,33800000000.0,22627000000.0,12614000000.0,8658000000.0,4765000000.0,0.66,1779203000.0,ABT
2021-09-30,,2100000000.0,2546000000.0,,73795000000.0,34422000000.0,23492000000.0,12867000000.0,9302000000.0,7466000000.0,2.83,1774516000.0,ABT
2021-12-31,,7071000000.0,8425000000.0,,75196000000.0,35802000000.0,24239000000.0,13105000000.0,9799000000.0,10533000000.0,3.94,1775000000.0,ABT
2022-03-31,,2447000000.0,2912000000.0,,74007000000.0,35399000000.0,23429000000.0,12647000000.0,7675000000.0,2065000000.0,1.37,1761911000.0,ABT
2022-06-30,,4465000000.0,2376000000.0,,74202000000.0,36490000000.0,24956000000.0,12392000000.0,8937000000.0,4475000000.0,2.51,1753865000.0,ABT
2022-09-30,,1435000000.0,1770000000.0,,72801000000.0,35675000000.0,24845000000.0,13365000000.0,9594000000.0,7255000000.0,0.81,1752968000.0,ABT
2022-12-31,,6933000000.0,8362000000.0,,74438000000.0,36686000000.0,25224000000.0,15489000000.0,9882000000.0,9581000000.0,3.91,1753000000.0,ABT
2023-03-31,,1318000000.0,1509000000.0,,73794000000.0,37010000000.0,24377000000.0,14530000000.0,9161000000.0,1143000000.0,0.75,1741738000.0,ABT
2023-06-30,,1375000000.0,1542000000.0,,73354000000.0,37174000000.0,23505000000.0,14350000000.0,7835000000.0,2346000000.0,0.78,1740359000.0,ABT
2023-09-30,,1436000000.0,1647000000.0,,72090000000.0,37481000000.0,22664000000.0,13042000000.0,6709000000.0,4223000000.0,0.82,1738700000.0,ABT
2023-12-31,,5723000000.0,6478000000.0,,73214000000.0,38603000000.0,22670000000.0,13841000000.0,6896000000.0,7261000000.0,3.26,1740000000.0,ABT
2024-03-31,,1225000000.0,1386000000.0,,72467000000.0,38810000000.0,22376000000.0,14021000000.0,6284000000.0,1025000000.0,0.7,1740203000.0,ABT
2024-06-30,,2527000000.0,1669000000.0,,73017000000.0,39318000000.0,23119000000.0,13760000000.0,6987000000.0,2985000000.0,0.74,1743040000.0,ABT
2024-09-30,,1646000000.0,1859000000.0,,74356000000.0,39796000000.0,23802000000.0,14902000000.0,7558000000.0,5690000000.0,0.94,1739466000.0,ABT
2024-12-31,,13402000000.0,6825000000.0,,81414000000.0,47664000000.0,23656000000.0,14157000000.0,7616000000.0,8558000000.0,7.64,1740000000.0,ABT
2025-03-31,,1325000000.0,1693000000.0,,81448000000.0,48811000000.0,23153000000.0,13004000000.0,6532000000.0,1417000000.0,0.76,1739206000.0,ABT
2025-06-30,,1779000000.0,2052000000.0,,83999000000.0,50565000000.0,24468000000.0,13439000000.0,6951000000.0,3464000000.0,1.01,1743437000.0,ABT
2025-09-30,,4748000000.0,5802000000.0,,84181000000.0,50954000000.0,24839000000.0,14582000000.0,7511000000.0,6251000000.0,2.7,1741617000.0,ABT
2025-12-31,,6524000000.0,8053000000.0,,86713000000.0,52130000000.0,25996000000.0,16496000000.0,8522000000.0,9566000000.0,3.72,1741000000.0,ABT
2021-03-31,4281100000.0,,810300000.0,,82985100000.0,20972800000.0,4258400000.0,10220100000.0,273200000.0,-117200000.0,1.15,497058635.0,AEP
2021-06-30,8107600000.0,,1620200000.0,,84358200000.0,21378700000.0,4605800000.0,10428600000.0,312700000.0,1043900000.0,2.31,499916640.0,AEP
