WeekEndingFriday,Ticker,ClosePrice,ClosePrice_t-1,ClosePrice_t-2,ClosePrice_t+1,AdjClosePrice,AdjClosePrice_t-1,AdjClosePrice_t-2,AdjClosePrice_t+1
2020-12-18,META,276.3999938964844,273.54998779296875,279.70001220703125,267.3999938964844,274.24786376953125,271.4200134277344,277.5221862792969,265.31787109375
2020-12-25,META,267.3999938964844,276.3999938964844,273.54998779296875,273.1600036621094,265.31787109375,274.24786376953125,271.4200134277344,271.0330505371094
2021-01-01,META,273.1600036621094,267.3999938964844,276.3999938964844,267.57000732421875,271.0330505371094,265.31787109375,274.24786376953125,265.486572265625
2021-01-08,META,267.57000732421875,273.1600036621094,267.3999938964844,251.36000061035156,265.486572265625,271.0330505371094,265.31787109375,249.40283203125
2021-01-15,META,251.36000061035156,267.57000732421875,273.1600036621094,274.5,249.40283203125,265.486572265625,271.0330505371094,272.36260986328125
2021-01-22,META,274.5,251.36000061035156,267.57000732421875,258.3299865722656,272.36260986328125,249.40283203125,265.486572265625,256.3185119628906
2021-01-29,META,258.3299865722656,274.5,251.36000061035156,268.1000061035156,256.3185119628906,272.36260986328125,249.40283203125,266.0125427246094
2021-02-05,META,268.1000061035156,258.3299865722656,274.5,270.5,266.0125427246094,256.3185119628906,272.36260986328125,268.3937683105469
2021-02-12,META,270.5,268.1000061035156,258.3299865722656,261.55999755859375,268.3937683105469,266.0125427246094,256.3185119628906,259.52337646484375
2021-02-19,META,261.55999755859375,270.5,268.1000061035156,257.6199951171875,259.52337646484375,268.3937683105469,266.0125427246094,255.61402893066406
2021-02-26,META,257.6199951171875,261.55999755859375,270.5,264.2799987792969,255.61402893066406,259.52337646484375,268.3937683105469,262.2221984863281
2021-03-05,META,264.2799987792969,257.6199951171875,261.55999755859375,268.3999938964844,262.2221984863281,255.61402893066406,259.52337646484375,266.31011962890625
2021-03-12,META,268.3999938964844,264.2799987792969,257.6199951171875,290.1099853515625,266.31011962890625,262.2221984863281,255.61402893066406,287.85107421875
2021-03-19,META,290.1099853515625,268.3999938964844,264.2799987792969,283.0199890136719,287.85107421875,266.31011962890625,262.2221984863281,280.8163146972656
2021-03-26,META,283.0199890136719,290.1099853515625,268.3999938964844,298.6600036621094,280.8163146972656,287.85107421875,266.31011962890625,296.3345031738281
2021-04-02,META,298.6600036621094,283.0199890136719,290.1099853515625,312.4599914550781,296.3345031738281,280.8163146972656,287.85107421875,310.0270690917969
2021-04-09,META,312.4599914550781,298.6600036621094,283.0199890136719,306.17999267578125,310.0270690917969,296.3345031738281,280.8163146972656,303.7959289550781
2021-04-16,META,306.17999267578125,312.4599914550781,298.6600036621094,301.1300048828125,303.7959289550781,310.0270690917969,296.3345031738281,298.7853088378906
