WeekEndingFriday,Ticker,ClosePrice,ClosePrice_t-1,ClosePrice_t-2,AdjClosePrice,AdjClosePrice_t-1,AdjClosePrice_t-2
2021-01-22,AAPL,139.07000732421875,127.13999938964844,132.0500030517578,135.25146484375,123.64903259277344,128.42422485351562
2021-01-29,AAPL,131.9600067138672,139.07000732421875,127.13999938964844,128.33668518066406,135.25146484375,123.64903259277344
2021-02-05,AAPL,136.75999450683594,131.9600067138672,139.07000732421875,133.20364379882812,128.33668518066406,135.25146484375
2021-02-12,AAPL,135.3699951171875,136.75999450683594,131.9600067138672,131.84979248046875,133.20364379882812,128.33668518066406
2021-02-19,AAPL,129.8699951171875,135.3699951171875,136.75999450683594,126.49276733398438,131.84979248046875,133.20364379882812
2021-02-26,AAPL,121.26000213623047,129.8699951171875,135.3699951171875,118.1067123413086,126.49276733398438,131.84979248046875
2021-03-05,AAPL,121.41999816894531,121.26000213623047,129.8699951171875,118.26252746582031,118.1067123413086,126.49276733398438
2021-03-12,AAPL,121.02999877929688,121.41999816894531,121.26000213623047,117.88267517089844,118.26252746582031,118.1067123413086
2021-03-19,AAPL,119.98999786376953,121.02999877929688,121.41999816894531,116.86973571777344,117.88267517089844,118.26252746582031
2021-03-26,AAPL,121.20999908447266,119.98999786376953,121.02999877929688,118.05799102783203,116.86973571777344,117.88267517089844
2021-04-02,AAPL,123.0,121.20999908447266,119.98999786376953,119.80145263671875,118.05799102783203,116.86973571777344
2021-04-09,AAPL,133.0,123.0,121.20999908447266,129.54141235351562,119.80145263671875,118.05799102783203
2021-04-16,AAPL,134.16000366210938,133.0,123.0,130.67129516601562,129.54141235351562,119.80145263671875
2021-04-23,AAPL,134.32000732421875,134.16000366210938,133.0,130.8270721435547,130.67129516601562,129.54141235351562
2021-04-30,AAPL,131.4600067138672,134.32000732421875,134.16000366210938,128.04147338867188,130.8270721435547,130.67129516601562
2021-05-07,AAPL,130.2100067138672,131.4600067138672,134.32000732421875,127.0394058227539,128.04147338867188,130.8270721435547
2021-05-14,AAPL,127.44999694824219,130.2100067138672,131.4600067138672,124.34658813476562,127.0394058227539,128.04147338867188
2021-05-21,AAPL,125.43000030517578,127.44999694824219,130.2100067138672,122.37578582763672,124.34658813476562,127.0394058227539
2021-05-28,AAPL,124.61000061035156,125.43000030517578,127.44999694824219,121.57575988769531,122.37578582763672,124.34658813476562
2021-06-04,AAPL,125.88999938964844,124.61000061035156,125.43000030517578,122.82457733154297,121.57575988769531,122.37578582763672
2021-06-11,AAPL,127.3499984741211,125.88999938964844,124.61000061035156,124.24901580810547,122.82457733154297,121.57575988769531
2021-06-18,AAPL,130.4600067138672,127.3499984741211,125.88999938964844,127.2833251953125,124.24901580810547,122.82457733154297
2021-06-25,AAPL,133.11000061035156,130.4600067138672,127.3499984741211,129.86878967285156,127.2833251953125,124.24901580810547
2021-07-02,AAPL,139.9600067138672,133.11000061035156,130.4600067138672,136.55194091796875,129.86878967285156,127.2833251953125
2021-07-09,AAPL,145.11000061035156,139.9600067138672,133.11000061035156,141.57656860351562,136.55194091796875,129.86878967285156
2021-07-16,AAPL,146.38999938964844,145.11000061035156,139.9600067138672,142.8253936767578,141.57656860351562,136.55194091796875
2021-07-23,AAPL,148.55999755859375,146.38999938964844,145.11000061035156,144.94259643554688,142.8253936767578,141.57656860351562
2021-07-30,AAPL,145.86000061035156,148.55999755859375,146.38999938964844,142.3083038330078,144.94259643554688,142.8253936767578
2021-08-06,AAPL,146.13999938964844,145.86000061035156,148.55999755859375,142.79513549804688,142.3083038330078,144.94259643554688
2021-08-13,AAPL,149.10000610351562,146.13999938964844,145.86000061035156,145.68739318847656,142.79513549804688,142.3083038330078
2021-08-20,AAPL,148.19000244140625,149.10000610351562,146.13999938964844,144.79820251464844,145.68739318847656,142.79513549804688
2021-08-27,AAPL,148.60000610351562,148.19000244140625,149.10000610351562,145.19879150390625,144.79820251464844,145.68739318847656
2021-09-03,AAPL,154.3000030517578,148.60000610351562,148.19000244140625,150.76837158203125,145.19879150390625,144.79820251464844
2021-09-10,AAPL,148.97000122070312,154.3000030517578,148.60000610351562,145.5603485107422,150.76837158203125,145.19879150390625
2021-09-17,AAPL,146.05999755859375,148.97000122070312,154.3000030517578,142.71694946289062,145.5603485107422,150.76837158203125
2021-09-24,AAPL,146.9199981689453,146.05999755859375,148.97000122070312,143.5572509765625,142.71694946289062,145.5603485107422
2021-10-01,AAPL,142.64999389648438,146.9199981689453,146.05999755859375,139.385009765625,143.5572509765625,142.71694946289062
2021-10-08,AAPL,142.89999389648438,142.64999389648438,146.9199981689453,139.62928771972656,139.385009765625,143.5572509765625
2021-10-15,AAPL,144.83999633789062,142.89999389648438,142.64999389648438,141.5248565673828,139.62928771972656,139.385009765625
2021-10-22,AAPL,148.69000244140625,144.83999633789062,142.89999389648438,145.2867431640625,141.5248565673828,139.62928771972656
2021-10-29,AAPL,149.8000030517578,148.69000244140625,144.83999633789062,146.37130737304688,145.2867431640625,141.5248565673828
2021-11-05,AAPL,151.27999877929688,149.8000030517578,148.69000244140625,148.033203125,146.37130737304688,145.2867431640625
2021-11-12,AAPL,149.99000549316406,151.27999877929688,149.8000030517578,146.77085876464844,148.033203125,146.37130737304688
2021-11-19,AAPL,160.5500030517578,149.99000549316406,151.27999877929688,157.10426330566406,146.77085876464844,148.033203125
2021-11-26,AAPL,156.80999755859375,160.5500030517578,149.99000549316406,153.44448852539062,157.10426330566406,146.77085876464844
2021-12-03,AAPL,161.83999633789062,156.80999755859375,160.5500030517578,158.36656188964844,153.44448852539062,157.10426330566406
2021-12-10,AAPL,179.4499969482422,161.83999633789062,156.80999755859375,175.59861755371094,158.36656188964844,153.44448852539062
