WeekEndingFriday,Ticker,AdjClosePrice,AdjClosePrice_t-1,AdjClosePrice_t-2
2021-01-22,PSA,177.93524169921875,179.2130889892578,177.79942321777344
2021-01-29,PSA,181.7927703857422,177.93524169921875,179.2130889892578
2021-02-05,PSA,183.16650390625,181.7927703857422,177.93524169921875
2021-02-12,PSA,185.17913818359375,183.16650390625,181.7927703857422
2021-02-19,PSA,187.4473419189453,185.17913818359375,183.16650390625
2021-02-26,PSA,186.84036254882812,187.4473419189453,185.17913818359375
2021-03-05,PSA,187.72686767578125,186.84036254882812,187.4473419189453
2021-03-12,PSA,194.11622619628906,187.72686767578125,186.84036254882812
2021-03-19,PSA,188.00401306152344,194.11622619628906,187.72686767578125
2021-03-26,PSA,196.96697998046875,188.00401306152344,194.11622619628906
2021-04-02,PSA,202.8858642578125,196.96697998046875,188.00401306152344
2021-04-09,PSA,207.66937255859375,202.8858642578125,196.96697998046875
2021-04-16,PSA,214.85252380371094,207.66937255859375,202.8858642578125
2021-04-23,PSA,222.88133239746094,214.85252380371094,207.66937255859375
2021-04-30,PSA,226.41656494140625,222.88133239746094,214.85252380371094
2021-05-07,PSA,223.28396606445312,226.41656494140625,222.88133239746094
2021-05-14,PSA,220.20779418945312,223.28396606445312,226.41656494140625
2021-05-21,PSA,222.84915161132812,220.20779418945312,223.28396606445312
2021-05-28,PSA,227.4796600341797,222.84915161132812,220.20779418945312
2021-06-04,PSA,232.49658203125,227.4796600341797,222.84915161132812
2021-06-11,PSA,238.21414184570312,232.49658203125,227.4796600341797
2021-06-18,PSA,241.90316772460938,238.21414184570312,232.49658203125
2021-06-25,PSA,247.08399963378906,241.90316772460938,238.21414184570312
2021-07-02,PSA,245.4381561279297,247.08399963378906,241.90316772460938
2021-07-09,PSA,252.70265197753906,245.4381561279297,247.08399963378906
2021-07-16,PSA,254.53500366210938,252.70265197753906,245.4381561279297
2021-07-23,PSA,254.42152404785156,254.53500366210938,252.70265197753906
2021-07-30,PSA,253.351318359375,254.42152404785156,254.53500366210938
2021-08-06,PSA,247.06790161132812,253.351318359375,254.42152404785156
2021-08-13,PSA,255.126953125,247.06790161132812,253.351318359375
2021-08-20,PSA,262.9184875488281,255.126953125,247.06790161132812
2021-08-27,PSA,257.5754699707031,262.9184875488281,255.126953125
2021-09-03,PSA,268.17236328125,257.5754699707031,262.9184875488281
2021-09-10,PSA,262.06719970703125,268.17236328125,257.5754699707031
2021-09-17,PSA,253.76388549804688,262.06719970703125,268.17236328125
2021-09-24,PSA,247.9224090576172,253.76388549804688,262.06719970703125
2021-10-01,PSA,242.47242736816406,247.9224090576172,253.76388549804688
2021-10-08,PSA,244.5283966064453,242.47242736816406,247.9224090576172
2021-10-15,PSA,260.60076904296875,244.5283966064453,242.47242736816406
2021-10-22,PSA,266.23834228515625,260.60076904296875,244.5283966064453
2021-10-29,PSA,271.0110778808594,266.23834228515625,260.60076904296875
2021-11-05,PSA,263.4236755371094,271.0110778808594,266.23834228515625
2021-11-12,PSA,268.56353759765625,263.4236755371094,271.0110778808594
2021-11-19,PSA,270.652099609375,268.56353759765625,263.4236755371094
2021-11-26,PSA,266.8013000488281,270.652099609375,268.56353759765625
2021-12-03,PSA,273.5892028808594,266.8013000488281,270.652099609375
2021-12-10,PSA,283.9179992675781,273.5892028808594,266.8013000488281
2021-12-17,PSA,296.7989501953125,283.9179992675781,273.5892028808594
2021-12-24,PSA,297.3814697265625,296.7989501953125,283.9179992675781
2021-12-31,PSA,307.31744384765625,297.3814697265625,296.7989501953125
