WeekEndingFriday,Ticker,ClosePrice,ClosePrice_t-1,ClosePrice_t-2,ClosePrice_t+1,AdjClosePrice,AdjClosePrice_t-1,AdjClosePrice_t-2,AdjClosePrice_t+1,AdjClosePrice_t+1_Up
2020-12-18,PEP,146.92999267578125,144.97000122070312,145.85000610351562,145.05999755859375,124.81757354736328,123.15252685546875,123.90011596679688,123.22898864746094,0
2020-12-25,PEP,145.05999755859375,146.92999267578125,144.97000122070312,148.3000030517578,123.22898864746094,124.81757354736328,123.15252685546875,125.98138427734375,1
2021-01-01,PEP,148.3000030517578,145.05999755859375,146.92999267578125,144.17999267578125,125.98138427734375,123.22898864746094,124.81757354736328,122.4814224243164,0
2021-01-08,PEP,144.17999267578125,148.3000030517578,145.05999755859375,141.38999938964844,122.4814224243164,125.98138427734375,123.22898864746094,120.11129760742188,0
2021-01-15,PEP,141.38999938964844,144.17999267578125,148.3000030517578,138.58999633789062,120.11129760742188,122.4814224243164,125.98138427734375,117.73271179199219,0
2021-01-22,PEP,138.58999633789062,141.38999938964844,144.17999267578125,136.57000732421875,117.73271179199219,120.11129760742188,122.4814224243164,116.01670837402344,0
2021-01-29,PEP,136.57000732421875,138.58999633789062,141.38999938964844,140.9600067138672,116.01670837402344,117.73271179199219,120.11129760742188,119.74601745605469,1
2021-02-05,PEP,140.9600067138672,136.57000732421875,138.58999633789062,133.8699951171875,119.74601745605469,116.01670837402344,117.73271179199219,113.72303771972656,0
2021-02-12,PEP,133.8699951171875,140.9600067138672,136.57000732421875,132.50999450683594,113.72303771972656,119.74601745605469,116.01670837402344,112.56770324707031,0
2021-02-19,PEP,132.50999450683594,133.8699951171875,140.9600067138672,129.19000244140625,112.56770324707031,113.72303771972656,119.74601745605469,109.74736785888672,0
2021-02-26,PEP,129.19000244140625,132.50999450683594,133.8699951171875,133.02999877929688,109.74736785888672,112.56770324707031,113.72303771972656,113.91185760498047,1
2021-03-05,PEP,133.02999877929688,129.19000244140625,132.50999450683594,133.0399932861328,113.91185760498047,109.74736785888672,112.56770324707031,113.92036437988281,1
2021-03-12,PEP,133.0399932861328,133.02999877929688,129.19000244140625,134.5,113.92036437988281,113.91185760498047,109.74736785888672,115.17056274414062,1
2021-03-19,PEP,134.5,133.0399932861328,133.02999877929688,142.6999969482422,115.17056274414062,113.92036437988281,113.91185760498047,122.1921157836914,1
2021-03-26,PEP,142.6999969482422,134.5,133.0399932861328,141.27999877929688,122.1921157836914,115.17056274414062,113.92036437988281,120.97620391845703,0
2021-04-02,PEP,141.27999877929688,142.6999969482422,134.5,142.57000732421875,120.97620391845703,122.1921157836914,115.17056274414062,122.0807876586914,1
2021-04-09,PEP,142.57000732421875,141.27999877929688,142.6999969482422,144.16000366210938,122.0807876586914,120.97620391845703,122.1921157836914,123.44231414794922,1
2021-04-16,PEP,144.16000366210938,142.57000732421875,141.27999877929688,145.8300018310547,123.44231414794922,122.0807876586914,120.97620391845703,124.8722915649414,1
2021-04-23,PEP,145.8300018310547,144.16000366210938,142.57000732421875,144.16000366210938,124.8722915649414,123.44231414794922,122.0807876586914,123.44231414794922,0
2021-04-30,PEP,144.16000366210938,145.8300018310547,144.16000366210938,145.55999755859375,123.44231414794922,124.8722915649414,123.44231414794922,124.64109802246094,1
2021-05-07,PEP,145.55999755859375,144.16000366210938,145.8300018310547,146.58999633789062,124.64109802246094,123.44231414794922,124.8722915649414,125.52306365966797,1
2021-05-14,PEP,146.58999633789062,145.55999755859375,144.16000366210938,147.10000610351562,125.52306365966797,124.64109802246094,123.44231414794922,125.95978546142578,1
2021-05-21,PEP,147.10000610351562,146.58999633789062,145.55999755859375,147.94000244140625,125.95978546142578,125.52306365966797,124.64109802246094,126.67906188964844,1
2021-05-28,PEP,147.94000244140625,147.10000610351562,146.58999633789062,147.83999633789062,126.67906188964844,125.95978546142578,125.52306365966797,127.51825714111328,1
2021-06-04,PEP,147.83999633789062,147.94000244140625,147.10000610351562,147.69000244140625,127.51825714111328,126.67906188964844,125.95978546142578,127.3888931274414,0
2021-06-11,PEP,147.69000244140625,147.83999633789062,147.94000244140625,145.4199981689453,127.3888931274414,127.51825714111328,126.67906188964844,125.43092346191406,0
2021-06-18,PEP,145.4199981689453,147.69000244140625,147.83999633789062,146.41000366210938,125.43092346191406,127.3888931274414,127.51825714111328,126.28485107421875,1
2021-06-25,PEP,146.41000366210938,145.4199981689453,147.69000244140625,148.91000366210938,126.28485107421875,125.43092346191406,127.3888931274414,128.44122314453125,1
2021-07-02,PEP,148.91000366210938,146.41000366210938,145.4199981689453,149.47999572753906,128.44122314453125,126.28485107421875,125.43092346191406,128.93284606933594,1
2021-07-09,PEP,149.47999572753906,148.91000366210938,146.41000366210938,155.82000732421875,128.93284606933594,128.44122314453125,126.28485107421875,134.40138244628906,1
