WeekEndingFriday,Ticker,ClosePrice,ClosePrice_t-1,ClosePrice_t-2,ClosePrice_t+1,AdjClosePrice,AdjClosePrice_t-1,AdjClosePrice_t-2,AdjClosePrice_t+1
2020-12-18,JNJ,154.50999450683594,152.9499969482422,150.27000427246094,152.47000122070312,133.34228515625,131.9960174560547,129.6831512451172,131.58177185058594
2020-12-25,JNJ,152.47000122070312,154.50999450683594,152.9499969482422,157.3800048828125,131.58177185058594,133.34228515625,131.9960174560547,135.81907653808594
2021-01-01,JNJ,157.3800048828125,152.47000122070312,154.50999450683594,160.0399932861328,135.81907653808594,131.58177185058594,133.34228515625,138.11468505859375
2021-01-08,JNJ,160.0399932861328,157.3800048828125,152.47000122070312,160.3000030517578,138.11468505859375,135.81907653808594,131.58177185058594,138.33908081054688
2021-01-15,JNJ,160.3000030517578,160.0399932861328,157.3800048828125,163.5500030517578,138.33908081054688,138.11468505859375,135.81907653808594,141.143798828125
2021-01-22,JNJ,163.5500030517578,160.3000030517578,160.0399932861328,163.1300048828125,141.143798828125,138.33908081054688,138.11468505859375,140.7813720703125
2021-01-29,JNJ,163.1300048828125,163.5500030517578,160.3000030517578,164.4499969482422,140.7813720703125,141.143798828125,138.33908081054688,141.9204864501953
2021-02-05,JNJ,164.4499969482422,163.1300048828125,163.5500030517578,166.5800018310547,141.9204864501953,140.7813720703125,141.143798828125,143.75869750976562
2021-02-12,JNJ,166.5800018310547,164.4499969482422,163.1300048828125,162.97999572753906,143.75869750976562,141.9204864501953,140.7813720703125,140.65191650390625
2021-02-19,JNJ,162.97999572753906,166.5800018310547,164.4499969482422,158.4600067138672,140.65191650390625,143.75869750976562,141.9204864501953,137.60389709472656
2021-02-26,JNJ,158.4600067138672,162.97999572753906,166.5800018310547,156.10000610351562,137.60389709472656,140.65191650390625,143.75869750976562,135.5545196533203
2021-03-05,JNJ,156.10000610351562,158.4600067138672,162.97999572753906,159.60000610351562,135.5545196533203,137.60389709472656,140.65191650390625,138.5938262939453
2021-03-12,JNJ,159.60000610351562,156.10000610351562,158.4600067138672,160.0399932861328,138.5938262939453,135.5545196533203,137.60389709472656,138.97593688964844
2021-03-19,JNJ,160.0399932861328,159.60000610351562,156.10000610351562,164.92999267578125,138.97593688964844,138.5938262939453,135.5545196533203,143.22230529785156
2021-03-26,JNJ,164.92999267578125,160.0399932861328,159.60000610351562,162.8300018310547,143.22230529785156,138.97593688964844,138.5938262939453,141.398681640625
2021-04-02,JNJ,162.8300018310547,164.92999267578125,160.0399932861328,161.25,141.398681640625,143.22230529785156,138.97593688964844,140.0266876220703
2021-04-09,JNJ,161.25,162.8300018310547,164.92999267578125,162.24000549316406,140.0266876220703,141.398681640625,143.22230529785156,140.88633728027344
2021-04-16,JNJ,162.24000549316406,161.25,162.8300018310547,165.52000427246094,140.88633728027344,140.0266876220703,141.398681640625,143.73468017578125
2021-04-23,JNJ,165.52000427246094,162.24000549316406,161.25,162.72999572753906,143.73468017578125,140.88633728027344,140.0266876220703,141.31185913085938
2021-04-30,JNJ,162.72999572753906,165.52000427246094,162.24000549316406,168.5,141.31185913085938,143.73468017578125,140.88633728027344,146.32241821289062
2021-05-07,JNJ,168.5,162.72999572753906,165.52000427246094,170.22000122070312,146.32241821289062,141.31185913085938,143.73468017578125,147.81605529785156
2021-05-14,JNJ,170.22000122070312,168.5,162.72999572753906,170.9600067138672,147.81605529785156,146.32241821289062,141.31185913085938,148.4586639404297
2021-05-21,JNJ,170.9600067138672,170.22000122070312,168.5,169.25,148.4586639404297,147.81605529785156,146.32241821289062,147.89065551757812
2021-05-28,JNJ,169.25,170.9600067138672,170.22000122070312,165.97000122070312,147.89065551757812,148.4586639404297,147.81605529785156,145.02462768554688
2021-06-04,JNJ,165.97000122070312,169.25,170.9600067138672,164.9600067138672,145.02462768554688,147.89065551757812,148.4586639404297,144.14210510253906
2021-06-11,JNJ,164.9600067138672,165.97000122070312,169.25,161.97999572753906,144.14210510253906,145.02462768554688,147.89065551757812,141.5381622314453
2021-06-18,JNJ,161.97999572753906,164.9600067138672,165.97000122070312,164.2100067138672,141.5381622314453,144.14210510253906,145.02462768554688,143.48672485351562
2021-06-25,JNJ,164.2100067138672,161.97999572753906,164.9600067138672,168.97999572753906,143.48672485351562,141.5381622314453,144.14210510253906,147.65478515625
2021-07-02,JNJ,168.97999572753906,164.2100067138672,161.97999572753906,169.75,147.65478515625,143.48672485351562,141.5381622314453,148.32760620117188
2021-07-09,JNJ,169.75,168.97999572753906,164.2100067138672,168.10000610351562,148.32760620117188,147.65478515625,143.48672485351562,146.8858184814453
2021-07-16,JNJ,168.10000610351562,169.75,168.97999572753906,171.7899932861328,146.8858184814453,148.32760620117188,147.65478515625,150.1101531982422
2021-07-23,JNJ,171.7899932861328,168.10000610351562,169.75,172.1999969482422,150.1101531982422,146.8858184814453,148.32760620117188,150.46841430664062
2021-07-30,JNJ,172.1999969482422,171.7899932861328,168.10000610351562,173.11000061035156,150.46841430664062,150.1101531982422,146.8858184814453,151.26356506347656
2021-08-06,JNJ,173.11000061035156,172.1999969482422,171.7899932861328,176.25,151.26356506347656,150.46841430664062,150.1101531982422,154.00729370117188
2021-08-13,JNJ,176.25,173.11000061035156,172.1999969482422,179.44000244140625,154.00729370117188,151.26356506347656,150.46841430664062,156.79470825195312
