WeekEndingFriday,Ticker,ClosePrice,ClosePrice_t-1,ClosePrice_t-2,ClosePrice_t+1,AdjClosePrice,AdjClosePrice_t-1,AdjClosePrice_t-2,AdjClosePrice_t+1
2020-12-18,EQNR,16.790000915527344,16.8700008392334,16.729999542236328,16.290000915527344,11.474823951721191,11.529498100280762,11.433818817138672,11.133109092712402
2020-12-25,EQNR,16.290000915527344,16.790000915527344,16.8700008392334,16.420000076293945,11.133109092712402,11.474823951721191,11.529498100280762,11.221954345703125
2021-01-01,EQNR,16.420000076293945,16.290000915527344,16.790000915527344,18.5,11.221954345703125,11.133109092712402,11.474823951721191,12.643491744995117
2021-01-08,EQNR,18.5,16.420000076293945,16.290000915527344,19.219999313354492,12.643491744995117,11.221954345703125,11.133109092712402,13.135564804077148
2021-01-15,EQNR,19.219999313354492,18.5,16.420000076293945,19.25,13.135564804077148,12.643491744995117,11.221954345703125,13.156064987182617
2021-01-22,EQNR,19.25,19.219999313354492,18.5,17.729999542236328,13.156064987182617,13.135564804077148,12.643491744995117,12.117250442504883
2021-01-29,EQNR,17.729999542236328,19.25,19.219999313354492,18.290000915527344,12.117250442504883,13.156064987182617,13.135564804077148,12.49997329711914
2021-02-05,EQNR,18.290000915527344,17.729999542236328,19.25,17.969999313354492,12.49997329711914,12.117250442504883,13.156064987182617,12.356575965881348
2021-02-12,EQNR,17.969999313354492,18.290000915527344,17.729999542236328,17.889999389648438,12.356575965881348,12.49997329711914,12.117250442504883,12.301566123962402
2021-02-19,EQNR,17.889999389648438,17.969999313354492,18.290000915527344,18.959999084472656,12.301566123962402,12.356575965881348,12.49997329711914,13.037322044372559
2021-02-26,EQNR,18.959999084472656,17.889999389648438,17.969999313354492,20.329999923706055,13.037322044372559,12.301566123962402,12.356575965881348,13.979365348815918
2021-03-05,EQNR,20.329999923706055,18.959999084472656,17.889999389648438,20.68000030517578,13.979365348815918,13.037322044372559,12.301566123962402,14.220035552978516
2021-03-12,EQNR,20.68000030517578,20.329999923706055,18.959999084472656,19.530000686645508,14.220035552978516,13.979365348815918,13.037322044372559,13.429267883300781
2021-03-19,EQNR,19.530000686645508,20.68000030517578,20.329999923706055,19.719999313354492,13.429267883300781,14.220035552978516,13.979365348815918,13.559914588928223
2021-03-26,EQNR,19.719999313354492,19.530000686645508,20.68000030517578,19.690000534057617,13.559914588928223,13.429267883300781,14.220035552978516,13.539289474487305
2021-04-02,EQNR,19.690000534057617,19.719999313354492,19.530000686645508,18.93000030517578,13.539289474487305,13.559914588928223,13.429267883300781,13.016693115234375
2021-04-09,EQNR,18.93000030517578,19.690000534057617,19.719999313354492,19.809999465942383,13.016693115234375,13.539289474487305,13.559914588928223,13.62179946899414
2021-04-16,EQNR,19.809999465942383,18.93000030517578,19.690000534057617,19.860000610351562,13.62179946899414,13.016693115234375,13.539289474487305,13.656182289123535
2021-04-23,EQNR,19.860000610351562,19.809999465942383,18.93000030517578,20.270000457763672,13.656182289123535,13.62179946899414,13.016693115234375,13.938106536865234
2021-04-30,EQNR,20.270000457763672,19.860000610351562,19.809999465942383,21.81999969482422,13.938106536865234,13.656182289123535,13.62179946899414,15.003926277160645
2021-05-07,EQNR,21.81999969482422,20.270000457763672,19.860000610351562,21.729999542236328,15.003926277160645,13.938106536865234,13.656182289123535,15.02701473236084
2021-05-14,EQNR,21.729999542236328,21.81999969482422,20.270000457763672,21.149999618530273,15.02701473236084,15.003926277160645,13.938106536865234,14.625923156738281
2021-05-21,EQNR,21.149999618530273,21.729999542236328,21.81999969482422,21.90999984741211,14.625923156738281,15.02701473236084,15.003926277160645,15.151493072509766
2021-05-28,EQNR,21.90999984741211,21.149999618530273,21.729999542236328,23.1200008392334,15.151493072509766,14.625923156738281,15.02701473236084,15.98824691772461
2021-06-04,EQNR,23.1200008392334,21.90999984741211,21.149999618530273,22.8700008392334,15.98824691772461,15.151493072509766,14.625923156738281,15.815367698669434
2021-06-11,EQNR,22.8700008392334,23.1200008392334,21.90999984741211,19.920000076293945,15.815367698669434,15.98824691772461,15.151493072509766,13.775341033935547
2021-06-18,EQNR,19.920000076293945,22.8700008392334,23.1200008392334,21.739999771118164,13.775341033935547,15.815367698669434,15.98824691772461,15.033931732177734
2021-06-25,EQNR,21.739999771118164,19.920000076293945,22.8700008392334,21.479999542236328,15.033931732177734,13.775341033935547,15.815367698669434,14.854132652282715
2021-07-02,EQNR,21.479999542236328,21.739999771118164,19.920000076293945,20.559999465942383,14.854132652282715,15.033931732177734,13.775341033935547,14.217920303344727
2021-07-09,EQNR,20.559999465942383,21.479999542236328,21.739999771118164,19.549999237060547,14.217920303344727,14.854132652282715,15.033931732177734,13.519474029541016
2021-07-16,EQNR,19.549999237060547,20.559999465942383,21.479999542236328,19.469999313354492,13.519474029541016,14.217920303344727,14.854132652282715,13.464149475097656
2021-07-23,EQNR,19.469999313354492,19.549999237060547,20.559999465942383,19.559999465942383,13.464149475097656,13.519474029541016,14.217920303344727,13.526386260986328
2021-07-30,EQNR,19.559999465942383,19.469999313354492,19.549999237060547,20.420000076293945,13.526386260986328,13.464149475097656,13.519474029541016,14.121108055114746
2021-08-06,EQNR,20.420000076293945,19.559999465942383,19.469999313354492,21.09000015258789,14.121108055114746,13.526386260986328,13.464149475097656,14.691621780395508
2021-08-13,EQNR,21.09000015258789,20.420000076293945,19.559999465942383,19.889999389648438,14.691621780395508,14.121108055114746,13.526386260986328,13.855682373046875
2021-08-20,EQNR,19.889999389648438,21.09000015258789,20.420000076293945,21.719999313354492,13.855682373046875,14.691621780395508,14.121108055114746,15.130488395690918
2021-08-27,EQNR,21.719999313354492,19.889999389648438,21.09000015258789,22.350000381469727,15.130488395690918,13.855682373046875,14.691621780395508,15.569354057312012
2021-09-03,EQNR,22.350000381469727,21.719999313354492,19.889999389648438,22.84000015258789,15.569354057312012,15.130488395690918,13.855682373046875,15.910697937011719
2021-09-10,EQNR,22.84000015258789,22.350000381469727,21.719999313354492,23.25,15.910697937011719,15.569354057312012,15.130488395690918,16.196308135986328
2021-09-17,EQNR,23.25,22.84000015258789,22.350000381469727,23.940000534057617,16.196308135986328,15.910697937011719,15.569354057312012,16.676973342895508
2021-09-24,EQNR,23.940000534057617,23.25,22.84000015258789,26.309999465942383,16.676973342895508,16.196308135986328,15.910697937011719,18.327951431274414
2021-10-01,EQNR,26.309999465942383,23.940000534057617,23.25,26.329999923706055,18.327951431274414,16.676973342895508,16.196308135986328,18.34188461303711
2021-10-08,EQNR,26.329999923706055,26.309999465942383,23.940000534057617,27.25,18.34188461303711,18.327951431274414,16.676973342895508,18.982770919799805
2021-10-15,EQNR,27.25,26.329999923706055,26.309999465942383,27.600000381469727,18.982770919799805,18.34188461303711,18.327951431274414,19.226585388183594
2021-10-22,EQNR,27.600000381469727,27.25,26.329999923706055,25.43000030517578,19.226585388183594,18.982770919799805,18.34188461303711,17.714933395385742
2021-10-29,EQNR,25.43000030517578,27.600000381469727,27.25,26.280000686645508,17.714933395385742,19.226585388183594,18.982770919799805,18.307056427001953
2021-11-05,EQNR,26.280000686645508,25.43000030517578,27.600000381469727,25.600000381469727,18.307056427001953,17.714933395385742,19.226585388183594,17.95389747619629
2021-11-12,EQNR,25.600000381469727,26.280000686645508,25.43000030517578,24.690000534057617,17.95389747619629,18.307056427001953,17.714933395385742,17.315690994262695
2021-11-19,EQNR,24.690000534057617,25.600000381469727,26.280000686645508,24.729999542236328,17.315690994262695,17.95389747619629,18.307056427001953,17.343746185302734
2021-11-26,EQNR,24.729999542236328,24.690000534057617,25.600000381469727,25.0,17.343746185302734,17.315690994262695,17.95389747619629,17.533103942871094
2021-12-03,EQNR,25.0,24.729999542236328,24.690000534057617,26.399999618530273,17.533103942871094,17.343746185302734,17.315690994262695,18.514955520629883
2021-12-10,EQNR,26.399999618530273,25.0,24.729999542236328,26.489999771118164,18.514955520629883,17.533103942871094,17.343746185302734,18.578073501586914
2021-12-17,EQNR,26.489999771118164,26.399999618530273,25.0,27.440000534057617,18.578073501586914,18.514955520629883,17.533103942871094,19.24433135986328
2021-12-24,EQNR,27.440000534057617,26.489999771118164,26.399999618530273,26.329999923706055,19.24433135986328,18.578073501586914,18.514955520629883,18.46586036682129
2021-12-31,EQNR,26.329999923706055,27.440000534057617,26.489999771118164,27.81999969482422,18.46586036682129,19.24433135986328,18.578073501586914,19.510833740234375
2022-01-07,EQNR,27.81999969482422,26.329999923706055,27.440000534057617,29.290000915527344,19.510833740234375,18.46586036682129,19.24433135986328,20.541784286499023
2022-01-14,EQNR,29.290000915527344,27.81999969482422,26.329999923706055,27.920000076293945,20.541784286499023,19.510833740234375,18.46586036682129,19.58096694946289
2022-01-21,EQNR,27.920000076293945,29.290000915527344,27.81999969482422,27.469999313354492,19.58096694946289,20.541784286499023,19.510833740234375,19.265371322631836
2022-01-28,EQNR,27.469999313354492,27.920000076293945,29.290000915527344,29.299999237060547,19.265371322631836,19.58096694946289,20.541784286499023,20.548799514770508
2022-02-04,EQNR,29.299999237060547,27.469999313354492,27.920000076293945,31.93000030517578,20.548799514770508,19.265371322631836,19.58096694946289,22.526926040649414
2022-02-11,EQNR,31.93000030517578,29.299999237060547,27.469999313354492,30.020000457763672,22.526926040649414,20.548799514770508,19.265371322631836,21.17940330505371
2022-02-18,EQNR,30.020000457763672,31.93000030517578,29.299999237060547,31.270000457763672,21.17940330505371,22.526926040649414,20.548799514770508,22.061288833618164
2022-02-25,EQNR,31.270000457763672,30.020000457763672,31.93000030517578,33.63999938964844,22.061288833618164,21.17940330505371,22.526926040649414,23.733346939086914
2022-03-04,EQNR,33.63999938964844,31.270000457763672,30.020000457763672,32.290000915527344,23.733346939086914,22.061288833618164,21.17940330505371,22.78091049194336
2022-03-11,EQNR,32.290000915527344,33.63999938964844,31.270000457763672,34.380001068115234,22.78091049194336,23.733346939086914,22.061288833618164,24.255430221557617
2022-03-18,EQNR,34.380001068115234,32.290000915527344,33.63999938964844,37.709999084472656,24.255430221557617,22.78091049194336,23.733346939086914,26.604764938354492
2022-03-25,EQNR,37.709999084472656,34.380001068115234,32.290000915527344,37.65999984741211,26.604764938354492,24.255430221557617,22.78091049194336,26.569496154785156
2022-04-01,EQNR,37.65999984741211,37.709999084472656,34.380001068115234,39.0,26.569496154785156,26.604764938354492,24.255430221557617,27.51487922668457
2022-04-08,EQNR,39.0,37.65999984741211,37.709999084472656,38.310001373291016,27.51487922668457,26.569496154785156,26.604764938354492,27.028074264526367
2022-04-15,EQNR,38.310001373291016,39.0,37.65999984741211,35.90999984741211,27.028074264526367,27.51487922668457,26.569496154785156,25.334850311279297
