WeekEndingFriday,Ticker,AdjClosePrice,AdjClosePrice_t-1,AdjClosePrice_t-2
2021-01-22,DIS,168.8047637939453,167.49557495117188,174.57876586914062
2021-01-29,DIS,164.30081176757812,168.8047637939453,167.49557495117188
2021-02-05,DIS,176.991943359375,164.30081176757812,168.8047637939453
2021-02-12,DIS,183.35215759277344,176.991943359375,164.30081176757812
2021-02-19,DIS,179.42466735839844,183.35215759277344,176.991943359375
2021-02-26,DIS,184.69064331054688,179.42466735839844,183.35215759277344
2021-03-05,DIS,185.61878967285156,184.69064331054688,179.42466735839844
2021-03-12,DIS,192.62384033203125,185.61878967285156,184.69064331054688
2021-03-19,DIS,186.74232482910156,192.62384033203125,185.61878967285156
2021-03-26,DIS,181.6424102783203,186.74232482910156,192.62384033203125
2021-04-02,DIS,184.62225341796875,181.6424102783203,186.74232482910156
2021-04-09,DIS,183.5670928955078,184.62225341796875,181.6424102783203
2021-04-16,DIS,182.9515838623047,183.5670928955078,184.62225341796875
2021-04-23,DIS,178.8091583251953,182.9515838623047,183.5670928955078
2021-04-30,DIS,181.74014282226562,178.8091583251953,182.9515838623047
2021-05-07,DIS,180.58726501464844,181.74014282226562,178.8091583251953
2021-05-14,DIS,169.70359802246094,180.58726501464844,181.74014282226562
2021-05-21,DIS,168.43348693847656,169.70359802246094,180.58726501464844
2021-05-28,DIS,174.53968811035156,168.43348693847656,169.70359802246094
2021-06-04,DIS,173.10350036621094,174.53968811035156,168.43348693847656
2021-06-11,DIS,173.29893493652344,173.10350036621094,174.53968811035156
2021-06-18,DIS,168.45301818847656,173.29893493652344,173.10350036621094
2021-06-25,DIS,174.24659729003906,168.45301818847656,173.29893493652344
2021-07-02,DIS,173.03514099121094,174.24659729003906,168.45301818847656
2021-07-09,DIS,172.96673583984375,173.03514099121094,174.24659729003906
2021-07-16,DIS,175.18450927734375,172.96673583984375,173.03514099121094
2021-07-23,DIS,172.08743286132812,175.18450927734375,172.96673583984375
2021-07-30,DIS,171.97021484375,172.08743286132812,175.18450927734375
2021-08-06,DIS,173.05467224121094,171.97021484375,172.08743286132812
2021-08-13,DIS,176.91378784179688,173.05467224121094,171.97021484375
2021-08-20,DIS,171.09091186523438,176.91378784179688,173.05467224121094
2021-08-27,DIS,175.9954071044922,171.09091186523438,176.91378784179688
2021-09-03,DIS,176.8356170654297,175.9954071044922,171.09091186523438
2021-09-10,DIS,179.8838348388672,176.8356170654297,175.9954071044922
2021-09-17,DIS,179.24879455566406,179.8838348388672,176.8356170654297
2021-09-24,DIS,171.95066833496094,179.24879455566406,179.8838348388672
2021-10-01,DIS,171.96043395996094,171.95066833496094,179.24879455566406
2021-10-08,DIS,172.6736602783203,171.96043395996094,171.95066833496094
2021-10-15,DIS,172.40008544921875,172.6736602783203,171.96043395996094
2021-10-22,DIS,165.5220489501953,172.40008544921875,172.6736602783203
2021-10-29,DIS,165.1801300048828,165.5220489501953,172.40008544921875
2021-11-05,DIS,171.5891876220703,165.1801300048828,165.5220489501953
2021-11-12,DIS,155.95730590820312,171.5891876220703,165.1801300048828
2021-11-19,DIS,150.4568328857422,155.95730590820312,171.5891876220703
2021-11-26,DIS,144.70236206054688,150.4568328857422,155.95730590820312
2021-12-03,DIS,142.8558349609375,144.70236206054688,150.4568328857422
2021-12-10,DIS,149.19651794433594,142.8558349609375,144.70236206054688
2021-12-17,DIS,145.33738708496094,149.19651794433594,142.8558349609375
2021-12-24,DIS,150.09536743164062,145.33738708496094,149.19651794433594
