WeekEndingFriday,Ticker,ClosePrice,ClosePrice_t-1,ClosePrice_t-2,AdjClosePrice,AdjClosePrice_t-1,AdjClosePrice_t-2
2021-01-22,COST,362.29998779296875,362.1600036621094,369.94000244140625,342.3315734863281,342.19940185546875,349.5505065917969
2021-01-29,COST,352.42999267578125,362.29998779296875,362.1600036621094,333.005615234375,342.3315734863281,342.19940185546875
2021-02-05,COST,355.1700134277344,352.42999267578125,362.29998779296875,336.2572326660156,333.005615234375,342.3315734863281
2021-02-12,COST,352.75,355.1700134277344,352.42999267578125,333.96612548828125,336.2572326660156,333.005615234375
2021-02-19,COST,354.7699890136719,352.75,355.1700134277344,335.8785400390625,333.96612548828125,336.2572326660156
2021-02-26,COST,331.0,354.7699890136719,352.75,313.3742370605469,335.8785400390625,333.96612548828125
2021-03-05,COST,317.32000732421875,331.0,354.7699890136719,300.4227600097656,313.3742370605469,335.8785400390625
2021-03-12,COST,331.1400146484375,317.32000732421875,331.0,313.5068054199219,300.4227600097656,313.3742370605469
2021-03-19,COST,328.9100036621094,331.1400146484375,317.32000732421875,311.3956298828125,313.5068054199219,300.4227600097656
2021-03-26,COST,352.0199890136719,328.9100036621094,331.1400146484375,333.27490234375,311.3956298828125,313.5068054199219
2021-04-02,COST,354.94000244140625,352.0199890136719,328.9100036621094,336.03948974609375,333.27490234375,311.3956298828125
2021-04-09,COST,363.2099914550781,354.94000244140625,352.0199890136719,343.8690185546875,336.03948974609375,333.27490234375
2021-04-16,COST,370.7200012207031,363.2099914550781,354.94000244140625,350.9791564941406,343.8690185546875,336.03948974609375
2021-04-23,COST,373.2799987792969,370.7200012207031,363.2099914550781,353.4028015136719,350.9791564941406,343.8690185546875
2021-04-30,COST,372.0899963378906,373.2799987792969,370.7200012207031,353.0308837890625,353.4028015136719,350.9791564941406
2021-05-07,COST,384.32000732421875,372.0899963378906,373.2799987792969,364.6343994140625,353.0308837890625,353.4028015136719
2021-05-14,COST,384.4200134277344,384.32000732421875,372.0899963378906,364.7292785644531,364.6343994140625,353.0308837890625
2021-05-21,COST,380.7200012207031,384.4200134277344,384.32000732421875,361.2188415527344,364.7292785644531,364.6343994140625
2021-05-28,COST,378.2699890136719,380.7200012207031,384.4200134277344,358.8943176269531,361.2188415527344,364.7292785644531
2021-06-04,COST,387.5199890136719,378.2699890136719,380.7200012207031,367.6705017089844,358.8943176269531,361.2188415527344
