WeekEndingFriday,Ticker,ClosePrice,ClosePrice_t-1,ClosePrice_t-2,AdjClosePrice,AdjClosePrice_t-1,AdjClosePrice_t-2
2021-01-22,HD,284.0,275.5899963378906,269.0899963378906,249.76419067382812,242.3679962158203,236.65158081054688
2021-01-29,HD,270.82000732421875,284.0,275.5899963378906,238.17298889160156,249.76419067382812,242.3679962158203
2021-02-05,HD,278.8599853515625,270.82000732421875,284.0,245.24375915527344,238.17298889160156,249.76419067382812
2021-02-12,HD,277.510009765625,278.8599853515625,270.82000732421875,244.0565643310547,245.24375915527344,238.17298889160156
2021-02-19,HD,279.6400146484375,277.510009765625,278.8599853515625,245.92982482910156,244.0565643310547,245.24375915527344
2021-02-26,HD,258.3399963378906,279.6400146484375,277.510009765625,227.1974639892578,245.92982482910156,244.0565643310547
2021-03-05,HD,253.52000427246094,258.3399963378906,279.6400146484375,222.95851135253906,227.1974639892578,245.92982482910156
2021-03-12,HD,273.1000061035156,253.52000427246094,258.3399963378906,241.68324279785156,222.95851135253906,227.1974639892578
2021-03-19,HD,289.1000061035156,273.1000061035156,253.52000427246094,255.8426513671875,241.68324279785156,222.95851135253906
2021-03-26,HD,303.80999755859375,289.1000061035156,273.1000061035156,268.86041259765625,255.8426513671875,241.68324279785156
2021-04-02,HD,307.75,303.80999755859375,289.1000061035156,272.3472595214844,268.86041259765625,255.8426513671875
2021-04-09,HD,319.2300109863281,307.75,303.80999755859375,282.5065002441406,272.3472595214844,268.86041259765625
2021-04-16,HD,328.0799865722656,319.2300109863281,307.75,290.33843994140625,282.5065002441406,272.3472595214844
2021-04-23,HD,323.8900146484375,328.0799865722656,319.2300109863281,286.6304931640625,290.33843994140625,282.5065002441406
2021-04-30,HD,323.6700134277344,323.8900146484375,328.0799865722656,286.4357604980469,286.6304931640625,290.33843994140625
2021-05-07,HD,339.25,323.6700134277344,323.8900146484375,300.2235412597656,286.4357604980469,286.6304931640625
2021-05-14,HD,323.6300048828125,339.25,323.6700134277344,286.4004211425781,300.2235412597656,286.4357604980469
2021-05-21,HD,315.7699890136719,323.6300048828125,339.25,279.4446105957031,286.4004211425781,300.2235412597656
2021-05-28,HD,318.9100036621094,315.7699890136719,323.6300048828125,282.2233581542969,279.4446105957031,286.4004211425781
2021-06-04,HD,311.010009765625,318.9100036621094,315.7699890136719,276.6753845214844,282.2233581542969,279.4446105957031
2021-06-11,HD,310.7699890136719,311.010009765625,318.9100036621094,276.4619445800781,276.6753845214844,282.2233581542969
2021-06-18,HD,302.6099853515625,310.7699890136719,311.010009765625,269.20269775390625,276.4619445800781,276.6753845214844
2021-06-25,HD,313.6300048828125,302.6099853515625,310.7699890136719,279.006103515625,269.20269775390625,276.4619445800781
2021-07-02,HD,322.70001220703125,313.6300048828125,302.6099853515625,287.0749206542969,279.006103515625,269.20269775390625
2021-07-09,HD,322.0899963378906,322.70001220703125,313.6300048828125,286.5321960449219,287.0749206542969,279.006103515625
2021-07-16,HD,321.5400085449219,322.0899963378906,322.70001220703125,286.04296875,286.5321960449219,287.0749206542969
2021-07-23,HD,332.8399963378906,321.5400085449219,322.0899963378906,296.095458984375,286.04296875,286.5321960449219
2021-07-30,HD,328.19000244140625,332.8399963378906,321.5400085449219,291.9588317871094,296.095458984375,286.04296875
2021-08-06,HD,329.8399963378906,328.19000244140625,332.8399963378906,293.4266662597656,291.9588317871094,296.095458984375
2021-08-13,HD,331.32000732421875,329.8399963378906,328.19000244140625,294.7432556152344,293.4266662597656,291.9588317871094
2021-08-20,HD,329.239990234375,331.32000732421875,329.8399963378906,292.8928527832031,294.7432556152344,293.4266662597656
2021-08-27,HD,323.3800048828125,329.239990234375,331.32000732421875,287.6798095703125,292.8928527832031,294.7432556152344
2021-09-03,HD,330.3399963378906,323.3800048828125,329.239990234375,295.3654479980469,287.6798095703125,292.8928527832031
2021-09-10,HD,331.95001220703125,330.3399963378906,323.3800048828125,296.8050231933594,295.3654479980469,287.6798095703125
2021-09-17,HD,335.6700134277344,331.95001220703125,330.3399963378906,300.1312255859375,296.8050231933594,295.3654479980469
2021-09-24,HD,337.489990234375,335.6700134277344,331.95001220703125,301.758544921875,300.1312255859375,296.8050231933594
2021-10-01,HD,329.8599853515625,337.489990234375,335.6700134277344,294.93634033203125,301.758544921875,300.1312255859375
2021-10-08,HD,334.3399963378906,329.8599853515625,337.489990234375,298.9420471191406,294.93634033203125,301.758544921875
2021-10-15,HD,350.4100036621094,334.3399963378906,329.8599853515625,313.3106384277344,298.9420471191406,294.93634033203125
2021-10-22,HD,365.989990234375,350.4100036621094,334.3399963378906,327.2411804199219,313.3106384277344,298.9420471191406
2021-10-29,HD,371.739990234375,365.989990234375,350.4100036621094,332.38232421875,327.2411804199219,313.3106384277344
2021-11-05,HD,368.3999938964844,371.739990234375,365.989990234375,329.3959655761719,332.38232421875,327.2411804199219
2021-11-12,HD,372.6300048828125,368.3999938964844,371.739990234375,333.17816162109375,329.3959655761719,332.38232421875
2021-11-19,HD,408.69000244140625,372.6300048828125,368.3999938964844,365.4202880859375,333.17816162109375,329.3959655761719
2021-11-26,HD,402.70001220703125,408.69000244140625,372.6300048828125,360.0644836425781,365.4202880859375,333.17816162109375
2021-12-03,HD,407.80999755859375,402.70001220703125,408.69000244140625,366.14154052734375,360.0644836425781,365.4202880859375
2021-12-10,HD,415.3999938964844,407.80999755859375,402.70001220703125,372.9560241699219,366.14154052734375,360.0644836425781
2021-12-17,HD,387.9800109863281,415.3999938964844,407.80999755859375,348.3376770019531,372.9560241699219,366.14154052734375
2021-12-24,HD,397.07000732421875,387.9800109863281,415.3999938964844,356.4988708496094,348.3376770019531,372.9560241699219
2021-12-31,HD,415.010009765625,397.07000732421875,387.9800109863281,372.6058349609375,356.4988708496094,348.3376770019531
2022-01-07,HD,393.6099853515625,415.010009765625,397.07000732421875,353.3924560546875,372.6058349609375,356.4988708496094
2022-01-14,HD,372.0,393.6099853515625,415.010009765625,333.9904479980469,353.3924560546875,372.6058349609375
2022-01-21,HD,349.1000061035156,372.0,393.6099853515625,313.4303894042969,333.9904479980469,353.3924560546875
2022-01-28,HD,366.5400085449219,349.1000061035156,372.0,329.08831787109375,313.4303894042969,333.9904479980469
2022-02-04,HD,359.6700134277344,366.5400085449219,349.1000061035156,322.9202880859375,329.08831787109375,313.4303894042969
2022-02-11,HD,350.2900085449219,359.6700134277344,366.5400085449219,314.49871826171875,322.9202880859375,329.08831787109375
2022-02-18,HD,346.8699951171875,350.2900085449219,359.6700134277344,311.4281311035156,314.49871826171875,322.9202880859375
2022-02-25,HD,316.6499938964844,346.8699951171875,350.2900085449219,284.2959289550781,311.4281311035156,314.49871826171875
2022-03-04,HD,324.260009765625,316.6499938964844,346.8699951171875,291.12835693359375,284.2959289550781,311.4281311035156
2022-03-11,HD,316.7900085449219,324.260009765625,316.6499938964844,286.137939453125,291.12835693359375,284.2959289550781
2022-03-18,HD,340.739990234375,316.7900085449219,324.260009765625,307.77069091796875,286.137939453125,291.12835693359375
2022-03-25,HD,310.67999267578125,340.739990234375,316.7900085449219,280.61920166015625,307.77069091796875,286.137939453125
2022-04-01,HD,301.8900146484375,310.67999267578125,340.739990234375,272.6798095703125,280.61920166015625,307.77069091796875
2022-04-08,HD,311.1099853515625,301.8900146484375,310.67999267578125,281.0075988769531,272.6798095703125,280.61920166015625
2022-04-15,HD,304.5199890136719,311.1099853515625,301.8900146484375,275.0552673339844,281.0075988769531,272.6798095703125
2022-04-22,HD,300.1099853515625,304.5199890136719,311.1099853515625,271.0718688964844,275.0552673339844,281.0075988769531
