WeekEndingFriday,Ticker,ClosePrice,ClosePrice_t-1,ClosePrice_t-2,ClosePrice_t+1,AdjClosePrice,AdjClosePrice_t-1,AdjClosePrice_t-2,AdjClosePrice_t+1,AdjClosePrice_t+1_Up
2020-12-18,PBR,11.289999961853027,11.130000114440918,10.920000076293945,10.970000267028809,3.439075469970703,3.3903369903564453,3.3263680934906006,3.341599464416504,0
2020-12-25,PBR,10.970000267028809,11.289999961853027,11.130000114440918,11.229999542236328,3.341599464416504,3.439075469970703,3.3903369903564453,3.4207980632781982,1
2021-01-01,PBR,11.229999542236328,10.970000267028809,11.289999961853027,11.6899995803833,3.4207980632781982,3.341599464416504,3.439075469970703,3.5609188079833984,1
2021-01-08,PBR,11.6899995803833,11.229999542236328,10.970000267028809,10.899999618530273,3.5609188079833984,3.4207980632781982,3.341599464416504,3.3202755451202393,0
2021-01-15,PBR,10.899999618530273,11.6899995803833,11.229999542236328,10.1899995803833,3.3202755451202393,3.5609188079833984,3.4207980632781982,3.1040005683898926,0
2021-01-22,PBR,10.1899995803833,10.899999618530273,11.6899995803833,10.050000190734863,3.1040005683898926,3.3202755451202393,3.5609188079833984,3.0613551139831543,0
2021-01-29,PBR,10.050000190734863,10.1899995803833,10.899999618530273,11.069999694824219,3.0613551139831543,3.1040005683898926,3.3202755451202393,3.3720591068267822,1
2021-02-05,PBR,11.069999694824219,10.050000190734863,10.1899995803833,10.550000190734863,3.3720591068267822,3.0613551139831543,3.1040005683898926,3.213660955429077,0
2021-02-12,PBR,10.550000190734863,11.069999694824219,10.050000190734863,10.050000190734863,3.213660955429077,3.3720591068267822,3.0613551139831543,3.0613551139831543,0
2021-02-19,PBR,10.050000190734863,10.550000190734863,11.069999694824219,7.929999828338623,3.0613551139831543,3.213660955429077,3.3720591068267822,2.415576934814453,0
2021-02-26,PBR,7.929999828338623,10.050000190734863,10.550000190734863,7.760000228881836,2.415576934814453,3.0613551139831543,3.213660955429077,2.363792657852173,0
2021-03-05,PBR,7.760000228881836,7.929999828338623,10.050000190734863,8.119999885559082,2.363792657852173,2.415576934814453,3.0613551139831543,2.4734535217285156,1
2021-03-12,PBR,8.119999885559082,7.760000228881836,7.929999828338623,8.489999771118164,2.4734535217285156,2.363792657852173,2.415576934814453,2.5861597061157227,1
2021-03-19,PBR,8.489999771118164,8.119999885559082,7.760000228881836,8.109999656677246,2.5861597061157227,2.4734535217285156,2.363792657852173,2.470407724380493,0
2021-03-26,PBR,8.109999656677246,8.489999771118164,8.119999885559082,8.270000457763672,2.470407724380493,2.5861597061157227,2.4734535217285156,2.5191450119018555,1
2021-04-02,PBR,8.270000457763672,8.109999656677246,8.489999771118164,8.289999961853027,2.5191450119018555,2.470407724380493,2.5861597061157227,2.5252368450164795,1
2021-04-09,PBR,8.289999961853027,8.270000457763672,8.109999656677246,8.119999885559082,2.5252368450164795,2.5191450119018555,2.470407724380493,2.559680223464966,1
2021-04-16,PBR,8.119999885559082,8.289999961853027,8.270000457763672,8.4399995803833,2.559680223464966,2.5252368450164795,2.5191450119018555,2.6605546474456787,1
2021-04-23,PBR,8.4399995803833,8.119999885559082,8.289999961853027,8.479999542236328,2.6605546474456787,2.559680223464966,2.5252368450164795,2.673163652420044,1
2021-04-30,PBR,8.479999542236328,8.4399995803833,8.119999885559082,9.069999694824219,2.673163652420044,2.6605546474456787,2.559680223464966,2.8591508865356445,1
2021-05-07,PBR,9.069999694824219,8.479999542236328,8.4399995803833,9.680000305175781,2.8591508865356445,2.673163652420044,2.6605546474456787,3.0514421463012695,1
