WeekEndingFriday,Ticker,AdjClosePrice,AdjClosePrice_t-1,AdjClosePrice_t-2
2021-01-22,ASML,543.6193237304688,503.57220458984375,485.66314697265625
2021-01-29,ASML,509.9301452636719,543.6193237304688,503.57220458984375
2021-02-05,ASML,527.7339477539062,509.9301452636719,543.6193237304688
2021-02-12,ASML,570.8646240234375,527.7339477539062,509.9301452636719
2021-02-19,ASML,567.4376220703125,570.8646240234375,527.7339477539062
2021-02-26,ASML,541.366455078125,567.4376220703125,570.8646240234375
2021-03-05,ASML,503.1330261230469,541.366455078125,567.4376220703125
2021-03-12,ASML,513.2427368164062,503.1330261230469,541.366455078125
2021-03-19,ASML,522.5884399414062,513.2427368164062,503.1330261230469
2021-03-26,ASML,597.2891235351562,522.5884399414062,513.2427368164062
2021-04-02,ASML,608.20068359375,597.2891235351562,522.5884399414062
2021-04-09,ASML,605.546875,608.20068359375,597.2891235351562
2021-04-16,ASML,616.4010620117188,605.546875,608.20068359375
2021-04-23,ASML,640.47705078125,616.4010620117188,605.546875
2021-04-30,ASML,618.7015991210938,640.47705078125,616.4010620117188
2021-05-07,ASML,630.5159301757812,618.7015991210938,640.47705078125
2021-05-14,ASML,620.1665649414062,630.5159301757812,618.7015991210938
2021-05-21,ASML,611.9902954101562,620.1665649414062,630.5159301757812
2021-05-28,ASML,646.696044921875,611.9902954101562,620.1665649414062
2021-06-04,ASML,654.1925048828125,646.696044921875,611.9902954101562
2021-06-11,ASML,667.3378295898438,654.1925048828125,646.696044921875
2021-06-18,ASML,642.483642578125,667.3378295898438,654.1925048828125
2021-06-25,ASML,656.9786376953125,642.483642578125,667.3378295898438
2021-07-02,ASML,658.2518310546875,656.9786376953125,642.483642578125
2021-07-09,ASML,661.9092407226562,658.2518310546875,656.9786376953125
2021-07-16,ASML,658.1370239257812,661.9092407226562,658.2518310546875
2021-07-23,ASML,716.2703857421875,658.1370239257812,661.9092407226562
2021-07-30,ASML,734.0780639648438,716.2703857421875,658.1370239257812
2021-08-06,ASML,749.9135131835938,734.0780639648438,716.2703857421875
2021-08-13,ASML,755.3515014648438,749.9135131835938,734.0780639648438
2021-08-20,ASML,754.6048583984375,755.3515014648438,749.9135131835938
2021-08-27,ASML,797.4388427734375,754.6048583984375,755.3515014648438
2021-09-03,ASML,821.5559692382812,797.4388427734375,754.6048583984375
2021-09-10,ASML,822.283447265625,821.5559692382812,797.4388427734375
2021-09-17,ASML,823.2218627929688,822.283447265625,821.5559692382812
