WeekEndingFriday,Ticker,ClosePrice,ClosePrice_t-1,ClosePrice_t-2,ClosePrice_t+1,AdjClosePrice,AdjClosePrice_t-1,AdjClosePrice_t-2,AdjClosePrice_t+1,AdjClosePrice_t+1_Up
2020-12-18,UNH,338.3800048828125,337.07000732421875,349.8900146484375,340.7900085449219,309.49139404296875,308.29339599609375,320.0188293457031,311.69573974609375,1
2020-12-25,UNH,340.7900085449219,338.3800048828125,337.07000732421875,350.67999267578125,311.69573974609375,309.49139404296875,308.29339599609375,320.7413330078125,1
2021-01-01,UNH,350.67999267578125,340.7900085449219,338.3800048828125,363.3900146484375,320.7413330078125,311.69573974609375,309.49139404296875,332.3663330078125,1
2021-01-08,UNH,363.3900146484375,350.67999267578125,340.7900085449219,351.29998779296875,332.3663330078125,320.7413330078125,311.69573974609375,321.3085021972656,0
2021-01-15,UNH,351.29998779296875,363.3900146484375,350.67999267578125,347.54998779296875,321.3085021972656,332.3663330078125,320.7413330078125,317.87860107421875,0
2021-01-22,UNH,347.54998779296875,351.29998779296875,363.3900146484375,333.5799865722656,317.87860107421875,321.3085021972656,332.3663330078125,305.1012878417969,0
2021-01-29,UNH,333.5799865722656,347.54998779296875,351.29998779296875,324.510009765625,305.1012878417969,317.87860107421875,321.3085021972656,296.8056335449219,0
2021-02-05,UNH,324.510009765625,333.5799865722656,347.54998779296875,328.239990234375,296.8056335449219,305.1012878417969,317.87860107421875,300.21722412109375,1
2021-02-12,UNH,328.239990234375,324.510009765625,333.5799865722656,324.5799865722656,300.21722412109375,296.8056335449219,305.1012878417969,296.86962890625,0
2021-02-19,UNH,324.5799865722656,328.239990234375,324.510009765625,332.2200012207031,296.86962890625,300.21722412109375,296.8056335449219,303.8573913574219,1
2021-02-26,UNH,332.2200012207031,324.5799865722656,328.239990234375,347.1000061035156,303.8573913574219,296.86962890625,300.21722412109375,317.4671325683594,1
2021-03-05,UNH,347.1000061035156,332.2200012207031,324.5799865722656,356.0199890136719,317.4671325683594,303.8573913574219,296.86962890625,326.7823181152344,1
2021-03-12,UNH,356.0199890136719,347.1000061035156,332.2200012207031,365.5799865722656,326.7823181152344,317.4671325683594,303.8573913574219,335.55718994140625,1
2021-03-19,UNH,365.5799865722656,356.0199890136719,347.1000061035156,376.4800109863281,335.55718994140625,326.7823181152344,317.4671325683594,345.5621337890625,1
2021-03-26,UNH,376.4800109863281,365.5799865722656,356.0199890136719,367.07000732421875,345.5621337890625,335.55718994140625,326.7823181152344,336.92486572265625,0
2021-04-02,UNH,367.07000732421875,376.4800109863281,365.5799865722656,376.29998779296875,336.92486572265625,345.5621337890625,335.55718994140625,345.3968505859375,1
2021-04-09,UNH,376.29998779296875,367.07000732421875,376.4800109863281,391.010009765625,345.3968505859375,336.92486572265625,345.5621337890625,358.89886474609375,1
2021-04-16,UNH,391.010009765625,376.29998779296875,367.07000732421875,400.30999755859375,358.89886474609375,345.3968505859375,336.92486572265625,367.43511962890625,1
2021-04-23,UNH,400.30999755859375,391.010009765625,376.29998779296875,398.79998779296875,367.43511962890625,358.89886474609375,345.3968505859375,366.04913330078125,0
2021-04-30,UNH,398.79998779296875,400.30999755859375,391.010009765625,417.6499938964844,366.04913330078125,367.43511962890625,358.89886474609375,383.3510437011719,1
2021-05-07,UNH,417.6499938964844,398.79998779296875,400.30999755859375,409.79998779296875,383.3510437011719,366.04913330078125,367.43511962890625,376.14581298828125,0
2021-05-14,UNH,409.79998779296875,417.6499938964844,398.79998779296875,411.6300048828125,376.14581298828125,383.3510437011719,366.04913330078125,377.8254089355469,1
2021-05-21,UNH,411.6300048828125,409.79998779296875,417.6499938964844,411.9200134277344,377.8254089355469,376.14581298828125,383.3510437011719,378.0915832519531,1
2021-05-28,UNH,411.9200134277344,411.6300048828125,409.79998779296875,405.6400146484375,378.0915832519531,377.8254089355469,376.14581298828125,372.327392578125,0
2021-06-04,UNH,405.6400146484375,411.9200134277344,411.6300048828125,397.8900146484375,372.327392578125,378.0915832519531,377.8254089355469,365.2138671875,0
2021-06-11,UNH,397.8900146484375,405.6400146484375,411.9200134277344,389.3699951171875,365.2138671875,372.327392578125,378.0915832519531,358.7024841308594,0
2021-06-18,UNH,389.3699951171875,397.8900146484375,405.6400146484375,404.95001220703125,358.7024841308594,365.2138671875,372.327392578125,373.0553894042969,1
2021-06-25,UNH,404.95001220703125,389.3699951171875,397.8900146484375,409.3599853515625,373.0553894042969,358.7024841308594,365.2138671875,377.11798095703125,1
2021-07-02,UNH,409.3599853515625,404.95001220703125,389.3699951171875,412.1099853515625,377.11798095703125,373.0553894042969,358.7024841308594,379.6513977050781,1
2021-07-09,UNH,412.1099853515625,409.3599853515625,404.95001220703125,419.70001220703125,379.6513977050781,377.11798095703125,373.0553894042969,386.6437072753906,1
2021-07-16,UNH,419.70001220703125,412.1099853515625,409.3599853515625,417.70001220703125,386.6437072753906,379.6513977050781,377.11798095703125,384.8012390136719,0
2021-07-23,UNH,417.70001220703125,419.70001220703125,412.1099853515625,412.2200012207031,384.8012390136719,386.6437072753906,379.6513977050781,379.7527770996094,0
2021-07-30,UNH,412.2200012207031,417.70001220703125,419.70001220703125,415.1199951171875,379.7527770996094,384.8012390136719,386.6437072753906,382.42431640625,1
2021-08-06,UNH,415.1199951171875,412.2200012207031,417.70001220703125,409.6700134277344,382.42431640625,379.7527770996094,384.8012390136719,377.40362548828125,0
2021-08-13,UNH,409.6700134277344,415.1199951171875,412.2200012207031,429.7099914550781,377.40362548828125,382.42431640625,379.7527770996094,395.86529541015625,1
2021-08-20,UNH,429.7099914550781,409.6700134277344,415.1199951171875,418.760009765625,395.86529541015625,377.40362548828125,382.42431640625,385.77764892578125,0
2021-08-27,UNH,418.760009765625,429.7099914550781,409.6700134277344,422.8599853515625,385.77764892578125,395.86529541015625,377.40362548828125,389.55474853515625,1
2021-09-03,UNH,422.8599853515625,418.760009765625,429.7099914550781,403.9100036621094,389.55474853515625,385.77764892578125,395.86529541015625,373.40338134765625,0
2021-09-10,UNH,403.9100036621094,422.8599853515625,418.760009765625,420.1600036621094,373.40338134765625,389.55474853515625,385.77764892578125,388.426025390625,1
2021-09-17,UNH,420.1600036621094,403.9100036621094,422.8599853515625,407.0799865722656,388.426025390625,373.40338134765625,389.55474853515625,376.3339538574219,0
2021-09-24,UNH,407.0799865722656,420.1600036621094,403.9100036621094,392.42999267578125,376.3339538574219,388.426025390625,373.40338134765625,362.7904968261719,0
2021-10-01,UNH,392.42999267578125,407.0799865722656,420.1600036621094,408.4599914550781,362.7904968261719,376.3339538574219,388.426025390625,377.60968017578125,1
2021-10-08,UNH,408.4599914550781,392.42999267578125,407.0799865722656,428.07000732421875,377.60968017578125,362.7904968261719,376.3339538574219,395.73858642578125,1
2021-10-15,UNH,428.07000732421875,408.4599914550781,392.42999267578125,449.1600036621094,395.73858642578125,377.60968017578125,362.7904968261719,415.2357482910156,1
2021-10-22,UNH,449.1600036621094,428.07000732421875,408.4599914550781,460.4700012207031,415.2357482910156,395.73858642578125,377.60968017578125,425.6915283203125,1
2021-10-29,UNH,460.4700012207031,449.1600036621094,428.07000732421875,455.80999755859375,425.6915283203125,415.2357482910156,395.73858642578125,421.3834533691406,0
2021-11-05,UNH,455.80999755859375,460.4700012207031,449.1600036621094,458.989990234375,421.3834533691406,425.6915283203125,415.2357482910156,424.3232421875,1
2021-11-12,UNH,458.989990234375,455.80999755859375,460.4700012207031,440.0,424.3232421875,421.3834533691406,425.6915283203125,406.767578125,0
2021-11-19,UNH,440.0,458.989990234375,455.80999755859375,439.9100036621094,406.767578125,424.3232421875,421.3834533691406,406.68438720703125,0
2021-11-26,UNH,439.9100036621094,440.0,458.989990234375,449.32000732421875,406.68438720703125,406.767578125,424.3232421875,416.7384338378906,1
2021-12-03,UNH,449.32000732421875,439.9100036621094,440.0,478.2300109863281,416.7384338378906,406.68438720703125,406.767578125,443.5520935058594,1
