WeekEndingFriday,Ticker,AdjClosePrice,AdjClosePrice_t-1,AdjClosePrice_t-2
2021-01-22,DLR,117.33837890625,114.01350402832031,111.60758972167969
2021-01-29,DLR,120.25382995605469,117.33837890625,114.01350402832031
2021-02-05,DLR,121.59879302978516,120.25382995605469,117.33837890625
2021-02-12,DLR,117.00418853759766,121.59879302978516,120.25382995605469
2021-02-19,DLR,113.98845672607422,117.00418853759766,121.59879302978516
2021-02-26,DLR,112.55156707763672,113.98845672607422,117.00418853759766
2021-03-05,DLR,110.27098083496094,112.55156707763672,113.98845672607422
2021-03-12,DLR,113.07315063476562,110.27098083496094,112.55156707763672
2021-03-19,DLR,112.50012969970703,113.07315063476562,110.27098083496094
2021-03-26,DLR,120.42093658447266,112.50012969970703,113.07315063476562
2021-04-02,DLR,120.70741271972656,120.42093658447266,112.50012969970703
2021-04-09,DLR,119.03057861328125,120.70741271972656,120.42093658447266
2021-04-16,DLR,122.99095916748047,119.03057861328125,120.70741271972656
2021-04-23,DLR,125.58627319335938,122.99095916748047,119.03057861328125
2021-04-30,DLR,130.02694702148438,125.58627319335938,122.99095916748047
2021-05-07,DLR,127.3895034790039,130.02694702148438,125.58627319335938
2021-05-14,DLR,125.45146942138672,127.3895034790039,130.02694702148438
2021-05-21,DLR,127.15361022949219,125.45146942138672,127.3895034790039
2021-05-28,DLR,127.70973205566406,127.15361022949219,125.45146942138672
2021-06-04,DLR,130.76004028320312,127.70973205566406,127.15361022949219
2021-06-11,DLR,136.6753387451172,130.76004028320312,127.70973205566406
2021-06-18,DLR,130.8701934814453,136.6753387451172,130.76004028320312
2021-06-25,DLR,129.18130493164062,130.8701934814453,136.6753387451172
2021-07-02,DLR,127.53482055664062,129.18130493164062,130.8701934814453
2021-07-09,DLR,132.19418334960938,127.53482055664062,129.18130493164062
2021-07-16,DLR,133.51815795898438,132.19418334960938,127.53482055664062
2021-07-23,DLR,131.43035888671875,133.51815795898438,132.19418334960938
2021-07-30,DLR,130.83628845214844,131.43035888671875,133.51815795898438
2021-08-06,DLR,133.31448364257812,130.83628845214844,131.43035888671875
2021-08-13,DLR,135.02883911132812,133.31448364257812,130.83628845214844
2021-08-20,DLR,138.1436004638672,135.02883911132812,133.31448364257812
2021-08-27,DLR,135.88607788085938,138.1436004638672,135.02883911132812
2021-09-03,DLR,142.2428436279297,135.88607788085938,138.1436004638672
2021-09-10,DLR,131.8632049560547,142.2428436279297,135.88607788085938
2021-09-17,DLR,134.08216857910156,131.8632049560547,142.2428436279297
2021-09-24,DLR,130.5933380126953,134.08216857910156,131.8632049560547
2021-10-01,DLR,124.04308319091797,130.5933380126953,134.08216857910156
