WeekEndingFriday,Ticker,AdjClosePrice,AdjClosePrice_t-1,AdjClosePrice_t-2
2021-01-22,UNP,184.23631286621094,192.65966796875,194.63426208496094
2021-01-29,UNP,175.64404296875,184.23631286621094,192.65966796875
2021-02-05,UNP,181.63018798828125,175.64404296875,184.23631286621094
2021-02-12,UNP,189.59983825683594,181.63018798828125,175.64404296875
2021-02-19,UNP,185.95303344726562,189.59983825683594,181.63018798828125
2021-02-26,UNP,184.04110717773438,185.95303344726562,189.59983825683594
2021-03-05,UNP,187.39205932617188,184.04110717773438,185.95303344726562
2021-03-12,UNP,191.305908203125,187.39205932617188,184.04110717773438
2021-03-19,UNP,188.36607360839844,191.305908203125,187.39205932617188
2021-03-26,UNP,199.19618225097656,188.36607360839844,191.305908203125
2021-04-02,UNP,196.77459716796875,199.19618225097656,188.36607360839844
2021-04-09,UNP,199.4821319580078,196.77459716796875,199.19618225097656
2021-04-16,UNP,199.00856018066406,199.4821319580078,196.77459716796875
2021-04-23,UNP,199.75018310546875,199.00856018066406,199.4821319580078
2021-04-30,UNP,198.4545135498047,199.75018310546875,199.00856018066406
2021-05-07,UNP,205.0580596923828,198.4545135498047,199.75018310546875
2021-05-14,UNP,203.61044311523438,205.0580596923828,198.4545135498047
2021-05-21,UNP,197.9451904296875,203.61044311523438,205.0580596923828
2021-05-28,UNP,201.7780303955078,197.9451904296875,203.61044311523438
2021-06-04,UNP,203.07098388671875,201.7780303955078,197.9451904296875
2021-06-11,UNP,198.72531127929688,203.07098388671875,201.7780303955078
2021-06-18,UNP,192.87120056152344,198.72531127929688,203.07098388671875
2021-06-25,UNP,198.67144775390625,192.87120056152344,198.72531127929688
2021-07-02,UNP,201.7690887451172,198.67144775390625,192.87120056152344
2021-07-09,UNP,199.0485382080078,201.7690887451172,198.67144775390625
2021-07-16,UNP,196.1125030517578,199.0485382080078,201.7690887451172
2021-07-23,UNP,197.6658172607422,196.1125030517578,199.0485382080078
2021-07-30,UNP,196.4177703857422,197.6658172607422,196.1125030517578
2021-08-06,UNP,197.98008728027344,196.4177703857422,197.6658172607422
2021-08-13,UNP,204.53448486328125,197.98008728027344,196.4177703857422
2021-08-20,UNP,200.86227416992188,204.53448486328125,197.98008728027344
2021-08-27,UNP,198.81507873535156,200.86227416992188,204.53448486328125
2021-09-03,UNP,193.89794921875,198.81507873535156,200.86227416992188
2021-09-10,UNP,187.44699096679688,193.89794921875,198.81507873535156
2021-09-17,UNP,181.77197265625,187.44699096679688,193.89794921875
2021-09-24,UNP,183.8741912841797,181.77197265625,187.44699096679688
2021-10-01,UNP,182.015625,183.8741912841797,181.77197265625
2021-10-08,UNP,195.314453125,182.015625,183.8741912841797
2021-10-15,UNP,203.1457977294922,195.314453125,182.015625
2021-10-22,UNP,214.36048889160156,203.1457977294922,195.314453125
2021-10-29,UNP,217.79798889160156,214.36048889160156,203.1457977294922
2021-11-05,UNP,215.47923278808594,217.79798889160156,214.36048889160156
2021-11-12,UNP,218.73634338378906,215.47923278808594,217.79798889160156
2021-11-19,UNP,217.71678161621094,218.73634338378906,215.47923278808594
2021-11-26,UNP,216.3453826904297,217.71678161621094,218.73634338378906
2021-12-03,UNP,216.92279052734375,216.3453826904297,217.71678161621094
2021-12-10,UNP,224.167724609375,216.92279052734375,216.3453826904297
2021-12-17,UNP,220.00717163085938,224.167724609375,216.92279052734375
2021-12-24,UNP,222.68148803710938,220.00717163085938,224.167724609375
2021-12-31,UNP,228.38360595703125,222.68148803710938,220.00717163085938
2022-01-07,UNP,230.9672088623047,228.38360595703125,222.68148803710938
2022-01-14,UNP,223.2526092529297,230.9672088623047,228.38360595703125
2022-01-21,UNP,223.30697631835938,223.2526092529297,230.9672088623047
2022-01-28,UNP,222.9443359375,223.30697631835938,223.2526092529297
2022-02-04,UNP,219.73521423339844,222.9443359375,223.30697631835938
2022-02-11,UNP,216.48985290527344,219.73521423339844,222.9443359375
2022-02-18,UNP,227.71275329589844,216.48985290527344,219.73521423339844
2022-02-25,UNP,224.47361755371094,227.71275329589844,216.48985290527344
2022-03-04,UNP,241.07164001464844,224.47361755371094,227.71275329589844
2022-03-11,UNP,238.23846435546875,241.07164001464844,224.47361755371094
2022-03-18,UNP,238.0563201904297,238.23846435546875,241.07164001464844
2022-03-25,UNP,249.0426788330078,238.0563201904297,238.23846435546875
2022-04-01,UNP,236.81736755371094,249.0426788330078,238.0563201904297
2022-04-08,UNP,220.4380340576172,236.81736755371094,249.0426788330078
2022-04-15,UNP,224.2914581298828,220.4380340576172,236.81736755371094
2022-04-22,UNP,213.44171142578125,224.2914581298828,220.4380340576172
2022-04-29,UNP,213.4326171875,213.44171142578125,224.2914581298828
2022-05-06,UNP,209.15101623535156,213.4326171875,213.44171142578125
2022-05-13,UNP,210.21688842773438,209.15101623535156,213.4326171875
2022-05-20,UNP,194.56629943847656,210.21688842773438,209.15101623535156
2022-05-27,UNP,203.88999938964844,194.56629943847656,210.21688842773438
2022-06-03,UNP,205.2645263671875,203.88999938964844,194.56629943847656
2022-06-10,UNP,193.46182250976562,205.2645263671875,203.88999938964844
2022-06-17,UNP,189.18240356445312,193.46182250976562,205.2645263671875
2022-06-24,UNP,197.73204040527344,189.18240356445312,193.46182250976562
2022-07-01,UNP,197.25550842285156,197.73204040527344,189.18240356445312
2022-07-08,UNP,192.1605682373047,197.25550842285156,197.73204040527344
2022-07-15,UNP,191.6382598876953,192.1605682373047,197.25550842285156
2022-07-22,UNP,195.55108642578125,191.6382598876953,192.1605682373047
2022-07-29,UNP,208.28851318359375,195.55108642578125,191.6382598876953
2022-08-05,UNP,209.49810791015625,208.28851318359375,195.55108642578125
2022-08-12,UNP,219.88046264648438,209.49810791015625,208.28851318359375
2022-08-19,UNP,218.570068359375,219.88046264648438,209.49810791015625
2022-08-26,UNP,211.92645263671875,218.570068359375,219.88046264648438
2022-09-02,UNP,206.3638458251953,211.92645263671875,218.570068359375
2022-09-09,UNP,213.68067932128906,206.3638458251953,211.92645263671875
2022-09-16,UNP,195.36093139648438,213.68067932128906,206.3638458251953
2022-09-23,UNP,187.96119689941406,195.36093139648438,213.68067932128906
2022-09-30,UNP,179.52935791015625,187.96119689941406,195.36093139648438
2022-10-07,UNP,180.26658630371094,179.52935791015625,187.96119689941406
