model,validation_accuracy,test_accuracy
null_model,,0.7971014492753623
always_one,,0.7971014492753623
logistic_regression,,0.3188405797101449
xgboost,0.5856573705179283,0.30434782608695654
random_forest,0.5577689243027888,0.2753623188405797
neural_network,0.6454183266932271,0.2463768115942029
lasso_logistic,0.5697211155378487,0.2318840579710145
always_zero,,0.2028985507246377
