WeekEndingFriday,Ticker,ClosePrice,ClosePrice_t-1,ClosePrice_t-2,ClosePrice_t+1,AdjClosePrice,AdjClosePrice_t-1,AdjClosePrice_t-2,AdjClosePrice_t+1,AdjClosePrice_t+1_Up,WeeklyReturn_1W,WeeklyReturn_4W,Momentum_12W,Volatility_4W,Volatility_12W,Drawdown_12W
2020-11-27,AMZN,159.76699829101562,154.97000122070312,156.4405059814453,158.12899780273438,159.76699829101562,154.97000122070312,156.4405059814453,158.12899780273438,0,0.030954359118064323,0.052431555949749464,-0.030134002901681,0.06188351274955297,0.048729334404610566,-0.03503986886741006
2020-12-04,AMZN,158.12899780273438,159.76699829101562,154.97000122070312,155.8209991455078,158.12899780273438,159.76699829101562,154.97000122070312,155.8209991455078,0,-0.010252433267211036,-0.04493305821736615,0.014876954098575812,0.03517027051534472,0.04598562213161416,-0.04493305821736615
2020-12-11,AMZN,155.8209991455078,158.12899780273438,159.76699829101562,160.08250427246094,155.8209991455078,158.12899780273438,159.76699829101562,160.08250427246094,1,-0.014595669923272325,-0.00396001554745018,0.05465818290015467,0.021306979940707117,0.04318781724654015,-0.05887290005425461
2020-12-18,AMZN,160.08250427246094,155.8209991455078,158.12899780273438,158.63450622558594,160.08250427246094,155.8209991455078,158.12899780273438,158.63450622558594,0,0.02734872161212154,0.032990275611321396,0.03441538171203229,0.024114048533926215,0.041770017925341754,-0.03313427699621507
2020-12-25,AMZN,158.63450622558594,160.08250427246094,155.8209991455078,162.84649658203125,158.63450622558594,160.08250427246094,155.8209991455078,162.84649658203125,1,-0.009045323556473694,-0.007088397964183146,0.01526083984374993,0.019469704065041383,0.041872805574116184,-0.04187989029644823
2021-01-01,AMZN,162.84649658203125,158.63450622558594,160.08250427246094,159.13499450683594,162.84649658203125,158.63450622558594,160.08250427246094,159.13499450683594,0,0.026551539489495735,0.029833230114959308,-0.009042688766952134,0.022500981182880166,0.039733650127929974,-0.016440326367974323
2021-01-08,AMZN,159.13499450683594,162.84649658203125,158.63450622558594,155.21249389648438,159.13499450683594,162.84649658203125,158.63450622558594,155.21249389648438,0,-0.02279141494042336,0.021267963750081442,-0.027503222673296968,0.025380461900677165,0.04026898224341608,-0.038857043008389214
2021-01-15,AMZN,155.21249389648438,159.13499450683594,162.84649658203125,164.6114959716797,155.21249389648438,159.13499450683594,162.84649658203125,164.6114959716797,1,-0.024648887710132517,-0.0304218777567834,-0.031253946361671225,0.02373328184170641,0.04044771965354653,-0.06254814782866025
2021-01-22,AMZN,164.6114959716797,155.21249389648438,159.13499450683594,160.30999755859375,164.6114959716797,155.21249389648438,159.13499450683594,160.30999755859375,0,0.06055570553143608,0.03767774041288452,0.08434366725179254,0.041253797412084146,0.040756474329843466,-0.00578008951867337
2021-01-29,AMZN,160.30999755859375,164.6114959716797,155.21249389648438,167.6074981689453,160.30999755859375,164.6114959716797,155.21249389648438,167.6074981689453,1,-0.02613121512379657,-0.01557601223652838,-0.03176026387982267,0.042561709295655614,0.03213158896616464,-0.02613121512379657
2021-02-05,AMZN,167.6074981689453,160.30999755859375,164.6114959716797,163.885498046875,167.6074981689453,160.30999755859375,164.6114959716797,163.885498046875,0,0.04552118221874646,0.05324098378465347,0.07138171867600884,0.04569881824393483,0.030138014906537933,0.0
2021-02-12,AMZN,163.885498046875,167.6074981689453,160.30999755859375,162.4949951171875,163.885498046875,167.6074981689453,160.30999755859375,162.4949951171875,0,-0.022206644468367398,0.05587826039426247,0.05753046883877033,0.0450248010257858,0.030955253293447824,-0.022206644468367398
2021-02-19,AMZN,162.4949951171875,163.885498046875,167.6074981689453,154.64649963378906,162.4949951171875,163.885498046875,167.6074981689453,154.64649963378906,0,-0.00848460020110986,-0.012857551910325338,0.017074845589843513,0.03310695906125815,0.03004144532997127,-0.030502830169354955
2021-02-26,AMZN,154.64649963378906,162.4949951171875,163.885498046875,150.0229949951172,154.64649963378906,162.4949951171875,163.885498046875,150.0229949951172,0,-0.04829992134673622,-0.03532841376742368,-0.022023147033978674,0.03953953286673854,0.033265981347116,-0.07732946721805845
2021-03-05,AMZN,150.0229949951172,154.64649963378906,162.4949951171875,154.47450256347656,150.0229949951172,154.64649963378906,162.4949951171875,154.47450256347656,1,-0.02989724726793408,-0.10491477628347667,-0.037209388864054005,0.016610033699877617,0.034102517959337296,-0.10491477628347667
2021-03-12,AMZN,154.47450256347656,150.0229949951172,154.64649963378906,153.7480010986328,154.47450256347656,150.0229949951172,154.64649963378906,153.7480010986328,0,0.029672168379949015,-0.05742421138877507,-0.035031946398336844,0.03349940386423981,0.034294239057088165,-0.07835565681095558
2021-03-19,AMZN,153.7480010986328,154.47450256347656,150.0229949951172,152.60150146484375,153.7480010986328,154.47450256347656,150.0229949951172,152.60150146484375,0,-0.004703051007043824,-0.0538293134028317,-0.030803544847955555,0.03376871185824142,0.03424100207666518,-0.08269019716732706
