WeekEndingFriday,Ticker,ClosePrice,ClosePrice_t-1,ClosePrice_t-2,ClosePrice_t+1,AdjClosePrice,AdjClosePrice_t-1,AdjClosePrice_t-2,AdjClosePrice_t+1,AdjClosePrice_t+1_Up,WeeklyReturn_1W,WeeklyReturn_4W,Momentum_12W,Volatility_4W,Volatility_12W,Drawdown_12W
2020-11-27,TM,140.16000366210938,142.1300048828125,141.6199951171875,138.27999877929688,123.5,125.23584747314453,124.78646087646484,121.84346008300781,0,-0.013860627832751882,0.06756035226857837,0.06831655220946486,0.026758100951912212,0.02008545578934722,-0.013860627832751882
2020-12-04,TM,138.27999877929688,140.16000366210938,142.1300048828125,151.0,121.84346008300781,123.5,125.23584747314453,133.051513671875,1,-0.013413278680098673,0.00787180841439672,0.06867240041905709,0.021638076710048346,0.02005674435741011,-0.027087990049048716
2020-12-11,TM,151.0,138.27999877929688,140.16000366210938,153.77000427246094,133.051513671875,121.84346008300781,123.5,135.4922637939453,1,0.09198732193940917,0.06623357003122576,0.14168137521868074,0.05059626537395004,0.03189309871726993,0.0
2020-12-18,TM,153.77000427246094,151.0,138.27999877929688,150.47000122070312,135.4922637939453,133.051513671875,121.84346008300781,132.5845184326172,0,0.01834439950897182,0.08189680932210841,0.17381637938994499,0.049818227200932236,0.0312259290678952,0.0
2020-12-25,TM,150.47000122070312,153.77000427246094,151.0,154.57000732421875,132.5845184326172,135.4922637939453,133.051513671875,136.19720458984375,1,-0.02146060062698618,0.07355885370540238,0.1422607854767568,0.0516887683802296,0.03281405615129758,-0.02146060062698618
2021-01-01,TM,154.57000732421875,150.47000122070312,153.77000427246094,152.85000610351562,136.19720458984375,132.5845184326172,135.4922637939453,134.68162536621094,0,0.02724817497498866,0.11780480049612208,0.17027596439908343,0.04701163719621583,0.03297079834242347,0.0
2021-01-08,TM,152.85000610351562,154.57000732421875,150.47000122070312,148.41000366210938,134.68162536621094,136.19720458984375,132.5845184326172,130.7693634033203,0,-0.011127829151831414,0.012251733553035882,0.17000935517555282,0.02324570963165488,0.03298612654898724,-0.011127829151831414
2021-01-15,TM,148.41000366210938,152.85000610351562,154.57000732421875,147.9499969482422,130.7693634033203,134.68162536621094,136.19720458984375,130.36404418945312,0,-0.029048223558728603,-0.034857343573560184,0.11352037526623637,0.025000042875068563,0.03509350343240921,-0.03985280904163424
2021-01-22,TM,147.9499969482422,148.41000366210938,152.85000610351562,140.52000427246094,130.36404418945312,130.7693634033203,134.68162536621094,123.81723022460938,0,-0.003099496727051454,-0.016747613291611896,0.1268946148829886,0.023490981318636174,0.03450451976661675,-0.0428287821174973
2021-01-29,TM,140.52000427246094,147.9499969482422,148.41000366210938,150.86000061035156,123.81723022460938,130.36404418945312,130.7693634033203,132.92816162109375,1,-0.05021947581903419,-0.09089741894862324,0.024198554886099455,0.020927657681599116,0.03673288099517853,-0.09089741894862324
2021-02-05,TM,150.86000061035156,140.52000427246094,147.9499969482422,160.49000549316406,132.92816162109375,123.81723022460938,130.36404418945312,141.4134979248047,1,0.07358371189499868,-0.01301932420513463,0.0652450649489047,0.0540699459988251,0.04140877405317781,-0.02400227654153908
2021-02-12,TM,160.49000549316406,150.86000061035156,140.52000427246094,153.5500030517578,141.4134979248047,132.92816162109375,123.81723022460938,135.2984161376953,0,0.06383400026172059,0.08139624025434467,0.12917747416632674,0.05846022971825885,0.0446123339768213,0.0
2021-02-19,TM,153.5500030517578,160.49000549316406,150.86000061035156,147.92999267578125,135.2984161376953,141.4134979248047,132.92816162109375,130.34642028808594,0,-0.04324256083645572,0.037850712433186384,0.09553373390846409,0.06682871566599771,0.046854599194924414,-0.04324256083645572
2021-02-26,TM,147.92999267578125,153.5500030517578,160.49000549316406,148.52000427246094,130.34642028808594,135.2984161376953,141.4134979248047,130.86630249023438,1,-0.036600545601137346,0.052732483610175684,0.06978593844335457,0.06290244416482509,0.04830142878896244,-0.07826040511778842
2021-03-05,TM,148.52000427246094,147.92999267578125,153.5500030517578,150.52999877929688,130.86630249023438,130.34642028808594,135.2984161376953,132.63739013671875,1,0.003988465513662831,-0.015511078357772101,-0.016423797981206634,0.04920732500377033,0.0401683582525134,-0.07458407853102311
2021-03-12,TM,150.52999877929688,148.52000427246094,147.92999267578125,158.5800018310547,132.63739013671875,130.86630249023438,130.34642028808594,139.7305145263672,1,0.013533565270681835,-0.06205990175529463,-0.021070381269650995,0.02850500034754438,0.0399851389456543,-0.06205990175529463
2021-03-19,TM,158.5800018310547,150.52999877929688,148.52000427246094,153.3699951171875,139.7305145263672,132.63739013671875,130.86630249023438,135.13980102539062,0,0.05347756301852025,0.032757947322615166,0.053897666018840384,0.03698058635506848,0.04229307370407102,-0.011901151043816283
2021-03-26,TM,153.3699951171875,158.5800018310547,150.52999877929688,154.16000366210938,135.13980102539062,139.7305145263672,132.63739013671875,138.01890563964844,1,-0.032854051361202785,0.03677416477345963,-0.007763768482895728,0.035470800579686566,0.04299681049733077,-0.04436420137736807
2021-04-02,TM,154.16000366210938,153.3699951171875,158.5800018310547,154.27999877929688,138.01890563964844,135.13980102539062,139.7305145263672,138.12632751464844,1,0.021304638547727794,0.05465580530135172,0.02477903176742302,0.035624350188000455,0.04323966904098997,-0.024004726104443708
2021-04-09,TM,154.27999877929688,154.16000366210938,153.3699951171875,157.57000732421875,138.12632751464844,138.01890563964844,135.13980102539062,141.07186889648438,1,0.0007783127572424942,0.04138303213197925,0.0562590802605476,0.036229690112551144,0.042078653706755065,-0.02324509653176232
2021-04-16,TM,157.57000732421875,154.27999877929688,154.16000366210938,154.99000549316406,141.07186889648438,138.12632751464844,138.01890563964844,138.76199340820312,0,0.02132498152116269,0.009599580840762512,0.08213786841001935,0.02556554203497323,0.042222011254788645,-0.0024158162645970815
2021-04-23,TM,154.99000549316406,157.57000732421875,154.27999877929688,150.77000427246094,138.76199340820312,141.07186889648438,138.12632751464844,134.9838409423828,0,-0.016373749822341854,0.026803298179578938,0.12070018975940067,0.01820838773614485,0.03903238053346754,-0.018750010115805793
2021-04-30,TM,150.77000427246094,154.99000549316406,157.57000732421875,153.64999389648438,134.9838409423828,138.76199340820312,141.07186889648438,137.56228637695312,1,-0.02722757415790311,-0.021990209842627118,0.015464588513220301,0.021207386803733234,0.03477350901152715,-0.045467066982819326
2021-05-07,TM,153.64999389648438,150.77000427246094,154.99000549316406,155.85000610351562,137.56228637695312,134.9838409423828,138.76199340820312,139.53196716308594,1,0.019101882244341395,-0.0040835165014829755,-0.027233691297979257,0.024674939517045948,0.02952366510977922,-0.024877975651591555
2021-05-14,TM,155.85000610351562,153.64999389648438,150.77000427246094,161.16000366210938,139.53196716308594,137.56228637695312,134.9838409423828,144.28598022460938,1,0.014318465024166782,-0.01091572505166416,0.03129046995703244,0.02275542244530225,0.02674073379681308,-0.01091572505166416
2021-05-21,TM,161.16000366210938,155.85000610351562,153.64999389648438,165.97999572753906,144.28598022460938,139.53196716308594,137.56228637695312,148.60130310058594,1,0.03407113909579529,0.03980907653982779,0.10694240705433122,0.026247463389776286,0.024974905946648487,0.0
2021-05-28,TM,165.97999572753906,161.16000366210938,155.85000610351562,182.41000366210938,148.60130310058594,144.28598022460938,139.53196716308594,163.31101989746094,1,0.029908123223468586,0.10088216532537153,0.13551999462715014,0.009193615773959331,0.02563431108795555,0.0
2021-06-04,TM,182.41000366210938,165.97999572753906,161.16000366210938,181.47000122070312,163.31101989746094,148.60130310058594,144.28598022460938,162.46945190429688,0,0.09898780488431003,0.18717872607867392,0.23125929821994173,0.037422819803694704,0.03613643893256818,0.0
2021-06-11,TM,181.47000122070312,182.41000366210938,165.97999572753906,177.02999877929688,162.46945190429688,163.31101989746094,148.60130310058594,158.49432373046875,0,-0.00515316108914432,0.16438874336517761,0.16273422777412616,0.04341340690879804,0.03485450419634234,-0.00515316108914432
2021-06-18,TM,177.02999877929688,181.47000122070312,182.41000366210938,178.10000610351562,158.49432373046875,162.46945190429688,163.31101989746094,159.4523162841797,1,-0.024466926719059034,0.09847348636188569,0.1728175010461217,0.05432723014613758,0.03391896604230663,-0.02949400579346373
2021-06-25,TM,178.10000610351562,177.02999877929688,181.47000122070312,176.02999877929688,159.4523162841797,158.49432373046875,162.46945190429688,157.59902954101562,0,0.006044333520360379,0.07302098270463264,0.15529329511198586,0.05488946684630558,0.03390140822633398,-0.023627943880970448
2021-07-02,TM,176.02999877929688,178.10000610351562,177.02999877929688,177.7899932861328,157.59902954101562,159.4523162841797,158.49432373046875,159.1747283935547,1,-0.011622827352730902,-0.03497614772127278,0.140977483270176,0.012741985955705444,0.034478942876857814,-0.03497614772127278
2021-07-09,TM,177.7899932861328,176.02999877929688,178.10000610351562,178.1300048828125,159.1747283935547,157.59902954101562,159.4523162841797,159.47914123535156,1,0.009998150731816313,-0.02027903382528151,0.12832366678542995,0.016018159982798423,0.034342564352892756,-0.02532769378639188
2021-07-16,TM,178.1300048828125,177.7899932861328,176.02999877929688,179.85000610351562,159.47914123535156,159.1747283935547,157.59902954101562,161.01905822753906,1,0.001912444549892589,0.006213582175709664,0.14929987180426108,0.009402493789736479,0.033428864292582544,-0.023463687046442527
2021-07-23,TM,179.85000610351562,178.1300048828125,177.7899932861328,179.83999633789062,161.01905822753906,159.47914123535156,159.1747283935547,161.01010131835938,0,0.009655914750098749,0.009825770988281413,0.19287654806229182,0.010119750676104579,0.031092527716606425,-0.014034335658187347
