WeekEndingFriday,Ticker,ClosePrice,ClosePrice_t-1,ClosePrice_t-2,ClosePrice_t+1,AdjClosePrice,AdjClosePrice_t-1,AdjClosePrice_t-2,AdjClosePrice_t+1,AdjClosePrice_t+1_Up,WeeklyReturn_1W,WeeklyReturn_4W,Momentum_12W,Volatility_4W,Volatility_12W,Drawdown_12W
2020-11-27,COST,388.3900146484375,381.1199951171875,378.8399963378906,373.42999267578125,357.6164245605469,350.9224548339844,348.8230285644531,352.8482666015625,0,0.019075353071177137,0.08604132163236478,0.12282215834620236,0.040903902289376806,0.03412162433711353,0.0
2020-12-04,COST,373.42999267578125,388.3900146484375,381.1199951171875,375.1000061035156,352.8482666015625,357.6164245605469,350.9224548339844,354.4261169433594,1,-0.013333162661205211,-0.006348656605080549,0.13215612765898688,0.017144689088502776,0.03351007562879137,-0.013333162661205211
2020-12-11,COST,375.1000061035156,373.42999267578125,388.3900146484375,367.0,354.4261169433594,352.8482666015625,357.6164245605469,346.7725830078125,0,0.004471753133418632,0.01606283966389843,0.14794893877462667,0.013316513254851984,0.03298421406417288,-0.008921032139695084
2020-12-18,COST,367.0,375.1000061035156,373.42999267578125,364.5799865722656,346.7725830078125,354.4261169433594,352.8482666015625,344.4858703613281,0,-0.021594159035322913,-0.011825609245025737,0.10145662543029865,0.0182169268878204,0.034244003781697924,-0.030322548988234277
2020-12-25,COST,364.5799865722656,367.0,375.1000061035156,376.7799987792969,344.4858703613281,346.7725830078125,354.4261169433594,356.0135192871094,1,-0.006594271746197533,-0.03671686560636611,0.0558816593751259,0.011021029295633413,0.03331880882261401,-0.03671686560636611
2021-01-01,COST,376.7799987792969,364.5799865722656,367.0,369.94000244140625,356.0135192871094,344.4858703613281,346.7725830078125,349.5505676269531,0,0.0334633432532081,0.008970577398701218,0.04853646133029743,0.023279709831162333,0.032673662165839265,-0.004482191430125737
2021-01-08,COST,369.94000244140625,376.7799987792969,364.5799865722656,362.1600036621094,349.5505676269531,356.0135192871094,344.4858703613281,342.1993408203125,0,-0.018153669200815292,-0.01375617959097919,-0.0030934021723094673,0.02528291635154831,0.03196522021459011,-0.022554492410423843
2021-01-15,COST,362.1600036621094,369.94000244140625,376.7799987792969,362.29998779296875,342.1993408203125,349.5505676269531,356.0135192871094,342.3315124511719,1,-0.02103051028223757,-0.01318801546487014,-0.005978214329594778,0.025147580126215367,0.03212393334713042,-0.04311067020811332
2021-01-22,COST,362.29998779296875,362.1600036621094,369.94000244140625,352.42999267578125,342.3315124511719,342.1993408203125,349.5505676269531,333.0055847167969,0,0.0003862416290532078,-0.006253835339883662,0.03962274293117973,0.025064371244014064,0.02908089383811534,-0.04274107971455088
2021-01-29,COST,352.42999267578125,362.29998779296875,362.1600036621094,355.1700134277344,333.0055847167969,342.3315124511719,342.1993408203125,336.25726318359375,1,-0.027242387554681224,-0.06462657546371886,-0.062227370992020026,0.011885618556870637,0.018418696937455546,-0.06881909821114274
