model,validation_accuracy,test_accuracy
always_zero,,0.5377358490566038
neural_network,0.5460526315789473,0.5094339622641509
lasso_logistic,0.5131578947368421,0.49056603773584906
random_forest,0.5570175438596491,0.4716981132075472
null_model,,0.46226415094339623
always_one,,0.46226415094339623
logistic_regression,,0.46226415094339623
xgboost,0.5679824561403509,0.44339622641509435
