WeekEndingFriday,Ticker,AdjClosePrice_t+1,AdjClosePrice_t+1_Up,AdjClosePrice,AdjClosePrice_t-1,AdjClosePrice_t-2,QuarterlyReleased,BookToMarket,MarketCap,FreeCashFlowYield,FreeCashFlowYield_TTM,EarningsYield,EarningsYield_TTM,BookToMarket_L1W,MarketCap_L1W,FreeCashFlowYield_L1W,FreeCashFlowYield_TTM_L1W,EarningsYield_L1W,EarningsYield_TTM_L1W,BookToMarket_L2W,MarketCap_L2W,FreeCashFlowYield_L2W,FreeCashFlowYield_TTM_L2W,EarningsYield_L2W,EarningsYield_TTM_L2W,GrossProfitability,GrossProfitability_TTM,OperatingMargin,OperatingMargin_TTM,ROA,ROA_TTM,ROE,ROE_TTM,AssetGrowth,InvestmentIntensity,InvestmentIntensity_TTM,Accruals,Accruals_TTM,IncomeQuality,IncomeQuality_TTM,DebtToAssets,CashRatio,WorkingCapitalScaled,GrossProfitability_L1Q,GrossProfitability_TTM_L1Q,OperatingMargin_L1Q,OperatingMargin_TTM_L1Q,ROA_L1Q,ROA_TTM_L1Q,ROE_L1Q,ROE_TTM_L1Q,AssetGrowth_L1Q,InvestmentIntensity_L1Q,InvestmentIntensity_TTM_L1Q,Accruals_L1Q,Accruals_TTM_L1Q,IncomeQuality_L1Q,IncomeQuality_TTM_L1Q,DebtToAssets_L1Q,CashRatio_L1Q,WorkingCapitalScaled_L1Q,GrossProfitability_L2Q,GrossProfitability_TTM_L2Q,OperatingMargin_L2Q,OperatingMargin_TTM_L2Q,ROA_L2Q,ROA_TTM_L2Q,ROE_L2Q,ROE_TTM_L2Q,AssetGrowth_L2Q,InvestmentIntensity_L2Q,InvestmentIntensity_TTM_L2Q,Accruals_L2Q,Accruals_TTM_L2Q,IncomeQuality_L2Q,IncomeQuality_TTM_L2Q,DebtToAssets_L2Q,CashRatio_L2Q,WorkingCapitalScaled_L2Q
2021-01-01,DIS,174.5787811279297,0,177.011474609375,169.73289489746094,168.91221618652344,1,0.2560812402969301,328298160000.0,-0.0020591038341488,0.0080627926760235,5.1782197012618045e-05,-0.0150899414117946,0.3707770184745821,225426592899.06845,0.0041609997646549,0.0159519777757988,-0.0031495840436087,-0.0127048009871768,0.3725784606562708,224336640000.0,0.0041812162293239,0.0160294814079412,-0.0031648864848827,-0.0127665280178931,0.0221608020288476,0.0898468457758757,0.0159394424272262,0.0200460829493087,8.420510381993977e-05,-0.0245383579014106,0.0002022100367546,-0.0589263836519132,0.0046778270995481,0.0037644634648914,0.0170589633856395,-0.0003318671738785,-0.0547085512759549,4.941176470588236,-1.2295115058538555,0.2886501426533523,0.6429593912453854,0.0412505943889681,0.0183280492584929,0.1067135039122,-0.0308016590739103,0.0580228788156848,-0.0035227165602409,-0.0142099439838451,-0.0084945503272196,-0.0342653410382494,0.0389980616958099,0.003616986440022,0.0199554450778718,-0.011793658117877,-0.0520072042034443,-2.347887323943662,-2.6599162011173183,0.3092200903998531,0.6727504882079015,0.0427836407027571,0.0186998251857702,0.1208385304046732,0.0043297393666694,0.0936071423453375,-0.0227354815096629,-0.0052974009024844,-0.0549810169333612,-0.0128106584678452,-0.0087170306719178,0.0034095998535991,0.0221623990483941,-0.0283218315522829,-0.0436842941694879,-0.2457106545223469,-7.246363636363636,0.328983043501293,0.7476469256396158,0.050147123270519
2021-01-08,DIS,167.49559020996094,0,174.5787811279297,177.011474609375,169.73289489746094,0,0.2596496536319463,323786297512.92004,-0.0020877968128747,0.0081751452125437,5.250376600424744e-05,-0.0153002151050024,0.2560812402969301,328298160000.0,-0.0020591038341488,0.0080627926760235,5.1782197012618045e-05,-0.0150899414117946,0.3707770184745821,225426592899.06845,0.0041609997646549,0.0159519777757988,-0.0031495840436087,-0.0127048009871768,0.0221608020288476,0.0898468457758757,0.0159394424272262,0.0200460829493087,8.420510381993977e-05,-0.0245383579014106,0.0002022100367546,-0.0589263836519132,0.0046778270995481,0.0037644634648914,0.0170589633856395,-0.0003318671738785,-0.0547085512759549,4.941176470588236,-1.2295115058538555,0.2886501426533523,0.6429593912453854,0.0412505943889681,0.0183280492584929,0.1067135039122,-0.0308016590739103,0.0580228788156848,-0.0035227165602409,-0.0142099439838451,-0.0084945503272196,-0.0342653410382494,0.0389980616958099,0.003616986440022,0.0199554450778718,-0.011793658117877,-0.0520072042034443,-2.347887323943662,-2.6599162011173183,0.3092200903998531,0.6727504882079015,0.0427836407027571,0.0186998251857702,0.1208385304046732,0.0043297393666694,0.0936071423453375,-0.0227354815096629,-0.0052974009024844,-0.0549810169333612,-0.0128106584678452,-0.0087170306719178,0.0034095998535991,0.0221623990483941,-0.0283218315522829,-0.0436842941694879,-0.2457106545223469,-7.246363636363636,0.328983043501293,0.7476469256396158,0.050147123270519
2021-01-15,DIS,168.80474853515625,1,167.49559020996094,174.5787811279297,177.011474609375,0,0.2706299380581262,310649296981.8555,-0.0021760873324605,0.0085208626760697,5.472408972164176e-05,-0.0159472435577066,0.2596496536319463,323786297512.92004,-0.0020877968128747,0.0081751452125437,5.250376600424744e-05,-0.0153002151050024,0.2560812402969301,328298160000.0,-0.0020591038341488,0.0080627926760235,5.1782197012618045e-05,-0.0150899414117946,0.0221608020288476,0.0898468457758757,0.0159394424272262,0.0200460829493087,8.420510381993977e-05,-0.0245383579014106,0.0002022100367546,-0.0589263836519132,0.0046778270995481,0.0037644634648914,0.0170589633856395,-0.0003318671738785,-0.0547085512759549,4.941176470588236,-1.2295115058538555,0.2886501426533523,0.6429593912453854,0.0412505943889681,0.0183280492584929,0.1067135039122,-0.0308016590739103,0.0580228788156848,-0.0035227165602409,-0.0142099439838451,-0.0084945503272196,-0.0342653410382494,0.0389980616958099,0.003616986440022,0.0199554450778718,-0.011793658117877,-0.0520072042034443,-2.347887323943662,-2.6599162011173183,0.3092200903998531,0.6727504882079015,0.0427836407027571,0.0186998251857702,0.1208385304046732,0.0043297393666694,0.0936071423453375,-0.0227354815096629,-0.0052974009024844,-0.0549810169333612,-0.0128106584678452,-0.0087170306719178,0.0034095998535991,0.0221623990483941,-0.0283218315522829,-0.0436842941694879,-0.2457106545223469,-7.246363636363636,0.328983043501293,0.7476469256396158,0.050147123270519
2021-01-22,DIS,164.30081176757812,0,168.80474853515625,167.49559020996094,174.5787811279297,0,0.2685310659173485,313077370444.26843,-0.0021592106738367,0.0084547790734405,5.429967670891182e-05,-0.0158235646127028,0.2706299380581262,310649296981.8555,-0.0021760873324605,0.0085208626760697,5.472408972164176e-05,-0.0159472435577066,0.2596496536319463,323786297512.92004,-0.0020877968128747,0.0081751452125437,5.250376600424744e-05,-0.0153002151050024,0.0221608020288476,0.0898468457758757,0.0159394424272262,0.0200460829493087,8.420510381993977e-05,-0.0245383579014106,0.0002022100367546,-0.0589263836519132,0.0046778270995481,0.0037644634648914,0.0170589633856395,-0.0003318671738785,-0.0547085512759549,4.941176470588236,-1.2295115058538555,0.2886501426533523,0.6429593912453854,0.0412505943889681,0.0183280492584929,0.1067135039122,-0.0308016590739103,0.0580228788156848,-0.0035227165602409,-0.0142099439838451,-0.0084945503272196,-0.0342653410382494,0.0389980616958099,0.003616986440022,0.0199554450778718,-0.011793658117877,-0.0520072042034443,-2.347887323943662,-2.6599162011173183,0.3092200903998531,0.6727504882079015,0.0427836407027571,0.0186998251857702,0.1208385304046732,0.0043297393666694,0.0936071423453375,-0.0227354815096629,-0.0052974009024844,-0.0549810169333612,-0.0128106584678452,-0.0087170306719178,0.0034095998535991,0.0221623990483941,-0.0283218315522829,-0.0436842941694879,-0.2457106545223469,-7.246363636363636,0.328983043501293,0.7476469256396158,0.050147123270519
2021-01-29,DIS,176.99195861816406,1,164.30081176757812,168.80474853515625,167.49559020996094,0,0.2758922384882949,304724049000.6276,-0.0022184005568874,0.0086865477427236,5.5788179685040185e-05,-0.0162573318917464,0.2685310659173485,313077370444.26843,-0.0021592106738367,0.0084547790734405,5.429967670891182e-05,-0.0158235646127028,0.2706299380581262,310649296981.8555,-0.0021760873324605,0.0085208626760697,5.472408972164176e-05,-0.0159472435577066,0.0221608020288476,0.0898468457758757,0.0159394424272262,0.0200460829493087,8.420510381993977e-05,-0.0245383579014106,0.0002022100367546,-0.0589263836519132,0.0046778270995481,0.0037644634648914,0.0170589633856395,-0.0003318671738785,-0.0547085512759549,4.941176470588236,-1.2295115058538555,0.2886501426533523,0.6429593912453854,0.0412505943889681,0.0183280492584929,0.1067135039122,-0.0308016590739103,0.0580228788156848,-0.0035227165602409,-0.0142099439838451,-0.0084945503272196,-0.0342653410382494,0.0389980616958099,0.003616986440022,0.0199554450778718,-0.011793658117877,-0.0520072042034443,-2.347887323943662,-2.6599162011173183,0.3092200903998531,0.6727504882079015,0.0427836407027571,0.0186998251857702,0.1208385304046732,0.0043297393666694,0.0936071423453375,-0.0227354815096629,-0.0052974009024844,-0.0549810169333612,-0.0128106584678452,-0.0087170306719178,0.0034095998535991,0.0221623990483941,-0.0283218315522829,-0.0436842941694879,-0.2457106545223469,-7.246363636363636,0.328983043501293,0.7476469256396158,0.050147123270519
2021-02-05,DIS,183.3521728515625,1,176.99195861816406,164.30081176757812,168.80474853515625,0,0.2561094960449426,328261939905.76227,-0.002059331033607,0.0080636823165058,5.178791060846218e-05,-0.0150916064208424,0.2758922384882949,304724049000.6276,-0.0022184005568874,0.0086865477427236,5.5788179685040185e-05,-0.0162573318917464,0.2685310659173485,313077370444.26843,-0.0021592106738367,0.0084547790734405,5.429967670891182e-05,-0.0158235646127028,0.0221608020288476,0.0898468457758757,0.0159394424272262,0.0200460829493087,8.420510381993977e-05,-0.0245383579014106,0.0002022100367546,-0.0589263836519132,0.0046778270995481,0.0037644634648914,0.0170589633856395,-0.0003318671738785,-0.0547085512759549,4.941176470588236,-1.2295115058538555,0.2886501426533523,0.6429593912453854,0.0412505943889681,0.0183280492584929,0.1067135039122,-0.0308016590739103,0.0580228788156848,-0.0035227165602409,-0.0142099439838451,-0.0084945503272196,-0.0342653410382494,0.0389980616958099,0.003616986440022,0.0199554450778718,-0.011793658117877,-0.0520072042034443,-2.347887323943662,-2.6599162011173183,0.3092200903998531,0.6727504882079015,0.0427836407027571,0.0186998251857702,0.1208385304046732,0.0043297393666694,0.0936071423453375,-0.0227354815096629,-0.0052974009024844,-0.0549810169333612,-0.0128106584678452,-0.0087170306719178,0.0034095998535991,0.0221623990483941,-0.0283218315522829,-0.0436842941694879,-0.2457106545223469,-7.246363636363636,0.328983043501293,0.7476469256396158,0.050147123270519
2021-02-12,DIS,179.42465209960938,0,183.3521728515625,176.99195861816406,164.30081176757812,0,0.2472254366392394,340058050429.008,-0.0019878958876202,0.0077839651102528,4.999146462950447e-05,-0.0145681009279155,0.2561094960449426,328261939905.76227,-0.002059331033607,0.0080636823165058,5.178791060846218e-05,-0.0150916064208424,0.2758922384882949,304724049000.6276,-0.0022184005568874,0.0086865477427236,5.5788179685040185e-05,-0.0162573318917464,0.0221608020288476,0.0898468457758757,0.0159394424272262,0.0200460829493087,8.420510381993977e-05,-0.0245383579014106,0.0002022100367546,-0.0589263836519132,0.0046778270995481,0.0037644634648914,0.0170589633856395,-0.0003318671738785,-0.0547085512759549,4.941176470588236,-1.2295115058538555,0.2886501426533523,0.6429593912453854,0.0412505943889681,0.0183280492584929,0.1067135039122,-0.0308016590739103,0.0580228788156848,-0.0035227165602409,-0.0142099439838451,-0.0084945503272196,-0.0342653410382494,0.0389980616958099,0.003616986440022,0.0199554450778718,-0.011793658117877,-0.0520072042034443,-2.347887323943662,-2.6599162011173183,0.3092200903998531,0.6727504882079015,0.0427836407027571,0.0186998251857702,0.1208385304046732,0.0043297393666694,0.0936071423453375,-0.0227354815096629,-0.0052974009024844,-0.0549810169333612,-0.0128106584678452,-0.0087170306719178,0.0034095998535991,0.0221623990483941,-0.0283218315522829,-0.0436842941694879,-0.2457106545223469,-7.246363636363636,0.328983043501293,0.7476469256396158,0.050147123270519
2021-02-19,DIS,184.6906280517578,1,179.42465209960938,183.3521728515625,176.99195861816406,0,0.2526370747801639,332773802392.84235,-0.0020314099100925,0.0079543521183653,5.108575217688366e-05,-0.014886989193193,0.2472254366392394,340058050429.008,-0.0019878958876202,0.0077839651102528,4.999146462950447e-05,-0.0145681009279155,0.2561094960449426,328261939905.76227,-0.002059331033607,0.0080636823165058,5.178791060846218e-05,-0.0150916064208424,0.0221608020288476,0.0898468457758757,0.0159394424272262,0.0200460829493087,8.420510381993977e-05,-0.0245383579014106,0.0002022100367546,-0.0589263836519132,0.0046778270995481,0.0037644634648914,0.0170589633856395,-0.0003318671738785,-0.0547085512759549,4.941176470588236,-1.2295115058538555,0.2886501426533523,0.6429593912453854,0.0412505943889681,0.0183280492584929,0.1067135039122,-0.0308016590739103,0.0580228788156848,-0.0035227165602409,-0.0142099439838451,-0.0084945503272196,-0.0342653410382494,0.0389980616958099,0.003616986440022,0.0199554450778718,-0.011793658117877,-0.0520072042034443,-2.347887323943662,-2.6599162011173183,0.3092200903998531,0.6727504882079015,0.0427836407027571,0.0186998251857702,0.1208385304046732,0.0043297393666694,0.0936071423453375,-0.0227354815096629,-0.0052974009024844,-0.0549810169333612,-0.0128106584678452,-0.0087170306719178,0.0034095998535991,0.0221623990483941,-0.0283218315522829,-0.0436842941694879,-0.2457106545223469,-7.246363636363636,0.328983043501293,0.7476469256396158,0.050147123270519
2021-02-26,DIS,185.6188201904297,1,184.6906280517578,179.42465209960938,183.3521728515625,0,0.2454337647546152,342540481681.7043,-0.0019734893717705,0.0077275537974505,4.962917059186234e-05,-0.0144625241830638,0.2526370747801639,332773802392.84235,-0.0020314099100925,0.0079543521183653,5.108575217688366e-05,-0.014886989193193,0.2472254366392394,340058050429.008,-0.0019878958876202,0.0077839651102528,4.999146462950447e-05,-0.0145681009279155,0.0221608020288476,0.0898468457758757,0.0159394424272262,0.0200460829493087,8.420510381993977e-05,-0.0245383579014106,0.0002022100367546,-0.0589263836519132,0.0046778270995481,0.0037644634648914,0.0170589633856395,-0.0003318671738785,-0.0547085512759549,4.941176470588236,-1.2295115058538555,0.2886501426533523,0.6429593912453854,0.0412505943889681,0.0183280492584929,0.1067135039122,-0.0308016590739103,0.0580228788156848,-0.0035227165602409,-0.0142099439838451,-0.0084945503272196,-0.0342653410382494,0.0389980616958099,0.003616986440022,0.0199554450778718,-0.011793658117877,-0.0520072042034443,-2.347887323943662,-2.6599162011173183,0.3092200903998531,0.6727504882079015,0.0427836407027571,0.0186998251857702,0.1208385304046732,0.0043297393666694,0.0936071423453375,-0.0227354815096629,-0.0052974009024844,-0.0549810169333612,-0.0128106584678452,-0.0087170306719178,0.0034095998535991,0.0221623990483941,-0.0283218315522829,-0.0436842941694879,-0.2457106545223469,-7.246363636363636,0.328983043501293,0.7476469256396158,0.050147123270519
2021-03-05,DIS,192.62380981445312,1,185.6188201904297,184.6906280517578,179.42465209960938,0,0.2442065156057492,344261903870.4336,-0.0019636212790318,0.0076889134994042,4.938100849636305e-05,-0.0143902068288813,0.2454337647546152,342540481681.7043,-0.0019734893717705,0.0077275537974505,4.962917059186234e-05,-0.0144625241830638,0.2526370747801639,332773802392.84235,-0.0020314099100925,0.0079543521183653,5.108575217688366e-05,-0.014886989193193,0.0221608020288476,0.0898468457758757,0.0159394424272262,0.0200460829493087,8.420510381993977e-05,-0.0245383579014106,0.0002022100367546,-0.0589263836519132,0.0046778270995481,0.0037644634648914,0.0170589633856395,-0.0003318671738785,-0.0547085512759549,4.941176470588236,-1.2295115058538555,0.2886501426533523,0.6429593912453854,0.0412505943889681,0.0183280492584929,0.1067135039122,-0.0308016590739103,0.0580228788156848,-0.0035227165602409,-0.0142099439838451,-0.0084945503272196,-0.0342653410382494,0.0389980616958099,0.003616986440022,0.0199554450778718,-0.011793658117877,-0.0520072042034443,-2.347887323943662,-2.6599162011173183,0.3092200903998531,0.6727504882079015,0.0427836407027571,0.0186998251857702,0.1208385304046732,0.0043297393666694,0.0936071423453375,-0.0227354815096629,-0.0052974009024844,-0.0549810169333612,-0.0128106584678452,-0.0087170306719178,0.0034095998535991,0.0221623990483941,-0.0283218315522829,-0.0436842941694879,-0.2457106545223469,-7.246363636363636,0.328983043501293,0.7476469256396158,0.050147123270519
