model,validation_accuracy,test_accuracy
null_model,,0.6086956521739131
always_one,,0.6086956521739131
lasso_logistic,0.5321100917431193,0.4782608695652174
xgboost,0.5688073394495413,0.4782608695652174
logistic_regression,,0.43478260869565216
always_zero,,0.391304347826087
neural_network,0.6788990825688074,0.391304347826087
random_forest,0.5045871559633027,0.34782608695652173
