model,validation_accuracy,test_accuracy
neural_network,0.5607235142118863,0.5882352941176471
null_model,,0.5764705882352941
always_one,,0.5764705882352941
xgboost,0.524547803617571,0.5764705882352941
random_forest,0.4935400516795866,0.5411764705882353
lasso_logistic,0.49612403100775193,0.5176470588235295
logistic_regression,,0.5058823529411764
always_zero,,0.4235294117647059
