WeekEndingFriday,company_name,symbol,QuarterlyReleased,BookToMarket,MarketCap,FreeCashFlowYield,FreeCashFlowYield_TTM,EarningsYield,EarningsYield_TTM,BookToMarket_L1W,MarketCap_L1W,FreeCashFlowYield_L1W,FreeCashFlowYield_TTM_L1W,EarningsYield_L1W,EarningsYield_TTM_L1W,BookToMarket_L2W,MarketCap_L2W,FreeCashFlowYield_L2W,FreeCashFlowYield_TTM_L2W,EarningsYield_L2W,EarningsYield_TTM_L2W,GrossProfitability,GrossProfitability_TTM,OperatingMargin,OperatingMargin_TTM,ROA,ROA_TTM,AssetGrowth,InvestmentIntensity,Accruals,Accruals_TTM,DebtToAssets,WorkingCapitalScaled,GrossProfitability_L1Q,GrossProfitability_TTM_L1Q,OperatingMargin_L1Q,OperatingMargin_TTM_L1Q,ROA_L1Q,ROA_TTM_L1Q,AssetGrowth_L1Q,InvestmentIntensity_L1Q,Accruals_L1Q,Accruals_TTM_L1Q,DebtToAssets_L1Q,WorkingCapitalScaled_L1Q,GrossProfitability_L2Q,GrossProfitability_TTM_L2Q,OperatingMargin_L2Q,OperatingMargin_TTM_L2Q,ROA_L2Q,ROA_TTM_L2Q,AssetGrowth_L2Q,InvestmentIntensity_L2Q,Accruals_L2Q,Accruals_TTM_L2Q,DebtToAssets_L2Q,WorkingCapitalScaled_L2Q
2021-01-01,American Tower Corporation,AMT,0,0.03627989537655741,102858620766.89648,0.0069648999243684465,0.027292802285984838,0.004514935126851907,0.018357236232820352,0.03724393225300433,100196186982.88705,0.007149972684313397,0.028018032267829424,0.004634906915961951,0.018845028507147622,0.03676140033739089,101511366970.54489,0.007057337728570581,0.027655030995835,0.004574857120530678,0.01860087255595613,0.03497884820390621,0.1396048503517421,0.390034278901088,0.36651918344447704,0.011200563404739738,0.046755330607878724,0.05482456140350877,0.005882466439310987,-0.011960291542658132,-0.04472989855820482,0.764407098513827,-0.009975351042636426,0.0330716665181292,0.1385133877496321,0.36136957658128593,0.36201402985841663,0.010745280723770893,0.047708981171034115,0.06252959227286571,0.00507034654192731,-0.013072100086954636,-0.04329184721998078,0.7658824691262865,-0.0654761187882233,0.03533051722151261,0.1388581198982888,0.3696753800612112,0.3621520618556701,0.010174286757981911,0.047804766677664055,0.04784107607098451,0.005256306219063426,-0.009438796148971172,-0.04565190210129667,0.7647141025421007,-0.06495607895246525
2021-01-08,American Tower Corporation,AMT,0,0.03664890041243944,101822973077.06888,0.007035740347689155,0.027570399048112457,0.00456085680830101,0.018543948805844028,0.03627989537655741,102858620766.89648,0.0069648999243684465,0.027292802285984838,0.004514935126851907,0.018357236232820352,0.03724393225300433,100196186982.88705,0.007149972684313397,0.028018032267829424,0.004634906915961951,0.018845028507147622,0.03497884820390621,0.1396048503517421,0.390034278901088,0.36651918344447704,0.011200563404739738,0.046755330607878724,0.05482456140350877,0.005882466439310987,-0.011960291542658132,-0.04472989855820482,0.764407098513827,-0.009975351042636426,0.0330716665181292,0.1385133877496321,0.36136957658128593,0.36201402985841663,0.010745280723770893,0.047708981171034115,0.06252959227286571,0.00507034654192731,-0.013072100086954636,-0.04329184721998078,0.7658824691262865,-0.0654761187882233,0.03533051722151261,0.1388581198982888,0.3696753800612112,0.3621520618556701,0.010174286757981911,0.047804766677664055,0.04784107607098451,0.005256306219063426,-0.009438796148971172,-0.04565190210129667,0.7647141025421007,-0.06495607895246525
2021-01-15,American Tower Corporation,AMT,0,0.03703390596391004,100764418520.60066,0.007109652499543144,0.027860032749815005,0.004608769710759124,0.01873875746738884,0.03664890041243944,101822973077.06888,0.007035740347689155,0.027570399048112457,0.00456085680830101,0.018543948805844028,0.03627989537655741,102858620766.89648,0.0069648999243684465,0.027292802285984838,0.004514935126851907,0.018357236232820352,0.03497884820390621,0.1396048503517421,0.390034278901088,0.36651918344447704,0.011200563404739738,0.046755330607878724,0.05482456140350877,0.005882466439310987,-0.011960291542658132,-0.04472989855820482,0.764407098513827,-0.009975351042636426,0.0330716665181292,0.1385133877496321,0.36136957658128593,0.36201402985841663,0.010745280723770893,0.047708981171034115,0.06252959227286571,0.00507034654192731,-0.013072100086954636,-0.04329184721998078,0.7658824691262865,-0.0654761187882233,0.03533051722151261,0.1388581198982888,0.3696753800612112,0.3621520618556701,0.010174286757981911,0.047804766677664055,0.04784107607098451,0.005256306219063426,-0.009438796148971172,-0.04565190210129667,0.7647141025421007,-0.06495607895246525
2021-01-22,American Tower Corporation,AMT,0,0.03636738847084295,102611162277.75989,0.006981696572744832,0.027358621983063325,0.00452582340645268,0.018401506796003338,0.03703390596391004,100764418520.60066,0.007109652499543144,0.027860032749815005,0.004608769710759124,0.01873875746738884,0.03664890041243944,101822973077.06888,0.007035740347689155,0.027570399048112457,0.00456085680830101,0.018543948805844028,0.03497884820390621,0.1396048503517421,0.390034278901088,0.36651918344447704,0.011200563404739738,0.046755330607878724,0.05482456140350877,0.005882466439310987,-0.011960291542658132,-0.04472989855820482,0.764407098513827,-0.009975351042636426,0.0330716665181292,0.1385133877496321,0.36136957658128593,0.36201402985841663,0.010745280723770893,0.047708981171034115,0.06252959227286571,0.00507034654192731,-0.013072100086954636,-0.04329184721998078,0.7658824691262865,-0.0654761187882233,0.03533051722151261,0.1388581198982888,0.3696753800612112,0.3621520618556701,0.010174286757981911,0.047804766677664055,0.04784107607098451,0.005256306219063426,-0.009438796148971172,-0.04565190210129667,0.7647141025421007,-0.06495607895246525
2021-01-29,American Tower Corporation,AMT,0,0.03581714258418115,104187540679.14192,0.006876062102341393,0.026944680541461465,0.0044573467899599985,0.018123088304914877,0.03636738847084295,102611162277.75989,0.006981696572744832,0.027358621983063325,0.00452582340645268,0.018401506796003338,0.03703390596391004,100764418520.60066,0.007109652499543144,0.027860032749815005,0.004608769710759124,0.01873875746738884,0.03497884820390621,0.1396048503517421,0.390034278901088,0.36651918344447704,0.011200563404739738,0.046755330607878724,0.05482456140350877,0.005882466439310987,-0.011960291542658132,-0.04472989855820482,0.764407098513827,-0.009975351042636426,0.0330716665181292,0.1385133877496321,0.36136957658128593,0.36201402985841663,0.010745280723770893,0.047708981171034115,0.06252959227286571,0.00507034654192731,-0.013072100086954636,-0.04329184721998078,0.7658824691262865,-0.0654761187882233,0.03533051722151261,0.1388581198982888,0.3696753800612112,0.3621520618556701,0.010174286757981911,0.047804766677664055,0.04784107607098451,0.005256306219063426,-0.009438796148971172,-0.04565190210129667,0.7647141025421007,-0.06495607895246525
2021-02-05,American Tower Corporation,AMT,0,0.034951651864051324,106767485969.32982,0.00670990792277149,0.026293585303735906,0.004349638804208654,0.017685159324088675,0.03581714258418115,104187540679.14192,0.006876062102341393,0.026944680541461465,0.0044573467899599985,0.018123088304914877,0.03636738847084295,102611162277.75989,0.006981696572744832,0.027358621983063325,0.00452582340645268,0.018401506796003338,0.03497884820390621,0.1396048503517421,0.390034278901088,0.36651918344447704,0.011200563404739738,0.046755330607878724,0.05482456140350877,0.005882466439310987,-0.011960291542658132,-0.04472989855820482,0.764407098513827,-0.009975351042636426,0.0330716665181292,0.1385133877496321,0.36136957658128593,0.36201402985841663,0.010745280723770893,0.047708981171034115,0.06252959227286571,0.00507034654192731,-0.013072100086954636,-0.04329184721998078,0.7658824691262865,-0.0654761187882233,0.03533051722151261,0.1388581198982888,0.3696753800612112,0.3621520618556701,0.010174286757981911,0.047804766677664055,0.04784107607098451,0.005256306219063426,-0.009438796148971172,-0.04565190210129667,0.7647141025421007,-0.06495607895246525
2021-02-12,American Tower Corporation,AMT,0,0.03584394327343127,104109639152.51091,0.006881207214161417,0.026964842284080606,0.0044606820634513706,0.01813664916496313,0.034951651864051324,106767485969.32982,0.00670990792277149,0.026293585303735906,0.004349638804208654,0.017685159324088675,0.03581714258418115,104187540679.14192,0.006876062102341393,0.026944680541461465,0.0044573467899599985,0.018123088304914877,0.03497884820390621,0.1396048503517421,0.390034278901088,0.36651918344447704,0.011200563404739738,0.046755330607878724,0.05482456140350877,0.005882466439310987,-0.011960291542658132,-0.04472989855820482,0.764407098513827,-0.009975351042636426,0.0330716665181292,0.1385133877496321,0.36136957658128593,0.36201402985841663,0.010745280723770893,0.047708981171034115,0.06252959227286571,0.00507034654192731,-0.013072100086954636,-0.04329184721998078,0.7658824691262865,-0.0654761187882233,0.03533051722151261,0.1388581198982888,0.3696753800612112,0.3621520618556701,0.010174286757981911,0.047804766677664055,0.04784107607098451,0.005256306219063426,-0.009438796148971172,-0.04565190210129667,0.7647141025421007,-0.06495607895246525
2021-02-19,American Tower Corporation,AMT,0,0.03597378511045511,103733871443.94351,0.006906133840643686,0.027062520283136545,0.0044768405298645,0.018202347735766903,0.03584394327343127,104109639152.51091,0.006881207214161417,0.026964842284080606,0.0044606820634513706,0.01813664916496313,0.034951651864051324,106767485969.32982,0.00670990792277149,0.026293585303735906,0.004349638804208654,0.017685159324088675,0.03497884820390621,0.1396048503517421,0.390034278901088,0.36651918344447704,0.011200563404739738,0.046755330607878724,0.05482456140350877,0.005882466439310987,-0.011960291542658132,-0.04472989855820482,0.764407098513827,-0.009975351042636426,0.0330716665181292,0.1385133877496321,0.36136957658128593,0.36201402985841663,0.010745280723770893,0.047708981171034115,0.06252959227286571,0.00507034654192731,-0.013072100086954636,-0.04329184721998078,0.7658824691262865,-0.0654761187882233,0.03533051722151261,0.1388581198982888,0.3696753800612112,0.3621520618556701,0.010174286757981911,0.047804766677664055,0.04784107607098451,0.005256306219063426,-0.009438796148971172,-0.04565190210129667,0.7647141025421007,-0.06495607895246525
2021-02-26,American Tower Corporation,AMT,1,0.04104746700031314,99726007453.0,0.00771513890559202,0.028575294176326458,0.003661030951951711,0.01695244844527407,0.03597378511045511,103733871443.94351,0.006906133840643686,0.027062520283136545,0.0044768405298645,0.018202347735766903,0.03584394327343127,104109639152.51091,0.006881207214161417,0.026964842284080606,0.0044606820634513706,0.01813664916496313,0.03287708935395429,0.12922293638814195,0.31769140164899884,0.35907479947770937,0.007729683381498301,0.037554242734222545,0.10354519457216553,0.007683106269914362,-0.016242709094181036,-0.04638233457186108,0.7772407295669387,-0.015876443625816423,0.03497884820390621,0.1396048503517421,0.390034278901088,0.36651918344447704,0.011200563404739738,0.046755330607878724,0.05482456140350877,0.005882466439310987,-0.011960291542658132,-0.04472989855820482,0.764407098513827,-0.009975351042636426,0.0330716665181292,0.1385133877496321,0.36136957658128593,0.36201402985841663,0.010745280723770893,0.047708981171034115,0.06252959227286571,0.00507034654192731,-0.013072100086954636,-0.04329184721998078,0.7658824691262865,-0.0654761187882233
2021-03-05,American Tower Corporation,AMT,0,0.04435794621602382,92283352796.9171,0.0083373650466859,0.030879892349286203,0.003956293187607255,0.018319663826263557,0.04104746700031314,99726007453.0,0.00771513890559202,0.028575294176326458,0.003661030951951711,0.01695244844527407,0.03597378511045511,103733871443.94351,0.006906133840643686,0.027062520283136545,0.0044768405298645,0.018202347735766903,0.03287708935395429,0.12922293638814195,0.31769140164899884,0.35907479947770937,0.007729683381498301,0.037554242734222545,0.10354519457216553,0.007683106269914362,-0.016242709094181036,-0.04638233457186108,0.7772407295669387,-0.015876443625816423,0.03497884820390621,0.1396048503517421,0.390034278901088,0.36651918344447704,0.011200563404739738,0.046755330607878724,0.05482456140350877,0.005882466439310987,-0.011960291542658132,-0.04472989855820482,0.764407098513827,-0.009975351042636426,0.0330716665181292,0.1385133877496321,0.36136957658128593,0.36201402985841663,0.010745280723770893,0.047708981171034115,0.06252959227286571,0.00507034654192731,-0.013072100086954636,-0.04329184721998078,0.7658824691262865,-0.0654761187882233
