WeekEndingFriday,symbol,QuarterlyReleased,BookToMarket,MarketCap,FreeCashFlowYield,FreeCashFlowYield_TTM,EarningsYield,EarningsYield_TTM,BookToMarket_L1W,MarketCap_L1W,FreeCashFlowYield_L1W,FreeCashFlowYield_TTM_L1W,EarningsYield_L1W,EarningsYield_TTM_L1W,BookToMarket_L2W,MarketCap_L2W,FreeCashFlowYield_L2W,FreeCashFlowYield_TTM_L2W,EarningsYield_L2W,EarningsYield_TTM_L2W,GrossProfitability,GrossProfitability_TTM,OperatingMargin,OperatingMargin_TTM,ROA,ROA_TTM,AssetGrowth,InvestmentIntensity,Accruals,Accruals_TTM,DebtToAssets,WorkingCapitalScaled,GrossProfitability_L1Q,GrossProfitability_TTM_L1Q,OperatingMargin_L1Q,OperatingMargin_TTM_L1Q,ROA_L1Q,ROA_TTM_L1Q,AssetGrowth_L1Q,InvestmentIntensity_L1Q,Accruals_L1Q,Accruals_TTM_L1Q,DebtToAssets_L1Q,WorkingCapitalScaled_L1Q,GrossProfitability_L2Q,GrossProfitability_TTM_L2Q,OperatingMargin_L2Q,OperatingMargin_TTM_L2Q,ROA_L2Q,ROA_TTM_L2Q,AssetGrowth_L2Q,InvestmentIntensity_L2Q,Accruals_L2Q,Accruals_TTM_L2Q,DebtToAssets_L2Q,WorkingCapitalScaled_L2Q
2021-01-01,AXP,0,0.2636945138303896,82933086784.1502,0.022029808256807438,0.04598888269921377,0.012938141357172622,0.04087632730737669,0.27169412055801356,80491252276.95317,0.022698118718710997,0.0473840310854755,0.01333064115225884,0.042116377918133704,0.27132417711939055,80601000000.0,0.022667212565600923,0.04731951216486148,0.013312489919479907,0.042059031525663454,0.043533288119663144,0.169482727432408,0.1471889500377684,0.108703130374957,0.005730031667369792,0.01777460852604452,-0.03566205248630165,0.0018850896352111248,-0.005911598374443952,-0.010130354215284713,0.2482817915293791,-0.040927271853422265,0.032485366474380724,0.17752989945910397,0.07563229571984435,0.123010832159272,0.0013626145232439768,0.021086918808630516,-0.04552056395904921,0.0018769087207329488,-0.009930649813369528,0.010635816084153376,0.2670300305395317,-0.02159505429250085,0.041405998065140275,0.19899126686549093,0.04093832080427497,0.14792102901585402,0.0019724819950553583,0.029098271898719646,-0.056457379318738496,0.001800494464151349,0.013898742341180265,0.0145651940234333,0.30143502096098035,-0.034112651832742126
2021-01-08,AXP,0,0.2618106828091943,83529823020.77402,0.021872427522630113,0.045660338572146277,0.01284571140217959,0.04058430722589824,0.2636945138303896,82933086784.1502,0.022029808256807438,0.04598888269921377,0.012938141357172622,0.04087632730737669,0.27169412055801356,80491252276.95317,0.022698118718710997,0.0473840310854755,0.01333064115225884,0.042116377918133704,0.043533288119663144,0.169482727432408,0.1471889500377684,0.108703130374957,0.005730031667369792,0.01777460852604452,-0.03566205248630165,0.0018850896352111248,-0.005911598374443952,-0.010130354215284713,0.2482817915293791,-0.040927271853422265,0.032485366474380724,0.17752989945910397,0.07563229571984435,0.123010832159272,0.0013626145232439768,0.021086918808630516,-0.04552056395904921,0.0018769087207329488,-0.009930649813369528,0.010635816084153376,0.2670300305395317,-0.02159505429250085,0.041405998065140275,0.19899126686549093,0.04093832080427497,0.14792102901585402,0.0019724819950553583,0.029098271898719646,-0.056457379318738496,0.001800494464151349,0.013898742341180265,0.0145651940234333,0.30143502096098035,-0.034112651832742126
2021-01-15,AXP,0,0.26101763597731686,83783610705.52518,0.021806174078858563,0.045522029522039716,0.012806800649488363,0.04046137390658486,0.2618106828091943,83529823020.77402,0.021872427522630113,0.045660338572146277,0.01284571140217959,0.04058430722589824,0.2636945138303896,82933086784.1502,0.022029808256807438,0.04598888269921377,0.012938141357172622,0.04087632730737669,0.043533288119663144,0.169482727432408,0.1471889500377684,0.108703130374957,0.005730031667369792,0.01777460852604452,-0.03566205248630165,0.0018850896352111248,-0.005911598374443952,-0.010130354215284713,0.2482817915293791,-0.040927271853422265,0.032485366474380724,0.17752989945910397,0.07563229571984435,0.123010832159272,0.0013626145232439768,0.021086918808630516,-0.04552056395904921,0.0018769087207329488,-0.009930649813369528,0.010635816084153376,0.2670300305395317,-0.02159505429250085,0.041405998065140275,0.19899126686549093,0.04093832080427497,0.14792102901585402,0.0019724819950553583,0.029098271898719646,-0.056457379318738496,0.001800494464151349,0.013898742341180265,0.0145651940234333,0.30143502096098035,-0.034112651832742126
2021-01-22,AXP,0,0.252761255645979,86520380444.02672,0.021116412001701206,0.044082099274487356,0.012401702286713405,0.03918151980611225,0.26101763597731686,83783610705.52518,0.021806174078858563,0.045522029522039716,0.012806800649488363,0.04046137390658486,0.2618106828091943,83529823020.77402,0.021872427522630113,0.045660338572146277,0.01284571140217959,0.04058430722589824,0.043533288119663144,0.169482727432408,0.1471889500377684,0.108703130374957,0.005730031667369792,0.01777460852604452,-0.03566205248630165,0.0018850896352111248,-0.005911598374443952,-0.010130354215284713,0.2482817915293791,-0.040927271853422265,0.032485366474380724,0.17752989945910397,0.07563229571984435,0.123010832159272,0.0013626145232439768,0.021086918808630516,-0.04552056395904921,0.0018769087207329488,-0.009930649813369528,0.010635816084153376,0.2670300305395317,-0.02159505429250085,0.041405998065140275,0.19899126686549093,0.04093832080427497,0.14792102901585402,0.0019724819950553583,0.029098271898719646,-0.056457379318738496,0.001800494464151349,0.013898742341180265,0.0145651940234333,0.30143502096098035,-0.034112651832742126
2021-01-29,AXP,0,0.27424139039280704,79743615537.66974,0.02291092506505366,0.04782828034926911,0.013455622657253736,0.04251124026849037,0.252761255645979,86520380444.02672,0.021116412001701206,0.044082099274487356,0.012401702286713405,0.03918151980611225,0.26101763597731686,83783610705.52518,0.021806174078858563,0.045522029522039716,0.012806800649488363,0.04046137390658486,0.043533288119663144,0.169482727432408,0.1471889500377684,0.108703130374957,0.005730031667369792,0.01777460852604452,-0.03566205248630165,0.0018850896352111248,-0.005911598374443952,-0.010130354215284713,0.2482817915293791,-0.040927271853422265,0.032485366474380724,0.17752989945910397,0.07563229571984435,0.123010832159272,0.0013626145232439768,0.021086918808630516,-0.04552056395904921,0.0018769087207329488,-0.009930649813369528,0.010635816084153376,0.2670300305395317,-0.02159505429250085,0.041405998065140275,0.19899126686549093,0.04093832080427497,0.14792102901585402,0.0019724819950553583,0.029098271898719646,-0.056457379318738496,0.001800494464151349,0.013898742341180265,0.0145651940234333,0.30143502096098035,-0.034112651832742126
2021-02-05,AXP,0,0.2524810337433873,86616407085.16295,0.02109300144721609,0.0440332279801216,0.012387953230904688,0.03913808150304463,0.27424139039280704,79743615537.66974,0.02291092506505366,0.04782828034926911,0.013455622657253736,0.04251124026849037,0.252761255645979,86520380444.02672,0.021116412001701206,0.044082099274487356,0.012401702286713405,0.03918151980611225,0.043533288119663144,0.169482727432408,0.1471889500377684,0.108703130374957,0.005730031667369792,0.01777460852604452,-0.03566205248630165,0.0018850896352111248,-0.005911598374443952,-0.010130354215284713,0.2482817915293791,-0.040927271853422265,0.032485366474380724,0.17752989945910397,0.07563229571984435,0.123010832159272,0.0013626145232439768,0.021086918808630516,-0.04552056395904921,0.0018769087207329488,-0.009930649813369528,0.010635816084153376,0.2670300305395317,-0.02159505429250085,0.041405998065140275,0.19899126686549093,0.04093832080427497,0.14792102901585402,0.0019724819950553583,0.029098271898719646,-0.056457379318738496,0.001800494464151349,0.013898742341180265,0.0145651940234333,0.30143502096098035,-0.034112651832742126
2021-02-12,AXP,1,0.23613888673419117,97332550000.0,0.03147970540173868,0.04225718939861331,0.01477409150381861,0.03220916332717061,0.2524810337433873,86616407085.16295,0.02109300144721609,0.0440332279801216,0.012387953230904688,0.03913808150304463,0.27424139039280704,79743615537.66974,0.02291092506505366,0.04782828034926911,0.013455622657253736,0.04251124026849037,0.04944426154979699,0.16138551867134734,0.19074017041371522,0.11224623102448202,0.007514357229825414,0.01608979491285336,-0.03506436534708881,0.002278344751184896,-0.010775107515924899,-0.01283397869016079,0.23426191558628184,-0.2199752308391729,0.043533288119663144,0.169482727432408,0.1471889500377684,0.108703130374957,0.005730031667369792,0.01777460852604452,-0.03566205248630165,0.0018850896352111248,-0.005911598374443952,-0.010130354215284713,0.2482817915293791,-0.040927271853422265,0.032485366474380724,0.17752989945910397,0.07563229571984435,0.123010832159272,0.0013626145232439768,0.021086918808630516,-0.04552056395904921,0.0018769087207329488,-0.009930649813369528,0.010635816084153376,0.2670300305395317,-0.02159505429250085
2021-02-19,AXP,0,0.23239176816655138,98901954149.80338,0.030980176542913046,0.04158664037891689,0.01453965204592329,0.03169805922390091,0.23613888673419117,97332550000.0,0.03147970540173868,0.04225718939861331,0.01477409150381861,0.03220916332717061,0.2524810337433873,86616407085.16295,0.02109300144721609,0.0440332279801216,0.012387953230904688,0.03913808150304463,0.04944426154979699,0.16138551867134734,0.19074017041371522,0.11224623102448202,0.007514357229825414,0.01608979491285336,-0.03506436534708881,0.002278344751184896,-0.010775107515924899,-0.01283397869016079,0.23426191558628184,-0.2199752308391729,0.043533288119663144,0.169482727432408,0.1471889500377684,0.108703130374957,0.005730031667369792,0.01777460852604452,-0.03566205248630165,0.0018850896352111248,-0.005911598374443952,-0.010130354215284713,0.2482817915293791,-0.040927271853422265,0.032485366474380724,0.17752989945910397,0.07563229571984435,0.123010832159272,0.0013626145232439768,0.021086918808630516,-0.04552056395904921,0.0018769087207329488,-0.009930649813369528,0.010635816084153376,0.2670300305395317,-0.02159505429250085
2021-02-26,AXP,0,0.22629249289165856,101567664513.7494,0.030167081370520443,0.040495171565584395,0.014158049285511879,0.030866122746926107,0.23239176816655138,98901954149.80338,0.030980176542913046,0.04158664037891689,0.01453965204592329,0.03169805922390091,0.23613888673419117,97332550000.0,0.03147970540173868,0.04225718939861331,0.01477409150381861,0.03220916332717061,0.04944426154979699,0.16138551867134734,0.19074017041371522,0.11224623102448202,0.007514357229825414,0.01608979491285336,-0.03506436534708881,0.002278344751184896,-0.010775107515924899,-0.01283397869016079,0.23426191558628184,-0.2199752308391729,0.043533288119663144,0.169482727432408,0.1471889500377684,0.108703130374957,0.005730031667369792,0.01777460852604452,-0.03566205248630165,0.0018850896352111248,-0.005911598374443952,-0.010130354215284713,0.2482817915293791,-0.040927271853422265,0.032485366474380724,0.17752989945910397,0.07563229571984435,0.123010832159272,0.0013626145232439768,0.021086918808630516,-0.04552056395904921,0.0018769087207329488,-0.009930649813369528,0.010635816084153376,0.2670300305395317,-0.02159505429250085
2021-03-05,AXP,0,0.20775348513579014,110631116416.54234,0.027695643859035026,0.03717760548048664,0.012998151393372183,0.028337416285272456,0.22629249289165856,101567664513.7494,0.030167081370520443,0.040495171565584395,0.014158049285511879,0.030866122746926107,0.23239176816655138,98901954149.80338,0.030980176542913046,0.04158664037891689,0.01453965204592329,0.03169805922390091,0.04944426154979699,0.16138551867134734,0.19074017041371522,0.11224623102448202,0.007514357229825414,0.01608979491285336,-0.03506436534708881,0.002278344751184896,-0.010775107515924899,-0.01283397869016079,0.23426191558628184,-0.2199752308391729,0.043533288119663144,0.169482727432408,0.1471889500377684,0.108703130374957,0.005730031667369792,0.01777460852604452,-0.03566205248630165,0.0018850896352111248,-0.005911598374443952,-0.010130354215284713,0.2482817915293791,-0.040927271853422265,0.032485366474380724,0.17752989945910397,0.07563229571984435,0.123010832159272,0.0013626145232439768,0.021086918808630516,-0.04552056395904921,0.0018769087207329488,-0.009930649813369528,0.010635816084153376,0.2670300305395317,-0.02159505429250085
