WeekEndingFriday,symbol,QuarterlyReleased,BookToMarket,MarketCap,FreeCashFlowYield,FreeCashFlowYield_TTM,EarningsYield,EarningsYield_TTM,BookToMarket_L1W,MarketCap_L1W,FreeCashFlowYield_L1W,FreeCashFlowYield_TTM_L1W,EarningsYield_L1W,EarningsYield_TTM_L1W,BookToMarket_L2W,MarketCap_L2W,FreeCashFlowYield_L2W,FreeCashFlowYield_TTM_L2W,EarningsYield_L2W,EarningsYield_TTM_L2W,GrossProfitability,GrossProfitability_TTM,OperatingMargin,OperatingMargin_TTM,ROA,ROA_TTM,ROE,ROE_TTM,AssetGrowth,InvestmentIntensity,InvestmentIntensity_TTM,Accruals,Accruals_TTM,IncomeQuality,IncomeQuality_TTM,DebtToAssets,CashRatio,WorkingCapitalScaled,GrossProfitability_L1Q,GrossProfitability_TTM_L1Q,OperatingMargin_L1Q,OperatingMargin_TTM_L1Q,ROA_L1Q,ROA_TTM_L1Q,ROE_L1Q,ROE_TTM_L1Q,AssetGrowth_L1Q,InvestmentIntensity_L1Q,InvestmentIntensity_TTM_L1Q,Accruals_L1Q,Accruals_TTM_L1Q,IncomeQuality_L1Q,IncomeQuality_TTM_L1Q,DebtToAssets_L1Q,CashRatio_L1Q,WorkingCapitalScaled_L1Q,GrossProfitability_L2Q,GrossProfitability_TTM_L2Q,OperatingMargin_L2Q,OperatingMargin_TTM_L2Q,ROA_L2Q,ROA_TTM_L2Q,ROE_L2Q,ROE_TTM_L2Q,AssetGrowth_L2Q,InvestmentIntensity_L2Q,InvestmentIntensity_TTM_L2Q,Accruals_L2Q,Accruals_TTM_L2Q,IncomeQuality_L2Q,IncomeQuality_TTM_L2Q,DebtToAssets_L2Q,CashRatio_L2Q,WorkingCapitalScaled_L2Q
2021-01-01,BRK-A,1,0.818328267900116,541547955000.0,0.013018237692357272,0.049415753033357865,0.06617142520647133,0.07851751559102463,0.811814402551376,511391518424.9601,0.016488345418730843,0.05269543789657955,0.05893136454984481,0.07009306707001982,0.817489175024967,507841587000.0,0.01660360280813316,0.053063791327510955,0.059343308566023364,0.07058303399638675,0.029375241064449047,0.09774083268381843,0.6909520739307974,0.23266159583158733,0.04101386127735259,0.04866611958627904,0.08086171259398327,0.0959486781417263,0.06848234561816935,0.0040012406592890935,0.014892489547674394,0.028943757160400995,0.0031451399690292986,0.29429328868424726,0.9353731097575315,0.1400480011536758,1.0518125630123176,0.19104894080429974,0.03029353716988816,0.13812705886889026,0.5874182624030463,0.17460388589523843,0.03631200102175322,0.043189556910931556,0.07259216437234287,0.08634124604063542,0.052587123104902836,0.0040111043369086665,0.017297510922397362,0.022141199547922395,-0.00657753636983611,0.3902511862494608,1.1522946017575673,0.12975663476900906,0.21790392303442,0.11858000400026025,0.014185423018703696,0.16039171053616585,0.7775621879700887,0.10588319444941167,0.0333636581642946,0.028208436900878407,0.06682422902451111,0.056498811928995286,0.03686976061296553,0.004084336019428193,0.01956395684484725,0.019827871691706855,-0.021771706044538167,0.40570450656018253,1.7718154012234617,0.1353692841182897,0.3382212304749761,0.1448384980707571
2021-01-08,BRK-A,0,0.8085094165694111,548124722999.99994,0.012862036146470263,0.0488228296901689,0.0653774560721648,0.07757540978497335,0.818328267900116,541547955000.0,0.013018237692357272,0.049415753033357865,0.06617142520647133,0.07851751559102463,0.811814402551376,511391518424.9601,0.016488345418730843,0.05269543789657955,0.05893136454984481,0.07009306707001982,0.029375241064449047,0.09774083268381843,0.6909520739307974,0.23266159583158733,0.04101386127735259,0.04866611958627904,0.08086171259398327,0.0959486781417263,0.06848234561816935,0.0040012406592890935,0.014892489547674394,0.028943757160400995,0.0031451399690292986,0.29429328868424726,0.9353731097575315,0.1400480011536758,1.0518125630123176,0.19104894080429974,0.03029353716988816,0.13812705886889026,0.5874182624030463,0.17460388589523843,0.03631200102175322,0.043189556910931556,0.07259216437234287,0.08634124604063542,0.052587123104902836,0.0040111043369086665,0.017297510922397362,0.022141199547922395,-0.00657753636983611,0.3902511862494608,1.1522946017575673,0.12975663476900906,0.21790392303442,0.11858000400026025,0.014185423018703696,0.16039171053616585,0.7775621879700887,0.10588319444941167,0.0333636581642946,0.028208436900878407,0.06682422902451111,0.056498811928995286,0.03686976061296553,0.004084336019428193,0.01956395684484725,0.019827871691706855,-0.021771706044538167,0.40570450656018253,1.7718154012234617,0.1353692841182897,0.3382212304749761,0.1448384980707571
2021-01-15,BRK-A,0,0.8124767255642807,545448240000.00006,0.012925149414727232,0.049062400494683044,0.06569825947187949,0.07795606783881087,0.8085094165694111,548124722999.99994,0.012862036146470263,0.0488228296901689,0.0653774560721648,0.07757540978497335,0.818328267900116,541547955000.0,0.013018237692357272,0.049415753033357865,0.06617142520647133,0.07851751559102463,0.029375241064449047,0.09774083268381843,0.6909520739307974,0.23266159583158733,0.04101386127735259,0.04866611958627904,0.08086171259398327,0.0959486781417263,0.06848234561816935,0.0040012406592890935,0.014892489547674394,0.028943757160400995,0.0031451399690292986,0.29429328868424726,0.9353731097575315,0.1400480011536758,1.0518125630123176,0.19104894080429974,0.03029353716988816,0.13812705886889026,0.5874182624030463,0.17460388589523843,0.03631200102175322,0.043189556910931556,0.07259216437234287,0.08634124604063542,0.052587123104902836,0.0040111043369086665,0.017297510922397362,0.022141199547922395,-0.00657753636983611,0.3902511862494608,1.1522946017575673,0.12975663476900906,0.21790392303442,0.11858000400026025,0.014185423018703696,0.16039171053616585,0.7775621879700887,0.10588319444941167,0.0333636581642946,0.028208436900878407,0.06682422902451111,0.056498811928995286,0.03686976061296553,0.004084336019428193,0.01956395684484725,0.019827871691706855,-0.021771706044538167,0.40570450656018253,1.7718154012234617,0.1353692841182897,0.3382212304749761,0.1448384980707571
2021-01-22,BRK-A,0,0.8117815483990612,545915340000.0,0.01291409030565069,0.04902042137156285,0.06564204625574362,0.07788936650873375,0.8124767255642807,545448240000.00006,0.012925149414727232,0.049062400494683044,0.06569825947187949,0.07795606783881087,0.8085094165694111,548124722999.99994,0.012862036146470263,0.0488228296901689,0.0653774560721648,0.07757540978497335,0.029375241064449047,0.09774083268381843,0.6909520739307974,0.23266159583158733,0.04101386127735259,0.04866611958627904,0.08086171259398327,0.0959486781417263,0.06848234561816935,0.0040012406592890935,0.014892489547674394,0.028943757160400995,0.0031451399690292986,0.29429328868424726,0.9353731097575315,0.1400480011536758,1.0518125630123176,0.19104894080429974,0.03029353716988816,0.13812705886889026,0.5874182624030463,0.17460388589523843,0.03631200102175322,0.043189556910931556,0.07259216437234287,0.08634124604063542,0.052587123104902836,0.0040111043369086665,0.017297510922397362,0.022141199547922395,-0.00657753636983611,0.3902511862494608,1.1522946017575673,0.12975663476900906,0.21790392303442,0.11858000400026025,0.014185423018703696,0.16039171053616585,0.7775621879700887,0.10588319444941167,0.0333636581642946,0.028208436900878407,0.06682422902451111,0.056498811928995286,0.03686976061296553,0.004084336019428193,0.01956395684484725,0.019827871691706855,-0.021771706044538167,0.40570450656018253,1.7718154012234617,0.1353692841182897,0.3382212304749761,0.1448384980707571
2021-01-29,BRK-A,0,0.8271631691359456,535763700000.0,0.013158786233557816,0.0499492593469845,0.0668858304509992,0.07936521268611517,0.8117815483990612,545915340000.0,0.01291409030565069,0.04902042137156285,0.06564204625574362,0.07788936650873375,0.8124767255642807,545448240000.00006,0.012925149414727232,0.049062400494683044,0.06569825947187949,0.07795606783881087,0.029375241064449047,0.09774083268381843,0.6909520739307974,0.23266159583158733,0.04101386127735259,0.04866611958627904,0.08086171259398327,0.0959486781417263,0.06848234561816935,0.0040012406592890935,0.014892489547674394,0.028943757160400995,0.0031451399690292986,0.29429328868424726,0.9353731097575315,0.1400480011536758,1.0518125630123176,0.19104894080429974,0.03029353716988816,0.13812705886889026,0.5874182624030463,0.17460388589523843,0.03631200102175322,0.043189556910931556,0.07259216437234287,0.08634124604063542,0.052587123104902836,0.0040111043369086665,0.017297510922397362,0.022141199547922395,-0.00657753636983611,0.3902511862494608,1.1522946017575673,0.12975663476900906,0.21790392303442,0.11858000400026025,0.014185423018703696,0.16039171053616585,0.7775621879700887,0.10588319444941167,0.0333636581642946,0.028208436900878407,0.06682422902451111,0.056498811928995286,0.03686976061296553,0.004084336019428193,0.01956395684484725,0.019827871691706855,-0.021771706044538167,0.40570450656018253,1.7718154012234617,0.1353692841182897,0.3382212304749761,0.1448384980707571
2021-02-05,BRK-A,0,0.8031208898950027,551802357000.0,0.012776313675659056,0.04849743691834212,0.0649417305769138,0.07705838777343244,0.8271631691359456,535763700000.0,0.013158786233557816,0.0499492593469845,0.0668858304509992,0.07936521268611517,0.8117815483990612,545915340000.0,0.01291409030565069,0.04902042137156285,0.06564204625574362,0.07788936650873375,0.029375241064449047,0.09774083268381843,0.6909520739307974,0.23266159583158733,0.04101386127735259,0.04866611958627904,0.08086171259398327,0.0959486781417263,0.06848234561816935,0.0040012406592890935,0.014892489547674394,0.028943757160400995,0.0031451399690292986,0.29429328868424726,0.9353731097575315,0.1400480011536758,1.0518125630123176,0.19104894080429974,0.03029353716988816,0.13812705886889026,0.5874182624030463,0.17460388589523843,0.03631200102175322,0.043189556910931556,0.07259216437234287,0.08634124604063542,0.052587123104902836,0.0040111043369086665,0.017297510922397362,0.022141199547922395,-0.00657753636983611,0.3902511862494608,1.1522946017575673,0.12975663476900906,0.21790392303442,0.11858000400026025,0.014185423018703696,0.16039171053616585,0.7775621879700887,0.10588319444941167,0.0333636581642946,0.028208436900878407,0.06682422902451111,0.056498811928995286,0.03686976061296553,0.004084336019428193,0.01956395684484725,0.019827871691706855,-0.021771706044538167,0.40570450656018253,1.7718154012234617,0.1353692841182897,0.3382212304749761,0.1448384980707571
2021-02-12,BRK-A,0,0.779799579451175,568305000000.0,0.012405310528677382,0.04708915107204758,0.06305592947448993,0.07482073886381432,0.8031208898950027,551802357000.0,0.012776313675659056,0.04849743691834212,0.0649417305769138,0.07705838777343244,0.8271631691359456,535763700000.0,0.013158786233557816,0.0499492593469845,0.0668858304509992,0.07936521268611517,0.029375241064449047,0.09774083268381843,0.6909520739307974,0.23266159583158733,0.04101386127735259,0.04866611958627904,0.08086171259398327,0.0959486781417263,0.06848234561816935,0.0040012406592890935,0.014892489547674394,0.028943757160400995,0.0031451399690292986,0.29429328868424726,0.9353731097575315,0.1400480011536758,1.0518125630123176,0.19104894080429974,0.03029353716988816,0.13812705886889026,0.5874182624030463,0.17460388589523843,0.03631200102175322,0.043189556910931556,0.07259216437234287,0.08634124604063542,0.052587123104902836,0.0040111043369086665,0.017297510922397362,0.022141199547922395,-0.00657753636983611,0.3902511862494608,1.1522946017575673,0.12975663476900906,0.21790392303442,0.11858000400026025,0.014185423018703696,0.16039171053616585,0.7775621879700887,0.10588319444941167,0.0333636581642946,0.028208436900878407,0.06682422902451111,0.056498811928995286,0.03686976061296553,0.004084336019428193,0.01956395684484725,0.019827871691706855,-0.021771706044538167,0.40570450656018253,1.7718154012234617,0.1353692841182897,0.3382212304749761,0.1448384980707571
2021-02-19,BRK-A,0,0.7810835524140474,567370800000.0,0.012425736396726797,0.04716668534933416,0.06315975372719217,0.07494393437237165,0.779799579451175,568305000000.0,0.012405310528677382,0.04708915107204758,0.06305592947448993,0.07482073886381432,0.8031208898950027,551802357000.0,0.012776313675659056,0.04849743691834212,0.0649417305769138,0.07705838777343244,0.029375241064449047,0.09774083268381843,0.6909520739307974,0.23266159583158733,0.04101386127735259,0.04866611958627904,0.08086171259398327,0.0959486781417263,0.06848234561816935,0.0040012406592890935,0.014892489547674394,0.028943757160400995,0.0031451399690292986,0.29429328868424726,0.9353731097575315,0.1400480011536758,1.0518125630123176,0.19104894080429974,0.03029353716988816,0.13812705886889026,0.5874182624030463,0.17460388589523843,0.03631200102175322,0.043189556910931556,0.07259216437234287,0.08634124604063542,0.052587123104902836,0.0040111043369086665,0.017297510922397362,0.022141199547922395,-0.00657753636983611,0.3902511862494608,1.1522946017575673,0.12975663476900906,0.21790392303442,0.11858000400026025,0.014185423018703696,0.16039171053616585,0.7775621879700887,0.10588319444941167,0.0333636581642946,0.028208436900878407,0.06682422902451111,0.056498811928995286,0.03686976061296553,0.004084336019428193,0.01956395684484725,0.019827871691706855,-0.021771706044538167,0.40570450656018253,1.7718154012234617,0.1353692841182897,0.3382212304749761,0.1448384980707571
2021-02-26,BRK-A,0,0.7806979167800726,567651060000.0,0.012419601577067433,0.04714339827005696,0.0631285705693917,0.07490693314304742,0.7810835524140474,567370800000.0,0.012425736396726797,0.04716668534933416,0.06315975372719217,0.07494393437237165,0.779799579451175,568305000000.0,0.012405310528677382,0.04708915107204758,0.06305592947448993,0.07482073886381432,0.029375241064449047,0.09774083268381843,0.6909520739307974,0.23266159583158733,0.04101386127735259,0.04866611958627904,0.08086171259398327,0.0959486781417263,0.06848234561816935,0.0040012406592890935,0.014892489547674394,0.028943757160400995,0.0031451399690292986,0.29429328868424726,0.9353731097575315,0.1400480011536758,1.0518125630123176,0.19104894080429974,0.03029353716988816,0.13812705886889026,0.5874182624030463,0.17460388589523843,0.03631200102175322,0.043189556910931556,0.07259216437234287,0.08634124604063542,0.052587123104902836,0.0040111043369086665,0.017297510922397362,0.022141199547922395,-0.00657753636983611,0.3902511862494608,1.1522946017575673,0.12975663476900906,0.21790392303442,0.11858000400026025,0.014185423018703696,0.16039171053616585,0.7775621879700887,0.10588319444941167,0.0333636581642946,0.028208436900878407,0.06682422902451111,0.056498811928995286,0.03686976061296553,0.004084336019428193,0.01956395684484725,0.019827871691706855,-0.021771706044538167,0.40570450656018253,1.7718154012234617,0.1353692841182897,0.3382212304749761,0.1448384980707571
2021-03-05,BRK-A,0,0.7458774803450704,594151200000.0,0.011865666517209762,0.04504072364071637,0.060312930445987484,0.07156595829479095,0.7806979167800726,567651060000.0,0.012419601577067433,0.04714339827005696,0.0631285705693917,0.07490693314304742,0.7810835524140474,567370800000.0,0.012425736396726797,0.04716668534933416,0.06315975372719217,0.07494393437237165,0.029375241064449047,0.09774083268381843,0.6909520739307974,0.23266159583158733,0.04101386127735259,0.04866611958627904,0.08086171259398327,0.0959486781417263,0.06848234561816935,0.0040012406592890935,0.014892489547674394,0.028943757160400995,0.0031451399690292986,0.29429328868424726,0.9353731097575315,0.1400480011536758,1.0518125630123176,0.19104894080429974,0.03029353716988816,0.13812705886889026,0.5874182624030463,0.17460388589523843,0.03631200102175322,0.043189556910931556,0.07259216437234287,0.08634124604063542,0.052587123104902836,0.0040111043369086665,0.017297510922397362,0.022141199547922395,-0.00657753636983611,0.3902511862494608,1.1522946017575673,0.12975663476900906,0.21790392303442,0.11858000400026025,0.014185423018703696,0.16039171053616585,0.7775621879700887,0.10588319444941167,0.0333636581642946,0.028208436900878407,0.06682422902451111,0.056498811928995286,0.03686976061296553,0.004084336019428193,0.01956395684484725,0.019827871691706855,-0.021771706044538167,0.40570450656018253,1.7718154012234617,0.1353692841182897,0.3382212304749761,0.1448384980707571
