WeekEndingFriday,symbol,BookToMarket,MarketCap,GrossProfitability,OperatingMargin,ROA,ROE,AssetGrowth,InvestmentIntensity,Accruals,IncomeQuality,DebtToAssets,InterestCoverage,CashRatio,WorkingCapitalScaled,FreeCashFlowYield,EarningsYield
2021-01-22,PDD,0.2972148971260032,202465921398.57864,0.09452970875449206,-0.07713554491651238,-0.008661305170026843,-0.02287221752340406,,-0.00015724131858578793,-0.102718943857883,-10.859522536320545,0.10677258188155866,-7.362219841378269,0.2672941562951523,0.4130789347895263,0.07369922748937616,-0.006797963778262105
2021-01-29,PDD,0.3082992361094864,195186626990.63492,0.09452970875449206,-0.07713554491651238,-0.008661305170026843,-0.02287221752340406,,-0.00015724131858578793,-0.102718943857883,-10.859522536320545,0.10677258188155866,-7.362219841378269,0.2672941562951523,0.4130789347895263,0.07644776811843744,-0.007051487190595479
2021-02-05,PDD,0.2604418206148893,231053092233.5281,0.09452970875449206,-0.07713554491651238,-0.008661305170026843,-0.02287221752340406,,-0.00015724131858578793,-0.102718943857883,-10.859522536320545,0.10677258188155866,-7.362219841378269,0.2672941562951523,0.4130789347895263,0.06458075005946504,-0.0059568819732951275
2021-02-12,PDD,0.2598721676446585,231559572328.9719,0.09452970875449206,-0.07713554491651238,-0.008661305170026843,-0.02287221752340406,,-0.00015724131858578793,-0.102718943857883,-10.859522536320545,0.10677258188155866,-7.362219841378269,0.2672941562951523,0.4130789347895263,0.06443949541762505,-0.005943852746647154
2021-02-19,PDD,0.2606810368370888,230841064352.55048,0.09452970875449206,-0.07713554491651238,-0.008661305170026843,-0.02287221752340406,,-0.00015724131858578793,-0.102718943857883,-10.859522536320545,0.10677258188155866,-7.362219841378269,0.2672941562951523,0.4130789347895263,0.06464006758005202,-0.005962353378764402
2021-02-26,PDD,0.29848251573093887,201606073483.52814,0.09452970875449206,-0.07713554491651238,-0.008661305170026843,-0.02287221752340406,,-0.00015724131858578793,-0.102718943857883,-10.859522536320545,0.10677258188155866,-7.362219841378269,0.2672941562951523,0.4130789347895263,0.07401355396775357,-0.006826957026730907
2021-03-05,PDD,0.32577647047267555,184715267842.05627,0.09452970875449206,-0.07713554491651238,-0.008661305170026843,-0.02287221752340406,,-0.00015724131858578793,-0.102718943857883,-10.859522536320545,0.10677258188155866,-7.362219841378269,0.2672941562951523,0.4130789347895263,0.08078153026721611,-0.007451230296657854
2021-03-12,PDD,0.3172002313423429,189709470719.31458,0.09452970875449206,-0.07713554491651238,-0.008661305170026843,-0.02287221752340406,,-0.00015724131858578793,-0.102718943857883,-10.859522536320545,0.10677258188155866,-7.362219841378269,0.2672941562951523,0.4130789347895263,0.07865491344961521,-0.007255072689736156
2021-03-19,PDD,0.36028397310355204,167023493944.60678,0.09452970875449206,-0.07713554491651238,-0.008661305170026843,-0.02287221752340406,,-0.00015724131858578793,-0.102718943857883,-10.859522536320545,0.10677258188155866,-7.362219841378269,0.2672941562951523,0.4130789347895263,0.0893382221123259,-0.0082404934030207
2021-03-26,PDD,0.3891253796794823,154643955759.36508,0.09452970875449206,-0.07713554491651238,-0.008661305170026843,-0.02287221752340406,,-0.00015724131858578793,-0.102718943857883,-10.859522536320545,0.10677258188155866,-7.362219841378269,0.2672941562951523,0.4130789347895263,0.09648991405276028,-0.008900160327906312
2021-04-02,PDD,0.3477490798454477,179319859099.88403,0.07444309749431906,-0.18707707309828858,-0.018937679590513488,-0.046592278085251695,,0.0,0.005339146070874844,1.2819324323952233,0.08361197610854168,-12.362145855194123,0.21497789432260375,0.39433272950882525,-0.020770410029852675,-0.016202421832049493
2021-04-09,PDD,0.3636936803590539,171458343566.58936,0.07444309749431906,-0.18707707309828858,-0.018937679590513488,-0.046592278085251695,,0.0,0.005339146070874844,1.2819324323952233,0.08361197610854168,-12.362145855194123,0.21497789432260375,0.39433272950882525,-0.021722751558914344,-0.016945317093137683
2021-04-16,PDD,0.3754521298611967,166088593033.29468,0.07444309749431906,-0.18707707309828858,-0.018937679590513488,-0.046592278085251695,,0.0,0.005339146070874844,1.2819324323952233,0.08361197610854168,-12.362145855194123,0.21497789432260375,0.39433272950882525,-0.022425062022491605,-0.017493170042192908
2021-04-23,PDD,0.36109604137341766,172691774085.42633,0.07444309749431906,-0.18707707309828858,-0.018937679590513488,-0.046592278085251695,,0.0,0.005339146070874844,1.2819324323952233,0.08361197610854168,-12.362145855194123,0.21497789432260375,0.39433272950882525,-0.021567599381760703,-0.016824287175153826
2021-04-30,PDD,0.3737140689339845,166861034099.88403,0.07444309749431906,-0.18707707309828858,-0.018937679590513488,-0.046592278085251695,,0.0,0.005339146070874844,1.2819324323952233,0.08361197610854168,-12.362145855194123,0.21497789432260375,0.39433272950882525,-0.022321250854591152,-0.017412189824143127
2021-05-07,PDD,0.37410512763926373,166686611310.31036,0.07444309749431906,-0.18707707309828858,-0.018937679590513488,-0.046592278085251695,,0.0,0.005339146070874844,1.2819324323952233,0.08361197610854168,-12.362145855194123,0.21497789432260375,0.39433272950882525,-0.02234460806852829,-0.017430410140087154
2021-05-14,PDD,0.42298252125970454,147425278506.27896,0.07444309749431906,-0.18707707309828858,-0.018937679590513488,-0.046592278085251695,,0.0,0.005339146070874844,1.2819324323952233,0.08361197610854168,-12.362145855194123,0.21497789432260375,0.39433272950882525,-0.025263964482464034,-0.019707719255733037
2021-05-21,PDD,0.38712603537998097,161080140060.31036,0.07444309749431906,-0.18707707309828858,-0.018937679590513488,-0.046592278085251695,,0.0,0.005339146070874844,1.2819324323952233,0.08361197610854168,-12.362145855194123,0.21497789432260375,0.39433272950882525,-0.023122322830148298,-0.01803708389446506
2021-05-28,PDD,0.400796954003737,155585803178.08148,0.07444309749431906,-0.18707707309828858,-0.018937679590513488,-0.046592278085251695,,0.0,0.005339146070874844,1.2819324323952233,0.08361197610854168,-12.362145855194123,0.21497789432260375,0.39433272950882525,-0.023938861540836937,-0.018674043136663945
2021-06-04,PDD,0.37869049866511284,164668287743.721,0.07444309749431906,-0.18707707309828858,-0.018937679590513488,-0.046592278085251695,,0.0,0.005339146070874844,1.2819324323952233,0.08361197610854168,-12.362145855194123,0.21497789432260375,0.39433272950882525,-0.022618483807863736,-0.017644053022047572
2021-06-11,PDD,0.41035928518683357,151960290045.85266,0.07444309749431906,-0.18707707309828858,-0.018937679590513488,-0.046592278085251695,,0.0,0.005339146070874844,1.2819324323952233,0.08361197610854168,-12.362145855194123,0.21497789432260375,0.39433272950882525,-0.02451000191481703,-0.019119573930290054
2021-06-18,PDD,0.4003161081646971,155772687454.14734,0.07444309749431906,-0.18707707309828858,-0.018937679590513488,-0.046592278085251695,,0.0,0.005339146070874844,1.2819324323952233,0.08361197610854168,-12.362145855194123,0.21497789432260375,0.39433272950882525,-0.02391014150729308,-0.018651639433615263
2021-06-25,PDD,0.3922533159380565,158974605098.93417,0.07444309749431906,-0.18707707309828858,-0.018937679590513488,-0.046592278085251695,,0.0,0.005339146070874844,1.2819324323952233,0.08361197610854168,-12.362145855194123,0.21497789432260375,0.39433272950882525,-0.02342856582459893,-0.01827597557604802
2021-07-02,PDD,0.43436219854123626,149409656774.81464,0.09664640539570574,0.0866727385228467,0.015405025895280837,0.03720582236958736,,0.0,-0.03162334258067877,3.0527938606300062,0.07699736370649958,6.79416936792302,0.239213490853827,0.43064987290142265,0.049335599579816015,0.016160802802988674
2021-07-09,PDD,0.4661562337517488,139219219439.98145,0.09664640539570574,0.0866727385228467,0.015405025895280837,0.03720582236958736,,0.0,-0.03162334258067877,3.0527938606300062,0.07699736370649958,6.79416936792302,0.239213490853827,0.43064987290142265,0.052946820343133666,0.01734372602944341
2021-07-16,PDD,0.4818610908429082,134681774962.31462,0.09664640539570574,0.0866727385228467,0.015405025895280837,0.03720582236958736,,0.0,-0.03162334258067877,3.0527938606300062,0.07699736370649958,6.79416936792302,0.239213490853827,0.43064987290142265,0.05473060480575448,0.01792803815271684
2021-07-23,PDD,0.5320724903869308,121971927082.3517,0.09664640539570574,0.0866727385228467,0.015405025895280837,0.03720582236958736,,0.0,-0.03162334258067877,3.0527938606300062,0.07699736370649958,6.79416936792302,0.239213490853827,0.43064987290142265,0.060433701232113696,0.019796194565080125
2021-07-30,PDD,0.5651781726404297,114827341432.53708,0.09664640539570574,0.0866727385228467,0.015405025895280837,0.03720582236958736,,0.0,-0.03162334258067877,3.0527938606300062,0.07699736370649958,6.79416936792302,0.239213490853827,0.43064987290142265,0.0641939011043873,0.0210279186984278
2021-08-06,PDD,0.5919960357024434,109625577007.44438,0.09664640539570574,0.0866727385228467,0.015405025895280837,0.03720582236958736,,0.0,-0.03162334258067877,3.0527938606300062,0.07699736370649958,6.79416936792302,0.239213490853827,0.43064987290142265,0.06723991974518356,0.022025699347845006
2021-08-13,PDD,0.6136048166136893,105764989522.33315,0.09664640539570574,0.0866727385228467,0.015405025895280837,0.03720582236958736,,0.0,-0.03162334258067877,3.0527938606300062,0.07699736370649958,6.79416936792302,0.239213490853827,0.43064987290142265,0.0696942819480307,0.02282967181205215
2021-08-20,PDD,0.6698922516139535,96878127555.05562,0.09664640539570574,0.0866727385228467,0.015405025895280837,0.03720582236958736,,0.0,-0.03162334258067877,3.0527938606300062,0.07699736370649958,6.79416936792302,0.239213490853827,0.43064987290142265,0.07608750484789206,0.024923892120311673
2021-08-27,PDD,0.5471412262846392,118612716209.83313,0.09664640539570574,0.0866727385228467,0.015405025895280837,0.03720582236958736,,0.0,-0.03162334258067877,3.0527938606300062,0.07699736370649958,6.79416936792302,0.239213490853827,0.43064987290142265,0.06214523396428989,0.02035683927622449
