WeekEndingFriday,symbol,BookToMarket,MarketCap,GrossProfitability,OperatingMargin,ROA,ROE,AssetGrowth,InvestmentIntensity,Accruals,IncomeQuality,DebtToAssets,InterestCoverage,CashRatio,WorkingCapitalScaled,FreeCashFlowYield,EarningsYield
2021-01-22,RTX,0.7060873457239343,102201236769.104,0.013622936362571152,0.011335933690882496,0.0008325470389076982,0.0018707647963637874,,-0.0040640629528901715,-0.007400418123623985,9.88888888888889,0.20560211651958335,0.5068119891008175,0.24553671055567955,0.046425289695534465,0.0066144013650954025,0.0013209233495382832
2021-01-29,RTX,0.7150813984179117,100915784076.69067,0.013622936362571152,0.011335933690882496,0.0008325470389076982,0.0018707647963637874,,-0.0040640629528901715,-0.007400418123623985,9.88888888888889,0.20560211651958335,0.5068119891008175,0.24553671055567955,0.046425289695534465,0.006698654786116269,0.001337749106694817
2021-02-05,RTX,0.6597177230599861,109384661769.104,0.013622936362571152,0.011335933690882496,0.0008325470389076982,0.0018707647963637874,,-0.0040640629528901715,-0.007400418123623985,9.88888888888889,0.20560211651958335,0.5068119891008175,0.24553671055567955,0.046425289695534465,0.006180025508758652,0.0012341766918378965
2021-02-12,RTX,0.6571737187136898,109808103923.03467,0.013622936362571152,0.011335933690882496,0.0008325470389076982,0.0018707647963637874,,-0.0040640629528901715,-0.007400418123623985,9.88888888888889,0.20560211651958335,0.5068119891008175,0.24553671055567955,0.046425289695534465,0.006156194086310911,0.0012294174580650488
2021-02-19,RTX,0.6425718117994417,112303401230.62134,0.013622936362571152,0.011335933690882496,0.0008325470389076982,0.0018707647963637874,,-0.0040640629528901715,-0.007400418123623985,9.88888888888889,0.20560211651958335,0.5068119891008175,0.24553671055567955,0.046425289695534465,0.006019408073062686,0.0012021007246500925
2021-02-26,RTX,0.6628335259462869,108870473769.37866,0.013622936362571152,0.011335933690882496,0.0008325470389076982,0.0018707647963637874,,-0.0040640629528901715,-0.007400418123623985,9.88888888888889,0.20560211651958335,0.5068119891008175,0.24553671055567955,0.046425289695534465,0.00620921335781065,0.0012400056261899967
2021-03-05,RTX,0.6347084852781373,113694714461.51733,0.013622936362571152,0.011335933690882496,0.0008325470389076982,0.0018707647963637874,,-0.0040640629528901715,-0.007400418123623985,9.88888888888889,0.20560211651958335,0.5068119891008175,0.24553671055567955,0.046425289695534465,0.005945746934689811,0.0011873902902117227
2021-03-12,RTX,0.6077099612449058,118745790923.30933,0.013622936362571152,0.011335933690882496,0.0008325470389076982,0.0018707647963637874,,-0.0040640629528901715,-0.007400418123623985,9.88888888888889,0.20560211651958335,0.5068119891008175,0.24553671055567955,0.046425289695534465,0.005692833360608017,0.0011368824018965714
2021-03-19,RTX,0.6089507879687845,118503828923.03467,0.013622936362571152,0.011335933690882496,0.0008325470389076982,0.0018707647963637874,,-0.0040640629528901715,-0.007400418123623985,9.88888888888889,0.20560211651958335,0.5068119891008175,0.24553671055567955,0.046425289695534465,0.0057044570301525484,0.0011392036968499912
2021-03-26,RTX,0.6104309227918693,118216488230.896,0.013622936362571152,0.011335933690882496,0.0008325470389076982,0.0018707647963637874,,-0.0040640629528901715,-0.007400418123623985,9.88888888888889,0.20560211651958335,0.5068119891008175,0.24553671055567955,0.046425289695534465,0.005718322461750532,0.0011419726809708903
2021-04-02,RTX,0.6140721628609459,116777806155.39551,0.016935644550707313,0.062413860996259105,0.004688433950986252,0.010500627527541486,,-0.002608836421597928,0.00021792189679218968,0.953519256308101,0.20602958756724446,2.780701754385965,0.2359525839544542,0.03855972305240088,0.0025604180267106793,0.006448143057234588
