WeekEndingFriday,symbol,BookToMarket,MarketCap,GrossProfitability,OperatingMargin,ROA,ROE,AssetGrowth,InvestmentIntensity,Accruals,IncomeQuality,DebtToAssets,InterestCoverage,CashRatio,WorkingCapitalScaled,FreeCashFlowYield,EarningsYield
2021-01-22,D,0.4308939601921757,60611200000.0,0.01799697617433919,0.24311275205907412,0.007111203795422553,0.026113259562736916,,-0.02004066524164538,0.002763151034878265,0.6114369501466276,0.38594442416975133,3.5518672199170123,0.015862768606474224,-0.041259579792503,-0.02483039438255636,0.011252045826513912
2021-01-29,D,0.4273470302870011,61114265805.14702,0.01799697617433919,0.24311275205907412,0.007111203795422553,0.026113259562736916,,-0.02004066524164538,0.002763151034878265,0.6114369501466276,0.38594442416975133,3.5518672199170123,0.015862768606474224,-0.041259579792503,-0.024626001477272914,0.011159423925249254
2021-02-05,D,0.42242101544855204,61826942895.50769,0.01799697617433919,0.24311275205907412,0.007111203795422553,0.026113259562736916,,-0.02004066524164538,0.002763151034878265,0.6114369501466276,0.38594442416975133,3.5518672199170123,0.015862768606474224,-0.041259579792503,-0.02434213838687716,0.01103078962116294
2021-02-12,D,0.4334120437788487,60259054576.07996,0.01799697617433919,0.24311275205907412,0.007111203795422553,0.026113259562736916,,-0.02004066524164538,0.002763151034878265,0.6114369501466276,0.38594442416975133,3.5518672199170123,0.015862768606474224,-0.041259579792503,-0.024975499708510443,0.01131780119681337
2021-02-19,D,0.43779794952580364,59655373051.172035,0.01799697617433919,0.24311275205907412,0.007111203795422553,0.026113259562736916,,-0.02004066524164538,0.002763151034878265,0.6114369501466276,0.38594442416975133,3.5518672199170123,0.015862768606474224,-0.041259579792503,-0.02522823884965097,0.011432331492001305
2021-02-26,D,0.4559327417436653,57282571767.31455,0.01799697617433919,0.24311275205907412,0.007111203795422553,0.026113259562736916,,-0.02004066524164538,0.002763151034878265,0.6114369501466276,0.38594442416975133,3.5518672199170123,0.015862768606474224,-0.041259579792503,-0.026273261719348177,0.011905890028302628
2021-03-05,D,0.4458821142949147,58573778051.85012,0.01799697617433919,0.24311275205907412,0.007111203795422553,0.026113259562736916,,-0.02004066524164538,0.002763151034878265,0.6114369501466276,0.38594442416975133,3.5518672199170123,0.015862768606474224,-0.041259579792503,-0.025694091282070935,0.011643435384965034
2021-03-12,D,0.4235698176366309,61659256426.068275,0.01799697617433919,0.24311275205907412,0.007111203795422553,0.026113259562736916,,-0.02004066524164538,0.002763151034878265,0.6114369501466276,0.38594442416975133,3.5518672199170123,0.015862768606474224,-0.041259579792503,-0.024408338459360933,0.011060788590886482
2021-03-19,D,0.42466701328940726,61499949802.320694,0.01799697617433919,0.24311275205907412,0.007111203795422553,0.026113259562736916,,-0.02004066524164538,0.002763151034878265,0.6114369501466276,0.38594442416975133,3.5518672199170123,0.015862768606474224,-0.041259579792503,-0.024471564689687097,0.011089439945758539
2021-03-26,D,0.41104942304772896,63537371750.47057,0.01799697617433919,0.24311275205907412,0.007111203795422553,0.026113259562736916,,-0.02004066524164538,0.002763151034878265,0.6114369501466276,0.38594442416975133,3.5518672199170123,0.015862768606474224,-0.041259579792503,-0.023686846945929166,0.0107338402771586
