WeekEndingFriday,symbol,QuarterlyReleased,BookToMarket,MarketCap,FreeCashFlowYield,FreeCashFlowYield_TTM,EarningsYield,EarningsYield_TTM,BookToMarket_L1W,MarketCap_L1W,FreeCashFlowYield_L1W,FreeCashFlowYield_TTM_L1W,EarningsYield_L1W,EarningsYield_TTM_L1W,BookToMarket_L2W,MarketCap_L2W,FreeCashFlowYield_L2W,FreeCashFlowYield_TTM_L2W,EarningsYield_L2W,EarningsYield_TTM_L2W,GrossProfitability,GrossProfitability_TTM,OperatingMargin,OperatingMargin_TTM,ROA,ROA_TTM,AssetGrowth,InvestmentIntensity,Accruals,Accruals_TTM,DebtToAssets,WorkingCapitalScaled,GrossProfitability_L1Q,GrossProfitability_TTM_L1Q,OperatingMargin_L1Q,OperatingMargin_TTM_L1Q,ROA_L1Q,ROA_TTM_L1Q,AssetGrowth_L1Q,InvestmentIntensity_L1Q,Accruals_L1Q,Accruals_TTM_L1Q,DebtToAssets_L1Q,WorkingCapitalScaled_L1Q,GrossProfitability_L2Q,GrossProfitability_TTM_L2Q,OperatingMargin_L2Q,OperatingMargin_TTM_L2Q,ROA_L2Q,ROA_TTM_L2Q,AssetGrowth_L2Q,InvestmentIntensity_L2Q,Accruals_L2Q,Accruals_TTM_L2Q,DebtToAssets_L2Q,WorkingCapitalScaled_L2Q
2021-01-01,SPOT,0,0.06732460331636501,36568476704.289116,0.0028713255093747057,0.007656868024999215,-0.002761941680446145,-0.018185061559373137,0.06450975663421644,38164121467.0799,0.002751275175836872,0.0073367338022316585,-0.0026464646929478483,-0.01742474278030019,0.06302993020343146,39060144602.0,0.0026881620913053066,0.007168432243480818,-0.0025857559163984375,-0.01702502657826694,0.08497619607435425,0.35535012827763673,-0.020253164556962026,-0.039777983348751156,-0.01755132066157419,-0.12346281886344222,0.14680012893697808,0.0029541826856114973,-0.03875192581713906,-0.17725096113668987,0.10270645366650136,-0.03903539198388058,0.08673879511273348,0.3505357233609116,-0.0884065643197459,-0.0282671036460467,-0.06446557632595641,-0.06067686958498095,0.07768831716761275,0.0025351631139421058,-0.07152781642908085,-0.11353909088869289,0.11058908563426854,-0.08944705445593548,0.09312884924569512,0.3417209618200205,-0.0091991341991342,-0.006055485142937614,0.00019730688399511676,-0.008069193497122944,-0.09326739108769942,0.002367682607941401,0.0019730688399511678,-0.07852813983005646,0.12415439705324346,-0.038997214524800566
2021-01-08,SPOT,0,0.05999365864713782,41036973632.16996,0.0025586682132350946,0.006823115235293585,-0.002461195138445186,-0.016204898683822265,0.06732460331636501,36568476704.289116,0.0028713255093747057,0.007656868024999215,-0.002761941680446145,-0.018185061559373137,0.06450975663421644,38164121467.0799,0.002751275175836872,0.0073367338022316585,-0.0026464646929478483,-0.01742474278030019,0.08497619607435425,0.35535012827763673,-0.020253164556962026,-0.039777983348751156,-0.01755132066157419,-0.12346281886344222,0.14680012893697808,0.0029541826856114973,-0.03875192581713906,-0.17725096113668987,0.10270645366650136,-0.03903539198388058,0.08673879511273348,0.3505357233609116,-0.0884065643197459,-0.0282671036460467,-0.06446557632595641,-0.06067686958498095,0.07768831716761275,0.0025351631139421058,-0.07152781642908085,-0.11353909088869289,0.11058908563426854,-0.08944705445593548,0.09312884924569512,0.3417209618200205,-0.0091991341991342,-0.006055485142937614,0.00019730688399511676,-0.008069193497122944,-0.09326739108769942,0.002367682607941401,0.0019730688399511678,-0.07852813983005646,0.12415439705324346,-0.038997214524800566
2021-01-15,SPOT,0,0.06623838234298379,37168150865.33857,0.0028249992952411986,0.007533331453976529,-0.002717380274470105,-0.017891662203194256,0.05999365864713782,41036973632.16996,0.0025586682132350946,0.006823115235293585,-0.002461195138445186,-0.016204898683822265,0.06732460331636501,36568476704.289116,0.0028713255093747057,0.007656868024999215,-0.002761941680446145,-0.018185061559373137,0.08497619607435425,0.35535012827763673,-0.020253164556962026,-0.039777983348751156,-0.01755132066157419,-0.12346281886344222,0.14680012893697808,0.0029541826856114973,-0.03875192581713906,-0.17725096113668987,0.10270645366650136,-0.03903539198388058,0.08673879511273348,0.3505357233609116,-0.0884065643197459,-0.0282671036460467,-0.06446557632595641,-0.06067686958498095,0.07768831716761275,0.0025351631139421058,-0.07152781642908085,-0.11353909088869289,0.11058908563426854,-0.08944705445593548,0.09312884924569512,0.3417209618200205,-0.0091991341991342,-0.006055485142937614,0.00019730688399511676,-0.008069193497122944,-0.09326739108769942,0.002367682607941401,0.0019730688399511678,-0.07852813983005646,0.12415439705324346,-0.038997214524800566
2021-01-22,SPOT,0,0.06249811322905054,39392520202.603905,0.002665480640993854,0.007107948375983611,-0.0025639385213369454,-0.016881377392961076,0.06623838234298379,37168150865.33857,0.0028249992952411986,0.007533331453976529,-0.002717380274470105,-0.017891662203194256,0.05999365864713782,41036973632.16996,0.0025586682132350946,0.006823115235293585,-0.002461195138445186,-0.016204898683822265,0.08497619607435425,0.35535012827763673,-0.020253164556962026,-0.039777983348751156,-0.01755132066157419,-0.12346281886344222,0.14680012893697808,0.0029541826856114973,-0.03875192581713906,-0.17725096113668987,0.10270645366650136,-0.03903539198388058,0.08673879511273348,0.3505357233609116,-0.0884065643197459,-0.0282671036460467,-0.06446557632595641,-0.06067686958498095,0.07768831716761275,0.0025351631139421058,-0.07152781642908085,-0.11353909088869289,0.11058908563426854,-0.08944705445593548,0.09312884924569512,0.3417209618200205,-0.0091991341991342,-0.006055485142937614,0.00019730688399511676,-0.008069193497122944,-0.09326739108769942,0.002367682607941401,0.0019730688399511678,-0.07852813983005646,0.12415439705324346,-0.038997214524800566
2021-01-29,SPOT,0,0.06725193627326183,36607989664.36347,0.0028682263342696915,0.007648603558052511,-0.0027589605691546557,-0.018165433450374715,0.06249811322905054,39392520202.603905,0.002665480640993854,0.007107948375983611,-0.0025639385213369454,-0.016881377392961076,0.06623838234298379,37168150865.33857,0.0028249992952411986,0.007533331453976529,-0.002717380274470105,-0.017891662203194256,0.08497619607435425,0.35535012827763673,-0.020253164556962026,-0.039777983348751156,-0.01755132066157419,-0.12346281886344222,0.14680012893697808,0.0029541826856114973,-0.03875192581713906,-0.17725096113668987,0.10270645366650136,-0.03903539198388058,0.08673879511273348,0.3505357233609116,-0.0884065643197459,-0.0282671036460467,-0.06446557632595641,-0.06067686958498095,0.07768831716761275,0.0025351631139421058,-0.07152781642908085,-0.11353909088869289,0.11058908563426854,-0.08944705445593548,0.09312884924569512,0.3417209618200205,-0.0091991341991342,-0.006055485142937614,0.00019730688399511676,-0.008069193497122944,-0.09326739108769942,0.002367682607941401,0.0019730688399511678,-0.07852813983005646,0.12415439705324346,-0.038997214524800566
2021-02-05,SPOT,1,0.057315742441420674,48878420128.0,0.0014730427008780261,0.003703065678596149,-0.002557365800135462,-0.011886636239029628,0.06725193627326183,36607989664.36347,0.0028682263342696915,0.007648603558052511,-0.0027589605691546557,-0.018165433450374715,0.06249811322905054,39392520202.603905,0.002665480640993854,0.007107948375983611,-0.0025639385213369454,-0.016881377392961076,0.09100818227264358,0.3540664674890559,-0.031826568265682656,-0.03718274111675127,-0.019784387450574693,-0.10209062908741512,0.24766982409305632,0.005539628486160914,-0.03671982310826663,-0.13295108366786193,0.09121087553792612,-0.08441353154129333,0.08497619607435425,0.35535012827763673,-0.020253164556962026,-0.039777983348751156,-0.01755132066157419,-0.12346281886344222,0.14680012893697808,0.0029541826856114973,-0.03875192581713906,-0.17725096113668987,0.10270645366650136,-0.03903539198388058,0.08673879511273348,0.3505357233609116,-0.0884065643197459,-0.0282671036460467,-0.06446557632595641,-0.06067686958498095,0.07768831716761275,0.0025351631139421058,-0.07152781642908085,-0.11353909088869289,0.11058908563426854,-0.08944705445593548
2021-02-12,SPOT,0,0.05243453638139749,53428582234.855156,0.0013475933103279957,0.0033876998495745445,-0.002339571719319437,-0.010874329351396744,0.057315742441420674,48878420128.0,0.0014730427008780261,0.003703065678596149,-0.002557365800135462,-0.011886636239029628,0.06725193627326183,36607989664.36347,0.0028682263342696915,0.007648603558052511,-0.0027589605691546557,-0.018165433450374715,0.09100818227264358,0.3540664674890559,-0.031826568265682656,-0.03718274111675127,-0.019784387450574693,-0.10209062908741512,0.24766982409305632,0.005539628486160914,-0.03671982310826663,-0.13295108366786193,0.09121087553792612,-0.08441353154129333,0.08497619607435425,0.35535012827763673,-0.020253164556962026,-0.039777983348751156,-0.01755132066157419,-0.12346281886344222,0.14680012893697808,0.0029541826856114973,-0.03875192581713906,-0.17725096113668987,0.10270645366650136,-0.03903539198388058,0.08673879511273348,0.3505357233609116,-0.0884065643197459,-0.0282671036460467,-0.06446557632595641,-0.06067686958498095,0.07768831716761275,0.0025351631139421058,-0.07152781642908085,-0.11353909088869289,0.11058908563426854,-0.08944705445593548
2021-02-19,SPOT,0,0.04885491326625191,57343320286.58472,0.001255595240041309,0.003156426922881624,-0.0021798528472939394,-0.01013195603422223,0.05243453638139749,53428582234.855156,0.0013475933103279957,0.0033876998495745445,-0.002339571719319437,-0.010874329351396744,0.057315742441420674,48878420128.0,0.0014730427008780261,0.003703065678596149,-0.002557365800135462,-0.011886636239029628,0.09100818227264358,0.3540664674890559,-0.031826568265682656,-0.03718274111675127,-0.019784387450574693,-0.10209062908741512,0.24766982409305632,0.005539628486160914,-0.03671982310826663,-0.13295108366786193,0.09121087553792612,-0.08441353154129333,0.08497619607435425,0.35535012827763673,-0.020253164556962026,-0.039777983348751156,-0.01755132066157419,-0.12346281886344222,0.14680012893697808,0.0029541826856114973,-0.03875192581713906,-0.17725096113668987,0.10270645366650136,-0.03903539198388058,0.08673879511273348,0.3505357233609116,-0.0884065643197459,-0.0282671036460467,-0.06446557632595641,-0.06067686958498095,0.07768831716761275,0.0025351631139421058,-0.07152781642908085,-0.11353909088869289,0.11058908563426854,-0.08944705445593548
2021-02-26,SPOT,0,0.05794785726424045,48345237792.404175,0.001489288361951389,0.0037439054654611306,-0.0025855700728322725,-0.012017729698524403,0.04885491326625191,57343320286.58472,0.001255595240041309,0.003156426922881624,-0.0021798528472939394,-0.01013195603422223,0.05243453638139749,53428582234.855156,0.0013475933103279957,0.0033876998495745445,-0.002339571719319437,-0.010874329351396744,0.09100818227264358,0.3540664674890559,-0.031826568265682656,-0.03718274111675127,-0.019784387450574693,-0.10209062908741512,0.24766982409305632,0.005539628486160914,-0.03671982310826663,-0.13295108366786193,0.09121087553792612,-0.08441353154129333,0.08497619607435425,0.35535012827763673,-0.020253164556962026,-0.039777983348751156,-0.01755132066157419,-0.12346281886344222,0.14680012893697808,0.0029541826856114973,-0.03875192581713906,-0.17725096113668987,0.10270645366650136,-0.03903539198388058,0.08673879511273348,0.3505357233609116,-0.0884065643197459,-0.0282671036460467,-0.06446557632595641,-0.06067686958498095,0.07768831716761275,0.0025351631139421058,-0.07152781642908085,-0.11353909088869289,0.11058908563426854,-0.08944705445593548
2021-03-05,SPOT,0,0.06477566345619339,43249312928.992325,0.0016647663309290297,0.004185037581918811,-0.0028902193245295654,-0.013433739420413421,0.05794785726424045,48345237792.404175,0.001489288361951389,0.0037439054654611306,-0.0025855700728322725,-0.012017729698524403,0.04885491326625191,57343320286.58472,0.001255595240041309,0.003156426922881624,-0.0021798528472939394,-0.01013195603422223,0.09100818227264358,0.3540664674890559,-0.031826568265682656,-0.03718274111675127,-0.019784387450574693,-0.10209062908741512,0.24766982409305632,0.005539628486160914,-0.03671982310826663,-0.13295108366786193,0.09121087553792612,-0.08441353154129333,0.08497619607435425,0.35535012827763673,-0.020253164556962026,-0.039777983348751156,-0.01755132066157419,-0.12346281886344222,0.14680012893697808,0.0029541826856114973,-0.03875192581713906,-0.17725096113668987,0.10270645366650136,-0.03903539198388058,0.08673879511273348,0.3505357233609116,-0.0884065643197459,-0.0282671036460467,-0.06446557632595641,-0.06067686958498095,0.07768831716761275,0.0025351631139421058,-0.07152781642908085,-0.11353909088869289,0.11058908563426854,-0.08944705445593548
