WeekEndingFriday,symbol,QuarterlyReleased,BookToMarket,MarketCap,FreeCashFlowYield,FreeCashFlowYield_TTM,EarningsYield,EarningsYield_TTM,BookToMarket_L1W,MarketCap_L1W,FreeCashFlowYield_L1W,FreeCashFlowYield_TTM_L1W,EarningsYield_L1W,EarningsYield_TTM_L1W,BookToMarket_L2W,MarketCap_L2W,FreeCashFlowYield_L2W,FreeCashFlowYield_TTM_L2W,EarningsYield_L2W,EarningsYield_TTM_L2W,GrossProfitability,GrossProfitability_TTM,OperatingMargin,OperatingMargin_TTM,ROA,ROA_TTM,ROE,ROE_TTM,AssetGrowth,InvestmentIntensity,InvestmentIntensity_TTM,Accruals,Accruals_TTM,IncomeQuality,IncomeQuality_TTM,DebtToAssets,InterestCoverage,InterestCoverage_TTM,CashRatio,WorkingCapitalScaled,GrossProfitability_L1Q,GrossProfitability_TTM_L1Q,OperatingMargin_L1Q,OperatingMargin_TTM_L1Q,ROA_L1Q,ROA_TTM_L1Q,ROE_L1Q,ROE_TTM_L1Q,AssetGrowth_L1Q,InvestmentIntensity_L1Q,InvestmentIntensity_TTM_L1Q,Accruals_L1Q,Accruals_TTM_L1Q,IncomeQuality_L1Q,IncomeQuality_TTM_L1Q,DebtToAssets_L1Q,InterestCoverage_L1Q,InterestCoverage_TTM_L1Q,CashRatio_L1Q,WorkingCapitalScaled_L1Q,GrossProfitability_L2Q,GrossProfitability_TTM_L2Q,OperatingMargin_L2Q,OperatingMargin_TTM_L2Q,ROA_L2Q,ROA_TTM_L2Q,ROE_L2Q,ROE_TTM_L2Q,AssetGrowth_L2Q,InvestmentIntensity_L2Q,InvestmentIntensity_TTM_L2Q,Accruals_L2Q,Accruals_TTM_L2Q,IncomeQuality_L2Q,IncomeQuality_TTM_L2Q,DebtToAssets_L2Q,InterestCoverage_L2Q,InterestCoverage_TTM_L2Q,CashRatio_L2Q,WorkingCapitalScaled_L2Q
2021-01-22,XOM,0,0.8928055541592076,176018170214.0,0.0021361431012654284,-0.014345109922061719,-0.11402231926169454,-0.1274868382776495,,,,,,,,,,,,,-0.04986927122464312,0.02442374154770849,-0.5839564475928112,-0.164906425347475,-0.06031555221637866,-0.06743801652892562,-0.12771237671014954,-0.142793509385937,-0.08231452549248891,-0.010906085649887303,-0.05193688955672427,-0.07235161532682194,-0.11178662659654395,-0.19955156950672645,-0.657620320855615,0.20327573253193087,-85.33226837060703,-25.430051813471504,0.0774266806238135,-0.034470323065364385,0.026223107280410454,0.10771890527115459,-0.01309851403412218,-0.0003369753905851118,-0.001899213222992769,0.00927262926519999,-0.0038331454340473506,0.01871476888387824,-0.0036676211386321832,-0.009191633407160593,-0.056856299383035,-0.014157517393162273,-0.03849816921431225,-6.454411764705882,5.151807228915662,0.1921528978362934,-2.132616487455197,-0.06309751434034416,0.156407168661897,-0.021715268836424675,0.017695957067179354,0.12058258067193184,-0.042754902872014125,0.019695403938145582,-0.002987593189394044,0.019834299229588237,-0.005993906195368042,0.039792877241471174,0.002123477735363666,-0.012218702886623604,-0.06459563756068548,-0.003233792998520035,-0.0404542248163875,-0.0824074074074074,3.039609483960948,0.1922986486673398,-4.353312302839116,4.216216216216216,0.21959140911471975,-0.011767797618224319
2021-01-29,XOM,0,0.9443748341243016,166406382636.9556,0.002259528715435809,-0.015173696825732495,-0.12060835457126778,-0.13485059674037117,0.8928055541592076,176018170214.0,0.0021361431012654284,-0.014345109922061719,-0.11402231926169454,-0.1274868382776495,,,,,,,-0.04986927122464312,0.02442374154770849,-0.5839564475928112,-0.164906425347475,-0.06031555221637866,-0.06743801652892562,-0.12771237671014954,-0.142793509385937,-0.08231452549248891,-0.010906085649887303,-0.05193688955672427,-0.07235161532682194,-0.11178662659654395,-0.19955156950672645,-0.657620320855615,0.20327573253193087,-85.33226837060703,-25.430051813471504,0.0774266806238135,-0.034470323065364385,0.026223107280410454,0.10771890527115459,-0.01309851403412218,-0.0003369753905851118,-0.001899213222992769,0.00927262926519999,-0.0038331454340473506,0.01871476888387824,-0.0036676211386321832,-0.009191633407160593,-0.056856299383035,-0.014157517393162273,-0.03849816921431225,-6.454411764705882,5.151807228915662,0.1921528978362934,-2.132616487455197,-0.06309751434034416,0.156407168661897,-0.021715268836424675,0.017695957067179354,0.12058258067193184,-0.042754902872014125,0.019695403938145582,-0.002987593189394044,0.019834299229588237,-0.005993906195368042,0.039792877241471174,0.002123477735363666,-0.012218702886623604,-0.06459563756068548,-0.003233792998520035,-0.0404542248163875,-0.0824074074074074,3.039609483960948,0.1922986486673398,-4.353312302839116,4.216216216216216,0.21959140911471975,-0.011767797618224319
2021-02-05,XOM,0,0.8477631042931318,185370180896.26852,0.002028373701649491,-0.013621392544321717,-0.10826984093645024,-0.1210550687899324,0.9443748341243016,166406382636.9556,0.002259528715435809,-0.015173696825732495,-0.12060835457126778,-0.13485059674037117,0.8928055541592076,176018170214.0,0.0021361431012654284,-0.014345109922061719,-0.11402231926169454,-0.1274868382776495,-0.04986927122464312,0.02442374154770849,-0.5839564475928112,-0.164906425347475,-0.06031555221637866,-0.06743801652892562,-0.12771237671014954,-0.142793509385937,-0.08231452549248891,-0.010906085649887303,-0.05193688955672427,-0.07235161532682194,-0.11178662659654395,-0.19955156950672645,-0.657620320855615,0.20327573253193087,-85.33226837060703,-25.430051813471504,0.0774266806238135,-0.034470323065364385,0.026223107280410454,0.10771890527115459,-0.01309851403412218,-0.0003369753905851118,-0.001899213222992769,0.00927262926519999,-0.0038331454340473506,0.01871476888387824,-0.0036676211386321832,-0.009191633407160593,-0.056856299383035,-0.014157517393162273,-0.03849816921431225,-6.454411764705882,5.151807228915662,0.1921528978362934,-2.132616487455197,-0.06309751434034416,0.156407168661897,-0.021715268836424675,0.017695957067179354,0.12058258067193184,-0.042754902872014125,0.019695403938145582,-0.002987593189394044,0.019834299229588237,-0.005993906195368042,0.039792877241471174,0.002123477735363666,-0.012218702886623604,-0.06459563756068548,-0.003233792998520035,-0.0404542248163875,-0.0824074074074074,3.039609483960948,0.1922986486673398,-4.353312302839116,4.216216216216216,0.21959140911471975,-0.011767797618224319
2021-02-12,XOM,0,0.8381980863526765,187485515129.03152,0.0020054882626064675,-0.013467707082663113,-0.10704826976199948,-0.11968924631087534,0.8477631042931318,185370180896.26852,0.002028373701649491,-0.013621392544321717,-0.10826984093645024,-0.1210550687899324,0.9443748341243016,166406382636.9556,0.002259528715435809,-0.015173696825732495,-0.12060835457126778,-0.13485059674037117,-0.04986927122464312,0.02442374154770849,-0.5839564475928112,-0.164906425347475,-0.06031555221637866,-0.06743801652892562,-0.12771237671014954,-0.142793509385937,-0.08231452549248891,-0.010906085649887303,-0.05193688955672427,-0.07235161532682194,-0.11178662659654395,-0.19955156950672645,-0.657620320855615,0.20327573253193087,-85.33226837060703,-25.430051813471504,0.0774266806238135,-0.034470323065364385,0.026223107280410454,0.10771890527115459,-0.01309851403412218,-0.0003369753905851118,-0.001899213222992769,0.00927262926519999,-0.0038331454340473506,0.01871476888387824,-0.0036676211386321832,-0.009191633407160593,-0.056856299383035,-0.014157517393162273,-0.03849816921431225,-6.454411764705882,5.151807228915662,0.1921528978362934,-2.132616487455197,-0.06309751434034416,0.156407168661897,-0.021715268836424675,0.017695957067179354,0.12058258067193184,-0.042754902872014125,0.019695403938145582,-0.002987593189394044,0.019834299229588237,-0.005993906195368042,0.039792877241471174,0.002123477735363666,-0.012218702886623604,-0.06459563756068548,-0.003233792998520035,-0.0404542248163875,-0.0824074074074074,3.039609483960948,0.1922986486673398,-4.353312302839116,4.216216216216216,0.21959140911471975,-0.011767797618224319
2021-02-19,XOM,0,0.8085882866125513,194351071616.87225,0.0019346433074535114,-0.012991953062021586,-0.10326673186327652,-0.11546115909376807,0.8381980863526765,187485515129.03152,0.0020054882626064675,-0.013467707082663113,-0.10704826976199948,-0.11968924631087534,0.8477631042931318,185370180896.26852,0.002028373701649491,-0.013621392544321717,-0.10826984093645024,-0.1210550687899324,-0.04986927122464312,0.02442374154770849,-0.5839564475928112,-0.164906425347475,-0.06031555221637866,-0.06743801652892562,-0.12771237671014954,-0.142793509385937,-0.08231452549248891,-0.010906085649887303,-0.05193688955672427,-0.07235161532682194,-0.11178662659654395,-0.19955156950672645,-0.657620320855615,0.20327573253193087,-85.33226837060703,-25.430051813471504,0.0774266806238135,-0.034470323065364385,0.026223107280410454,0.10771890527115459,-0.01309851403412218,-0.0003369753905851118,-0.001899213222992769,0.00927262926519999,-0.0038331454340473506,0.01871476888387824,-0.0036676211386321832,-0.009191633407160593,-0.056856299383035,-0.014157517393162273,-0.03849816921431225,-6.454411764705882,5.151807228915662,0.1921528978362934,-2.132616487455197,-0.06309751434034416,0.156407168661897,-0.021715268836424675,0.017695957067179354,0.12058258067193184,-0.042754902872014125,0.019695403938145582,-0.002987593189394044,0.019834299229588237,-0.005993906195368042,0.039792877241471174,0.002123477735363666,-0.012218702886623604,-0.06459563756068548,-0.003233792998520035,-0.0404542248163875,-0.0824074074074074,3.039609483960948,0.1922986486673398,-4.353312302839116,4.216216216216216,0.21959140911471975,-0.011767797618224319
2021-02-26,XOM,0,0.7788443725975609,201773300968.8207,0.001863477468003073,-0.012514044166775956,-0.09946806591175977,-0.11121392122869403,0.8085882866125513,194351071616.87225,0.0019346433074535114,-0.012991953062021586,-0.10326673186327652,-0.11546115909376807,0.8381980863526765,187485515129.03152,0.0020054882626064675,-0.013467707082663113,-0.10704826976199948,-0.11968924631087534,-0.04986927122464312,0.02442374154770849,-0.5839564475928112,-0.164906425347475,-0.06031555221637866,-0.06743801652892562,-0.12771237671014954,-0.142793509385937,-0.08231452549248891,-0.010906085649887303,-0.05193688955672427,-0.07235161532682194,-0.11178662659654395,-0.19955156950672645,-0.657620320855615,0.20327573253193087,-85.33226837060703,-25.430051813471504,0.0774266806238135,-0.034470323065364385,0.026223107280410454,0.10771890527115459,-0.01309851403412218,-0.0003369753905851118,-0.001899213222992769,0.00927262926519999,-0.0038331454340473506,0.01871476888387824,-0.0036676211386321832,-0.009191633407160593,-0.056856299383035,-0.014157517393162273,-0.03849816921431225,-6.454411764705882,5.151807228915662,0.1921528978362934,-2.132616487455197,-0.06309751434034416,0.156407168661897,-0.021715268836424675,0.017695957067179354,0.12058258067193184,-0.042754902872014125,0.019695403938145582,-0.002987593189394044,0.019834299229588237,-0.005993906195368042,0.039792877241471174,0.002123477735363666,-0.012218702886623604,-0.06459563756068548,-0.003233792998520035,-0.0404542248163875,-0.0824074074074074,3.039609483960948,0.1922986486673398,-4.353312302839116,4.216216216216216,0.21959140911471975,-0.011767797618224319
2021-03-05,XOM,0,0.6949904397528246,226118218339.65207,0.0016628469955269618,-0.01116672516942973,-0.08875888085166522,-0.09924012388198145,0.7788443725975609,201773300968.8207,0.001863477468003073,-0.012514044166775956,-0.09946806591175977,-0.11121392122869403,0.8085882866125513,194351071616.87225,0.0019346433074535114,-0.012991953062021586,-0.10326673186327652,-0.11546115909376807,-0.04986927122464312,0.02442374154770849,-0.5839564475928112,-0.164906425347475,-0.06031555221637866,-0.06743801652892562,-0.12771237671014954,-0.142793509385937,-0.08231452549248891,-0.010906085649887303,-0.05193688955672427,-0.07235161532682194,-0.11178662659654395,-0.19955156950672645,-0.657620320855615,0.20327573253193087,-85.33226837060703,-25.430051813471504,0.0774266806238135,-0.034470323065364385,0.026223107280410454,0.10771890527115459,-0.01309851403412218,-0.0003369753905851118,-0.001899213222992769,0.00927262926519999,-0.0038331454340473506,0.01871476888387824,-0.0036676211386321832,-0.009191633407160593,-0.056856299383035,-0.014157517393162273,-0.03849816921431225,-6.454411764705882,5.151807228915662,0.1921528978362934,-2.132616487455197,-0.06309751434034416,0.156407168661897,-0.021715268836424675,0.017695957067179354,0.12058258067193184,-0.042754902872014125,0.019695403938145582,-0.002987593189394044,0.019834299229588237,-0.005993906195368042,0.039792877241471174,0.002123477735363666,-0.012218702886623604,-0.06459563756068548,-0.003233792998520035,-0.0404542248163875,-0.0824074074074074,3.039609483960948,0.1922986486673398,-4.353312302839116,4.216216216216216,0.21959140911471975,-0.011767797618224319
2021-03-12,XOM,0,0.6833268819121282,229977781000.29227,0.0016349405510592441,-0.010979321519746253,-0.08726930015893358,-0.09757464352598255,0.6949904397528246,226118218339.65207,0.0016628469955269618,-0.01116672516942973,-0.08875888085166522,-0.09924012388198145,0.7788443725975609,201773300968.8207,0.001863477468003073,-0.012514044166775956,-0.09946806591175977,-0.11121392122869403,-0.04986927122464312,0.02442374154770849,-0.5839564475928112,-0.164906425347475,-0.06031555221637866,-0.06743801652892562,-0.12771237671014954,-0.142793509385937,-0.08231452549248891,-0.010906085649887303,-0.05193688955672427,-0.07235161532682194,-0.11178662659654395,-0.19955156950672645,-0.657620320855615,0.20327573253193087,-85.33226837060703,-25.430051813471504,0.0774266806238135,-0.034470323065364385,0.026223107280410454,0.10771890527115459,-0.01309851403412218,-0.0003369753905851118,-0.001899213222992769,0.00927262926519999,-0.0038331454340473506,0.01871476888387824,-0.0036676211386321832,-0.009191633407160593,-0.056856299383035,-0.014157517393162273,-0.03849816921431225,-6.454411764705882,5.151807228915662,0.1921528978362934,-2.132616487455197,-0.06309751434034416,0.156407168661897,-0.021715268836424675,0.017695957067179354,0.12058258067193184,-0.042754902872014125,0.019695403938145582,-0.002987593189394044,0.019834299229588237,-0.005993906195368042,0.039792877241471174,0.002123477735363666,-0.012218702886623604,-0.06459563756068548,-0.003233792998520035,-0.0404542248163875,-0.0824074074074074,3.039609483960948,0.1922986486673398,-4.353312302839116,4.216216216216216,0.21959140911471975,-0.011767797618224319
2021-03-19,XOM,0,0.7496152672690656,209640874274.76694,0.0017935433693488303,-0.012044406935121798,-0.09573514740114633,-0.10704019470262699,0.6833268819121282,229977781000.29227,0.0016349405510592441,-0.010979321519746253,-0.08726930015893358,-0.09757464352598255,0.6949904397528246,226118218339.65207,0.0016628469955269618,-0.01116672516942973,-0.08875888085166522,-0.09924012388198145,-0.04986927122464312,0.02442374154770849,-0.5839564475928112,-0.164906425347475,-0.06031555221637866,-0.06743801652892562,-0.12771237671014954,-0.142793509385937,-0.08231452549248891,-0.010906085649887303,-0.05193688955672427,-0.07235161532682194,-0.11178662659654395,-0.19955156950672645,-0.657620320855615,0.20327573253193087,-85.33226837060703,-25.430051813471504,0.0774266806238135,-0.034470323065364385,0.026223107280410454,0.10771890527115459,-0.01309851403412218,-0.0003369753905851118,-0.001899213222992769,0.00927262926519999,-0.0038331454340473506,0.01871476888387824,-0.0036676211386321832,-0.009191633407160593,-0.056856299383035,-0.014157517393162273,-0.03849816921431225,-6.454411764705882,5.151807228915662,0.1921528978362934,-2.132616487455197,-0.06309751434034416,0.156407168661897,-0.021715268836424675,0.017695957067179354,0.12058258067193184,-0.042754902872014125,0.019695403938145582,-0.002987593189394044,0.019834299229588237,-0.005993906195368042,0.039792877241471174,0.002123477735363666,-0.012218702886623604,-0.06459563756068548,-0.003233792998520035,-0.0404542248163875,-0.0824074074074074,3.039609483960948,0.1922986486673398,-4.353312302839116,4.216216216216216,0.21959140911471975,-0.011767797618224319
2021-03-26,XOM,0,0.7337682962748013,214168424552.8458,0.0017556276131042018,-0.01178978649757476,-0.09371129307181206,-0.10477735010121886,0.7496152672690656,209640874274.76694,0.0017935433693488303,-0.012044406935121798,-0.09573514740114633,-0.10704019470262699,0.6833268819121282,229977781000.29227,0.0016349405510592441,-0.010979321519746253,-0.08726930015893358,-0.09757464352598255,-0.04986927122464312,0.02442374154770849,-0.5839564475928112,-0.164906425347475,-0.06031555221637866,-0.06743801652892562,-0.12771237671014954,-0.142793509385937,-0.08231452549248891,-0.010906085649887303,-0.05193688955672427,-0.07235161532682194,-0.11178662659654395,-0.19955156950672645,-0.657620320855615,0.20327573253193087,-85.33226837060703,-25.430051813471504,0.0774266806238135,-0.034470323065364385,0.026223107280410454,0.10771890527115459,-0.01309851403412218,-0.0003369753905851118,-0.001899213222992769,0.00927262926519999,-0.0038331454340473506,0.01871476888387824,-0.0036676211386321832,-0.009191633407160593,-0.056856299383035,-0.014157517393162273,-0.03849816921431225,-6.454411764705882,5.151807228915662,0.1921528978362934,-2.132616487455197,-0.06309751434034416,0.156407168661897,-0.021715268836424675,0.017695957067179354,0.12058258067193184,-0.042754902872014125,0.019695403938145582,-0.002987593189394044,0.019834299229588237,-0.005993906195368042,0.039792877241471174,0.002123477735363666,-0.012218702886623604,-0.06459563756068548,-0.003233792998520035,-0.0404542248163875,-0.0824074074074074,3.039609483960948,0.1922986486673398,-4.353312302839116,4.216216216216216,0.21959140911471975,-0.011767797618224319
