WeekEndingFriday,symbol,BookToMarket,MarketCap,GrossProfitability,GrossProfitability_TTM,OperatingMargin,OperatingMargin_TTM,ROA,ROA_TTM,ROE,ROE_TTM,AssetGrowth,InvestmentIntensity,InvestmentIntensity_TTM,Accruals,Accruals_TTM,IncomeQuality,IncomeQuality_TTM,DebtToAssets,InterestCoverage,InterestCoverage_TTM,CashRatio,WorkingCapitalScaled,FreeCashFlowYield,FreeCashFlowYield_TTM,EarningsYield,EarningsYield_TTM
2021-01-22,T,1.0415296357258588,155226500000.0,0.030055481483031263,0.12026567204490253,0.12335033157514609,0.14901024685607825,-0.02640553407346684,-0.009844777379836085,-0.0858708627909422,-0.0320152406400574,-0.04696294335915196,-0.004549595728857789,-0.029813926860303448,-0.04558154750922948,-0.09187824886212556,-0.726211913851473,-8.332689335394127,0.3416685528215292,2.97571277719113,3.230342042155749,0.1535357356789306,-0.021739916045503564,0.04954051015773724,0.17687057300138828,-0.08943704844211524,-0.03334482192151469
2021-01-29,T,1.0524432894416647,153616828214.81973,0.030055481483031263,0.12026567204490253,0.12335033157514609,0.14901024685607825,-0.02640553407346684,-0.009844777379836085,-0.0858708627909422,-0.0320152406400574,-0.04696294335915196,-0.004549595728857789,-0.029813926860303448,-0.04558154750922948,-0.09187824886212556,-0.726211913851473,-8.332689335394127,0.3416685528215292,2.97571277719113,3.230342042155749,0.1535357356789306,-0.021739916045503564,0.050059619700298756,0.1787239088259691,-0.09037421330289307,-0.03369422517148848
2021-02-05,T,1.0415296357258588,155226500000.0,0.030055481483031263,0.12026567204490253,0.12335033157514609,0.14901024685607825,-0.02640553407346684,-0.009844777379836085,-0.0858708627909422,-0.0320152406400574,-0.04696294335915196,-0.004549595728857789,-0.029813926860303448,-0.04558154750922948,-0.09187824886212556,-0.726211913851473,-8.332689335394127,0.3416685528215292,2.97571277719113,3.230342042155749,0.1535357356789306,-0.021739916045503564,0.04954051015773724,0.17687057300138828,-0.08943704844211524,-0.03334482192151469
2021-02-12,T,1.0462309455816847,154528979173.0571,0.030055481483031263,0.12026567204490253,0.12335033157514609,0.14901024685607825,-0.02640553407346684,-0.009844777379836085,-0.0858708627909422,-0.0320152406400574,-0.04696294335915196,-0.004549595728857789,-0.029813926860303448,-0.04558154750922948,-0.09187824886212556,-0.726211913851473,-8.332689335394127,0.3416685528215292,2.97571277719113,3.230342042155749,0.1535357356789306,-0.021739916045503564,0.049764128651804296,0.17766894045972523,-0.08984075397568259,-0.03349533548787244
2021-02-19,T,1.0390156125288166,155602089179.8833,0.030055481483031263,0.12026567204490253,0.12335033157514609,0.14901024685607825,-0.02640553407346684,-0.009844777379836085,-0.0858708627909422,-0.0320152406400574,-0.04696294335915196,-0.004549595728857789,-0.029813926860303448,-0.04558154750922948,-0.09187824886212556,-0.726211913851473,-8.332689335394127,0.3416685528215292,2.97571277719113,3.230342042155749,0.1535357356789306,-0.021739916045503564,0.04942093027497851,0.176443646384855,-0.08922116710110879,-0.033264334863886705
2021-02-26,T,1.0803675590313615,149646292734.8107,0.030055481483031263,0.12026567204490253,0.12335033157514609,0.14901024685607825,-0.02640553407346684,-0.009844777379836085,-0.0858708627909422,-0.0320152406400574,-0.04696294335915196,-0.004549595728857789,-0.029813926860303448,-0.04558154750922948,-0.09187824886212556,-0.726211913851473,-8.332689335394127,0.3416685528215292,2.97571277719113,3.230342042155749,0.1535357356789306,-0.021739916045503564,0.05138784168631231,0.18346595494118392,-0.0927720944253672,-0.034588227382100455
2021-03-05,T,1.0172670988601689,158928761365.773,0.030055481483031263,0.12026567204490253,0.12335033157514609,0.14901024685607825,-0.02640553407346684,-0.009844777379836085,-0.0858708627909422,-0.0320152406400574,-0.04696294335915196,-0.004549595728857789,-0.029813926860303448,-0.04558154750922948,-0.09187824886212556,-0.726211913851473,-8.332689335394127,0.3416685528215292,2.97571277719113,3.230342042155749,0.1535357356789306,-0.021739916045503564,0.04838645902676822,0.1727503553419924,-0.08735360346796141,-0.03256805096522137
2021-03-12,T,1.0107833180679184,159948227389.65756,0.030055481483031263,0.12026567204490253,0.12335033157514609,0.14901024685607825,-0.02640553407346684,-0.009844777379836085,-0.0858708627909422,-0.0320152406400574,-0.04696294335915196,-0.004549595728857789,-0.029813926860303448,-0.04558154750922948,-0.09187824886212556,-0.726211913851473,-8.332689335394127,0.3416685528215292,2.97571277719113,3.230342042155749,0.1535357356789306,-0.021739916045503564,0.04807805704070744,0.17164929207446328,-0.08679683561718353,-0.03236047116290009
2021-03-19,T,1.0124815946066,159679939725.53952,0.030055481483031263,0.12026567204490253,0.12335033157514609,0.14901024685607825,-0.02640553407346684,-0.009844777379836085,-0.0858708627909422,-0.0320152406400574,-0.04696294335915196,-0.004549595728857789,-0.029813926860303448,-0.04558154750922948,-0.09187824886212556,-0.726211913851473,-8.332689335394127,0.3416685528215292,2.97571277719113,3.230342042155749,0.1535357356789306,-0.021739916045503564,0.04815883581380164,0.17193769015187568,-0.0869426680888177,-0.032414841894959336
2021-03-26,T,0.9941092251929852,162631022731.54605,0.030055481483031263,0.12026567204490253,0.12335033157514609,0.14901024685607825,-0.02640553407346684,-0.009844777379836085,-0.0858708627909422,-0.0320152406400574,-0.04696294335915196,-0.004549595728857789,-0.029813926860303448,-0.04558154750922948,-0.09187824886212556,-0.726211913851473,-8.332689335394127,0.3416685528215292,2.97571277719113,3.230342042155749,0.1535357356789306,-0.021739916045503564,0.04728495136314694,0.1688177294766189,-0.0853650168757567,-0.03182664606705443
