model,validation_accuracy,test_accuracy
lasso_logistic,0.5224171539961013,0.5413533834586466
logistic_regression,,0.5413533834586466
always_zero,,0.5338345864661654
random_forest,0.543859649122807,0.5338345864661654
null_model,,0.46616541353383456
always_one,,0.46616541353383456
